MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
66,1,Division I,alleganycollegeofmaryland,Jaylen Brown,,,,Wing,,,12,3.8724999999999996,4.5,3.35,3,15.0,3.8333333333333335,6.25,1.75,2.3333333333333335,0.0,1.6666666666666667,9.583333333333334,3.1666666666666665,3.4166666666666665,0.6666666666666666,3.1666666666666665,0.6764882742032472,0.6478260869565218,116.85276551545054,0.13978728810483138,3.5714285714285716,0.1363282264346923,0.5526315789473685,0.33043478260869563,0.3565217391304348,2.1222839818089945,2.829711975745326,4.648812531581607,2.02122283981809,Elite,5,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
254,2,Division I,alleganycollegeofmaryland,Dorrell Little,,,,Wing,,,12,3.4875,4.15,2.75,3,11.583333333333334,6.166666666666667,1.6666666666666667,1.0,1.0833333333333333,0.16666666666666666,0.75,7.583333333333333,1.4166666666666667,2.8333333333333335,3.0,3.1666666666666665,0.6559078897697244,0.6373626373626373,117.83655476432688,0.10704562779048242,1.6666666666666667,0.10172939979654119,0.23529411764705882,0.18681318681318682,0.37362637362637363,1.2127337038908539,1.5159171298635674,7.478524507326933,0.9095502779181405,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
401,3,Division I,alleganycollegeofmaryland,Darrien Ponder,,,,Wing,,,12,3.34,3.75,2.9000000000000004,3,16.916666666666668,4.5,1.1666666666666667,2.0833333333333335,1.0,0.75,2.3333333333333335,12.583333333333334,5.166666666666667,3.0,1.5833333333333333,2.9166666666666665,0.6083672980100695,0.5761589403973509,105.81734778982485,0.17408980362263604,0.56,0.13031693077564638,0.3870967741935484,0.4105960264900662,0.23841059602649006,2.526528549772612,2.1222839818089945,5.457301667508843,2.829711975745326,Elite,5,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1888,4,Division I,alleganycollegeofmaryland,Alex Byrd,,,,Wing,,,11,2.6125,2.4000000000000004,2.75,3,10.181818181818182,5.7272727272727275,0.8181818181818182,1.5454545454545454,0.36363636363636365,1.1818181818181819,1.5454545454545454,8.727272727272727,1.5454545454545454,3.3636363636363638,2.0,3.727272727272727,0.49875311720698257,0.4427083333333333,86.63366336633663,0.1272891969595526,0.5294117647058824,0.13149752475247525,0.17647058823529413,0.17708333333333334,0.3854166666666667,1.8753447324875896,1.8753447324875896,6.94980694980695,1.8753447324875896,Below Average,2,Below Average,2,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
1900,5,Division I,alleganycollegeofmaryland,Christian Brown,,,,Wing,,,12,2.6075,2.5999999999999996,2.45,3,6.166666666666667,3.6666666666666665,0.75,1.5,0.75,0.5,1.4166666666666667,3.8333333333333335,0.16666666666666666,2.25,0.9166666666666666,2.75,0.6392536281962681,0.6304347826086957,97.52240379546653,0.06885912374314856,0.5,0.23721665788086455,0.0,0.043478260869565216,0.5869565217391305,1.819100555836281,1.5159171298635674,4.446690247599798,1.7180394138453765,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1930,6,Division I,alleganycollegeofmaryland,Chicale Ward,,,,Wing,,,11,2.5999999999999996,2.8999999999999995,2.0,3,5.090909090909091,2.272727272727273,0.2727272727272727,0.18181818181818182,0.6363636363636364,0.36363636363636365,1.9090909090909092,4.454545454545454,2.090909090909091,1.0,0.36363636363636365,1.9090909090909092,0.5200594353640415,0.5204081632653061,100.28653295128939,0.055869051906991644,1.5,0.03581661891117478,0.30434782608695654,0.46938775510204084,0.22448979591836735,0.22099447513812154,1.2154696132596685,2.7624309392265194,2.320441988950276,Below Average,2,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2414,7,Division I,alleganycollegeofmaryland,Elijah Hall,,,,Wing,,,12,2.4450000000000003,2.45,2.2,3,12.083333333333334,3.6666666666666665,3.0833333333333335,2.0,1.1666666666666667,0.0,2.6666666666666665,11.666666666666666,7.583333333333333,2.0833333333333335,0.5833333333333334,3.0833333333333335,0.48013245033112584,0.45357142857142857,82.85714285714286,0.15880794221205852,1.5416666666666667,0.13714285714285715,0.2967032967032967,0.65,0.17857142857142858,2.4254674077817078,1.414855987872663,4.446690247599798,3.2339565437089437,Poor,1,Average,3,Poor,1,Very Good,4,Very Good,4,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
2624,8,Division I,alleganycollegeofmaryland,Justin Gilmore,,,,Wing,,,12,2.375,2.45,2.0,3,6.75,2.4166666666666665,1.75,1.0833333333333333,0.16666666666666666,0.08333333333333333,2.1666666666666665,6.0,1.9166666666666667,2.25,0.4166666666666667,2.0,0.4828326180257511,0.4375,83.60858794384806,0.08791607680859559,1.6153846153846154,0.13418662262592898,0.13043478260869565,0.3194444444444444,0.375,1.3137948458817585,0.30318342597271347,2.9307731177362304,2.627589691763517,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2848,9,Division I,alleganycollegeofmaryland,Darrion Brooks,,,,Wing,,,9,2.325,2.35,2.0,3,3.2222222222222223,2.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,0.7777777777777778,3.3333333333333335,1.1111111111111112,0.4444444444444444,0.5555555555555556,1.4444444444444444,0.4565491183879093,0.43333333333333335,85.90047393364928,0.04048932597745263,2.5,0.059241706161137435,0.2,0.3333333333333333,0.13333333333333333,0.2711864406779661,0.2711864406779661,2.440677966101695,0.9491525423728814,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3328,10,Division I,alleganycollegeofmaryland,Landon Somerville,,,,Wing,,,12,2.175,2.0500000000000003,2.0,3,2.4166666666666665,1.25,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.0,1.0,2.8333333333333335,1.25,0.5,0.5,0.75,0.39574235807860264,0.39705882352941174,75.05175983436853,0.03506479364042252,0.5,0.05175983436853002,0.2,0.4411764705882353,0.17647058823529413,0.20212228398180898,0.7074279939363315,1.5159171298635674,1.2127337038908539,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
