MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
88,1,Division I,andrewcollege,Elijah Hightower,,,,Wing,,,8,3.7300000000000004,3.9000000000000004,3.8,3,23.5,4.125,0.5,2.5,1.5,1.5,1.75,17.0,3.75,5.625,1.25,2.875,0.6033376123234916,0.5808823529411765,106.93970420932878,0.22043334336442974,0.2,0.11376564277588168,0.4666666666666667,0.22058823529411764,0.33088235294117646,2.8109627547434997,3.3731553056921997,4.638088545326775,1.9676739283204498,Elite,5,Very Good,4,Average,3,Poor,1,Very Good,4,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Very Good,4,Unknown
1028,2,Division I,andrewcollege,Michael Shaw II,,,,Wing,,,6,2.8999999999999995,3.4999999999999996,2.0,3,3.6666666666666665,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.6666666666666666,2.8333333333333335,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.5863539445628997,0.5588235294117647,105.97302504816955,0.03633690401176224,2.0,0.09633911368015413,0.25,0.23529411764705882,0.23529411764705882,0.4020100502512563,0.6030150753768844,1.0050251256281406,0.8040201005025126,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1121,3,Division I,andrewcollege,Devin Moise,,,,Wing,,,13,2.8500000000000005,3.4000000000000004,2.0,3,5.615384615384615,3.4615384615384617,1.0769230769230769,0.3076923076923077,0.23076923076923078,0.15384615384615385,1.4615384615384615,4.846153846153846,1.9230769230769231,0.46153846153846156,0.38461538461538464,3.076923076923077,0.5560633759902498,0.5476190476190477,104.8248133256749,0.05637405692452158,3.5,0.05743825387708214,0.44,0.3968253968253968,0.09523809523809523,0.3651300775901415,0.45641259698767683,4.1077133728890916,1.734367868553172,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1791,4,Division I,andrewcollege,Jasiyah Suber,,,,Wing,,,10,2.5825000000000005,2.5500000000000003,2.45,3,7.9,3.7,3.2,1.4,1.2,0.4,2.4,7.6,1.8,3.4,1.3,2.4,0.43425681618293754,0.3684210526315789,75.26676829268293,0.11311319941374258,2.2857142857142856,0.1333841463414634,0.0,0.23684210526315788,0.4473684210526316,1.704199634814364,1.9476567255021302,4.503956177723676,2.9214850882531955,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Average,3,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2346,5,Division I,andrewcollege,Xavier Burkes,,,,Wing,,,13,2.3949999999999996,2.3499999999999996,2.2,3,9.846153846153847,4.153846153846154,2.3076923076923075,2.6153846153846154,1.3076923076923077,0.15384615384615385,2.769230769230769,7.6923076923076925,3.0,3.1538461538461537,1.1538461538461537,3.0,0.5421890884445951,0.515,84.18837148118917,0.12307742123498365,0.8823529411764706,0.22362536174690872,0.3333333333333333,0.39,0.41,3.1036056595162025,1.734367868553172,4.92925604746691,3.2861706983112735,Average,3,Below Average,2,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
2429,6,Division I,andrewcollege,Joshua Habersham,,,,Wing,,,12,2.365,1.8000000000000003,2.9000000000000004,3,7.333333333333333,3.0,2.3333333333333335,1.4166666666666667,1.75,0.16666666666666666,2.25,7.416666666666667,0.25,0.5833333333333334,1.0833333333333333,1.9166666666666667,0.4778453518679409,0.4550561797752809,80.67473414008067,0.0948224903508467,1.6470588235294117,0.15584891822515584,0.3333333333333333,0.033707865168539325,0.07865168539325842,1.6666666666666667,2.2549019607843137,3.5294117647058822,2.6470588235294117,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2736,7,Division I,andrewcollege,Jeremy Bernard,,,,Wing,,,11,2.2824999999999998,1.9500000000000002,2.45,3,5.090909090909091,3.6363636363636362,1.5454545454545454,1.1818181818181819,0.5454545454545454,0.6363636363636364,1.9090909090909092,5.545454545454546,1.3636363636363635,1.0,1.0,2.6363636363636362,0.425273390036452,0.4180327868852459,71.02993404363266,0.07708251857645679,1.3076923076923077,0.16489091831557584,0.06666666666666667,0.2459016393442623,0.18032786885245902,1.426220515633571,1.426220515633571,4.3883708173340645,2.303894679100384,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2943,8,Division I,andrewcollege,Brice Google,,,,Wing,,,11,2.2249999999999996,2.15,2.0,3,4.2727272727272725,1.8181818181818181,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.0,1.1818181818181819,3.5454545454545454,0.5454545454545454,2.4545454545454546,1.0,0.8181818181818182,0.4618710691823899,0.41025641025641024,79.82336956521739,0.05795731947397433,1.0,0.1358695652173913,0.3333333333333333,0.15384615384615385,0.6923076923076923,0.8859357696566998,0.6644518272425249,2.2148394241417497,1.4396456256921373,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3094,9,Division I,andrewcollege,Chistopher Gaines,,,,Wing,,,13,2.175,2.05,2.0,3,4.538461538461538,1.7692307692307692,0.6153846153846154,1.6153846153846154,0.38461538461538464,0.0,0.5384615384615384,3.3846153846153846,0.9230769230769231,2.0,0.7692307692307693,1.0,0.5321067821067821,0.4659090909090909,77.1847200418629,0.06187870349383156,0.38095238095238093,0.27472527472527475,0.25,0.2727272727272727,0.5909090909090909,1.9169329073482428,0.45641259698767683,2.0994979461433134,0.6389776357827476,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3182,10,Division I,andrewcollege,Timothy Johnson,,,,Wing,,,12,2.15,2.0,2.0,3,3.3333333333333335,2.5833333333333335,0.75,1.25,0.25,0.0,0.8333333333333334,2.4166666666666665,0.08333333333333333,1.3333333333333333,1.0,1.5833333333333333,0.5549389567147613,0.5517241379310345,78.36990595611286,0.044153776947299224,0.6,0.2938871473354232,0.0,0.034482758620689655,0.5517241379310345,1.4634146341463414,0.2926829268292683,3.024390243902439,0.975609756097561,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
