MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
200,1,Division I,angelinacollege,Clarence Payia,,,,Wing,,,11,3.5075000000000003,3.35,3.95,3,9.090909090909092,5.454545454545454,1.0909090909090908,1.2727272727272727,1.3636363636363635,0.36363636363636365,1.3636363636363635,6.818181818181818,2.909090909090909,2.3636363636363638,1.3636363636363635,4.090909090909091,0.5784359093012494,0.5466666666666666,99.56192751891678,0.131686595342983,0.8571428571428571,0.13938669852648347,0.375,0.4266666666666667,0.3466666666666667,2.103681442524418,2.8549962434259957,9.015777610818933,2.2539444027047333,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
486,2,Division I,angelinacollege,Daemon Ely,,,,Wing,,,11,3.1975,3.1499999999999995,3.35,3,7.7272727272727275,6.7272727272727275,0.9090909090909091,1.1818181818181819,0.36363636363636365,0.7272727272727273,1.5454545454545454,4.545454545454546,0.0,2.6363636363636362,2.1818181818181817,4.545454545454546,0.677182919056724,0.66,112.19640971488914,0.09932871827144951,0.7692307692307693,0.1715945089757128,,0.0,0.58,1.953418482344102,1.8031555221637867,11.11945905334335,2.5544703230653645,Elite,5,Poor,1,Very Good,4,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Unknown
615,3,Division I,angelinacollege,Jordan Mathews,,,,Wing,,,10,3.12,3.0999999999999996,3.2,3,7.8,4.2,1.5,0.8,1.1,0.2,0.5,5.9,0.2,3.0,1.4,2.8,0.5401662049861495,0.5,97.25685785536159,0.11465660204723507,1.875,0.0997506234413965,0.5,0.03389830508474576,0.5084745762711864,1.322314049586777,2.1487603305785123,6.9421487603305785,0.8264462809917356,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
902,4,Division I,angelinacollege,Julius Crosby,,,,Wing,,,11,2.955,2.35,3.8,3,8.818181818181818,3.272727272727273,2.909090909090909,2.090909090909091,1.8181818181818181,0.6363636363636364,0.36363636363636365,7.2727272727272725,1.7272727272727273,2.272727272727273,0.7272727272727273,2.5454545454545454,0.532967032967033,0.5125,85.08771929824562,0.14946507237256132,1.391304347826087,0.20175438596491227,0.42105263157894735,0.2375,0.3125,3.4560480841472576,4.05709992486852,5.40946656649136,0.6010518407212622,Average,3,Below Average,2,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Average,3,Unknown
914,5,Division I,angelinacollege,Milton Rice III,,,,Wing,,,11,2.95,3.6,2.0,3,4.454545454545454,2.8181818181818183,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.18181818181818182,0.7272727272727273,3.090909090909091,0.9090909090909091,1.0909090909090908,1.0,1.8181818181818181,0.6237270875763747,0.5735294117647058,108.2155477031802,0.0593664778686805,1.0,0.13250883392226148,0.3,0.29411764705882354,0.35294117647058826,0.9015777610818934,1.2021036814425243,4.658151765589782,1.2021036814425243,Elite,5,Poor,1,Very Good,4,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1308,6,Division I,angelinacollege,Jaden Spears,,,,Wing,,,11,2.7750000000000004,3.2500000000000004,2.0,3,7.181818181818182,1.2727272727272727,1.0,0.8181818181818182,0.09090909090909091,0.2727272727272727,0.9090909090909091,6.0,4.2727272727272725,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.5791788856304985,0.5681818181818182,102.33160621761658,0.10121669813299768,1.2222222222222223,0.11658031088082901,0.40425531914893614,0.7121212121212122,0.07575757575757576,1.35236664162284,0.6010518407212622,2.103681442524418,1.5026296018031555,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1383,7,Division I,angelinacollege,Cedric Jones,,,,Wing,,,11,2.75,3.1999999999999997,2.0,3,3.727272727272727,1.2727272727272727,1.6363636363636365,0.6363636363636364,0.36363636363636365,0.0,0.6363636363636364,2.727272727272727,1.9090909090909092,1.0,0.45454545454545453,0.8181818181818182,0.5884041331802525,0.5666666666666667,97.99235181644359,0.05485630375498216,2.5714285714285716,0.1673040152963671,0.38095238095238093,0.7,0.36666666666666664,1.051840721262209,0.6010518407212622,2.103681442524418,1.051840721262209,Very Good,4,Poor,1,Below Average,2,Elite,5,Average,3,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1885,8,Division I,angelinacollege,Kai'Ree Murray,,,,Wing,,,10,2.55,2.8,2.0,3,8.1,2.6,1.3,1.2,0.6,0.1,1.3,6.1,3.0,3.0,0.5,2.1,0.545822102425876,0.45901639344262296,93.96751740139212,0.12545846189672233,1.0833333333333333,0.13921113689095127,0.3333333333333333,0.4918032786885246,0.4918032786885246,1.9867549668874172,1.1589403973509933,4.304635761589404,2.152317880794702,Average,3,Below Average,2,Poor,1,Below Average,2,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2828,9,Division I,angelinacollege,Ronald Durham,,,,Wing,,,11,2.25,2.2,2.0,3,2.272727272727273,1.4545454545454546,1.0,0.5454545454545454,0.45454545454545453,0.0,0.09090909090909091,1.9090909090909092,0.2727272727272727,1.8181818181818181,0.45454545454545453,1.0,0.41946308724832215,0.4523809523809524,69.83240223463687,0.04693727711348856,1.8333333333333333,0.1675977653631285,0.3333333333333333,0.14285714285714285,0.9523809523809523,0.9015777610818934,0.7513148009015778,2.4042073628850487,0.15026296018031554,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3235,10,Division I,angelinacollege,Marcellus Parks,,,,Wing,,,6,2.15,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.004948045522018802,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Poor,1,Poor,1,Poor,1,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
