MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
569,1,Division I,arizonawesterncollege,Marsai Mason,,,,Wing,,,14,3.1425,2.9000000000000004,3.55,3,13.0,8.428571428571429,0.9285714285714286,1.7857142857142858,0.8571428571428571,1.1428571428571428,2.4285714285714284,9.142857142857142,2.357142857142857,3.9285714285714284,2.7142857142857144,5.714285714285714,0.5978975032851511,0.578125,102.70880361173816,0.14014995729064508,0.52,0.14108352144469527,0.24242424242424243,0.2578125,0.4296875,2.3094688221709005,2.5866050808314087,10.900692840646652,3.140877598152425,Very Good,4,Below Average,2,Average,3,Poor,1,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Unknown
825,2,Division I,arizonawesterncollege,Engel Gutierrez,,,,Wing,,,15,3.0,3.7,2.0,3,13.066666666666666,1.8666666666666667,0.6,0.9333333333333333,0.6666666666666666,0.0,0.8666666666666667,9.333333333333334,4.0,3.7333333333333334,1.0666666666666667,0.8,0.5952380952380952,0.55,109.717868338558,0.13146894318516336,0.6428571428571429,0.07836990595611286,0.3333333333333333,0.42857142857142855,0.4,1.2032660077352815,0.8594757198109153,2.406532015470563,1.1173184357541899,Very Good,4,Below Average,2,Very Good,4,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
994,3,Division I,arizonawesterncollege,Paora Winitana,,,,Wing,,,15,2.915,2.8999999999999995,2.9,3,7.2,8.733333333333333,2.6666666666666665,1.6666666666666667,0.6666666666666666,0.06666666666666667,0.8,4.933333333333334,0.2,2.0,3.8,4.933333333333334,0.6192660550458715,0.6216216216216216,96.2566844919786,0.08257285840447454,1.6,0.22281639928698752,0.0,0.04054054054054054,0.40540540540540543,2.1486892995272884,0.9454232917920069,11.25913192952299,1.0313708637730985,Elite,5,Poor,1,Below Average,2,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Very Good,4,Elite,5,Elite,5,Unknown
1731,4,Division I,arizonawesterncollege,Boubacar Diatta,,,,Wing,,,14,2.6000000000000005,2.9000000000000004,2.0,3,7.857142857142857,2.4285714285714284,0.7142857142857143,1.4285714285714286,0.5,0.2857142857142857,1.6428571428571428,5.642857142857143,1.6428571428571428,1.3571428571428572,0.7857142857142857,1.6428571428571428,0.6295787545787546,0.6139240506329114,102.45901639344262,0.08491252491379038,0.5,0.18628912071535023,0.21739130434782608,0.2911392405063291,0.24050632911392406,1.8475750577367205,1.0161662817551964,3.140877598152425,2.1247113163972284,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1936,5,Division I,arizonawesterncollege,Mario Brunetto,,,,Wing,,,14,2.5250000000000004,2.75,2.0,3,10.214285714285714,3.5714285714285716,1.0,1.1428571428571428,0.14285714285714285,0.0,0.7142857142857143,8.714285714285714,3.7142857142857144,1.8571428571428572,0.7857142857142857,2.7857142857142856,0.5358213429256595,0.4918032786885246,95.69057815845825,0.11695100954766004,0.875,0.10706638115631692,0.3076923076923077,0.4262295081967213,0.21311475409836064,1.4692378328741964,0.18365472910927455,4.591368227731864,0.9182736455463728,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Below Average,2,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1968,6,Division I,arizonawesterncollege,Illiam Fevry,,,,Wing,,,14,2.5075000000000003,2.4000000000000004,2.45,3,7.785714285714286,3.7857142857142856,2.2857142857142856,1.7142857142857142,1.0,0.2857142857142857,1.7857142857142858,5.928571428571429,1.2142857142857142,2.7142857142857144,0.9285714285714286,2.857142857142857,0.5465302847974328,0.5301204819277109,88.10216618170061,0.09785187762978899,1.3333333333333333,0.19398642095053348,0.35294117647058826,0.20481927710843373,0.4578313253012048,2.2170900692840645,1.6628175519630486,4.89607390300231,2.3094688221709005,Average,3,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2247,7,Division I,arizonawesterncollege,Nikola Aleksic,,,,Wing,,,14,2.425,2.55,2.0,3,5.285714285714286,1.0714285714285714,0.7857142857142857,0.5,0.7857142857142857,0.07142857142857142,0.8571428571428571,5.214285714285714,3.5714285714285716,0.8571428571428571,0.35714285714285715,0.7142857142857143,0.47266223811957075,0.4657534246575342,86.77298311444653,0.06766750245977085,1.5714285714285714,0.08208255159474671,0.36,0.684931506849315,0.1643835616438356,0.6511627906976745,1.1162790697674418,1.3953488372093024,1.1162790697674418,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Very Good,4,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2265,8,Division I,arizonawesterncollege,Balla Kouyate,,,,Wing,,,14,2.425,2.2,2.5,3,3.2142857142857144,6.0,0.21428571428571427,1.2142857142857142,0.2857142857142857,1.1428571428571428,2.4285714285714284,2.142857142857143,0.0,1.5,2.2142857142857144,3.7857142857142856,0.573394495412844,0.6333333333333333,80.01422475106685,0.04448100224619571,0.17647058823529413,0.302275960170697,,0.0,0.7,1.5704387990762125,1.8475750577367205,7.759815242494226,3.140877598152425,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
2380,9,Division I,arizonawesterncollege,Matt Anglo,,,,Wing,,,15,2.375,2.45,2.0,3,12.333333333333334,3.3333333333333335,2.533333333333333,2.0,0.4666666666666667,0.06666666666666667,1.0666666666666667,10.533333333333333,3.1333333333333333,3.3333333333333335,0.8666666666666667,2.466666666666667,0.5138888888888888,0.4525316455696203,88.0952380952381,0.15454813070356196,1.2666666666666666,0.14285714285714285,0.14893617021276595,0.2974683544303797,0.31645569620253167,2.578427159432746,0.6875805758487322,4.297378599054577,1.3751611516974644,Below Average,2,Average,3,Poor,1,Average,3,Average,3,Poor,1,Very Good,4,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3057,10,Division I,arizonawesterncollege,Aaron Barton,,,,Wing,,,15,2.175,2.0500000000000003,2.0,3,5.0,1.3333333333333333,2.533333333333333,1.7333333333333334,0.9333333333333333,0.06666666666666667,1.8,4.266666666666667,1.6666666666666667,2.066666666666667,0.0,1.3333333333333333,0.4829984544049459,0.421875,72.36588189888074,0.07627318221960554,1.4615384615384615,0.2508683905827866,0.4,0.390625,0.484375,2.2346368715083798,1.289213579716373,1.7189514396218306,2.3205844434894716,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Elite,5,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3519,11,Division I,arizonawesterncollege,Jared Arias,,,,Wing,,,10,2.05,1.8000000000000003,2.0,3,0.3,0.8,0.6,0.4,0.2,0.0,0.9,0.8,0.3,0.2,0.1,0.7,0.16891891891891891,0.125,23.291925465838506,0.013698630136986302,1.5,0.3105590062111801,0.0,0.375,0.25,0.4993757802746567,0.24968789013732834,0.9987515605493134,1.1235955056179776,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3987,12,Division I,arizonawesterncollege,Easton Sheppeard,,,,Wing,,,6,1.9,1.5,2.0,3,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,2.0,0.6666666666666666,0.0,0.5,0.8333333333333334,0.08333333333333333,0.08333333333333333,14.285714285714286,0.02392344497607655,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.4012036108324975,0.0,1.60481444332999,0.802407221664995,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
