MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
252,1,Division I,bartoncommunitycollege,Pavel Ivanov,,,,Wing,,,14,3.4275,4.1,2.6500000000000004,3,6.714285714285714,3.642857142857143,0.6428571428571429,0.5,0.7142857142857143,0.7857142857142857,2.357142857142857,4.571428571428571,1.9285714285714286,1.6428571428571428,0.9285714285714286,2.7142857142857144,0.6341068537506745,0.6015625,115.87771203155818,0.06779661016949153,1.2857142857142858,0.08629191321499013,0.3333333333333333,0.421875,0.359375,0.6692160611854685,2.0076481835564053,4.875717017208413,3.1548757170172084,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
385,2,Division I,bartoncommunitycollege,Noah Williams,,,,Wing,,,14,3.295,3.1,3.7,3,11.857142857142858,7.5,1.2857142857142858,1.7142857142857142,1.4285714285714286,0.7142857142857143,2.5,8.785714285714286,3.2857142857142856,4.142857142857143,2.7142857142857144,4.785714285714286,0.5588472932938324,0.5040650406504065,96.22072803153257,0.14418480259418984,0.75,0.13911430558775792,0.391304347826087,0.37398373983739835,0.4715447154471545,2.294455066921606,2.8680688336520075,10.038240917782026,3.3460803059273423,Average,3,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Unknown
1432,3,Division I,bartoncommunitycollege,Aris Rodriguez,,,,Wing,,,14,2.7275,2.7,2.6500000000000004,3,17.142857142857142,2.857142857142857,1.0714285714285714,1.7142857142857142,1.5714285714285714,0.35714285714285715,2.357142857142857,14.428571428571429,5.928571428571429,5.571428571428571,0.35714285714285715,2.5,0.5077860528097495,0.4603960396039604,92.19422249539029,0.2175642697155083,0.625,0.09219422249539029,0.24096385542168675,0.41089108910891087,0.38613861386138615,2.294455066921606,2.581261950286807,3.8240917782026767,3.1548757170172084,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2092,4,Division I,bartoncommunitycollege,Sebastian Muchitsch,,,,Wing,,,14,2.4675000000000002,2.25,2.55,3,9.857142857142858,7.285714285714286,1.2857142857142858,1.9285714285714286,0.7857142857142857,0.6428571428571429,3.0714285714285716,7.071428571428571,0.8571428571428571,5.5,2.357142857142857,4.928571428571429,0.5192655027092113,0.40404040404040403,86.31473605203904,0.13362083375121184,0.6666666666666666,0.16887665749311984,0.16666666666666666,0.12121212121212122,0.7777777777777778,2.581261950286807,1.9120458891013383,9.751434034416826,4.1108986615678775,Below Average,2,Below Average,2,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Unknown
2388,5,Division I,bartoncommunitycollege,Lazare Mbala,,,,Wing,,,13,2.375,2.45,2.0,3,4.6923076923076925,1.0,0.38461538461538464,1.0,0.38461538461538464,0.0,1.3846153846153846,3.769230769230769,2.6923076923076925,0.6923076923076923,0.15384615384615385,0.8461538461538461,0.5759063444108761,0.5408163265306123,92.48029108550635,0.05910606114914515,0.38461538461538464,0.197089144936325,0.37142857142857144,0.7142857142857143,0.1836734693877551,1.3265306122448979,0.5102040816326531,1.3265306122448979,1.836734693877551,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2593,6,Division I,bartoncommunitycollege,Jayden Ramirez,,,,Wing,,,14,2.325,2.35,2.0,3,10.714285714285714,4.357142857142857,2.357142857142857,2.4285714285714284,0.35714285714285715,0.0,2.142857142857143,7.142857142857143,1.8571428571428572,6.0,0.7857142857142857,3.5714285714285716,0.5476051401869159,0.44,87.73982218062704,0.14288102162939192,0.9705882352941176,0.19887693027608797,0.3076923076923077,0.26,0.84,3.2504780114722753,0.4780114722753346,5.831739961759082,2.8680688336520075,Average,3,Below Average,2,Poor,1,Below Average,2,Below Average,2,Below Average,2,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2805,7,Division I,bartoncommunitycollege,Mikey Williams,,,,Wing,,,14,2.25,2.2,2.0,3,6.071428571428571,2.142857142857143,0.7857142857142857,1.2857142857142858,0.42857142857142855,0.0,1.7142857142857142,4.714285714285714,1.7857142857142858,1.9285714285714286,0.6428571428571429,1.5,0.5457113507960966,0.5151515151515151,88.65248226950355,0.0801323839133487,0.6111111111111112,0.18773466833541927,0.32,0.3787878787878788,0.4090909090909091,1.7208413001912046,0.5736137667304015,2.8680688336520075,2.294455066921606,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3166,8,Division I,bartoncommunitycollege,Jon Byrd,,,,Wing,,,14,2.15,2.0,2.0,3,3.2142857142857144,2.5714285714285716,3.142857142857143,1.2857142857142858,0.8571428571428571,0.07142857142857142,1.0714285714285714,2.642857142857143,0.2857142857142857,1.7142857142857142,0.8571428571428571,1.7142857142857142,0.4730866274179983,0.40540540540540543,68.63941427699817,0.05479223080266105,2.4444444444444446,0.2745576571079927,0.0,0.10810810810810811,0.6486486486486487,1.7208413001912046,1.24282982791587,3.4416826003824093,1.4340344168260037,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3167,9,Division I,bartoncommunitycollege,Majok Chuol,,,,Wing,,,14,2.15,2.0,2.0,3,1.5,3.5,0.2857142857142857,0.35714285714285715,0.14285714285714285,0.5714285714285714,1.4285714285714286,1.4285714285714286,0.0,1.0714285714285714,1.0714285714285714,2.4285714285714284,0.39473684210526316,0.4,66.45569620253164,0.026409922107444927,0.8,0.1582278481012658,,0.0,0.75,0.4780114722753346,0.9560229445506692,4.684512428298279,1.9120458891013383,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3271,10,Division I,bartoncommunitycollege,Blake Rucker,,,,Wing,,,14,2.125,1.9500000000000002,2.0,3,3.0,1.2857142857142858,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.2857142857142857,1.1428571428571428,3.7857142857142856,3.357142857142857,0.6428571428571429,0.35714285714285715,0.9285714285714286,0.36867977528089885,0.33962264150943394,66.70902160101652,0.05261926252799786,0.5,0.09529860228716645,0.2127659574468085,0.8867924528301887,0.16981132075471697,0.5736137667304015,0.5736137667304015,1.7208413001912046,1.5296367112810707,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3884,11,Division I,bartoncommunitycollege,Maddox Spray,,,,Wing,,,6,1.95,1.6,2.0,3,0.5,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.0,0.5,0.398936170212766,0.0,52.083333333333336,0.010805132437908007,0.5,0.3472222222222222,0.0,0.5,2.0,0.437636761487965,0.0,0.6564551422319475,0.437636761487965,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
