MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
704,1,Division I,bishopstatecommunitycollege,Maylon Martes,,,,Wing,,,14,3.0675,3.1,3.05,3,12.071428571428571,7.857142857142857,1.2857142857142858,1.5,1.0,0.21428571428571427,1.4285714285714286,8.214285714285714,1.2857142857142858,4.857142857142857,3.142857142857143,4.714285714285714,0.5830803201766491,0.5,101.8563162970106,0.13386258753670896,0.8571428571428571,0.12656702025072322,0.5,0.1565217391304348,0.591304347826087,1.9186843307446322,1.5532206486980356,10.050251256281408,1.8273184102329831,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
765,2,Division I,bishopstatecommunitycollege,Jeremiah Sem,,,,Wing,,,14,3.04,3.1500000000000004,2.9000000000000004,3,16.357142857142858,4.5,1.3571428571428572,1.5,1.7142857142857142,0.14285714285714285,0.9285714285714286,12.785714285714286,3.7142857142857144,4.285714285714286,1.3571428571428572,3.142857142857143,0.5574488802336903,0.5167597765363129,101.14840989399293,0.18265724336011877,0.9047619047619048,0.09275618374558303,0.28846153846153844,0.2905027932960894,0.33519553072625696,1.9186843307446322,2.375513933302878,5.756052992233896,1.187756966651439,Average,3,Average,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Very Good,4,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1459,3,Division I,bishopstatecommunitycollege,Vophcy Prophete,,,,Wing,,,14,2.7074999999999996,3.15,1.95,3,14.714285714285714,4.0,1.5,2.0714285714285716,0.8571428571428571,0.2857142857142857,3.0,11.357142857142858,5.214285714285714,4.5,0.7142857142857143,3.2857142857142856,0.5516281062553556,0.48427672955974843,95.49415909512331,0.17404072675638171,0.7241379310344828,0.1344335249397367,0.3561643835616438,0.4591194968553459,0.39622641509433965,2.6496116948378257,1.4618547281863865,5.116491548652353,3.8373686614892644,Average,3,Average,3,Below Average,2,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Average,3,Very Good,4,Unknown
1587,4,Division I,bishopstatecommunitycollege,Patrick Olajuwon,,,,Wing,,,10,2.6574999999999998,3.05,1.95,3,5.7,4.3,0.1,0.6,0.6,0.6,2.9,4.1,0.1,1.5,0.9,3.4,0.5987394957983193,0.5853658536585366,106.34328358208955,0.06183949420831603,0.16666666666666666,0.11194029850746269,0.0,0.024390243902439025,0.36585365853658536,0.7822685788787483,1.5645371577574967,5.60625814863103,3.7809647979139505,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Average,3,Elite,5,Unknown
1851,5,Division I,bishopstatecommunitycollege,Tramello Carter,,,,Wing,,,14,2.5575,2.5,2.45,3,8.0,3.0,2.142857142857143,2.0714285714285716,1.2142857142857142,0.0,1.0,6.142857142857143,2.857142857142857,1.5,0.42857142857142855,2.5714285714285716,0.5879882402351954,0.563953488372093,90.1481004507405,0.10023558266369767,1.0344827586206897,0.23341918866709596,0.475,0.46511627906976744,0.2441860465116279,2.6496116948378257,1.5532206486980356,3.8373686614892644,1.2791228871630882,Very Good,4,Poor,1,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2269,6,Division I,bishopstatecommunitycollege,Nathadeus Fambro,,,,Wing,,,14,2.42,2.4000000000000004,2.2,3,4.214285714285714,4.642857142857143,0.6428571428571429,0.7142857142857143,0.35714285714285715,0.7857142857142857,2.7142857142857144,3.142857142857143,0.0,1.7857142857142858,2.0714285714285716,2.5714285714285716,0.5363636363636364,0.45454545454545453,90.76923076923077,0.05244134637105883,0.9,0.15384615384615385,,0.0,0.5681818181818182,0.9136592051164916,1.4618547281863865,5.938784833257195,3.4719049794426677,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
2964,7,Division I,bishopstatecommunitycollege,Jacob Feagin,,,,Wing,,,14,2.2025,1.6500000000000001,2.6500000000000004,3,3.2142857142857144,2.4285714285714284,0.5,1.1428571428571428,0.6428571428571429,1.2857142857142858,2.357142857142857,2.857142857142857,1.2857142857142858,1.5,0.42857142857142855,2.0,0.45694557270511776,0.4125,68.976088289393,0.05263497595765967,0.4375,0.24524831391784177,0.3888888888888889,0.45,0.525,1.4618547281863865,2.466879853814527,3.106441297396071,3.0150753768844223,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
3134,8,Division I,bishopstatecommunitycollege,Tahsheim Gary,,,,Wing,,,9,2.1574999999999998,2.05,1.95,3,8.333333333333334,1.8888888888888888,2.6666666666666665,2.888888888888889,1.3333333333333333,0.1111111111111111,2.888888888888889,6.444444444444445,1.2222222222222223,3.4444444444444446,0.7777777777777778,1.1111111111111112,0.5234505862646566,0.4051724137931034,76.81278164686604,0.12605215595145883,0.9230769230769231,0.2662843097091356,0.2727272727272727,0.1896551724137931,0.5344827586206896,3.776325344952796,1.888162672476398,2.4691358024691357,3.776325344952796,Below Average,2,Below Average,2,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Average,3,Average,3,Unknown
3640,9,Division I,bishopstatecommunitycollege,Zion Mitchell,,,,Wing,,,11,2.025,1.75,2.0,3,6.090909090909091,2.1818181818181817,1.6363636363636365,1.5454545454545454,0.6363636363636364,0.0,1.0909090909090908,5.181818181818182,2.727272727272727,3.0,0.0,2.1818181818181817,0.4684004474272931,0.40350877192982454,75.68910980569363,0.0908904222112699,1.0588235294117647,0.1920469950293719,0.26666666666666666,0.5263157894736842,0.5789473684210527,1.9871420222092344,0.8182349503214494,2.805376972530684,1.402688486265342,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3795,10,Division I,bishopstatecommunitycollege,Doryen Agee,,,,Wing,,,8,1.9575,1.3,2.45,3,1.625,2.75,0.0,1.25,1.0,0.125,1.625,2.75,0.125,0.25,1.25,1.5,0.2840909090909091,0.2727272727272727,39.53771289537713,0.048163121814027064,0.0,0.30413625304136255,0.0,0.045454545454545456,0.09090909090909091,1.6792611251049538,1.5113350125944585,3.6943744752308985,2.1830394626364398,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
