MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
323,1,Division I,bossierparishcommunitycollege,Drew Cooper,,,,Wing,,,12,3.3550000000000004,4.2,2.3,3,15.5,5.75,1.0,0.5,0.25,0.4166666666666667,0.9166666666666666,12.083333333333334,7.5,2.8333333333333335,1.0833333333333333,4.666666666666667,0.5813953488372092,0.5482758620689655,112.07519884309471,0.15944201060640997,2.0,0.036153289949385395,0.36666666666666664,0.6206896551724138,0.23448275862068965,0.64,0.8533333333333334,7.36,1.1733333333333333,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
324,2,Division I,bossierparishcommunitycollege,Zequan Lewis,,,,Wing,,,12,3.3550000000000004,3.1500000000000004,3.8,3,12.083333333333334,5.083333333333333,3.0833333333333335,1.4166666666666667,2.5,0.0,2.0833333333333335,10.833333333333334,3.1666666666666665,2.4166666666666665,1.8333333333333333,3.25,0.5078453348276829,0.47307692307692306,90.76114171256886,0.1534855122588579,2.176470588235294,0.10640961442163245,0.34210526315789475,0.2923076923076923,0.2230769230769231,1.8133333333333332,3.2,6.506666666666667,2.6666666666666665,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Below Average,2,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
617,3,Division I,bossierparishcommunitycollege,Tony Montgomery,,,,Wing,,,12,3.1174999999999997,2.85,3.55,3,19.75,4.25,4.833333333333333,4.416666666666667,2.8333333333333335,0.5833333333333334,2.5833333333333335,15.166666666666666,5.416666666666667,6.916666666666667,0.9166666666666666,3.3333333333333335,0.5422844590884129,0.47527472527472525,87.28638774307602,0.26085619860118364,1.0943396226415094,0.19519740718915735,0.3230769230769231,0.35714285714285715,0.45604395604395603,5.653333333333333,4.373333333333333,5.44,3.3066666666666666,Average,3,Elite,5,Poor,1,Below Average,2,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Very Good,4,Poor,1,Unknown
909,4,Division I,bossierparishcommunitycollege,Cooper Childers,,,,Wing,,,7,2.95,3.6000000000000005,2.0,3,1.8571428571428572,0.8571428571428571,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,1.0,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.8248730964467005,0.7857142857142857,146.39639639639643,0.01438010104935872,0.0,0.11261261261261263,0.5,0.8571428571428571,0.2857142857142857,0.18066847335140018,0.18066847335140018,1.084010840108401,0.0,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1081,5,Division I,bossierparishcommunitycollege,Antonis Kalavros,,,,Wing,,,12,2.875,3.4499999999999997,2.0,3,2.0833333333333335,0.4166666666666667,0.5,0.3333333333333333,0.5,0.08333333333333333,0.75,1.4166666666666667,1.0833333333333333,0.5,0.16666666666666666,0.25,0.6364562118126272,0.5882352941176471,105.75296108291032,0.022711551763892095,1.5,0.1692047377326565,0.46153846153846156,0.7647058823529411,0.35294117647058826,0.4266666666666667,0.7466666666666667,0.5333333333333333,0.96,Elite,5,Poor,1,Average,3,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1132,6,Division I,bossierparishcommunitycollege,Mazin Lumori,,,,Wing,,,12,2.8499999999999996,3.4,2.0,3,7.666666666666667,3.0833333333333335,0.5,0.6666666666666666,0.4166666666666667,0.25,1.5833333333333333,6.25,4.0,0.0,0.6666666666666666,2.4166666666666665,0.6133333333333333,0.6133333333333333,110.8433734939759,0.07974021981400355,0.75,0.0963855421686747,0.3333333333333333,0.64,0.0,0.8533333333333334,0.8533333333333334,3.9466666666666668,2.026666666666667,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1632,7,Division I,bossierparishcommunitycollege,Dustin Welch,,,,Wing,,,12,2.6449999999999996,2.15,3.2,3,6.75,5.5,0.5833333333333334,0.9166666666666666,1.25,0.5833333333333334,2.3333333333333335,5.916666666666667,2.6666666666666665,1.8333333333333333,1.3333333333333333,4.166666666666667,0.5019831432821021,0.4507042253521127,88.35078534031413,0.08807931750057645,0.6363636363636364,0.11998254799301919,0.25,0.4507042253521127,0.30985915492957744,1.1733333333333333,2.3466666666666667,7.04,2.986666666666667,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
1666,8,Division I,bossierparishcommunitycollege,Yoav Botzer,,,,Wing,,,9,2.6325000000000003,2.65,2.45,3,6.333333333333333,4.0,2.7777777777777777,1.2222222222222223,1.3333333333333333,0.0,1.4444444444444444,5.111111111111111,2.111111111111111,1.5555555555555556,1.0,3.0,0.5463957055214724,0.5543478260869565,90.24699176694111,0.07943055485688413,2.272727272727273,0.1741608613046232,0.2631578947368421,0.41304347826086957,0.30434782608695654,1.5416958654519972,1.6818500350385424,5.045550105115627,1.8220042046250875,Average,3,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2617,9,Division I,bossierparishcommunitycollege,Jaydon Norbert,,,,Wing,,,8,2.325,2.35,2.0,3,3.5,1.25,0.5,0.875,0.25,0.5,0.5,2.5,1.125,0.25,0.375,0.875,0.6704980842911877,0.65,100.43041606886658,0.03903231225849807,0.5714285714285714,0.25107604017216645,0.4444444444444444,0.45,0.1,1.08359133126935,0.9287925696594427,1.5479876160990713,0.6191950464396285,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2986,10,Division I,bossierparishcommunitycollege,Stafford Bailey,,,,Wing,,,12,2.2,2.1,2.0,3,2.0833333333333335,1.9166666666666667,0.25,0.3333333333333333,0.0,0.25,1.0,1.75,0.9166666666666666,0.9166666666666666,0.75,1.1666666666666667,0.48374613003095973,0.5,83.78016085790885,0.028668050111444167,0.75,0.13404825737265416,0.2727272727272727,0.5238095238095238,0.5238095238095238,0.4266666666666667,0.32,2.453333333333333,1.28,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
