MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
120,1,Division I,butlercommunitycollegeks,Tristan Hankins,,,,Wing,,,18,3.71,4.35,3.1,3,18.444444444444443,4.722222222222222,3.888888888888889,1.8888888888888888,2.2777777777777777,0.2222222222222222,2.9444444444444446,12.555555555555555,6.222222222222222,4.388888888888889,1.6666666666666667,3.0555555555555554,0.6366007056296978,0.6061946902654868,112.63400732799566,0.14821891908200413,2.0588235294117645,0.11534807979373049,0.4107142857142857,0.49557522123893805,0.3495575221238938,1.9778941244909831,2.6178010471204187,4.944735311227458,3.0831878999418265,Elite,5,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
247,2,Division I,butlercommunitycollegeks,Xavier Brown,,,,Wing,,,13,3.4825,4.3500000000000005,2.45,3,14.846153846153847,3.3076923076923075,3.4615384615384617,1.6923076923076923,1.8461538461538463,0.0,2.230769230769231,9.923076923076923,5.0,2.923076923076923,1.7692307692307692,1.5384615384615385,0.6622289321987374,0.6201550387596899,115.07274028142142,0.11738521836506159,2.0454545454545454,0.13117099928452183,0.4307692307692308,0.5038759689922481,0.29457364341085274,1.791530944625407,1.9543973941368078,3.501628664495114,2.3615635179153096,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
802,3,Division I,butlercommunitycollegeks,Odie Williams,,,,Wing,,,14,3.0700000000000003,3.7,2.2,3,8.357142857142858,4.142857142857143,1.6428571428571428,1.0,1.4285714285714286,0.14285714285714285,3.0,6.357142857142857,3.0,1.2142857142857142,1.8571428571428572,2.2857142857142856,0.6063432835820896,0.5674157303370787,105.9015206372194,0.07079691384922975,1.6428571428571428,0.12671976828385229,0.40476190476190477,0.47191011235955055,0.19101123595505617,1.0455563853622105,1.6430171769977595,4.33159073935773,3.136669156086632,Elite,5,Poor,1,Average,3,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
991,4,Division I,butlercommunitycollegeks,AJ Pierre-Jerome,,,,Wing,,,17,2.9750000000000005,3.6500000000000004,2.0,3,7.0588235294117645,3.6470588235294117,1.0,0.7647058823529411,0.47058823529411764,0.6470588235294118,2.823529411764706,4.0588235294117645,0.5882352941176471,3.8823529411764706,1.6470588235294117,2.0,0.6119951040391677,0.5362318840579711,108.06916426512969,0.05979665690160261,1.3076923076923077,0.1170749279538905,0.4,0.14492753623188406,0.9565217391304348,0.8084577114427861,1.181592039800995,3.855721393034826,2.985074626865672,Elite,5,Poor,1,Very Good,4,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1588,5,Division I,butlercommunitycollegeks,Tim Walker II,,,,Wing,,,14,2.7375,3.3499999999999996,1.75,3,9.071428571428571,3.0714285714285716,2.0714285714285716,1.6428571428571428,1.0,0.2857142857142857,3.0,6.357142857142857,2.0,1.8571428571428572,1.2142857142857142,1.8571428571428572,0.6322182397451215,0.6348314606741573,102.88399222294233,0.08027260430756425,1.2608695652173914,0.1863253402462735,0.5357142857142857,0.3146067415730337,0.29213483146067415,1.733232856066315,1.356443104747551,3.2403918613413714,3.165033911077619,Elite,5,Poor,1,Average,3,Average,3,Below Average,2,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
1814,6,Division I,butlercommunitycollegeks,Devin Kerr,,,,Wing,,,15,2.6500000000000004,2.6500000000000004,2.5,3,12.0,7.4,2.3333333333333335,1.8,0.6666666666666666,0.7333333333333333,2.8666666666666667,9.333333333333334,1.6666666666666667,2.933333333333333,2.8,4.6,0.5647590361445782,0.5535714285714286,96.58725048293624,0.11207871250210494,1.2962962962962963,0.14488087572440436,0.28,0.17857142857142858,0.3142857142857143,1.8967334035827186,1.4752370916754478,7.79768177028451,3.020723568668774,Average,3,Poor,1,Below Average,2,Average,3,Average,3,Below Average,2,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
1869,7,Division I,butlercommunitycollegeks,Jaise Combs,,,,Wing,,,18,2.625,2.95,2.0,3,9.333333333333334,3.388888888888889,1.8333333333333333,1.1666666666666667,1.1666666666666667,0.16666666666666666,2.0555555555555554,8.055555555555555,6.166666666666667,0.8888888888888888,1.3888888888888888,2.0,0.5524861878453039,0.5482758620689655,97.0873786407767,0.08701249069734698,1.5714285714285714,0.12135922330097088,0.35135135135135137,0.7655172413793103,0.1103448275862069,1.2216404886561956,1.3961605584642234,3.5485747527632343,2.152414194299011,Average,3,Poor,1,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1946,8,Division I,butlercommunitycollegeks,Aiven Riley,,,,Wing,,,15,2.5999999999999996,2.9,2.0,3,10.066666666666666,2.6,0.8666666666666667,1.0,1.2,0.0,0.8666666666666667,8.533333333333333,6.8,1.0,0.4666666666666667,2.1333333333333333,0.5609212481426449,0.54296875,100.93582887700535,0.09090025277075636,0.8666666666666667,0.10026737967914438,0.3627450980392157,0.796875,0.1171875,1.053001053001053,1.2636012636012637,2.737802737802738,0.9126009126009126,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2230,9,Division I,butlercommunitycollegeks,Josiah Kirkwood,,,,Wing,,,18,2.5075000000000003,2.4000000000000004,2.45,3,10.944444444444445,2.5555555555555554,3.7222222222222223,2.2222222222222223,1.5555555555555556,0.0,2.8333333333333335,8.722222222222221,3.0555555555555554,3.5,1.2222222222222223,1.3333333333333333,0.5332394976180165,0.4968152866242038,87.66464934140264,0.11299957760926846,1.675,0.17799928800284798,0.2545454545454545,0.3503184713375796,0.4012738853503185,2.326934264107039,1.6288539848749273,2.675974403723095,2.966841186736475,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Poor,1,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2725,10,Division I,butlercommunitycollegeks,Dominic Pleasants,,,,Wing,,,8,2.375,2.45,2.0,3,0.875,0.625,0.25,0.125,0.125,0.0,1.125,0.75,0.375,0.5,0.25,0.375,0.45103092783505155,0.25,79.90867579908677,0.009908605556058275,2.0,0.11415525114155252,0.3333333333333333,0.5,0.6666666666666666,0.13175230566534915,0.13175230566534915,0.6587615283267457,1.1857707509881423,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2833,11,Division I,butlercommunitycollegeks,JD Thomas II,,,,Wing,,,10,2.3499999999999996,2.3999999999999995,2.0,3,0.9,0.7,0.2,0.0,0.0,0.0,0.6,1.2,0.6,0.2,0.3,0.4,0.3493788819875776,0.375,69.87577639751552,0.011560693641618497,99.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.7352941176470589,0.6302521008403361,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3703,12,Division I,butlercommunitycollegeks,Gora Niang,,,,Wing,,,7,2.1125,2.1,1.75,3,6.142857142857143,4.0,0.7142857142857143,1.1428571428571428,0.5714285714285714,0.14285714285714285,3.0,5.285714285714286,0.5714285714285714,2.142857142857143,2.2857142857142856,1.7142857142857142,0.49311926605504586,0.4594594594594595,83.33333333333333,0.06678747087755631,0.625,0.15503875968992248,0.0,0.10810810810810811,0.40540540540540543,1.2066365007541477,0.7541478129713424,4.223227752639517,3.167420814479638,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
