MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
79,1,Division I,caldwellcommunitycollegetechnicali,Ezra Jamison,,,,Wing,,,13,3.7650000000000006,4.6000000000000005,2.9000000000000004,3,15.615384615384615,3.3076923076923075,1.0769230769230769,0.46153846153846156,1.4615384615384615,0.15384615384615385,1.7692307692307692,9.615384615384615,8.384615384615385,2.3076923076923075,0.3076923076923077,3.0,0.7344428364688858,0.716,140.77669902912623,0.12210405094160681,2.3333333333333335,0.04160887656033287,0.48623853211009177,0.872,0.24,0.5911330049261084,2.0689655172413794,4.236453201970443,2.2660098522167487,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
126,2,Division I,caldwellcommunitycollegetechnicali,Jared Taylor,,,,Wing,,,12,3.6624999999999996,3.1,4.75,3,19.5,10.833333333333334,0.9166666666666666,2.9166666666666665,0.4166666666666667,2.1666666666666665,2.5833333333333335,13.166666666666666,1.9166666666666667,7.916666666666667,3.6666666666666665,7.166666666666667,0.5855855855855856,0.5506329113924051,99.65928449744463,0.21317547937245787,0.3142857142857143,0.14906303236797275,0.17391304347826086,0.14556962025316456,0.6012658227848101,3.6572622779519333,3.239289446185998,13.584117032392895,3.239289446185998,Very Good,4,Very Good,4,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Average,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Unknown
338,3,Division I,caldwellcommunitycollegetechnicali,Jaylen Golston,,,,Wing,,,12,3.3499999999999996,3.35,3.5,3,16.166666666666668,7.833333333333333,1.25,2.1666666666666665,1.25,0.5833333333333334,2.1666666666666665,10.416666666666666,1.6666666666666667,6.333333333333333,2.6666666666666665,5.166666666666667,0.6122191365816713,0.584,105.18325742788983,0.168950608236846,0.5769230769230769,0.14096725222294512,0.2,0.16,0.608,2.770378263185935,2.344166222695791,10.01598295151838,2.770378263185935,Elite,5,Average,3,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Very Good,4,Unknown
728,4,Division I,caldwellcommunitycollegetechnicali,DJ Boyce,,,,Wing,,,12,3.05,3.8000000000000003,2.0,3,10.166666666666666,2.25,0.5833333333333334,0.5833333333333334,0.75,0.0,0.4166666666666667,7.833333333333333,5.416666666666667,1.8333333333333333,0.4166666666666667,1.8333333333333333,0.5883487654320987,0.5585106382978723,110.22768341163714,0.10138502125164886,1.0,0.06324539212143115,0.38461538461538464,0.6914893617021277,0.23404255319148937,0.7458710708577517,0.9589770911028237,2.876931273308471,0.5327650506126798,Very Good,4,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
966,5,Division I,caldwellcommunitycollegetechnicali,Isaiah Green,,,,Wing,,,12,2.9299999999999997,2.3,3.8,3,7.166666666666667,3.0833333333333335,3.0,1.75,2.4166666666666665,0.5,2.3333333333333335,6.0,3.8333333333333335,2.4166666666666665,0.5833333333333334,2.5,0.507314771118452,0.4791666666666667,81.3161875945537,0.09601975595583963,1.7142857142857142,0.1985627836611195,0.2826086956521739,0.6388888888888888,0.4027777777777778,2.19435736677116,3.6572622779519333,3.8662486938349008,2.9258098223615465,Below Average,2,Poor,1,Poor,1,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1081,6,Division I,caldwellcommunitycollegetechnicali,Andres Vergara,,,,Wing,,,13,2.875,3.4499999999999997,2.0,3,4.0,1.8461538461538463,1.0,0.5384615384615384,0.46153846153846156,0.23076923076923078,1.1538461538461537,2.5384615384615383,1.7692307692307692,1.4615384615384615,0.3076923076923077,1.5384615384615385,0.6286266924564797,0.5909090909090909,107.52688172043011,0.04094973580815608,1.8571428571428572,0.1447477253928867,0.4782608695652174,0.696969696969697,0.5757575757575758,0.6896551724137931,0.8866995073891626,2.3645320197044337,1.477832512315271,Elite,5,Poor,1,Average,3,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1401,7,Division I,caldwellcommunitycollegetechnicali,Maxwell Coles,,,,Wing,,,12,2.745,3.0500000000000003,2.2,3,13.166666666666666,4.583333333333333,5.416666666666667,2.75,1.5,0.08333333333333333,2.5833333333333335,8.75,1.5833333333333333,4.583333333333333,1.75,2.8333333333333335,0.6114551083591332,0.5571428571428572,97.41060419235512,0.14726176641487507,1.9696969696969697,0.2034525277435265,0.3684210526315789,0.18095238095238095,0.5238095238095238,3.4482758620689653,1.9853709508881923,5.747126436781609,3.239289446185998,Elite,5,Below Average,2,Below Average,2,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Very Good,4,Average,3,Unknown
1548,8,Division I,caldwellcommunitycollegetechnicali,Zeke Young,,,,Wing,,,13,2.675,3.0500000000000003,2.0,3,2.1538461538461537,2.230769230769231,0.23076923076923078,0.23076923076923078,0.0,0.38461538461538464,1.3076923076923077,1.6923076923076923,0.07692307692307693,0.38461538461538464,0.9230769230769231,1.3076923076923077,0.578512396694215,0.5909090909090909,102.94117647058823,0.02303210947026148,1.0,0.11029411764705882,0.0,0.045454545454545456,0.22727272727272727,0.2955665024630542,0.49261083743842365,2.857142857142857,1.6748768472906403,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2157,9,Division I,caldwellcommunitycollegetechnicali,Chris Walker,,,,Wing,,,13,2.4499999999999997,2.5999999999999996,2.0,3,2.076923076923077,1.8461538461538463,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.3076923076923077,0.8461538461538461,1.3076923076923077,0.38461538461538464,0.7692307692307693,0.5384615384615384,1.3076923076923077,0.6308411214953271,0.6176470588235294,98.54014598540147,0.023201463216366344,0.16666666666666666,0.21897810218978103,0.6,0.29411764705882354,0.5882352941176471,0.5911330049261084,0.49261083743842365,2.3645320197044337,1.083743842364532,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2249,10,Division I,caldwellcommunitycollegetechnicali,Aidan Gatewood,,,,Wing,,,13,2.425,2.55,2.0,3,2.923076923076923,1.4615384615384615,1.3076923076923077,0.7692307692307693,0.3076923076923077,0.0,1.0,1.9230769230769231,0.9230769230769231,1.2307692307692308,0.6153846153846154,0.8461538461538461,0.5930087390761548,0.52,90.39010466222645,0.03559815743124238,1.7,0.23786869647954328,0.3333333333333333,0.48,0.64,0.9852216748768473,0.39408866995073893,1.8719211822660098,1.2807881773399015,Very Good,4,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
