MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
282,1,Division I,caspercollege,Channing Cade,,,,Wing,,,15,3.3975,3.2000000000000006,3.85,3,13.133333333333333,5.8,2.6,1.8,1.4,2.2,2.4,9.4,1.2666666666666666,4.533333333333333,1.4,4.4,0.5762930025743037,0.549645390070922,99.53516572352464,0.14850385665836313,1.4444444444444444,0.13641875505254647,0.15789473684210525,0.1347517730496454,0.48226950354609927,2.2717711400925538,4.5435422801851075,7.320151451409339,3.0290281867900717,Very Good,4,Below Average,2,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Below Average,2,Very Good,4,Elite,5,Unknown
396,2,Division I,caspercollege,Aaron Sievert,,,,Wing,,,15,3.2825000000000006,3.9500000000000006,2.45,3,16.866666666666667,2.8,4.666666666666667,2.066666666666667,1.2,0.06666666666666667,1.6,12.866666666666667,7.866666666666666,1.8,0.8,2.0,0.6174345958609918,0.6036269430051814,107.2579277598779,0.17698610402473067,2.2580645161290325,0.13142275733423775,0.4322033898305085,0.6113989637305699,0.13989637305699482,2.6083298275136726,1.5986537652503154,3.53386621792175,2.0193521245267143,Elite,5,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
410,3,Division I,caspercollege,Nasir Washington,,,,Wing,,,15,3.2725,3.3,3.35,3,18.333333333333332,3.6666666666666665,1.7333333333333334,1.4666666666666666,1.5333333333333334,0.6,1.2,15.333333333333334,7.0,3.066666666666667,0.8666666666666667,2.8,0.5494725063938619,0.5260869565217391,101.0138113429327,0.20426783516912275,1.1818181818181819,0.08081104907434616,0.3238095238095238,0.45652173913043476,0.2,1.851072780816155,2.6924694993689524,4.627681952040387,1.5145140933950358,Average,3,Very Good,4,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1715,4,Division I,caspercollege,Buai Luak,,,,Wing,,,15,2.6125,2.75,2.25,3,10.666666666666666,6.733333333333333,1.1333333333333333,2.0,0.6666666666666666,0.8666666666666667,3.2666666666666666,7.2,0.0,3.2666666666666666,2.533333333333333,4.2,0.6174745291756715,0.5925925925925926,100.27575833542241,0.11972148023650171,0.5666666666666667,0.18801704687891702,,0.0,0.4537037037037037,2.5241901556583928,1.9352124526714345,8.498106857383256,4.122843920908709,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Average,3,Elite,5,Unknown
1827,5,Division I,caspercollege,Zaire Richardson,,,,Wing,,,15,2.5650000000000004,2.2,2.9000000000000004,3,12.666666666666666,4.6,4.2,3.2666666666666666,1.4666666666666666,0.4,1.9333333333333333,11.066666666666666,2.6,3.3333333333333335,1.4,3.2,0.5053191489361702,0.45481927710843373,80.16877637130801,0.17782646538011349,1.2857142857142858,0.20675105485232068,0.28205128205128205,0.23493975903614459,0.30120481927710846,4.122843920908709,2.3559108119478336,5.8056373580143035,2.440050483803113,Below Average,2,Average,3,Poor,1,Average,3,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Average,3,Unknown
3130,6,Division I,caspercollege,Parker Davis,,,,Wing,,,6,2.1674999999999995,2.0,2.05,3,8.666666666666666,6.666666666666667,2.0,2.8333333333333335,0.8333333333333334,0.16666666666666666,2.5,6.833333333333333,2.6666666666666665,2.0,2.0,4.666666666666667,0.5617977528089888,0.5609756097560976,82.17446270543616,0.11759458856760574,0.7058823529411765,0.2686472819216182,0.375,0.3902439024390244,0.2926829268292683,3.56020942408377,1.256544502617801,8.37696335078534,3.141361256544503,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Below Average,2,Very Good,4,Average,3,Unknown
3535,7,Division I,caspercollege,Justin Bandy,,,,Wing,,,14,2.05,1.8,2.0,3,2.7857142857142856,3.5714285714285716,0.42857142857142855,0.7857142857142857,0.07142857142857142,0.35714285714285715,1.3571428571428572,2.7142857142857144,0.8571428571428571,1.3571428571428572,0.9285714285714286,2.642857142857143,0.42062122519413286,0.39473684210526316,67.99163179916319,0.04591885747222134,0.5454545454545454,0.19177126917712692,0.16666666666666666,0.3157894736842105,0.5,0.9892086330935251,0.539568345323741,4.496402877697841,1.70863309352518,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3733,8,Division I,caspercollege,Zachariah Linson,,,,Wing,,,15,1.9749999999999999,1.6500000000000001,2.0,3,1.0666666666666667,1.5333333333333334,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.2,1.1333333333333333,1.9333333333333333,1.5333333333333334,0.06666666666666667,0.3333333333333333,1.2,0.2717391304347826,0.27586206896551724,46.45760743321719,0.025841111678021552,0.8,0.14518002322880372,0.17391304347826086,0.7931034482758621,0.034482758620689655,0.4206983592763988,0.5889777029869584,1.9352124526714345,1.430374421539756,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3967,9,Division I,caspercollege,Randy Clay Jr,,,,Wing,,,10,1.9,1.5,2.0,3,1.2,1.5,0.1,0.4,0.4,0.1,0.7,1.6,0.9,0.2,0.5,1.0,0.35545023696682465,0.3125,57.4712643678161,0.023063668095259133,0.25,0.19157088122605365,0.2222222222222222,0.5625,0.125,0.4990642545227698,0.6238303181534622,1.8714909544603868,0.8733624454148472,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3993,10,Division I,caspercollege,Colton Rogers,,,,Wing,,,12,1.875,1.4500000000000002,2.0,3,1.25,1.25,0.9166666666666666,0.6666666666666666,0.5,0.08333333333333333,1.0833333333333333,1.6666666666666667,0.8333333333333334,0.08333333333333333,0.6666666666666666,0.5833333333333334,0.36692759295499017,0.375,52.74261603375527,0.02679378956888755,1.375,0.2812939521800281,0.3,0.5,0.05,0.8350730688935282,0.7306889352818372,1.5657620041753653,1.3569937369519833,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
