MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
389,1,Division I,centralarizonacollege,Nathan Wanjohi,,,,Wing,,,14,3.285,3.5000000000000004,3.1,3,10.928571428571429,3.857142857142857,1.3571428571428572,1.3571428571428572,0.8571428571428571,1.4285714285714286,2.642857142857143,7.428571428571429,1.2142857142857142,3.0714285714285716,1.2857142857142858,2.5714285714285716,0.6223560039049788,0.5817307692307693,107.80721533258172,0.1215110106510497,1.0,0.1338782412626832,0.29411764705882354,0.16346153846153846,0.41346153846153844,1.7773620205799814,2.9934518241347052,5.051449953227316,3.461178671655753,Elite,5,Below Average,2,Average,3,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
493,2,Division I,centralarizonacollege,Tayshaun Jackson,,,,Wing,,,14,3.1900000000000004,3.45,2.9000000000000004,3,13.5,2.9285714285714284,3.857142857142857,1.8571428571428572,1.2857142857142858,0.2857142857142857,1.7142857142857142,9.857142857142858,4.357142857142857,4.785714285714286,0.6428571428571429,2.2857142857142856,0.5642464771913065,0.4891304347826087,97.68451519536903,0.16565635809445528,2.076923076923077,0.13438081455447592,0.3114754098360656,0.4420289855072464,0.4855072463768116,2.432179607109448,2.05799812909261,3.8353601496725913,2.245088868101029,Average,3,Average,3,Below Average,2,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
566,3,Division I,centralarizonacollege,Brayden Gant,,,,Wing,,,14,3.1475,2.7,3.85,3,14.857142857142858,6.428571428571429,1.9285714285714286,2.5,2.2857142857142856,1.2857142857142858,2.5714285714285716,11.571428571428571,2.857142857142857,3.9285714285714284,2.0714285714285716,4.357142857142857,0.5585392051557465,0.5123456790123457,94.03254972875227,0.18939004760437,0.7714285714285715,0.15822784810126583,0.35,0.24691358024691357,0.3395061728395062,3.2740879326473338,4.677268475210477,8.419083255378858,3.3676333021515434,Average,3,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Average,3,Average,3,Elite,5,Average,3,Elite,5,Below Average,2,Very Good,4,Very Good,4,Unknown
949,4,Division I,centralarizonacollege,Luke Leatherwood,,,,Wing,,,14,2.9375,3.0500000000000003,2.75,3,14.142857142857142,5.571428571428571,1.4285714285714286,1.7142857142857142,1.2142857142857142,0.14285714285714285,2.142857142857143,11.428571428571429,6.785714285714286,3.2142857142857144,1.0,4.571428571428571,0.5506117908787541,0.5375,97.1540726202159,0.1744922771327785,0.8333333333333334,0.11776251226692835,0.3368421052631579,0.59375,0.28125,2.245088868101029,1.7773620205799814,7.296538821328344,2.8063610851262863,Average,3,Average,3,Below Average,2,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
959,5,Division I,centralarizonacollege,Shawn Spencer,,,,Wing,,,13,2.9325,3.25,2.45,3,9.846153846153847,1.1538461538461537,4.6923076923076925,2.3846153846153846,1.0769230769230769,0.15384615384615385,1.2307692307692308,6.846153846153846,3.5384615384615383,2.0,0.23076923076923078,0.9230769230769231,0.6371963361210673,0.6067415730337079,97.38283627510651,0.12050313542850856,1.967741935483871,0.2358490566037736,0.43478260869565216,0.5168539325842697,0.29213483146067415,3.103103103103103,1.6016016016016017,1.5015015015015014,1.6016016016016017,Elite,5,Below Average,2,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1933,6,Division I,centralarizonacollege,Reuben Booth,,,,Wing,,,6,2.5250000000000004,2.7500000000000004,2.0,3,5.166666666666667,1.8333333333333333,0.8333333333333334,0.6666666666666666,0.0,0.16666666666666666,1.6666666666666667,4.166666666666667,1.8333333333333333,1.5,1.0,0.8333333333333334,0.5352209944751382,0.52,94.05339805825243,0.06664509867356842,1.25,0.12135922330097088,0.36363636363636365,0.44,0.36,0.866738894907909,0.21668472372697725,2.38353196099675,2.1668472372697725,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2111,7,Division I,centralarizonacollege,Ja'Kwan Jordan,,,,Wing,,,14,2.4575000000000005,2.3000000000000003,2.45,3,4.428571428571429,3.857142857142857,1.4285714285714286,1.2857142857142858,1.0,0.35714285714285715,1.7142857142857142,3.357142857142857,0.21428571428571427,0.9285714285714286,1.6428571428571428,2.2142857142857144,0.5880121396054628,0.5638297872340425,87.66968325791855,0.060550018836261515,1.1111111111111112,0.25452488687782804,0.3333333333333333,0.06382978723404255,0.2765957446808511,1.6838166510757717,1.7773620205799814,5.051449953227316,2.245088868101029,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3684,8,Division I,centralarizonacollege,Majak Deng,,,,Wing,,,12,2.0,1.7000000000000002,2.0,3,1.3333333333333333,1.0,0.25,0.3333333333333333,0.25,0.16666666666666666,0.5,1.25,0.8333333333333334,0.3333333333333333,0.08333333333333333,0.9166666666666666,0.477326968973747,0.43333333333333335,77.0712909441233,0.020815786307303578,0.75,0.19267822736030826,0.3,0.6666666666666666,0.26666666666666666,0.436442989634479,0.5455537370430987,1.309328968903437,0.6546644844517185,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3745,9,Division I,centralarizonacollege,Deng Deng,,,,Wing,,,12,1.9749999999999999,1.6500000000000001,2.0,3,2.1666666666666665,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.0,0.5833333333333334,2.6666666666666665,1.8333333333333333,0.25,0.0,0.5,0.39015606242497,0.375,62.92352371732817,0.04118327153849221,1.0,0.1936108422071636,0.18181818181818182,0.6875,0.09375,0.8695652173913043,0.10869565217391304,0.6521739130434783,0.7608695652173914,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3926,10,Division I,centralarizonacollege,Longar Alor,,,,Wing,,,12,1.925,1.55,2.0,3,2.3333333333333335,1.5,1.1666666666666667,0.8333333333333334,0.16666666666666666,0.0,1.25,2.5833333333333335,1.25,0.3333333333333333,0.16666666666666666,1.3333333333333333,0.4273504273504274,0.4032258064516129,65.48175865294668,0.042328251831320524,1.4,0.23386342376052385,0.3333333333333333,0.4838709677419355,0.12903225806451613,1.0834236186348862,0.21668472372697725,1.9501625135427951,1.6251354279523293,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
