MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
83,1,Division I,centralgeorgiatechnicalcollege,Kaziaes Hemphill,,,,Wing,,,10,3.7649999999999997,3.55,4.4,3,12.1,6.6,0.5,1.4,0.7,2.8,1.4,7.0,0.0,5.1,2.1,4.5,0.6544785807009953,0.7,113.67906801954153,0.12696216422539244,0.35714285714285715,0.1315295001878993,,0.0,0.7285714285714285,1.8829858776059178,4.707464694014795,8.876933422999327,1.8829858776059178,Elite,5,Below Average,2,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Unknown
151,2,Division I,centralgeorgiatechnicalcollege,Roosevelt Brown,,,,Wing,,,10,3.615,3.25,4.4,3,17.1,6.4,3.5,2.5,3.1,0.5,2.2,13.5,7.5,4.4,1.9,4.5,0.5538999740865509,0.5074074074074074,95.33898305084745,0.21394150484278834,1.4,0.13938447814451382,0.30666666666666664,0.5555555555555556,0.32592592592592595,3.3624747814391394,4.84196368527236,8.607935440484196,2.9589778076664426,Average,3,Very Good,4,Below Average,2,Average,3,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Unknown
1283,3,Division I,centralgeorgiatechnicalcollege,Evrad Makendi,,,,Wing,,,10,2.79,2.65,2.9000000000000004,3,5.0,3.9,0.5,1.4,0.9,0.8,1.7,3.2,0.9,1.2,1.0,2.9,0.6706008583690987,0.65625,97.50390015600624,0.06116704041223342,0.35714285714285715,0.27301092043681746,0.4444444444444444,0.28125,0.375,1.8829858776059178,2.2864828513786146,5.245460659045057,2.2864828513786146,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1605,4,Division I,centralgeorgiatechnicalcollege,Cornelius Hines,,,,Wing,,,9,2.6574999999999998,2.6999999999999993,2.45,3,7.0,3.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.4444444444444444,5.777777777777778,0.2222222222222222,1.2222222222222223,1.1111111111111112,1.8888888888888888,0.5541871921182265,0.5480769230769231,101.875808538163,0.08163049791435663,0.8,0.08085381630012936,0.5,0.038461538461538464,0.21153846153846154,0.7468259895444361,1.4936519790888723,4.032860343539955,1.941747572815534,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1839,5,Division I,centralgeorgiatechnicalcollege,Kaden Douglass,,,,Wing,,,10,2.5650000000000004,2.2,2.9000000000000004,3,8.9,2.3,2.0,2.3,1.6,0.2,1.7,7.9,5.2,1.0,0.5,1.8,0.5335731414868106,0.5316455696202531,83.64661654135338,0.1269144520253829,0.8695652173913043,0.2161654135338346,0.34615384615384615,0.6582278481012658,0.12658227848101267,3.093476798924008,2.42098184263618,3.093476798924008,2.2864828513786146,Average,3,Below Average,2,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Elite,5,Below Average,2,Very Good,4,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2005,6,Division I,centralgeorgiatechnicalcollege,Traveion Wheeler,,,,Wing,,,9,2.5,2.7,2.0,3,3.888888888888889,1.5555555555555556,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.1111111111111111,1.7777777777777777,2.4444444444444446,0.1111111111111111,2.111111111111111,0.4444444444444444,1.1111111111111112,0.5764163372859025,0.5681818181818182,96.25962596259626,0.04792534401855855,0.3333333333333333,0.16501650165016502,1.0,0.045454545454545456,0.8636363636363636,0.89086859688196,0.2969561989606533,2.078693392724573,2.3756495916852263,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2407,7,Division I,centralgeorgiatechnicalcollege,Robert Spaulding,,,,Wing,,,10,2.375,2.45,2.0,3,4.9,2.0,1.5,1.0,0.7,0.3,1.1,4.2,1.0,1.8,0.9,1.1,0.4907852564102564,0.4880952380952381,81.77570093457943,0.07147287561429459,1.5,0.16688918558077437,0.5,0.23809523809523808,0.42857142857142855,1.3449899125756557,1.3449899125756557,2.6899798251513114,1.4794889038332213,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2862,8,Division I,centralgeorgiatechnicalcollege,Andrew Hutchinson,,,,Wing,,,7,2.25,2.1999999999999997,2.0,3,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,1.0,1.0,100.0,0.0034132022663663055,0.0,0.5,,0.0,0.0,0.19398642095053345,0.0,0.3879728419010669,0.19398642095053345,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3050,9,Division I,centralgeorgiatechnicalcollege,Jaqari Smith,,,,Wing,,,10,2.1825,1.75,2.45,3,4.7,1.9,2.4,2.0,1.1,0.2,1.5,5.0,3.1,2.0,0.3,1.6,0.39965986394557823,0.34,59.64467005076143,0.09399303401879862,1.2,0.25380710659898476,0.1935483870967742,0.62,0.4,2.6899798251513114,1.7484868863483525,2.555480833893746,2.0174848688634834,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3206,10,Division I,centralgeorgiatechnicalcollege,Lemar Edmond,,,,Wing,,,10,2.15,2.0,2.0,3,6.0,3.2,0.7,2.5,0.9,0.1,1.3,4.9,2.0,1.3,0.5,2.7,0.5482456140350878,0.5306122448979592,75.26342197691922,0.0950904146190181,0.28,0.31359759157049677,0.3,0.40816326530612246,0.2653061224489796,3.3624747814391394,1.3449899125756557,4.303967720242098,1.7484868863483525,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
