MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
575,1,Division I,centralwyomingcollege,Julian Ormond,,,,Wing,,,14,3.1950000000000003,3.25,3.2,3,13.071428571428571,5.357142857142857,1.0,2.5714285714285716,1.2142857142857142,0.21428571428571427,2.0714285714285716,9.5,4.428571428571429,2.2857142857142856,1.0,4.357142857142857,0.6221104161000816,0.5789473684210527,99.95630325540746,0.1689179214644228,0.3888888888888889,0.19663535066637533,0.45161290322580644,0.46616541353383456,0.24060150375939848,3.6345280161534577,2.0191822311963654,7.571933366986371,2.92781423523473,Elite,5,Average,3,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Below Average,2,Elite,5,Average,3,Unknown
800,2,Division I,centralwyomingcollege,Jordan Peel,,,,Wing,,,14,3.0575,3.5,2.45,3,12.928571428571429,3.7857142857142856,2.9285714285714284,2.5,1.0,0.0,1.3571428571428572,8.714285714285714,5.857142857142857,2.357142857142857,0.42857142857142855,3.357142857142857,0.6629065338411954,0.6229508196721312,105.52705223880596,0.1582521405373487,1.1714285714285715,0.2040578358208955,0.4146341463414634,0.6721311475409836,0.27049180327868855,3.5335689045936394,1.4134275618374559,5.350832912670368,1.9182231196365471,Elite,5,Average,3,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
1762,3,Division I,centralwyomingcollege,Christian Kranz,,,,Wing,,,13,2.6574999999999998,2.7,2.45,3,4.384615384615385,1.1538461538461537,2.6923076923076925,1.7692307692307692,0.9230769230769231,0.15384615384615385,1.5384615384615385,3.3846153846153846,2.230769230769231,0.46153846153846156,0.15384615384615385,1.0,0.6110634648370498,0.6136363636363636,81.84951177484204,0.06911472806669314,1.5217391304347827,0.33026995979322227,0.4827586206896552,0.6590909090909091,0.13636363636363635,2.505446623093682,1.5250544662309369,1.6339869281045751,2.178649237472767,Elite,5,Poor,1,Poor,1,Very Good,4,Poor,1,Elite,5,Average,3,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2156,4,Division I,centralwyomingcollege,Isaac Patik,,,,Wing,,,14,2.5199999999999996,2.25,2.7,3,10.214285714285714,5.214285714285714,2.2857142857142856,2.357142857142857,1.0,0.5,2.642857142857143,8.642857142857142,0.42857142857142855,2.7142857142857144,1.2142857142857142,4.0,0.5191693290734825,0.48760330578512395,83.76288659793815,0.15751402421021554,0.9696969696969697,0.19329896907216496,0.3333333333333333,0.049586776859504134,0.3140495867768595,3.3316506814740032,2.1201413427561837,7.370015143866734,3.735487127713276,Below Average,2,Average,3,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Average,3,Below Average,2,Average,3,Very Good,4,Unknown
2504,5,Division I,centralwyomingcollege,Luke Danielson,,,,Wing,,,14,2.4124999999999996,2.6999999999999997,1.75,3,9.0,2.642857142857143,1.2142857142857142,1.2142857142857142,0.5714285714285714,0.07142857142857142,2.4285714285714284,7.357142857142857,1.2857142857142858,2.4285714285714284,0.8571428571428571,1.7857142857142858,0.5340793489318413,0.5048543689320388,93.3609958506224,0.12452022438736346,1.0,0.12596324836988737,0.3333333333333333,0.17475728155339806,0.3300970873786408,1.7163048965169108,0.9086320040383644,3.735487127713276,3.4326097930338215,Average,3,Below Average,2,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2616,6,Division I,centralwyomingcollege,Tyler Jette,,,,Wing,,,14,2.375,2.45,2.0,3,7.0,2.7142857142857144,1.3571428571428572,1.2857142857142858,0.7857142857142857,0.0,2.0,5.571428571428571,2.5714285714285716,1.3571428571428572,0.8571428571428571,1.8571428571428572,0.5673923112552107,0.532051282051282,93.90571100038329,0.09628727487452023,1.0555555555555556,0.17247987734764278,0.4166666666666667,0.46153846153846156,0.24358974358974358,1.8172640080767288,1.110550227158001,3.8364462392730942,2.8268551236749118,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Average,3,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2873,7,Division I,centralwyomingcollege,Camrin Gulley,,,,Wing,,,12,2.3150000000000004,1.7000000000000002,2.9000000000000004,3,3.4166666666666665,1.75,1.8333333333333333,1.5833333333333333,1.5833333333333333,0.0,1.5,3.5833333333333335,2.0833333333333335,1.3333333333333333,0.25,1.5,0.4096722621902478,0.32558139534883723,59.38586326767092,0.07388698630136985,1.1578947368421053,0.2752027809965238,0.16,0.5813953488372093,0.37209302325581395,2.2261277094317515,2.2261277094317515,2.460456942003515,2.10896309314587,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3161,8,Division I,centralwyomingcollege,Connor Davidson,,,,Wing,,,11,2.225,2.1500000000000004,2.0,3,3.3636363636363638,1.7272727272727273,0.5454545454545454,0.7272727272727273,0.18181818181818182,0.09090909090909091,1.2727272727272727,2.5454545454545454,0.18181818181818182,1.0,0.8181818181818182,0.9090909090909091,0.5633373934226552,0.5357142857142857,90.59745347698335,0.0480968532127379,0.75,0.1958863858961802,0.0,0.07142857142857142,0.39285714285714285,1.0443864229765014,0.391644908616188,2.480417754569191,1.8276762402088773,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3740,9,Division I,centralwyomingcollege,Lachlan O'Brien,,,,Wing,,,11,2.075,1.85,2.0,3,2.4545454545454546,1.2727272727272727,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,1.3636363636363635,3.090909090909091,0.2727272727272727,0.5454545454545454,0.18181818181818182,1.0909090909090908,0.36844978165938863,0.35294117647058826,64.8414985590778,0.04854731147693886,0.4,0.12007684918347743,0.0,0.08823529411764706,0.17647058823529413,0.6455777921239509,0.5164622336991608,1.8076178179470626,1.9367333763718528,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4200,10,Division I,centralwyomingcollege,Jordan Mendez,,,,Wing,,,12,1.925,1.55,2.0,3,1.5,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.6666666666666666,1.5833333333333333,1.0,0.16666666666666666,0.0,0.3333333333333333,0.45271629778672035,0.4473684210526316,66.96428571428572,0.028828828828828826,1.1428571428571428,0.2604166666666667,0.4166666666666667,0.631578947368421,0.10526315789473684,0.8163265306122449,0.46647230320699706,0.46647230320699706,0.9329446064139941,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
