MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
191,1,Division I,chattanoogastatecommunitycollege,NICHOLAS LONG,,,,Wing,,,14,3.5700000000000003,4.0,3.2,3,11.714285714285714,5.928571428571429,1.7857142857142858,1.3571428571428572,0.5,1.1428571428571428,0.5714285714285714,6.928571428571429,1.0714285714285714,4.285714285714286,1.6428571428571428,4.285714285714286,0.6645056726094003,0.6030927835051546,115.16853932584269,0.12650131476085566,1.3157894736842106,0.13342696629213482,0.4666666666666667,0.15463917525773196,0.6185567010309279,1.826045170591062,2.2104757328207594,7.9769341662662185,0.7688611244593945,Elite,5,Below Average,2,Elite,5,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
286,2,Division I,chattanoogastatecommunitycollege,LANDON BRYANT,,,,Wing,,,14,3.4400000000000004,3.95,2.9000000000000004,3,9.642857142857142,2.2857142857142856,1.2142857142857142,1.0714285714285714,1.0714285714285714,0.7142857142857143,0.0,7.071428571428571,5.0,1.5714285714285714,0.35714285714285715,1.9285714285714286,0.6210894368789105,0.6161616161616161,109.15265200517464,0.10987136664060834,1.1333333333333333,0.12128072445019404,0.42857142857142855,0.7070707070707071,0.2222222222222222,1.4416146083613648,2.4026910139356077,3.075444497837578,0.0,Elite,5,Poor,1,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1046,3,Division I,chattanoogastatecommunitycollege,NOAH HOLLOWAY,,,,Wing,,,12,2.95,3.6000000000000005,2.0,3,5.916666666666667,2.5,1.0,0.6666666666666666,0.3333333333333333,0.4166666666666667,0.16666666666666666,4.416666666666667,1.5833333333333333,0.6666666666666666,0.5,2.0,0.6280962491153573,0.6226415094339622,110.04339739615621,0.06793581266057365,1.5,0.1239925604463732,0.3157894736842105,0.3584905660377358,0.1509433962264151,0.9090909090909091,1.0227272727272727,3.409090909090909,0.22727272727272727,Elite,5,Poor,1,Very Good,4,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1064,4,Division I,chattanoogastatecommunitycollege,KADEN YOUNG,,,,Wing,,,12,2.95,3.5999999999999996,2.0,3,4.583333333333333,2.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.5,3.0833333333333335,1.8333333333333333,0.75,0.3333333333333333,1.6666666666666667,0.67138671875,0.6486486486486487,114.6788990825688,0.05049909446994904,1.0,0.14595496246872394,0.5454545454545454,0.5945945945945946,0.24324324324324326,0.7954545454545454,0.6818181818181818,2.727272727272727,0.6818181818181818,Elite,5,Poor,1,Elite,5,Below Average,2,Average,3,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1211,5,Division I,chattanoogastatecommunitycollege,ODELL BRADLEY IV,,,,Wing,,,14,2.88,3.2500000000000004,2.3,3,16.642857142857142,5.714285714285714,3.0714285714285716,2.642857142857143,0.42857142857142855,0.0,0.2857142857142857,11.857142857142858,1.7142857142857142,5.642857142857143,1.1428571428571428,4.571428571428571,0.5802948794580594,0.5391566265060241,97.99798115746972,0.2112145547580129,1.162162162162162,0.1556191117092867,0.375,0.14457831325301204,0.4759036144578313,3.5559827006247,0.5766458433445459,7.688611244593945,0.38443056222969724,Very Good,4,Very Good,4,Below Average,2,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Poor,1,Below Average,2,Elite,5,Average,3,Unknown
1390,6,Division I,chattanoogastatecommunitycollege,JAMARIION PALM,,,,Wing,,,12,2.8099999999999996,2.9000000000000004,2.5999999999999996,3,10.333333333333334,6.916666666666667,0.6666666666666666,1.5,0.3333333333333333,0.5,0.5833333333333334,8.25,3.4166666666666665,2.8333333333333335,1.3333333333333333,5.583333333333333,0.544050544050544,0.5,93.96786905122764,0.1389462157267405,0.4444444444444444,0.13640497120339495,0.4146341463414634,0.41414141414141414,0.3434343434343434,2.0454545454545454,1.1363636363636365,9.431818181818182,0.7954545454545454,Average,3,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Unknown
2182,7,Division I,chattanoogastatecommunitycollege,AGBO OGBONNA,,,,Wing,,,13,2.5250000000000004,2.75,2.0,3,5.615384615384615,3.4615384615384617,0.15384615384615385,1.0769230769230769,0.15384615384615385,0.15384615384615385,0.07692307692307693,3.6153846153846154,0.15384615384615385,2.0,0.7692307692307693,2.6923076923076925,0.6245722108145106,0.5531914893617021,100.7730535615682,0.06969673645320196,0.14285714285714285,0.1932633903920486,1.0,0.0425531914893617,0.5531914893617021,1.4545454545454546,0.4155844155844156,4.675324675324675,0.1038961038961039,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2343,8,Division I,chattanoogastatecommunitycollege,DWIGHT CARTER,,,,Wing,,,11,2.4825,2.35,2.45,3,5.909090909090909,1.3636363636363635,0.5454545454545454,1.0,0.9090909090909091,0.36363636363636365,0.5454545454545454,4.181818181818182,1.5454545454545454,2.727272727272727,0.09090909090909091,1.2727272727272727,0.5489864864864865,0.4891304347826087,92.5925925925926,0.07991075494035152,0.5454545454545454,0.15669515669515668,0.29411764705882354,0.3695652173913043,0.6521739130434783,1.3571869216533003,1.727328809376928,1.8507094386181369,0.7402837754472548,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2654,9,Division I,chattanoogastatecommunitycollege,JAYZEN CELESTINO,,,,Wing,,,7,2.3999999999999995,2.4999999999999996,2.0,3,1.7142857142857142,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.7614213197969544,0.7142857142857143,101.01010101010102,0.022053909556694135,0.5,0.3367003367003367,0.4,0.7142857142857143,0.2857142857142857,0.8113590263691683,0.4056795131845842,0.2028397565922921,0.0,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2712,10,Division I,chattanoogastatecommunitycollege,AZAVIER ZANDERS,,,,Wing,,,12,2.375,2.45,2.0,3,4.333333333333333,1.25,1.3333333333333333,0.8333333333333334,0.5,0.0,0.25,3.0,1.6666666666666667,2.5,0.16666666666666666,1.0833333333333333,0.5284552845528455,0.375,87.83783783783784,0.062334161647643514,1.6,0.16891891891891891,0.25,0.5555555555555556,0.8333333333333334,1.1363636363636365,0.6818181818181818,1.7045454545454546,0.3409090909090909,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3366,11,Division I,chattanoogastatecommunitycollege,RAY'QUAN WATSON,,,,Wing,,,13,2.2,2.1,2.0,3,4.153846153846154,1.6153846153846154,3.0,0.7692307692307693,0.38461538461538464,0.0,0.15384615384615385,3.923076923076923,1.9230769230769231,1.1538461538461537,0.3076923076923077,1.3076923076923077,0.46875,0.43137254901960786,79.88165680473374,0.0652282990466633,3.9,0.14792899408284024,0.24,0.49019607843137253,0.29411764705882354,1.0443864229765014,0.5221932114882507,2.1932114882506526,0.20887728459530025,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3788,12,Division I,chattanoogastatecommunitycollege,JOHN MONZELE,,,,Wing,,,9,2.0999999999999996,1.9,2.0,3,1.2222222222222223,2.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,1.0,0.0,0.7777777777777778,1.0,1.0,0.4552980132450331,0.4444444444444444,78.125,0.019722097714029583,0.0,0.14204545454545456,,0.0,0.7777777777777778,0.3058103975535168,0.1529051987767584,2.7522935779816513,0.3058103975535168,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4362,13,Division I,chattanoogastatecommunitycollege,ADAM CLARK,,,,Wing,,,10,1.9,1.5,2.0,3,1.2,0.9,0.3,0.4,0.1,0.0,0.2,1.1,0.2,0.3,0.1,0.8,0.487012987012987,0.5454545454545454,73.52941176470588,0.02059669847039225,0.75,0.24509803921568626,0.0,0.18181818181818182,0.2727272727272727,0.547945205479452,0.136986301369863,1.2328767123287672,0.273972602739726,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
