MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
105,1,Division I,clarendoncollege,KD Davis,,,,Wing,,,11,3.6875,3.4999999999999996,4.25,3,16.181818181818183,8.090909090909092,1.9090909090909092,2.272727272727273,1.5454545454545454,0.5454545454545454,2.0,10.727272727272727,1.8181818181818181,5.2727272727272725,1.9090909090909092,6.181818181818182,0.6201226309921961,0.6440677966101694,105.62544505103251,0.17829785433154174,0.84,0.14835034417279847,0.4,0.1694915254237288,0.4915254237288136,2.9940119760479043,2.754491017964072,10.658682634730539,2.6347305389221556,Elite,5,Average,3,Average,3,Below Average,2,Average,3,Insufficient Volume,3,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Very Good,4,Unknown
487,2,Division I,clarendoncollege,Ryder Cate,,,,Wing,,,9,3.1950000000000003,3.95,2.2,3,10.777777777777779,4.111111111111111,3.6666666666666665,1.6666666666666667,1.1111111111111112,0.3333333333333333,2.3333333333333335,7.666666666666667,3.111111111111111,2.5555555555555554,1.0,3.111111111111111,0.6129929221435794,0.5942028985507246,103.05992350191245,0.12204356846473029,2.2,0.15937101572460688,0.5,0.4057971014492754,0.3333333333333333,2.207505518763797,1.9131714495952907,5.445180279617365,3.0905077262693155,Elite,5,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
1223,3,Division I,clarendoncollege,Ra'Kai Crawford,,,,Wing,,,6,2.8075,3.0,2.45,3,10.166666666666666,2.6666666666666665,4.666666666666667,2.0,1.3333333333333333,0.16666666666666666,0.6666666666666666,7.5,3.6666666666666665,2.8333333333333335,0.6666666666666666,2.0,0.5811737804878049,0.5111111111111111,94.60297766749379,0.12102102102102104,2.3333333333333335,0.18610421836228286,0.2727272727272727,0.4888888888888889,0.37777777777777777,2.583423035522067,1.9375672766415502,3.4445640473627557,0.8611410118406889,Very Good,4,Below Average,2,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1322,4,Division I,clarendoncollege,Andi Ahmeti,,,,Wing,,,6,2.7750000000000004,3.25,2.0,3,2.8333333333333335,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.5,1.3333333333333333,1.1666666666666667,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.9572072072072071,0.9375,131.98757763975155,0.02662257131045887,1.0,0.3105590062111801,0.7142857142857143,0.875,0.25,0.9195402298850575,0.22988505747126436,0.6896551724137931,0.6896551724137931,Elite,5,Poor,1,Elite,5,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1442,5,Division I,clarendoncollege,Mihailo Stijovic,,,,Wing,,,10,2.7249999999999996,3.15,2.0,3,9.0,3.9,0.7,1.2,0.2,0.5,2.1,6.0,0.8,2.9,1.8,2.1,0.6184716877405168,0.5666666666666667,106.18216139688532,0.09773083663868648,0.5833333333333334,0.1415762151958471,0.25,0.13333333333333333,0.48333333333333334,1.5696533682145193,0.9156311314584696,5.101373446697187,2.746893394375409,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1734,6,Division I,clarendoncollege,Alex Gilmore,,,,Wing,,,11,2.6000000000000005,2.9000000000000004,2.0,3,4.909090909090909,2.4545454545454546,1.0,1.0909090909090908,0.0,0.0,1.1818181818181819,2.727272727272727,0.09090909090909091,1.9090909090909092,0.9090909090909091,1.5454545454545454,0.6880733944954128,0.6333333333333333,105.38641686182669,0.05421304329425705,0.9166666666666666,0.23419203747072598,0.0,0.03333333333333333,0.7,1.437125748502994,0.0,3.2335329341317367,1.5568862275449102,Elite,5,Poor,1,Average,3,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1886,7,Division I,clarendoncollege,Clayton Mosburg,,,,Wing,,,10,2.55,2.8,2.0,3,4.4,1.3,0.7,0.9,0.1,0.2,0.8,2.4,0.1,2.2,0.5,0.8,0.6532066508313539,0.625,103.09278350515464,0.04889336938092837,0.7777777777777778,0.21087160262417995,0.0,0.041666666666666664,0.9166666666666666,1.1741682974559686,0.3913894324853229,1.6960208741030658,1.0437051532941943,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1944,8,Division I,clarendoncollege,Jamari Briggs,,,,Wing,,,11,2.5250000000000004,2.75,2.0,3,10.454545454545455,3.8181818181818183,0.6363636363636364,1.5454545454545454,0.5454545454545454,0.09090909090909091,1.8181818181818181,8.0,1.6363636363636365,2.272727272727273,1.6363636363636365,2.1818181818181817,0.5808080808080808,0.5397727272727273,99.13793103448276,0.12273054297685047,0.4117647058823529,0.14655172413793102,0.2777777777777778,0.20454545454545456,0.2840909090909091,2.035928143712575,0.8383233532934131,5.029940119760479,2.395209580838323,Very Good,4,Below Average,2,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2163,9,Division I,clarendoncollege,Ben Kalonji,,,,Wing,,,11,2.4499999999999997,2.5999999999999996,2.0,3,5.0,2.272727272727273,0.18181818181818182,1.0909090909090908,0.09090909090909091,0.09090909090909091,1.1818181818181819,3.1818181818181817,0.0,1.7272727272727273,1.0,1.2727272727272727,0.6342250922509225,0.6,99.34971098265896,0.05857209361377967,0.16666666666666666,0.21676300578034682,,0.0,0.5428571428571428,1.437125748502994,0.23952095808383234,2.9940119760479043,1.5568862275449102,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2667,10,Division I,clarendoncollege,Kamoni Sieber,,,,Wing,,,11,2.3,2.3000000000000003,2.0,3,6.7272727272727275,4.363636363636363,4.545454545454546,2.272727272727273,0.2727272727272727,0.18181818181818182,1.9090909090909092,5.545454545454546,1.9090909090909092,2.6363636363636362,0.8181818181818182,3.5454545454545454,0.5016268980477223,0.45081967213114754,74.92912110166058,0.10449024503787718,2.0,0.2531389226407452,0.3333333333333333,0.3442622950819672,0.47540983606557374,2.9940119760479043,0.5988023952095808,5.748502994011976,2.5149700598802394,Below Average,2,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
