MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
443,1,Division I,clevelandstatecommunitycollege,Zechariah Canidate,,,,Wing,,,11,3.1925,3.0,3.55,3,6.909090909090909,3.727272727272727,1.9090909090909092,1.3636363636363635,1.9090909090909092,0.6363636363636364,2.4545454545454546,4.636363636363637,0.0,1.4545454545454546,1.7272727272727273,2.0,0.6547208821502413,0.6666666666666666,104.05257393209202,0.07034982277700723,1.4,0.20536692223439212,,0.0,0.3137254901960784,1.7421602787456445,3.252032520325203,4.761904761904762,3.1358885017421603,Elite,5,Poor,1,Average,3,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Very Good,4,Elite,5,Unknown
728,2,Division I,clevelandstatecommunitycollege,Xavier Washington,,,,Wing,,,11,3.0075000000000003,3.4000000000000004,2.45,3,14.0,3.4545454545454546,0.36363636363636365,1.3636363636363635,1.1818181818181819,0.2727272727272727,2.090909090909091,11.363636363636363,4.818181818181818,3.6363636363636362,1.5454545454545454,1.9090909090909092,0.5399719495091164,0.516,97.71573604060914,0.15179534597010325,0.26666666666666666,0.0951776649746193,0.4339622641509434,0.424,0.32,1.7421602787456445,1.8583042973286876,4.413472706155633,2.671312427409988,Average,3,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1032,3,Division I,clevelandstatecommunitycollege,Brandon Lanier,,,,Wing,,,11,2.8499999999999996,2.7,3.0,3,9.181818181818182,7.636363636363637,0.9090909090909091,1.5454545454545454,0.9090909090909091,1.0909090909090908,3.1818181818181817,5.818181818181818,0.09090909090909091,5.0,3.3636363636363638,4.2727272727272725,0.5725623582766439,0.4921875,96.00760456273764,0.10132531977192172,0.5882352941176471,0.16159695817490494,1.0,0.015625,0.859375,1.9744483159117305,2.5551684088269453,9.75609756097561,4.065040650406504,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Average,3,Average,3,Elite,5,Unknown
1533,4,Division I,clevelandstatecommunitycollege,A.J. Horton,,,,Wing,,,8,2.63,2.75,2.3,3,15.125,6.375,2.25,2.75,0.75,0.25,1.25,11.875,3.875,5.75,2.25,4.125,0.52499132245748,0.47368421052631576,88.16671524336927,0.17915513550206258,0.8181818181818182,0.16030311862430777,0.3870967741935484,0.3263157894736842,0.4842105263157895,3.5031847133757963,1.2738853503184713,8.121019108280255,1.5923566878980893,Below Average,2,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Very Good,4,Very Good,4,Elite,5,Below Average,2,Poor,1,Below Average,2,Elite,5,Average,3,Unknown
1910,5,Division I,clevelandstatecommunitycollege,Carson Boyle,,,,Wing,,,9,2.4749999999999996,2.65,2.0,3,3.888888888888889,1.2222222222222223,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.1111111111111111,1.1111111111111112,3.6666666666666665,1.1111111111111112,1.1111111111111112,0.3333333333333333,0.8888888888888888,0.46791443850267384,0.3939393939393939,84.54106280193237,0.047660710996500266,2.0,0.0966183574879227,0.2,0.30303030303030304,0.30303030303030304,0.5653710247349824,0.42402826855123676,1.5547703180212014,1.4134275618374559,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2256,6,Division I,clevelandstatecommunitycollege,Kedrick Franklin,,,,Wing,,,11,2.3575,2.1,2.45,3,7.818181818181818,3.909090909090909,0.09090909090909091,2.5454545454545454,0.36363636363636365,1.0909090909090908,1.8181818181818181,6.090909090909091,2.0,2.727272727272727,0.9090909090909091,3.0,0.5361596009975063,0.5223880597014925,79.48243992606284,0.1042148250886115,0.03571428571428571,0.2587800369685767,0.36363636363636365,0.3283582089552239,0.44776119402985076,3.252032520325203,1.8583042973286876,4.994192799070848,2.3228803716608595,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2324,7,Division I,clevelandstatecommunitycollege,Egypt Daniel,,,,Wing,,,8,2.3499999999999996,2.4,2.0,3,3.375,2.5,0.25,0.375,0.25,0.125,1.0,2.875,1.875,0.75,1.25,1.25,0.5265210608424337,0.5217391304347826,94.27374301675978,0.03867552530654135,0.6666666666666666,0.10474860335195531,0.4,0.6521739130434783,0.2608695652173913,0.487012987012987,0.487012987012987,3.2467532467532467,1.2987012987012987,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2444,8,Division I,clevelandstatecommunitycollege,Ryan Neal,,,,Wing,,,11,2.3075,2.0,2.45,3,8.363636363636363,1.7272727272727273,1.3636363636363635,1.5454545454545454,1.0909090909090908,0.2727272727272727,1.4545454545454546,8.272727272727273,4.545454545454546,2.0,0.5454545454545454,1.1818181818181819,0.45689312673818033,0.4010989010989011,78.17811012916383,0.11334566188935122,0.8823529411764706,0.14445955132562882,0.3,0.5494505494505495,0.24175824175824176,1.9744483159117305,1.7421602787456445,2.2067363530778166,1.8583042973286876,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3040,9,Division I,clevelandstatecommunitycollege,Seneca Robinson,,,,Wing,,,10,2.125,1.9500000000000002,2.0,3,3.4,2.0,3.4,1.9,0.7,0.0,1.0,3.4,1.6,2.0,0.4,1.6,0.39719626168224303,0.29411764705882354,55.016181229773466,0.06480976551029825,1.7894736842105263,0.3074433656957929,0.0,0.47058823529411764,0.5882352941176471,2.4081115335868186,0.8871989860583016,2.534854245880862,1.267427122940431,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3244,10,Division I,clevelandstatecommunitycollege,Jacob Turner,,,,Wing,,,11,2.0650000000000004,1.5500000000000003,2.4000000000000004,3,5.0,3.090909090909091,1.0,1.5454545454545454,1.4545454545454546,0.18181818181818182,3.0,4.818181818181818,1.4545454545454546,1.3636363636363635,1.0909090909090908,2.0,0.46140939597315433,0.4339622641509434,71.80156657963447,0.0737787024194791,0.6470588235294118,0.22193211488250655,0.25,0.3018867924528302,0.2830188679245283,1.9744483159117305,2.0905923344947737,3.948896631823461,3.832752613240418,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Unknown
