MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
334,1,Division I,cloudcountycommunitycollege,Manasseh Stackhouse,,,,Wing,,,13,3.3500000000000005,3.3500000000000005,3.5,3,12.307692307692308,7.076923076923077,0.6923076923076923,0.9230769230769231,1.1538461538461537,0.6153846153846154,1.8461538461538463,9.461538461538462,3.076923076923077,1.6923076923076923,3.1538461538461537,3.923076923076923,0.6029544769369912,0.573170731707317,110.58888581697539,0.11367064739157763,0.75,0.08294166436273154,0.275,0.3252032520325203,0.17886178861788618,1.1136890951276102,2.1345707656612527,8.53828306264501,2.2273781902552203,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Poor,1,Very Good,4,Very Good,4,Average,3,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Unknown
401,2,Division I,cloudcountycommunitycollege,Al Brooks Jr,,,,Wing,,,11,3.2824999999999998,2.9,3.95,3,15.636363636363637,8.0,1.3636363636363635,2.090909090909091,1.0909090909090908,1.5454545454545454,2.090909090909091,11.272727272727273,1.4545454545454546,6.636363636363637,4.0,4.0,0.5508583141173456,0.5564516129032258,96.02501116569897,0.16571069089294305,0.6521739130434783,0.12840553818669048,0.375,0.12903225806451613,0.5887096774193549,2.5,3.152173913043478,9.565217391304348,2.5,Average,3,Average,3,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
2050,3,Division I,cloudcountycommunitycollege,Elidjah Savane,,,,Wing,,,13,2.4800000000000004,2.45,2.3,3,11.307692307692308,6.6923076923076925,0.8461538461538461,2.3076923076923075,0.6153846153846154,0.46153846153846156,2.0,7.615384615384615,0.23076923076923078,5.076923076923077,2.1538461538461537,4.538461538461538,0.5740393626991566,0.5656565656565656,93.0144267274108,0.1241671904462602,0.36666666666666664,0.18982536066818528,0.0,0.030303030303030304,0.6666666666666666,2.7842227378190256,1.2993039443155452,8.074245939675174,2.4129930394431556,Very Good,4,Below Average,2,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Very Good,4,Unknown
2256,4,Division I,cloudcountycommunitycollege,Kam Williams,,,,Wing,,,10,2.425,2.55,2.0,3,5.0,0.7,0.7,0.7,0.4,0.0,1.4,3.4,0.7,2.7,0.1,0.6,0.5448997384481256,0.4411764705882353,94.553706505295,0.0539503754489063,1.0,0.132375189107413,0.2857142857142857,0.20588235294117646,0.7941176470588235,0.8348240906380441,0.4770423375074538,0.8348240906380441,1.6696481812760882,Average,3,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2439,5,Division I,cloudcountycommunitycollege,D'ontez Walker,,,,Wing,,,13,2.3575,2.45,1.95,3,11.0,4.769230769230769,0.6153846153846154,2.3076923076923075,1.0769230769230769,0.23076923076923078,3.3846153846153846,7.6923076923076925,0.5384615384615384,4.3076923076923075,2.230769230769231,2.5384615384615383,0.5736521181001284,0.58,92.47284014485257,0.12149591451917033,0.26666666666666666,0.19399896533885155,0.2857142857142857,0.07,0.56,2.7842227378190256,1.5777262180974478,5.7540603248259865,4.083526682134571,Very Good,4,Below Average,2,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Average,3,Very Good,4,Unknown
2628,6,Division I,cloudcountycommunitycollege,Samuel Akot,,,,Wing,,,13,2.3249999999999997,2.3499999999999996,2.0,3,6.3076923076923075,2.6923076923076925,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.3076923076923077,1.1538461538461537,5.538461538461538,2.0,1.3846153846153846,0.9230769230769231,1.7692307692307692,0.513013013013013,0.4791666666666667,90.18917729872415,0.07143306096794469,0.7272727272727273,0.12098548174219094,0.34615384615384615,0.3611111111111111,0.25,1.0208816705336428,1.3921113689095128,3.2482598607888633,1.3921113689095128,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2832,7,Division I,cloudcountycommunitycollege,Ikee Brooks,,,,Wing,,,11,2.25,2.2,2.0,3,1.8181818181818181,1.0,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.0,0.45454545454545453,1.4545454545454546,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.5364806866952789,0.5625,81.16883116883116,0.022795396514080597,1.1666666666666667,0.2435064935064935,0.0,0.0625,0.375,0.6521739130434783,0.5434782608695652,1.1956521739130435,0.5434782608695652,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2859,8,Division I,cloudcountycommunitycollege,K'mari Holt,,,,Wing,,,9,2.25,2.1999999999999997,2.0,3,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.0,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.0,0.0,0.4444444444444444,0.4166666666666667,0.4166666666666667,83.33333333333333,0.006811370447734084,99.0,0.0,0.25,0.6666666666666666,0.0,0.0,0.132890365448505,0.53156146179402,0.7973421926910299,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2937,9,Division I,cloudcountycommunitycollege,Kuel Akot,,,,Wing,,,13,2.2249999999999996,2.15,2.0,3,7.230769230769231,2.230769230769231,1.5384615384615385,0.9230769230769231,0.9230769230769231,0.0,2.3846153846153846,7.230769230769231,4.538461538461538,0.38461538461538464,0.3076923076923077,1.9230769230769231,0.48856548856548854,0.48936170212765956,86.87615526802217,0.08500942803268385,1.6666666666666667,0.11090573012939002,0.3389830508474576,0.6276595744680851,0.05319148936170213,1.1136890951276102,1.1136890951276102,2.691415313225058,2.8770301624129933,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2993,10,Division I,cloudcountycommunitycollege,Syncere Burnette,,,,Wing,,,12,2.2,2.1,2.0,3,7.75,2.75,2.8333333333333335,1.6666666666666667,1.0833333333333333,0.08333333333333333,1.8333333333333333,7.5,4.833333333333333,1.6666666666666667,0.3333333333333333,2.4166666666666665,0.47064777327935226,0.4111111111111111,78.28282828282829,0.10044303155331596,1.7,0.16835016835016836,0.27586206896551724,0.6444444444444445,0.2222222222222222,1.991040318566451,1.3937282229965158,3.285216525634644,2.190144350423096,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3382,11,Division I,cloudcountycommunitycollege,Kaidan Chatham,,,,Wing,,,8,2.0999999999999996,1.9000000000000001,2.0,3,5.75,2.875,1.25,1.5,0.125,0.0,1.5,6.0,1.25,2.375,0.75,2.125,0.40809084457061745,0.3645833333333333,67.29081334113516,0.08737665524822333,0.8333333333333334,0.17554125219426564,0.3,0.20833333333333334,0.3958333333333333,1.8058690744920993,0.1504890895410083,3.4612490594431904,1.8058690744920993,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3520,12,Division I,cloudcountycommunitycollege,Will Otott,,,,Wing,,,13,2.05,1.8000000000000003,2.0,3,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.8461538461538461,0.0,0.6923076923076923,1.3076923076923077,1.0,0.0,0.07692307692307693,0.6153846153846154,0.29411764705882354,0.29411764705882354,47.61904761904762,0.016499057196731615,2.25,0.19047619047619047,0.15384615384615385,0.7647058823529411,0.0,0.37122969837587005,1.0208816705336428,0.8352668213457076,0.8352668213457076,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3669,13,Division I,cloudcountycommunitycollege,DJ Holloway,,,,Wing,,,13,2.02,1.6,2.2,3,7.230769230769231,3.230769230769231,1.5384615384615385,1.9230769230769231,1.4615384615384615,0.07692307692307693,2.5384615384615383,6.461538461538462,2.6923076923076925,2.5384615384615383,0.7692307692307693,2.4615384615384617,0.4770604953308973,0.4107142857142857,76.10103626943005,0.09704588309239472,0.8,0.20239637305699482,0.2,0.4166666666666667,0.39285714285714285,2.320185614849188,1.8561484918793503,3.897911832946636,3.062645011600928,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
4159,14,Division I,cloudcountycommunitycollege,Jack Skocny,,,,Wing,,,8,1.75,1.2000000000000002,2.0,3,0.375,0.625,0.125,0.25,0.0,0.0,0.75,0.75,0.625,0.0,0.25,0.375,0.25,0.25,37.5,0.010229132569558102,0.5,0.25,0.2,0.8333333333333334,0.0,0.29806259314456035,0.0,0.7451564828614009,0.8941877794336811,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
