MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
280,1,Division I,coahomacommunitycollege,Ahmed Ibrahim,,,,Wing,,,12,3.4475,3.6500000000000004,3.35,3,14.416666666666666,9.916666666666666,1.8333333333333333,1.8333333333333333,0.5,0.6666666666666666,1.5833333333333333,9.0,0.08333333333333333,5.5,3.0,6.916666666666667,0.6312025685931115,0.6203703703703703,108.77766599597587,0.14188851616586964,1.0,0.13832997987927567,0.0,0.009259259259259259,0.6111111111111112,2.257567983581324,1.4366341713699333,12.211390456644432,1.9497178040020524,Elite,5,Below Average,2,Very Good,4,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Unknown
527,2,Division I,coahomacommunitycollege,Dee Robison,,,,Wing,,,12,3.24,3.5500000000000003,2.9000000000000004,3,11.75,3.8333333333333335,4.083333333333333,2.4166666666666665,1.8333333333333333,0.0,2.0,7.666666666666667,3.3333333333333335,2.9166666666666665,1.4166666666666667,2.4166666666666665,0.6564245810055865,0.5978260869565217,103.37243401759531,0.12169010063521518,1.6896551724137931,0.21260997067448678,0.45,0.43478260869565216,0.3804347826086957,2.9758850692662904,2.257567983581324,4.720369420215495,2.4628014366341713,Elite,5,Below Average,2,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
620,3,Division I,coahomacommunitycollege,Rodarius Donley,,,,Wing,,,10,3.1725000000000003,3.1000000000000005,3.35,3,12.6,3.4,2.5,1.9,2.1,0.1,1.5,10.3,7.2,1.6,0.4,3.0,0.5725190839694656,0.5679611650485437,97.6441413515189,0.14201443916182427,1.3157894736842106,0.14724116553006816,0.3472222222222222,0.6990291262135923,0.1553398058252427,2.4035420619860846,2.783048703352309,4.301075268817204,1.8975332068311195,Very Good,4,Below Average,2,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
890,4,Division I,coahomacommunitycollege,Jeremiah Davis,,,,Wing,,,12,3.0250000000000004,3.7500000000000004,2.0,3,8.083333333333334,2.5833333333333335,1.0,0.8333333333333334,0.5833333333333334,0.3333333333333333,2.3333333333333335,5.833333333333333,2.5,0.5,0.5833333333333334,2.0,0.6676762114537445,0.6714285714285714,117.37657308809293,0.07372778531154092,1.2,0.12100677637947725,0.4,0.42857142857142855,0.08571428571428572,1.026167265264238,1.128783991790662,3.181118522319138,2.8732683427398666,Elite,5,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
984,5,Division I,coahomacommunitycollege,Andres Demoya,,,,Wing,,,12,2.9825,3.3499999999999996,2.45,3,11.416666666666666,3.1666666666666665,1.3333333333333333,1.4166666666666667,1.1666666666666667,0.25,1.8333333333333333,8.75,6.416666666666667,1.6666666666666667,0.5,2.6666666666666665,0.6019332161687171,0.580952380952381,104.7400611620795,0.11669402612233246,0.9411764705882353,0.12996941896024464,0.33766233766233766,0.7333333333333333,0.19047619047619047,1.7444843509492047,1.7444843509492047,3.899435608004105,2.257567983581324,Elite,5,Poor,1,Average,3,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1093,6,Division I,coahomacommunitycollege,Jaidyn Rankins,,,,Wing,,,9,2.9325,3.25,2.45,3,14.666666666666666,4.0,4.333333333333333,2.6666666666666665,1.2222222222222223,0.1111111111111111,1.4444444444444444,10.333333333333334,4.333333333333333,4.888888888888889,0.6666666666666666,3.3333333333333335,0.5873976504093984,0.532258064516129,96.80258140217072,0.1666177908113392,1.625,0.1760046934584922,0.3333333333333333,0.41935483870967744,0.4731182795698925,3.389830508474576,1.694915254237288,5.084745762711864,1.8361581920903955,Very Good,4,Average,3,Below Average,2,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1365,7,Division I,coahomacommunitycollege,Bryan Jean,,,,Wing,,,10,2.8225,2.4000000000000004,3.35,3,6.3,4.5,0.9,0.7,1.1,1.4,2.0,5.5,0.7,3.1,2.4,2.1,0.4589160839160839,0.509090909090909,83.28926493918561,0.08324528966367317,1.2857142857142858,0.09254362771020624,0.2857142857142857,0.12727272727272726,0.5636363636363636,0.8855154965211891,3.1625553447185326,5.692599620493358,2.5300442757748263,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1697,8,Division I,coahomacommunitycollege,Tavion Tanner,,,,Wing,,,9,2.7,3.0999999999999996,2.0,3,1.5555555555555556,2.4444444444444446,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0,0.8888888888888888,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.7777777777777777,0.8101851851851851,0.8333333333333334,110.75949367088607,0.01544477028347996,1.0,0.3164556962025316,,0.0,1.0,0.5649717514124294,0.14124293785310735,3.1073446327683616,1.1299435028248588,Elite,5,Poor,1,Very Good,4,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1883,9,Division I,coahomacommunitycollege,Jaylan Campbell,,,,Wing,,,6,2.625,2.95,2.0,3,4.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333334,2.6666666666666665,0.0,1.0,1.6666666666666667,0.6666666666666666,0.6437768240343348,0.625,106.00706713780919,0.04065799870698944,0.5,0.17667844522968199,,0.0,0.375,0.8368200836820083,0.41841004184100417,2.928870292887029,1.0460251046025104,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3456,10,Division I,coahomacommunitycollege,Samuel Jefferson,,,,Wing,,,9,2.175,2.0500000000000003,2.0,3,2.7777777777777777,4.555555555555555,1.6666666666666667,0.5555555555555556,0.6666666666666666,0.1111111111111111,0.7777777777777778,3.111111111111111,1.5555555555555556,0.3333333333333333,1.5555555555555556,3.0,0.42633015006821284,0.4107142857142857,72.84382284382285,0.04193548387096774,3.0,0.1456876456876457,0.21428571428571427,0.5,0.10714285714285714,0.7062146892655368,0.9887005649717514,5.790960451977401,0.9887005649717514,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
