MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1322,1,Division I,coastalbendcollege,Samuel Nwugha Galan,,,,Wing,,,6,2.7249999999999996,3.15,2.0,3,9.666666666666666,4.666666666666667,1.6666666666666667,2.0,0.5,0.5,2.5,5.0,1.5,4.333333333333333,2.8333333333333335,1.8333333333333333,0.6998069498069498,0.6833333333333333,108.53293413173652,0.08593297742329709,0.8333333333333334,0.22455089820359284,0.5555555555555556,0.3,0.8666666666666667,2.2878932316491896,1.1439466158245948,5.338417540514776,2.8598665395614873,Elite,5,Poor,1,Very Good,4,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1444,2,Division I,coastalbendcollege,Jarrius Jackson Jr,,,,Wing,,,11,2.665,2.4000000000000004,2.9000000000000004,3,9.818181818181818,4.545454545454546,3.090909090909091,0.7272727272727273,1.7272727272727273,0.18181818181818182,1.3636363636363635,9.545454545454545,4.636363636363637,1.7272727272727273,1.0,3.5454545454545454,0.4763585038814397,0.4380952380952381,88.99143045484509,0.11905042181675497,4.25,0.06591957811470006,0.27450980392156865,0.4857142857142857,0.18095238095238095,0.9101251422070534,2.3890784982935154,5.688282138794084,1.7064846416382253,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1668,3,Division I,coastalbendcollege,Taj Petteway,,,,Wing,,,10,2.5700000000000003,2.0,3.2,3,10.6,5.6,1.6,2.1,1.7,0.3,1.9,9.9,4.1,2.2,1.9,3.7,0.4876702245123297,0.47474747474747475,81.73966687230104,0.14004924618774028,0.7619047619047619,0.16193707587908698,0.2926829268292683,0.41414141414141414,0.2222222222222222,2.6282853566958697,2.5031289111389237,7.008760951188986,2.3779724655819776,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Average,3,Below Average,2,Elite,5,Very Good,4,Unknown
2045,4,Division I,coastalbendcollege,Richard Safa,,,,Wing,,,11,2.4250000000000003,2.5500000000000007,2.0,3,9.181818181818182,3.4545454545454546,0.9090909090909091,1.4545454545454546,0.6363636363636364,0.09090909090909091,1.4545454545454546,7.2727272727272725,1.0909090909090908,1.2727272727272727,1.8181818181818181,1.6363636363636365,0.5861188486536676,0.575,98.86452623335944,0.10021581322346479,0.625,0.15661707126076743,0.3333333333333333,0.15,0.175,1.8202502844141069,0.9101251422070534,4.323094425483504,1.8202502844141069,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2047,5,Division I,coastalbendcollege,Travion Hall,,,,Wing,,,8,2.4250000000000003,2.5500000000000007,2.0,3,8.5,2.125,0.75,1.125,0.375,0.25,1.75,7.125,4.25,1.375,0.5,1.625,0.5498059508408797,0.5263157894736842,95.99096555618294,0.09115709285567222,0.6666666666666666,0.12704686617730096,0.29411764705882354,0.5964912280701754,0.19298245614035087,1.3513513513513513,0.7507507507507507,2.5525525525525525,2.1021021021021022,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2410,6,Division I,coastalbendcollege,Jordan Thomas,,,,Wing,,,9,2.325,2.35,2.0,3,2.7777777777777777,0.7777777777777778,0.8888888888888888,0.2222222222222222,0.5555555555555556,0.0,1.0,3.6666666666666665,1.7777777777777777,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.36421911421911424,0.36363636363636365,68.83259911894272,0.04202925384188113,4.0,0.05506607929515418,0.25,0.48484848484848486,0.09090909090909091,0.2711864406779661,0.6779661016949152,0.9491525423728814,1.2203389830508475,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2502,7,Division I,coastalbendcollege,Michael Bruno III,,,,Wing,,,7,2.3,2.3,2.0,3,4.285714285714286,1.5714285714285714,1.4285714285714286,0.5714285714285714,0.5714285714285714,0.14285714285714285,1.1428571428571428,5.285714285714286,2.7142857142857144,0.2857142857142857,0.42857142857142855,1.1428571428571428,0.395987328405491,0.3783783783783784,71.63323782234957,0.06862423805466344,2.5,0.09551098376313276,0.3157894736842105,0.5135135135135135,0.05405405405405406,0.7483629560336763,0.9354536950420954,2.05799812909261,1.4967259120673526,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2529,8,Division I,coastalbendcollege,Roderick Dozier III,,,,Wing,,,11,2.2824999999999998,1.95,2.45,3,5.636363636363637,3.8181818181818183,0.36363636363636365,0.8181818181818182,0.8181818181818182,0.7272727272727273,1.8181818181818181,6.0,2.0,1.1818181818181819,1.5454545454545454,2.272727272727273,0.43223647518126046,0.4166666666666667,76.80872150644203,0.0791838336276241,0.4444444444444444,0.11149653121902875,0.3181818181818182,0.3333333333333333,0.19696969696969696,1.023890784982935,1.9340159271899886,4.778156996587031,2.2753128555176336,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Average,3,Very Good,4,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2777,9,Division I,coastalbendcollege,Nathaniel Smith,,,,Wing,,,11,2.2,2.1,2.0,3,8.454545454545455,2.909090909090909,2.0,2.3636363636363638,0.6363636363636364,0.09090909090909091,2.090909090909091,7.2727272727272725,2.272727272727273,2.3636363636363638,0.5454545454545454,2.3636363636363638,0.5085301837270342,0.50625,79.18937329700273,0.11520502256229155,0.8461538461538461,0.22138964577656675,0.36,0.3125,0.325,2.9579067121729237,0.9101251422070534,3.6405005688282137,2.616609783845279,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Very Good,4,Average,3,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3014,10,Division I,coastalbendcollege,Anson Johnson,,,,Wing,,,6,2.1325000000000003,1.6500000000000001,2.45,3,3.8333333333333335,3.3333333333333335,0.8333333333333334,1.0,1.1666666666666667,0.16666666666666666,1.3333333333333333,4.0,0.0,0.6666666666666666,2.1666666666666665,1.1666666666666667,0.4464285714285714,0.4583333333333333,72.41813602015112,0.05530788520479242,0.8333333333333334,0.1889168765743073,,0.0,0.16666666666666666,1.2207527975584944,1.6276703967446593,4.069175991861648,1.6276703967446593,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
