MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
419,1,Division I,cochisecollege,Naeem Colston,,,,Wing,,,19,3.3175,3.25,3.55,3,7.684210526315789,8.0,2.3157894736842106,1.3157894736842106,1.3157894736842106,0.5789473684210527,2.526315789473684,5.2105263157894735,0.0,1.0526315789473684,2.789473684210526,5.2105263157894735,0.6771799628942486,0.6565656565656566,109.93975903614457,0.08113193714718604,1.76,0.18825301204819275,,0.0,0.20202020202020202,1.736714136853074,2.5008683570684265,10.55922195206669,3.3344911427579023,Elite,5,Poor,1,Very Good,4,Very Good,4,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Unknown
727,2,Division I,cochisecollege,Teron Murray,,,,Wing,,,19,3.1125000000000007,3.400000000000001,2.75,3,17.36842105263158,5.157894736842105,2.0,1.894736842105263,1.105263157894737,0.0,1.8421052631578947,12.578947368421053,3.6842105263157894,5.2631578947368425,1.368421052631579,3.789473684210526,0.5830388692579506,0.5334728033472803,103.44827586206897,0.19488771046650863,1.0555555555555556,0.11285266457680251,0.2714285714285714,0.2928870292887029,0.41841004184100417,2.5008683570684265,1.458839874956582,6.80791941646405,2.4313997915943037,Very Good,4,Very Good,4,Average,3,Below Average,2,Very Good,4,Poor,1,Very Good,4,Very Good,4,Elite,5,Very Good,4,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
1030,3,Division I,cochisecollege,Davon Jones,,,,Wing,,,16,2.9575000000000005,3.3000000000000007,2.45,3,13.5625,4.875,0.8125,1.4375,1.5,0.0,2.125,9.9375,3.3125,3.125,2.3125,2.5625,0.5994475138121547,0.5471698113207547,106.37254901960785,0.14890076202154684,0.5652173913043478,0.11274509803921569,0.33962264150943394,0.3333333333333333,0.31446540880503143,1.8922254216371863,1.974496092143151,6.4171122994652405,2.797202797202797,Very Good,4,Below Average,2,Average,3,Poor,1,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1272,4,Division I,cochisecollege,Emmanuel Jo Samuel,,,,Wing,,,19,2.8500000000000005,3.4000000000000004,2.0,3,16.736842105263158,3.5789473684210527,1.7894736842105263,1.5263157894736843,0.7368421052631579,0.10526315789473684,1.5263157894736843,14.157894736842104,8.210526315789474,2.6315789473684212,0.6842105263157895,2.8947368421052633,0.5463917525773195,0.516728624535316,99.375,0.19549864372815912,1.1724137931034482,0.090625,0.34615384615384615,0.5799256505576208,0.18587360594795538,2.0145883987495656,1.1114970475859673,4.723862452240361,2.0145883987495656,Average,3,Very Good,4,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1284,5,Division I,cochisecollege,Jose Mendez,,,,Wing,,,7,2.8500000000000005,3.4000000000000004,2.0,3,3.857142857142857,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,2.2857142857142856,1.7142857142857142,0.0,0.42857142857142855,0.7142857142857143,0.84375,0.84375,150.0,0.027578599007170437,1.0,0.1111111111111111,0.5833333333333334,0.75,0.0,0.351493848857645,0.1757469244288225,1.40597539543058,0.351493848857645,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1531,6,Division I,cochisecollege,Deandre Hawthorne,,,,Wing,,,14,2.75,3.2000000000000006,2.0,3,1.8571428571428572,0.7857142857142857,0.5,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.21428571428571427,1.5,0.9285714285714286,0.14285714285714285,0.2857142857142857,0.5,0.5941499085923218,0.5714285714285714,104.50160771704181,0.020531440831820437,2.3333333333333335,0.12057877813504823,0.3076923076923077,0.6190476190476191,0.09523809523809523,0.27945971122496505,0.4657661853749418,1.0246856078248718,0.27945971122496505,Very Good,4,Poor,1,Average,3,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1606,7,Division I,cochisecollege,Gabriel Grant,,,,Wing,,,17,2.7325,2.8499999999999996,2.45,3,4.411764705882353,4.352941176470588,0.7647058823529411,0.8235294117647058,0.23529411764705882,1.0588235294117647,0.8823529411764706,3.1176470588235294,0.0,1.0588235294117647,1.0,3.3529411764705883,0.6155613919894944,0.6037735849056604,100.106780565937,0.05066955227918302,0.9285714285714286,0.18686599038974905,,0.0,0.33962264150943394,1.0789980732177264,1.6955684007707128,5.703275529865126,1.1560693641618498,Elite,5,Poor,1,Below Average,2,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2286,8,Division I,cochisecollege,Diego Martinez,,,,Wing,,,8,2.5,2.7,2.0,3,1.125,1.5,1.875,0.25,0.0,0.125,0.375,0.875,0.375,0.125,0.375,1.125,0.6048387096774194,0.6428571428571429,95.33898305084745,0.012854030501089329,7.5,0.21186440677966098,0.3333333333333333,0.42857142857142855,0.14285714285714285,0.3088803088803089,0.15444015444015444,1.8532818532818534,0.46332046332046334,Elite,5,Poor,1,Below Average,2,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2317,9,Division I,cochisecollege,Jhace Johnson,,,,Wing,,,19,2.49,2.4,2.4000000000000004,3,11.842105263157896,4.315789473684211,4.7894736842105265,2.789473684210526,1.5789473684210527,0.3684210526315789,2.8421052631578947,9.368421052631579,2.210526315789474,3.5789473684210527,0.6842105263157895,3.6315789473684212,0.5410734898037707,0.4803370786516854,86.23332822321018,0.15940470662984776,1.7169811320754718,0.20312739537022842,0.21428571428571427,0.23595505617977527,0.38202247191011235,3.6818339701285168,2.5703369225425496,5.696422368878083,3.75130253560264,Average,3,Average,3,Poor,1,Very Good,4,Poor,1,Poor,1,Average,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Average,3,Average,3,Unknown
2754,10,Division I,cochisecollege,Devin Falk-Ramirez,,,,Wing,,,14,2.3575,2.1,2.45,3,5.857142857142857,1.2857142857142858,2.7142857142857144,1.2857142857142858,1.1428571428571428,0.07142857142857142,1.2142857142857142,5.642857142857143,3.0714285714285716,0.6428571428571429,0.07142857142857142,1.2142857142857142,0.4942140790742527,0.4873417721518987,81.2202852614897,0.08331407823073116,2.111111111111111,0.17828843106180667,0.3023255813953488,0.5443037974683544,0.11392405063291139,1.6767582673497905,1.5836050302748022,1.6767582673497905,1.5836050302748022,Below Average,2,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
