MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1411,1,Division I,colbycommunitycollege,Daniel Cramer,,,,Wing,,,11,2.8,3.3000000000000003,2.0,3,4.0,1.0,1.1818181818181819,0.7272727272727273,0.6363636363636364,0.0,1.8181818181818181,2.6363636363636362,0.9090909090909091,1.0,0.2727272727272727,0.7272727272727273,0.6501182033096926,0.6551724137931034,105.1625239005736,0.043326982023030404,1.625,0.19120458891013384,0.6,0.3448275862068966,0.3793103448275862,0.936768149882904,0.819672131147541,1.288056206088993,2.34192037470726,Elite,5,Poor,1,Average,3,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1414,2,Division I,colbycommunitycollege,D.J. Cason,,,,Wing,,,16,2.8,3.3,2.0,3,14.25,2.5,2.5625,3.0625,0.75,0.0,2.375,9.75,4.875,4.3125,0.6875,1.8125,0.6117192530585962,0.5288461538461539,96.87287559483345,0.1632585111400905,0.8367346938775511,0.20819170632222977,0.47435897435897434,0.5,0.4423076923076923,3.850687622789784,0.9430255402750491,3.143418467583497,2.986247544204322,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Unknown
1806,3,Division I,colbycommunitycollege,Kellan Simoneau,,,,Wing,,,14,2.6500000000000004,3.0,2.0,3,6.928571428571429,1.8571428571428572,0.7857142857142857,0.8571428571428571,0.5714285714285714,0.0,1.7142857142857142,5.642857142857143,3.857142857142857,1.2857142857142858,0.7142857142857143,1.1428571428571428,0.5579843534284399,0.5316455696202531,98.05903760614638,0.08044107601730476,0.9166666666666666,0.1213101496158512,0.37037037037037035,0.6835443037974683,0.22784810126582278,1.1044638748274276,0.7363092498849517,2.3930050621260928,2.208927749654855,Average,3,Poor,1,Below Average,2,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1913,4,Division I,colbycommunitycollege,Giannis Asimakopoulos,,,,Wing,,,13,2.615,2.3,2.9000000000000004,3,10.538461538461538,4.769230769230769,1.0769230769230769,1.5384615384615385,1.1538461538461537,0.7692307692307693,2.0,9.153846153846153,3.4615384615384617,3.1538461538461537,1.3846153846153846,3.3846153846153846,0.4998540572095739,0.4327731092436975,87.23892002037698,0.136742015255477,0.7,0.1273560876209883,0.2,0.37815126050420167,0.3445378151260504,1.9598236158745712,2.449779519843214,6.075453209211171,2.5477707006369426,Below Average,2,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2012,5,Division I,colbycommunitycollege,Braedyn Gillespie,,,,Wing,,,13,2.575,2.8500000000000005,2.0,3,6.3076923076923075,1.2307692307692308,0.9230769230769231,1.0769230769230769,0.6923076923076923,0.15384615384615385,0.8461538461538461,4.923076923076923,3.1538461538461537,0.9230769230769231,0.38461538461538464,0.8461538461538461,0.5918013856812933,0.5625,98.46301633045148,0.071357576173013,0.8571428571428571,0.16810758885686838,0.34146341463414637,0.640625,0.1875,1.3592233009708738,1.0679611650485437,1.5533980582524272,1.0679611650485437,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2080,6,Division I,colbycommunitycollege,Owen Reece,,,,Wing,,,13,2.5500000000000007,2.8000000000000007,2.0,3,7.384615384615385,2.769230769230769,0.6923076923076923,1.0,0.6923076923076923,0.07692307692307693,2.0,5.769230769230769,1.4615384615384615,1.3846153846153846,1.3076923076923077,1.4615384615384615,0.5788712011577424,0.5533333333333333,100.08340283569642,0.08329859663748784,0.6923076923076923,0.13552960800667221,0.3684210526315789,0.25333333333333335,0.24,1.2751348700343306,0.980872976949485,3.531142717018146,2.550269740068661,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2551,7,Division I,colbycommunitycollege,Tyce Bollers,,,,Wing,,,11,2.425,2.55,2.0,3,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.09090909090909091,0.0,0.45454545454545453,0.5376344086021505,0.5714285714285714,94.78672985781989,0.008649313383890142,5.0,0.11848341232227487,0.5,0.5714285714285714,0.14285714285714285,0.11574074074074074,0.3472222222222222,0.5787037037037037,0.8101851851851852,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3124,8,Division I,colbycommunitycollege,Nana Keutcha,,,,Wing,,,17,2.26,1.8,2.5999999999999996,3,5.764705882352941,7.117647058823529,0.4117647058823529,1.5294117647058822,0.5882352941176471,0.35294117647058826,1.9411764705882353,4.588235294117647,0.0,2.0588235294117645,2.588235294117647,4.529411764705882,0.5246252676659529,0.5,82.07705192629815,0.07899333121625912,0.2692307692307692,0.21775544388609713,,0.0,0.44871794871794873,1.9439252336448598,1.1962616822429906,9.046728971962617,2.467289719626168,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Unknown
3549,9,Division I,colbycommunitycollege,Aliou Diallo,,,,Wing,,,13,2.15,2.0,2.0,3,8.307692307692308,2.076923076923077,1.8461538461538463,2.0,1.0,0.07692307692307693,2.0,7.769230769230769,3.8461538461538463,3.769230769230769,0.7692307692307693,1.3076923076923077,0.4406005221932115,0.40594059405940597,72.6978998384491,0.13078385801817027,0.9230769230769231,0.17501346257404415,0.28,0.49504950495049505,0.48514851485148514,2.565367538233843,1.3813517513566849,2.664035520473606,2.565367538233843,Poor,1,Below Average,2,Poor,1,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3600,10,Division I,colbycommunitycollege,Jaydyn Corchado,,,,Wing,,,7,2.15,2.0,2.0,3,0.8571428571428571,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.0,0.0,1.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.2857142857142857,0.75,0.75,85.71428571428571,0.011381373569198753,0.3333333333333333,0.42857142857142855,,0.0,0.0,0.5489478499542544,0.0,0.7319304666056725,1.280878316559927,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
