MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
128,1,Division I,collegeofsouthernidaho,Ace Reiser,12,Fr.,Guard,Guard,6'0,165,14,3.6799999999999997,3.2500000000000004,4.55,3,13.0,6.357142857142857,4.5,2.0714285714285716,2.357142857142857,0.35714285714285715,1.9285714285714286,9.928571428571429,4.071428571428571,2.7142857142857144,1.2142857142857142,5.142857142857143,0.5843822245055227,0.564748201438849,98.5275010827198,0.15667514843087363,2.1724137931034484,0.15699436985708098,0.3684210526315789,0.41007194244604317,0.2733812949640288,2.8278888347147735,3.7055095075572893,8.678693320331545,2.6328620185275478,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Average
323,2,Division I,collegeofsouthernidaho,Cooper Kesler,2,R-Fr.,Guard,Guard,6'2,170,14,3.3975000000000004,4.050000000000001,2.2,4,11.714285714285714,4.142857142857143,1.9285714285714286,1.2857142857142858,0.7857142857142857,0.14285714285714285,1.6428571428571428,7.428571428571429,5.071428571428571,2.357142857142857,0.5,3.642857142857143,0.6918663516706042,0.6730769230769231,120.12891883973046,0.11579304495335029,1.5,0.13184881336067977,0.4507042253521127,0.6826923076923077,0.3173076923076923,1.7552413456850318,1.2676743052169672,5.655777669429547,2.242808386153096,Elite,5,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
937,3,Division I,collegeofsouthernidaho,Guygustone Kasenga,33,Fr.,Center,Big,6'9,215,13,2.9975,3.5500000000000003,2.0,4,4.461538461538462,4.538461538461538,0.23076923076923078,0.5384615384615384,0.23076923076923078,1.3846153846153846,1.3076923076923077,3.1538461538461537,0.0,1.2307692307692308,2.076923076923077,2.4615384615384617,0.6036636136552873,0.5853658536585366,105.37790697674419,0.05061056348388995,0.42857142857142855,0.12718023255813954,,0.0,0.3902439024390244,0.7383966244725738,2.2151898734177213,6.223628691983122,1.7932489451476794,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
1188,4,Division I,collegeofsouthernidaho,Nathan Ahner,22,So.,Forward,Wing,6'6,215,12,2.8825000000000003,2.5000000000000004,2.95,4,12.083333333333334,6.25,3.75,2.0,1.0833333333333333,0.5833333333333334,2.4166666666666665,9.416666666666666,2.4166666666666665,5.583333333333333,1.5,4.75,0.5088433464345874,0.46017699115044247,87.09754925516579,0.16309416513186253,1.875,0.14416146083613648,0.27586206896551724,0.25663716814159293,0.5929203539823009,2.7133973996608254,2.2611644997173546,8.479366873940078,3.278688524590164,Below Average,2,Average,3,Poor,1,Very Good,4,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Below Average,2,Very Good,4,Very Good,4,Very Good
1314,5,Division I,collegeofsouthernidaho,Ben Thornbrue,13,R-So.,Forward,Big,6'8,215,10,2.8275000000000006,3.1500000000000004,2.4000000000000004,3,12.4,6.6,1.1,1.0,0.8,1.6,2.3,8.7,1.7,5.3,2.9,3.7,0.5620014503263234,0.4942528735632184,103.05851063829788,0.14340882002383792,1.1,0.08311170212765957,0.35294117647058826,0.19540229885057472,0.6091954022988506,1.3568521031207599,3.2564450474898234,8.955223880597014,3.1207598371777476,Average,3,Below Average,2,Below Average,2,Average,3,Elite,5,Insufficient Volume,3,Very Good,4,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Average
1566,6,Division I,collegeofsouthernidaho,Kobe Kesler,24,Fr.,Guard,Guard,6'2,185,14,2.7375,2.5,2.75,4,4.0,2.5714285714285716,1.0714285714285714,0.35714285714285715,1.0714285714285714,0.35714285714285715,1.5714285714285714,4.071428571428571,2.357142857142857,0.9285714285714286,0.8571428571428571,1.7142857142857142,0.44642857142857145,0.41228070175438597,82.69344359125812,0.05743850720949958,3.0,0.07383343177790903,0.2727272727272727,0.5789473684210527,0.22807017543859648,0.48756704046806437,1.9502681618722575,3.5104826913700635,2.145294978059483,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
2657,7,Division I,collegeofsouthernidaho,Charlie Dimmock,25,Fr.,Center,Big,6'9,235,14,2.365,2.5,1.6,4,6.785714285714286,4.642857142857143,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.7142857142857143,1.0714285714285714,5.571428571428571,0.14285714285714285,1.5714285714285714,0.8571428571428571,3.7857142857142856,0.5417427007299269,0.5064102564102564,101.40905209222886,0.07945716709075488,1.0,0.06404782237403928,0.5,0.02564102564102564,0.28205128205128205,0.5850804485616772,1.1701608971233544,6.338371526084837,1.4627011214041932,Below Average,2,Poor,1,Below Average,2,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
2962,8,Division I,collegeofsouthernidaho,Kyah Farris-White,23,Fr.,Center,Big,6'10,215,12,2.2975000000000003,2.35,1.6,4,3.75,2.75,0.08333333333333333,0.6666666666666666,0.25,0.5833333333333334,2.0,2.9166666666666665,0.16666666666666666,0.6666666666666666,1.3333333333333333,1.4166666666666667,0.5841121495327102,0.5857142857142857,96.73258813413585,0.04565080860417649,0.125,0.17196904557179707,0.5,0.05714285714285714,0.22857142857142856,0.9034443817052513,1.129305477131564,3.7267080745341614,2.710333145115754,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
3389,9,Division I,collegeofsouthernidaho,Jalen Lyn,1,So.,Guard,Guard,6'3,190,14,2.17,2.2,1.6,4,15.428571428571429,4.214285714285714,1.7857142857142858,2.4285714285714284,0.42857142857142855,0.07142857142857142,2.642857142857143,12.714285714285714,4.571428571428571,4.571428571428571,0.7142857142857143,3.5,0.5238649592549476,0.47752808988764045,89.9400399733511,0.2036980491942324,0.7352941176470589,0.14157228514323783,0.25,0.3595505617977528,0.3595505617977528,3.315455875182838,0.6825938566552902,5.753291077523159,3.6079960994636764,Average,3,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Very Good,4,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Very Good
3695,10,Division I,collegeofsouthernidaho,Emil Hirvonen,34,Fr.,Center,Big,6'11,230,14,2.0875,1.5499999999999998,1.6,5,2.0,1.8571428571428572,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.35714285714285715,1.2857142857142858,1.7142857142857142,0.6428571428571429,0.5714285714285714,0.6428571428571429,1.2142857142857142,0.5087209302325582,0.4791666666666667,78.82882882882883,0.030127226463104322,0.25,0.22522522522522526,0.1111111111111111,0.375,0.3333333333333333,0.780107264748903,0.6825938566552902,2.5353486104339344,1.7552413456850318,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Elite
