MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
271,1,Division I,collegeofsouthernnevada,Ryan Raad,,,,Wing,,,17,3.465,4.0,2.9000000000000004,3,19.0,4.470588235294118,2.0,2.588235294117647,1.2941176470588236,0.47058823529411764,2.235294117647059,12.117647058823529,6.411764705882353,4.764705882352941,0.6470588235294118,3.823529411764706,0.6683496109915578,0.633495145631068,113.07940064416749,0.1922259011009718,0.7727272727272727,0.15404005041310742,0.44954128440366975,0.529126213592233,0.3932038834951456,3.295880149812734,2.247191011235955,5.692883895131086,2.846441947565543,Elite,5,Very Good,4,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
688,2,Division I,collegeofsouthernnevada,Gerald Patterson,,,,Wing,,,18,3.1350000000000007,3.2000000000000006,3.1,3,13.833333333333334,8.5,3.0555555555555554,1.6111111111111112,1.1111111111111112,0.2777777777777778,2.6666666666666665,9.944444444444445,1.2777777777777777,5.222222222222222,2.2777777777777777,6.222222222222222,0.5649845707024868,0.5223463687150838,99.85563041385947,0.15920118494305122,1.896551724137931,0.116297722168752,0.30434782608695654,0.12849162011173185,0.5251396648044693,2.0545518951470068,1.7711654268508679,10.839532412327312,3.4006376195536663,Average,3,Average,3,Below Average,2,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Below Average,2,Very Good,4,Very Good,4,Elite,5,Unknown
778,3,Division I,collegeofsouthernnevada,Ivoryon Cuffee,,,,Wing,,,14,3.0824999999999996,3.55,2.45,3,14.928571428571429,3.642857142857143,3.5,2.0714285714285716,1.3571428571428572,0.0,2.357142857142857,11.642857142857142,3.2142857142857144,2.0714285714285716,0.5714285714285714,3.0714285714285716,0.5945607646791079,0.5736196319018405,102.07071693690175,0.16568487830139828,1.6896551724137931,0.14162922445790194,0.4222222222222222,0.27607361963190186,0.17791411042944785,2.6044005388414906,1.7063313875168389,4.580152671755725,2.963628199371352,Very Good,4,Average,3,Average,3,Very Good,4,Average,3,Elite,5,Very Good,4,Very Good,4,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
945,4,Division I,collegeofsouthernnevada,Drake Watanabe,,,,Wing,,,13,3.0,3.7,2.0,3,11.76923076923077,2.5384615384615383,2.923076923076923,1.7692307692307692,0.7692307692307693,0.0,1.0769230769230769,8.692307692307692,6.3076923076923075,1.3076923076923077,0.38461538461538464,2.1538461538461537,0.6349601593625498,0.6283185840707964,106.63507109004738,0.12693301249159564,1.6521739130434783,0.16030108725954834,0.3902439024390244,0.7256637168141593,0.1504424778761062,2.2504892367906066,0.9784735812133072,3.228962818003914,1.36986301369863,Elite,5,Below Average,2,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1299,5,Division I,collegeofsouthernnevada,Demarion Yap,,,,Wing,,,17,2.8475,2.45,3.35,3,12.882352941176471,4.529411764705882,2.6470588235294117,2.588235294117647,1.8823529411764706,0.29411764705882354,1.411764705882353,11.529411764705882,6.0,2.235294117647059,1.588235294117647,2.9411764705882355,0.514761188416698,0.4897959183673469,85.30694920535991,0.172554713125773,1.0227272727272727,0.17139295730757242,0.37254901960784315,0.5204081632653061,0.19387755102040816,3.2823573293547184,2.7601641178664678,5.7441253263707575,1.7903767251025737,Below Average,2,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1331,6,Division I,collegeofsouthernnevada,Qualib Ghallab,,,,Wing,,,16,2.8324999999999996,3.05,2.45,3,4.4375,3.5625,1.5,0.5,0.5625,0.625,1.375,3.5625,0.1875,0.75,1.0625,2.5,0.5700064226075786,0.543859649122807,101.0244735344337,0.05115588423688349,3.0,0.11383039271485486,0.0,0.05263157894736842,0.21052631578947367,0.6438631790744467,1.529175050301811,4.5875251509054324,1.7706237424547284,Very Good,4,Poor,1,Below Average,2,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1974,7,Division I,collegeofsouthernnevada,Myron Hubbard,,,,Wing,,,16,2.59,2.25,2.9000000000000004,3,3.4375,4.4375,1.4375,0.875,1.375,0.625,1.625,2.8125,1.375,0.75,1.1875,3.25,0.5469371519490851,0.5333333333333333,85.56316116988177,0.045868417296988734,1.6428571428571428,0.2177971375233354,0.2727272727272727,0.4888888888888889,0.26666666666666666,1.109350237717908,2.535657686212361,5.625990491283677,2.0602218700475436,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3665,8,Division I,collegeofsouthernnevada,Christian Ware,,,,Wing,,,9,2.125,1.9500000000000002,2.0,3,1.3333333333333333,1.4444444444444444,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,1.1111111111111112,1.6666666666666667,1.0,0.4444444444444444,0.8888888888888888,0.5555555555555556,0.35799522673031026,0.3,60.72874493927125,0.02539323532435489,1.0,0.15182186234817813,0.1111111111111111,0.6,0.26666666666666666,0.42735042735042733,0.2849002849002849,1.8518518518518519,1.4245014245014245,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3670,9,Division I,collegeofsouthernnevada,Joshua Chiu,,,,Wing,,,8,2.125,1.9500000000000002,2.0,3,0.625,0.375,0.0,0.125,0.25,0.25,0.25,0.375,0.0,0.5,0.125,0.25,0.5252100840336135,0.3333333333333333,86.80555555555556,0.008424994149309618,0.0,0.1736111111111111,,0.0,1.3333333333333333,0.16012810248198558,0.6405124099279423,0.4803843074459568,0.32025620496397117,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4075,10,Division I,collegeofsouthernnevada,Corbin Putnam,,,,Wing,,,10,2.0,1.7000000000000002,2.0,3,4.0,1.3,0.6,1.1,0.2,0.2,2.1,3.5,0.1,0.9,0.5,0.8,0.5133470225872689,0.4857142857142857,80.0640512409928,0.05694875068393217,0.5454545454545454,0.2201761409127302,0.0,0.02857142857142857,0.2571428571428571,1.3915243516761544,0.5060088551549652,1.644528779253637,2.6565464895635675,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
