MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
157,1,Division I,collincountycommunitycollege,Jayden Ramnanan,,,,Wing,,,18,3.6224999999999996,4.0,3.35,3,13.833333333333334,3.611111111111111,3.3333333333333335,1.4444444444444444,1.8333333333333333,0.05555555555555555,0.8333333333333334,10.0,6.611111111111111,4.611111111111111,0.16666666666666666,3.4444444444444446,0.575004618510992,0.5055555555555555,102.67194458189014,0.16632375936136942,2.3076923076923075,0.10720765297707405,0.33613445378151263,0.6611111111111111,0.46111111111111114,1.9938650306748467,2.607361963190184,4.984662576687117,1.1503067484662577,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
299,2,Division I,collincountycommunitycollege,Nick Gunter,,,,Wing,,,18,3.4275,3.05,4.15,3,10.944444444444445,7.388888888888889,2.7222222222222223,2.0,0.5555555555555556,2.1666666666666665,2.2777777777777777,6.444444444444445,0.5,5.388888888888889,2.1666666666666665,5.222222222222222,0.6207461557852281,0.5905172413793104,101.19169919868501,0.13351438839053026,1.3611111111111112,0.18491884117526197,0.1111111111111111,0.07758620689655173,0.8362068965517241,2.7607361963190185,3.7576687116564416,10.199386503067485,3.144171779141104,Elite,5,Below Average,2,Below Average,2,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Very Good,4,Unknown
367,3,Division I,collincountycommunitycollege,Kevin Paul,,,,Wing,,,18,3.365,3.0999999999999996,3.9,3,13.055555555555555,6.555555555555555,2.6666666666666665,2.0555555555555554,0.9444444444444444,1.3888888888888888,2.7222222222222223,8.555555555555555,0.3888888888888889,5.944444444444445,2.388888888888889,4.166666666666667,0.5843445394867715,0.5,98.70631720430109,0.16327874249033,1.2972972972972974,0.15540994623655915,0.0,0.045454545454545456,0.6948051948051948,2.8374233128834354,3.2208588957055215,9.049079754601227,3.7576687116564416,Very Good,4,Average,3,Below Average,2,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Elite,5,Average,3,Average,3,Very Good,4,Unknown
406,4,Division I,collincountycommunitycollege,David Chong,,,,Wing,,,17,3.33,3.1,3.8,3,11.764705882352942,3.6470588235294117,4.235294117647059,2.6470588235294117,2.3529411764705883,0.0,1.8823529411764706,8.529411764705882,4.764705882352941,3.176470588235294,0.7058823529411765,2.9411764705882355,0.5925574780753733,0.5517241379310345,93.562874251497,0.15454019664545976,1.6,0.21051646706586827,0.37037037037037035,0.5586206896551724,0.3724137931034483,3.6437246963562755,3.2388663967611335,5.020242914979757,2.591093117408907,Very Good,4,Average,3,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Average,3,Unknown
1851,5,Division I,collincountycommunitycollege,Tyrese Perry-Huggins,,,,Wing,,,10,2.6325000000000003,2.65,2.45,3,4.3,4.1,1.5,0.8,0.7,0.5,1.2,2.6,0.0,2.6,1.8,2.3,0.5742521367521368,0.6153846153846154,94.63028169014085,0.05823849072080385,1.875,0.17605633802816903,,0.0,1.0,1.148600143575018,1.722900215362527,5.886575735821967,1.722900215362527,Very Good,4,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2300,6,Division I,collincountycommunitycollege,Chris Jones JR,,,,Wing,,,6,2.5,2.6999999999999997,2.0,3,1.3333333333333333,1.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,1.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5076142131979695,0.5,101.5228426395939,0.016348547717842322,,0.0,0.5,0.2857142857142857,0.2857142857142857,0.0,0.23094688221709006,1.8475750577367205,0.0,Below Average,2,Poor,1,Below Average,2,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2350,7,Division I,collincountycommunitycollege,David Emelife,,,,Wing,,,18,2.4800000000000004,2.45,2.3,3,9.222222222222221,5.555555555555555,1.2777777777777777,1.5,0.5555555555555556,0.1111111111111111,1.0555555555555556,7.0,3.6666666666666665,3.111111111111111,1.7777777777777777,3.7777777777777777,0.5509824747742964,0.48412698412698413,93.4474217518577,0.12182810742600059,0.8518518518518519,0.15199279441567215,0.2727272727272727,0.5238095238095238,0.4444444444444444,2.0705521472392636,0.9202453987730062,7.668711656441718,1.4570552147239264,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
3211,8,Division I,collincountycommunitycollege,Cortlin Siska,,,,Wing,,,14,2.245,2.05,2.2,3,7.0,3.4285714285714284,3.4285714285714284,2.357142857142857,1.2142857142857142,0.14285714285714285,2.2857142857142856,6.0,1.3571428571428572,2.142857142857143,0.6428571428571429,2.7857142857142856,0.5041152263374485,0.4642857142857143,75.26881720430109,0.11677967925949842,1.4545454545454546,0.2534562211981567,0.3157894736842105,0.2261904761904762,0.35714285714285715,3.3165829145728645,1.9095477386934674,4.824120603015075,3.2160804020100504,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
3262,9,Division I,collincountycommunitycollege,Brandt Evanson,,,,Wing,,,12,2.225,2.1500000000000004,2.0,3,2.1666666666666665,1.0833333333333333,0.75,0.4166666666666667,0.5,0.0,1.0,2.6666666666666665,2.0,0.25,0.5,0.5833333333333334,0.39015606242497,0.375,67.84968684759916,0.040577745774916345,1.8,0.1304801670146138,0.25,0.75,0.09375,0.5938242280285035,0.7125890736342043,1.5439429928741093,1.4251781472684086,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3906,10,Division I,collincountycommunitycollege,Travis Fralin,,,,Wing,,,7,2.05,1.8000000000000003,2.0,3,0.2857142857142857,1.2857142857142858,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.8571428571428571,0.0,0.42857142857142855,0.8571428571428571,0.125,0.125,20.0,0.01730942325001731,2.0,0.2,0.0,0.75,0.0,0.39215686274509803,0.19607843137254902,1.7647058823529411,0.19607843137254902,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
