MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
115,1,Division I,columbiastatecommunitycollege,Nate Malosa,,,,Wing,,,20,3.7199999999999998,3.25,4.7,3,8.85,8.7,0.35,0.95,0.4,2.5,0.8,6.1,0.75,2.75,4.05,4.65,0.6053351573187415,0.5860655737704918,107.14285714285715,0.08423929671405551,0.3684210526315789,0.11501210653753027,0.4666666666666667,0.12295081967213115,0.45081967213114754,1.1953444479396036,3.648946209499843,10.946838628499528,1.0066058508965083,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Unknown
293,2,Division I,columbiastatecommunitycollege,Sam Parson,,,,Wing,,,15,3.4325,4.25,2.45,3,9.0,2.933333333333333,1.3333333333333333,0.8666666666666667,1.0666666666666667,0.26666666666666666,0.8666666666666667,5.8,2.8666666666666667,1.9333333333333333,0.8,2.1333333333333333,0.6766238973536487,0.6551724137931034,119.72330613692799,0.07489770976141134,1.5384615384615385,0.11528910961333806,0.4186046511627907,0.4942528735632184,0.3333333333333333,1.0616578195181707,1.6333197223356473,3.593303389138424,1.0616578195181707,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
700,3,Division I,columbiastatecommunitycollege,Tyren Fisher,,,,Wing,,,19,3.13,2.6999999999999997,3.8,3,9.789473684210526,4.368421052631579,2.736842105263158,1.4736842105263157,2.1578947368421053,0.5263157894736842,0.5789473684210527,7.7894736842105265,2.3157894736842106,2.8421052631578947,1.3157894736842106,3.0526315789473686,0.5414531904983698,0.5135135135135135,93.11173408089708,0.10824988078206961,1.8571428571428572,0.14016820184221065,0.3181818181818182,0.2972972972972973,0.36486486486486486,1.873536299765808,3.412512546002007,5.553696888591502,0.7360321177651389,Average,3,Poor,1,Poor,1,Very Good,4,Average,3,Average,3,Average,3,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
707,4,Division I,columbiastatecommunitycollege,JD Claybrook,,,,Wing,,,14,3.125,3.95,2.0,3,5.642857142857143,4.142857142857143,0.8571428571428571,0.5714285714285714,0.35714285714285715,0.07142857142857142,0.42857142857142855,3.2857142857142856,0.21428571428571427,1.9285714285714286,1.2142857142857142,2.9285714285714284,0.6824464409122322,0.6956521739130435,119.9149969641773,0.04831328835435612,1.5,0.12143290831815423,0.0,0.06521739130434782,0.5869565217391305,0.7194244604316546,0.539568345323741,5.215827338129497,0.539568345323741,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
738,5,Division I,columbiastatecommunitycollege,Jamison Glass,,,,Wing,,,18,3.1050000000000004,3.7,2.3,3,12.277777777777779,5.555555555555555,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.2777777777777778,0.6111111111111112,8.555555555555555,0.05555555555555555,3.611111111111111,2.7222222222222223,2.8333333333333335,0.6051478641840088,0.577922077922078,112.41098677517803,0.11095810005418096,0.8571428571428571,0.07121057985757884,0.0,0.006493506493506494,0.42207792207792205,0.9739130434782609,1.3217391304347825,6.956521739130435,0.7652173913043478,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1100,6,Division I,columbiastatecommunitycollege,Murray Norman,,,,Wing,,,14,2.9250000000000007,3.5500000000000007,2.0,3,3.2857142857142856,1.1428571428571428,1.0714285714285714,0.5,1.0,0.0,0.35714285714285715,2.2857142857142856,1.0714285714285714,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.663972286374134,0.65625,110.47070124879923,0.0299611454885595,2.142857142857143,0.16810758885686838,0.4,0.46875,0.1875,0.619743249225321,1.239486498450642,1.416555998229305,0.4426737494466578,Elite,5,Poor,1,Very Good,4,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1230,7,Division I,columbiastatecommunitycollege,Darnell Seay,,,,Wing,,,6,2.875,3.45,2.0,3,2.8333333333333335,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1.6666666666666667,1.1666666666666667,0.0,0.0,0.0,0.85,0.85,154.54545454545453,0.01842669525596355,0.0,0.09090909090909091,0.7142857142857143,0.7,0.0,0.2094240837696335,0.0,0.0,0.0,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1694,8,Division I,columbiastatecommunitycollege,Piotr Luczak,,,,Wing,,,12,2.7,3.0999999999999996,2.0,3,4.0,3.0833333333333335,0.25,0.5833333333333334,0.25,0.5833333333333334,0.75,2.8333333333333335,0.0,1.0,1.8333333333333333,1.25,0.6109979633401221,0.6470588235294118,103.71650821089023,0.039375170160631634,0.42857142857142855,0.1512532411408816,,0.0,0.35294117647058826,0.7337526205450734,1.0482180293501049,3.8784067085953877,0.9433962264150944,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1753,9,Division I,columbiastatecommunitycollege,Taveon Comage,,,,Wing,,,20,2.6725000000000003,2.1,3.35,3,8.35,2.65,3.1,1.5,2.2,0.0,0.65,7.6,1.95,2.1,0.75,1.9,0.48979352416705774,0.4605263157894737,83.3000798084597,0.10222938380892162,2.066666666666667,0.14964086193136472,0.2564102564102564,0.2565789473684211,0.27631578947368424,1.887385970430953,2.7681660899653977,3.334381881094684,0.817867253853413,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Average,3,Very Good,4,Very Good,4,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1776,10,Division I,columbiastatecommunitycollege,Malik Currie,,,,Wing,,,14,2.6575000000000006,2.7000000000000006,2.45,3,4.714285714285714,4.142857142857143,0.14285714285714285,0.6428571428571429,0.21428571428571427,1.0,1.2142857142857142,3.7142857142857144,1.3571428571428572,1.2857142857142858,1.7142857142857142,2.4285714285714284,0.5507343124165553,0.5192307692307693,95.76320371445154,0.04958986904590588,0.2222222222222222,0.130586186883343,0.3157894736842105,0.36538461538461536,0.34615384615384615,0.796812749003984,1.5050907481186366,5.13501549358123,1.5050907481186366,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1957,11,Division I,columbiastatecommunitycollege,Mike Terry,,,,Wing,,,8,2.5999999999999996,2.9,2.0,3,3.75,2.75,0.25,0.25,0.25,0.0,0.5,3.25,0.0,0.0,1.5,1.25,0.5769230769230769,0.5769230769230769,107.14285714285714,0.033839311611718076,1.0,0.07142857142857142,,0.0,0.0,0.29828486204325133,0.29828486204325133,3.2811334824757643,0.5965697240865027,Very Good,4,Poor,1,Average,3,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2111,12,Division I,columbiastatecommunitycollege,Arnez Anderson,,,,Wing,,,8,2.55,2.8,2.0,3,9.75,1.5,2.0,2.0,0.625,0.0,0.75,6.375,1.875,3.375,0.5,1.0,0.6202290076335878,0.5490196078431373,98.8843813387424,0.10217087197554531,1.0,0.20283975659229211,0.4,0.29411764705882354,0.5294117647058824,2.5437201907790143,0.794912559618442,1.9077901430842608,0.9538950715421304,Elite,5,Poor,1,Below Average,2,Below Average,2,Poor,1,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2784,13,Division I,columbiastatecommunitycollege,Josiah Marsh,,,,Wing,,,11,2.35,2.4000000000000004,2.0,3,2.090909090909091,1.7272727272727273,0.2727272727272727,0.7272727272727273,0.36363636363636365,0.09090909090909091,0.6363636363636364,1.0909090909090908,0.0,0.9090909090909091,0.5454545454545454,1.1818181818181819,0.701219512195122,0.6666666666666666,94.26229508196722,0.022254651587012036,0.375,0.3278688524590164,,0.0,0.8333333333333334,0.898876404494382,0.5617977528089888,2.134831460674157,0.7865168539325843,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2835,14,Division I,columbiastatecommunitycollege,Juwan McLemore,,,,Wing,,,7,2.3499999999999996,2.3999999999999995,2.0,3,1.0,1.7142857142857142,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,1.4285714285714286,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.2857142857142858,0.3216911764705882,0.3,58.92255892255892,0.01648260169820745,2.0,0.08417508417508417,0.0,0.1,0.2,0.17123287671232876,0.17123287671232876,2.0547945205479454,0.3424657534246575,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2901,15,Division I,columbiastatecommunitycollege,Cam Phillips,,,,Wing,,,12,2.325,2.35,2.0,3,1.9166666666666667,1.0833333333333333,0.75,0.16666666666666666,0.16666666666666666,0.0,0.4166666666666667,3.0,1.1666666666666667,0.3333333333333333,0.25,0.8333333333333334,0.3045550847457627,0.2916666666666667,57.84708249496982,0.03317424823949538,4.5,0.05030181086519115,0.21428571428571427,0.3888888888888889,0.1111111111111111,0.2054442732408834,0.2054442732408834,1.3353877760657422,0.5136106831022085,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2938,16,Division I,columbiastatecommunitycollege,Kenny Ellis,,,,Wing,,,19,2.3150000000000004,1.7,2.9000000000000004,3,6.578947368421052,4.105263157894737,3.6315789473684212,2.1578947368421053,1.9473684210526316,0.05263157894736842,1.4736842105263157,8.473684210526315,3.9473684210526314,1.2105263157894737,1.105263157894737,3.0,0.3652407667134175,0.35093167701863354,58.92890816518951,0.11324904967325845,1.6829268292682926,0.1932868187818216,0.25333333333333335,0.4658385093167702,0.14285714285714285,2.6964814205853336,2.4991779020059193,5.129891483064782,1.8414995067412037,Poor,1,Poor,1,Poor,1,Very Good,4,Below Average,2,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
3207,17,Division I,columbiastatecommunitycollege,Nathan Beasley,,,,Wing,,,6,2.25,2.1999999999999997,2.0,3,0.6666666666666666,0.5,0.0,0.3333333333333333,0.0,0.16666666666666666,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,1.0,1.0,100.0,0.006825006825006826,0.0,0.5,,0.0,0.0,0.4179728317659352,0.2089864158829676,0.6269592476489029,1.2539184952978057,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
