MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1759,1,Division I,communitychristiancollege,Amari Callender,,,,Wing,,,9,2.67,2.2,3.2,3,12.0,5.555555555555555,1.6666666666666667,2.111111111111111,1.1111111111111112,0.4444444444444444,1.1111111111111112,10.88888888888889,2.2222222222222223,2.0,1.1111111111111112,4.444444444444445,0.5098187311178247,0.4897959183673469,86.45533141210375,0.1875225171130059,0.7894736842105263,0.1520973422990714,0.3,0.20408163265306123,0.1836734693877551,3.107113654946852,2.2894521668029437,8.176614881439084,1.6353229762878168,Below Average,2,Average,3,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Average,3,Average,3,Average,3,Below Average,2,Average,3,Below Average,2,Elite,5,Very Good,4,Unknown
1986,2,Division I,communitychristiancollege,Sage Gonzalez,,,,Wing,,,9,2.5825000000000005,2.5500000000000007,2.45,3,9.88888888888889,2.888888888888889,1.6666666666666667,1.3333333333333333,0.8888888888888888,0.1111111111111111,1.4444444444444444,9.666666666666666,5.111111111111111,0.8888888888888888,0.4444444444444444,2.4444444444444446,0.49160406539991164,0.47701149425287354,86.81232930159969,0.15389696169088507,1.25,0.11705033164260632,0.32608695652173914,0.5287356321839081,0.09195402298850575,1.9623875715453802,1.4717906786590351,4.251839738348324,2.125919869174162,Below Average,2,Average,3,Poor,1,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2824,3,Division I,communitychristiancollege,Jermiah Calhoun,,,,Wing,,,8,2.3499999999999996,2.4,2.0,3,13.0,3.125,1.125,2.25,0.625,0.125,0.875,11.25,4.625,4.75,0.75,2.375,0.487256371814093,0.40555555555555556,83.38678640153945,0.2526537557734381,0.5,0.14432328415651058,0.2972972972972973,0.4111111111111111,0.4222222222222222,3.9735099337748343,1.3245033112582782,5.518763796909492,1.5452538631346577,Poor,1,Elite,5,Poor,1,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Unknown
3189,4,Division I,communitychristiancollege,Jaylen Talbert,,,,Wing,,,8,2.25,2.2,2.0,3,4.25,3.625,0.375,0.375,0.625,0.125,1.375,4.75,0.25,1.375,1.125,2.5,0.3968253968253968,0.3157894736842105,74.17102966841186,0.07973838018369052,1.0,0.06544502617801047,0.0,0.05263157894736842,0.2894736842105263,0.5676442762535477,1.1352885525070955,5.4872280037842955,2.0813623462630084,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3866,5,Division I,communitychristiancollege,Will Walker,,,,Wing,,,7,2.075,1.85,2.0,3,1.8571428571428572,1.2857142857142858,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.14285714285714285,1.2857142857142858,2.7142857142857144,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.30036968576709794,0.2631578947368421,48.7987987987988,0.062155856276248256,1.0,0.18768768768768768,0.0,0.15789473684210525,0.3157894736842105,1.272264631043257,1.0178117048346056,2.2900763358778624,2.2900763358778624,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3974,6,Division I,communitychristiancollege,Kewan Mack,,,,Wing,,,6,2.05,1.8,2.0,3,1.5,0.5,0.5,0.8333333333333334,0.3333333333333333,0.0,1.0,1.1666666666666667,0.5,0.6666666666666666,0.0,0.5,0.5136986301369864,0.5714285714285714,65.40697674418605,0.027890384303551157,0.6,0.3633720930232558,0.6666666666666666,0.42857142857142855,0.5714285714285714,1.1025358324145536,0.4410143329658214,0.6615214994487321,1.3230429988974641,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4103,7,Division I,communitychristiancollege,Rusty Arandia,,,,Wing,,,6,1.9999999999999998,1.7,2.0,3,3.1666666666666665,1.5,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.16666666666666666,0.3333333333333333,5.833333333333333,2.3333333333333335,1.0,0.3333333333333333,1.1666666666666667,0.25239107332624866,0.24285714285714285,39.88245172124265,0.1368808182967475,0.8,0.20990764063811923,0.07142857142857142,0.4,0.17142857142857143,3.125,0.9375,2.8125,0.625,Poor,1,Below Average,2,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
4262,8,Division I,communitychristiancollege,Davieon Ward,,,,Wing,,,7,1.95,1.6,2.0,3,1.0,0.7142857142857143,0.5714285714285714,1.1428571428571428,0.5714285714285714,0.0,0.8571428571428571,1.0,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.3804347826086957,0.2857142857142857,40.697674418604656,0.04006708907938874,0.5,0.46511627906976744,0.0,0.42857142857142855,0.7142857142857143,2.02275600505689,1.011378002528445,1.2642225031605563,1.5170670037926675,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4273,9,Division I,communitychristiancollege,Thomas Towers,,,,Wing,,,6,1.95,1.6,2.0,3,0.5,0.6666666666666666,0.0,0.5,0.5,0.0,1.8333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.398936170212766,0.0,44.37869822485207,0.016179990426041166,0.0,0.4437869822485207,,0.0,2.0,0.7802340702210663,0.7802340702210663,1.0403120936280885,2.860858257477243,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4304,10,Division I,communitychristiancollege,Travis Dowdell,,,,Wing,,,6,1.925,1.5500000000000003,2.0,3,2.6666666666666665,1.1666666666666667,0.16666666666666666,2.5,0.3333333333333333,0.0,1.1666666666666667,2.8333333333333335,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0,0.4166666666666667,0.4117647058823529,46.783625730994146,0.10474090407938258,0.06666666666666667,0.43859649122807015,0.4,0.29411764705882354,0.29411764705882354,4.975124378109452,0.6633499170812603,2.3217247097844114,2.3217247097844114,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Unknown
