MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
287,1,Division I,cowleycountycommunitycollege,Roman Miller,23,,Guard/Forward,Wing,6'5,185,13,3.3575,4.1000000000000005,2.45,3,14.0,4.3076923076923075,1.5384615384615385,1.0,1.0769230769230769,0.38461538461538464,1.7692307692307692,10.384615384615385,5.076923076923077,2.6153846153846154,0.7692307692307693,3.5384615384615383,0.6068284875966924,0.5703703703703704,111.68384879725086,0.14588555468022632,1.5384615384615385,0.07977417771232204,0.3333333333333333,0.4888888888888889,0.2518518518518518,1.2732615083251715,1.860920666013712,5.484818805093046,2.2526934378060726,Elite,5,Below Average,2,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Average
350,2,Division I,cowleycountycommunitycollege,Kyden Thompson,4,,Point Guard,Guard,6'3,180,13,3.2875,2.4500000000000006,4.4,4,7.846153846153846,3.5384615384615383,4.923076923076923,2.3076923076923075,2.0,0.7692307692307693,2.0,5.384615384615385,1.2307692307692308,2.6923076923076925,1.2307692307692308,2.3076923076923075,0.5971896955503513,0.5214285714285715,88.38821490467937,0.10330874453913916,2.1333333333333333,0.2599653379549393,0.1875,0.22857142857142856,0.5,2.9382957884427032,3.525954946131244,4.505386875612145,2.546523016650343,Very Good,4,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Elite,5,Very Good
419,3,Division I,cowleycountycommunitycollege,LJ Britt,1,,Guard,Guard,6'3,190,13,3.21,3.55,2.45,4,3.923076923076923,1.6153846153846154,1.7692307692307692,0.6923076923076923,1.5384615384615385,0.07692307692307693,2.3846153846153846,2.230769230769231,0.6923076923076923,1.3076923076923077,0.46153846153846156,1.1538461538461537,0.6990131578947367,0.603448275862069,112.1372031662269,0.0407147461147318,2.5555555555555554,0.19788918205804748,0.3333333333333333,0.3103448275862069,0.5862068965517241,0.881488736532811,2.0568070519098924,2.0568070519098924,3.0362389813907935,Elite,5,Poor,1,Elite,5,Very Good,4,Below Average,2,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Very Good
768,4,Division I,cowleycountycommunitycollege,Marcus Smith,0,,Guard,Guard,6'0,175,13,2.9775,2.8000000000000007,3.25,3,16.076923076923077,3.0,2.6153846153846154,2.5384615384615383,2.4615384615384617,0.07692307692307693,2.769230769230769,12.461538461538462,4.230769230769231,4.538461538461538,0.6923076923076923,2.3076923076923075,0.5559693551819536,0.5,94.58725561187545,0.19780849387667407,1.0303030303030303,0.1493482983345402,0.32727272727272727,0.3395061728395062,0.36419753086419754,3.2321253672869736,3.2321253672869736,3.819784524975514,3.525954946131244,Average,3,Average,3,Below Average,2,Below Average,2,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Very Good,4,Poor,1,Average,3,Very Good,4,Average
802,5,Division I,cowleycountycommunitycollege,Chase Robinson,3,,Guard/Forward,Wing,6'5,190,13,2.9574999999999996,3.2999999999999994,2.45,3,8.615384615384615,4.615384615384615,0.9230769230769231,1.1538461538461537,1.3076923076923077,0.07692307692307693,0.9230769230769231,5.846153846153846,0.23076923076923078,1.4615384615384615,1.3076923076923077,3.3076923076923075,0.6638217164532954,0.6447368421052632,112.72141706924316,0.08894936618205257,0.8,0.15096618357487923,0.0,0.039473684210526314,0.25,1.4691478942213516,1.762977473065622,5.8765915768854065,1.1753183153770812,Elite,5,Poor,1,Very Good,4,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Average
1298,6,Division I,cowleycountycommunitycollege,Aven Mboule,12,,Guard,Guard,5'10,175,10,2.7300000000000004,3.2,2.2,2,1.2,0.6,0.3,0.0,0.3,0.0,0.7,1.2,0.8,0.0,0.2,0.4,0.5,0.5,100.0,0.014187751241428232,99.0,0.0,0.25,0.6666666666666666,0.0,0.0,0.3893575600259572,0.7787151200519143,0.9085009733939,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average
1716,7,Division I,cowleycountycommunitycollege,Xavier Vickerstaff,5,,Forward,Wing,6'6,215,13,2.5575,2.2,2.45,4,8.307692307692308,3.6153846153846154,0.8461538461538461,0.7692307692307693,0.5384615384615384,0.6153846153846154,2.076923076923077,8.384615384615385,6.538461538461538,0.6923076923076923,0.8461538461538461,2.769230769230769,0.47804532577903686,0.4724770642201835,87.8334417696812,0.11007663109646924,1.1,0.08132726089785297,0.3176470588235294,0.7798165137614679,0.08256880733944955,0.9794319294809011,1.4691478942213516,4.603330068560235,2.644466209598433,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
1864,8,Division I,cowleycountycommunitycollege,CJ Majors,10,,Point Guard,Guard,6'3,175,11,2.495,2.25,2.45,4,8.818181818181818,3.909090909090909,1.0909090909090908,2.090909090909091,1.4545454545454546,0.09090909090909091,2.272727272727273,6.0,1.9090909090909092,2.272727272727273,1.0909090909090908,2.8181818181818183,0.6298701298701299,0.5757575757575758,97.0,0.10433621301281248,0.5217391304347826,0.23,0.38095238095238093,0.3181818181818182,0.3787878787878788,2.6376146788990824,1.9495412844036697,4.931192660550459,2.86697247706422,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Very Good
2023,9,Division I,cowleycountycommunitycollege,Jordan Smith,22,,Forward,Big,6'8,230,6,2.4400000000000004,3.0,1.6,3,1.6666666666666667,1.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,1.1666666666666667,1.3333333333333333,0.0,0.16666666666666666,0.5,0.8333333333333334,0.5924170616113744,0.625,105.93220338983052,0.0187346193538144,1.0,0.10593220338983052,,0.0,0.125,0.2176278563656148,1.3057671381936888,1.7410228509249184,1.5233949945593035,Average,3,Poor,1,Average,3,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
2228,10,Division I,cowleycountycommunitycollege,Jaxson Jones,11,,Forward,Wing,6'7,215,12,2.375,2.1500000000000004,2.0,4,2.9166666666666665,2.3333333333333335,0.0,0.16666666666666666,0.4166666666666667,0.5,1.0,2.6666666666666665,0.9166666666666666,0.75,0.3333333333333333,2.0,0.48665183537263623,0.4375,92.20231822971549,0.036590067859346084,0.0,0.05268703898840885,0.18181818181818182,0.34375,0.28125,0.210637177461822,1.1585044760400212,2.9489204844655084,1.263823064770932,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
2345,11,Division I,cowleycountycommunitycollege,Leslie Owens Jr,,,,Wing,,,13,2.3374999999999995,2.55,1.75,3,10.153846153846153,3.1538461538461537,1.8461538461538463,1.6923076923076923,0.5384615384615384,0.46153846153846156,2.6153846153846154,7.384615384615385,1.0,4.461538461538462,0.8461538461538461,2.3076923076923075,0.54312047399605,0.4427083333333333,91.9732441471572,0.12848241781852035,1.0909090909090908,0.153288740245262,0.23076923076923078,0.13541666666666666,0.6041666666666666,2.1547502448579823,1.2732615083251715,4.015670910871695,3.3300685602350635,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2417,12,Division I,cowleycountycommunitycollege,Khai Brown,24,,Guard,Guard,6'2,175,12,2.325,2.1,2.2,4,2.5,1.0833333333333333,0.5833333333333334,0.4166666666666667,0.75,0.16666666666666666,0.75,2.9166666666666665,1.6666666666666667,0.0,0.5833333333333334,0.5,0.42857142857142855,0.42857142857142855,75.0,0.038954462233648866,1.4,0.125,0.3,0.5714285714285714,0.0,0.5336179295624333,1.1739594450373532,1.3874066168623265,0.96051227321238,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
