MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
992,1,Division I,dawsoncommunitycollege,Brandon Hymes,,,,Wing,,,15,2.915,2.9,2.9000000000000004,3,12.0,4.333333333333333,2.4,2.8,1.9333333333333333,0.06666666666666667,2.466666666666667,7.866666666666666,1.8,4.266666666666667,1.4666666666666666,2.8666666666666667,0.6157635467980296,0.5720338983050848,95.66326530612245,0.13272388691383102,0.8571428571428571,0.22321428571428573,0.3333333333333333,0.2288135593220339,0.5423728813559322,3.343949044585987,2.388535031847134,5.17515923566879,2.945859872611465,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Average,3,Average,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1250,2,Division I,dawsoncommunitycollege,Matthew Kinzeler,,,,Wing,,,12,2.8,3.3,2.0,3,8.833333333333334,3.1666666666666665,1.9166666666666667,1.0,0.8333333333333334,0.0,1.9166666666666667,7.583333333333333,4.416666666666667,1.4166666666666667,0.6666666666666666,2.5,0.5381803411860276,0.4945054945054945,95.94496741491672,0.1013615178538662,1.9166666666666667,0.10861694424330195,0.37735849056603776,0.5824175824175825,0.18681318681318682,1.2352032938754502,1.029336078229542,3.9114770972722592,2.3674729799279466,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1543,3,Division I,dawsoncommunitycollege,Aries Lewis,,,,Wing,,,10,2.6775,2.6,2.6500000000000004,3,10.2,5.1,1.2,1.5,0.6,1.5,2.7,7.6,1.7,3.8,0.9,4.2,0.5500431406384815,0.5263157894736842,94.68993687337542,0.11802086072398983,0.8,0.13924990716672855,0.23529411764705882,0.2236842105263158,0.5,1.845018450184502,2.5830258302583027,6.273062730627307,3.321033210332103,Average,3,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
1802,4,Division I,dawsoncommunitycollege,Michael Murphy,,,,Wing,,,13,2.575,2.8500000000000005,2.0,3,5.538461538461538,2.5384615384615383,0.0,0.3076923076923077,0.38461538461538464,0.15384615384615385,1.6153846153846154,4.6923076923076925,3.5384615384615383,0.38461538461538464,0.7692307692307693,1.7692307692307692,0.5696202531645569,0.5573770491803278,107.14285714285714,0.05666486778197517,0.0,0.05952380952380952,0.34782608695652173,0.7540983606557377,0.08196721311475409,0.3795066413662239,0.6641366223908919,3.130929791271347,1.9924098671726755,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Very Good,4,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1816,5,Division I,dawsoncommunitycollege,Sharif Yakubu,,,,Wing,,,12,2.575,2.8499999999999996,2.0,3,3.5833333333333335,2.5833333333333335,1.0,0.6666666666666666,0.5,0.16666666666666666,1.1666666666666667,2.4166666666666665,0.08333333333333333,1.3333333333333333,1.1666666666666667,1.4166666666666667,0.5965593784683685,0.5517241379310345,97.63851044504996,0.03990720939504874,1.5,0.18165304268846502,0.0,0.034482758620689655,0.5517241379310345,0.8217770929635336,0.8217770929635336,3.184386235233693,1.4381099126861838,Very Good,4,Poor,1,Below Average,2,Very Good,4,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2049,6,Division I,dawsoncommunitycollege,Kai Guess,,,,Wing,,,13,2.4825,2.3499999999999996,2.45,3,11.0,2.5384615384615383,1.5384615384615385,1.8461538461538463,0.9230769230769231,0.46153846153846156,1.6153846153846154,9.076923076923077,3.076923076923077,1.9230769230769231,1.1538461538461537,1.3846153846153846,0.5542635658914729,0.5169491525423728,93.4640522875817,0.12574791242027744,0.8333333333333334,0.1568627450980392,0.3,0.3389830508474576,0.211864406779661,2.2181146025878005,1.6635859519408502,3.0499075785582255,1.9408502772643252,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Below Average,2,Very Good,4,Very Good,4,Average,3,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2211,7,Division I,dawsoncommunitycollege,Zakai Owens,,,,Wing,,,13,2.4325,2.25,2.45,3,5.615384615384615,5.076923076923077,1.3076923076923077,0.9230769230769231,1.4615384615384615,0.15384615384615385,1.3076923076923077,5.0,1.2307692307692308,1.3076923076923077,1.3846153846153846,3.6923076923076925,0.5035871964679911,0.5076923076923077,86.41098484848484,0.07069692709379394,1.4166666666666667,0.14204545454545453,0.25,0.24615384615384617,0.26153846153846155,1.1288805268109126,1.975540921919097,6.208842897460019,1.5992474129821261,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2397,8,Division I,dawsoncommunitycollege,Adesoye Onaleye,,,,Wing,,,12,2.375,2.45,2.0,3,9.5,2.75,1.6666666666666667,1.75,0.5833333333333334,0.08333333333333333,1.25,8.333333333333334,3.8333333333333335,1.9166666666666667,0.6666666666666666,2.0833333333333335,0.5176171449328005,0.495,86.94325808419768,0.12029799258688392,0.9523809523809523,0.16015863331299574,0.3695652173913043,0.46,0.23,2.161605764282038,0.8234688625836336,3.3968090581574883,1.5440041173443129,Below Average,2,Below Average,2,Poor,1,Below Average,2,Average,3,Very Good,4,Very Good,4,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2822,9,Division I,dawsoncommunitycollege,Kuich Gatwech,,,,Wing,,,12,2.25,2.2,2.0,3,6.416666666666667,3.3333333333333335,0.6666666666666666,0.75,0.5,0.25,1.4166666666666667,5.916666666666667,2.8333333333333335,0.6666666666666666,0.75,2.5833333333333335,0.5166398282340312,0.5211267605633803,92.19348659003832,0.07662666519872288,0.8888888888888888,0.10775862068965518,0.29411764705882354,0.4788732394366197,0.11267605633802817,0.9264024704065877,0.9264024704065877,4.117344312918168,1.7498713329902214,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3448,10,Division I,dawsoncommunitycollege,Delray Lilley,,,,Wing,,,12,2.075,1.8500000000000003,2.0,3,3.5833333333333335,1.4166666666666667,0.5833333333333334,1.1666666666666667,0.5833333333333334,0.0,1.9166666666666667,3.0,1.5,0.16666666666666666,0.3333333333333333,1.0833333333333333,0.5829718004338394,0.5694444444444444,84.5125786163522,0.04514961132999681,0.5,0.2751572327044025,0.5,0.5,0.05555555555555555,1.3916500994035785,0.6958250497017893,1.6898608349900597,2.286282306163022,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3852,11,Division I,dawsoncommunitycollege,Kale Fasting,,,,Wing,,,9,1.95,1.6,2.0,3,0.7777777777777778,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.0,0.6666666666666666,1.1111111111111112,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.30918727915194344,0.3,42.8921568627451,0.01886705202312139,0.6,0.30637254901960786,0.0,0.4,0.3,0.6535947712418301,0.39215686274509803,0.7843137254901961,0.7843137254901961,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3929,12,Division I,dawsoncommunitycollege,Troy Hugs,,,,Wing,,,10,1.925,1.55,2.0,3,2.0,0.9,0.1,0.7,0.2,0.0,0.6,1.8,0.8,0.2,0.1,0.8,0.5296610169491526,0.5,77.27975270479135,0.027915605988695684,0.14285714285714285,0.27047913446676974,0.25,0.4444444444444444,0.1111111111111111,0.8557457212713936,0.24449877750611246,1.1002444987775062,0.7334963325183375,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3969,13,Division I,dawsoncommunitycollege,Kuirwohl Chol,,,,Wing,,,10,1.9,1.5,2.0,3,2.1,1.5,0.2,0.5,0.1,0.1,0.4,1.9,0.5,0.2,0.5,1.0,0.5281690140845071,0.5263157894736842,84.40514469453376,0.026069826899702414,0.4,0.2009646302250804,0.0,0.2631578947368421,0.10526315789473684,0.591715976331361,0.23668639053254437,1.7751479289940828,0.47337278106508873,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
