MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
196,1,Division I,delgadocommunitycollege,Oren Bowens,,,,Wing,,,15,3.51,3.25,4.1,3,18.066666666666666,6.2,2.8,2.4,3.2666666666666666,0.3333333333333333,1.8,15.066666666666666,4.066666666666666,3.933333333333333,1.3333333333333333,4.866666666666666,0.537783775202413,0.5243362831858407,94.11029309626336,0.21315212885651683,1.1666666666666667,0.12501736352271148,0.3770491803278688,0.26991150442477874,0.2610619469026549,3.0848329048843186,4.627249357326479,7.969151670951157,2.3136246786632393,Average,3,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Average,3,Elite,5,Below Average,2,Elite,5,Very Good,4,Unknown
474,2,Division I,delgadocommunitycollege,Amir Rios,,,,Wing,,,14,3.2024999999999997,2.5999999999999996,4.15,3,11.928571428571429,7.428571428571429,1.9285714285714286,1.3571428571428572,2.2142857142857144,0.9285714285714286,2.4285714285714284,10.571428571428571,0.5714285714285714,3.9285714285714284,2.9285714285714284,4.5,0.4849012775842044,0.44932432432432434,87.34309623430963,0.15076961897552357,1.4210526315789473,0.0993723849372385,0.125,0.05405405405405406,0.3716216216216216,1.7415215398716775,4.032997250229148,9.532538955087077,3.1164069660861595,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Unknown
1086,3,Division I,delgadocommunitycollege,Khalil Awogboro,,,,Wing,,,15,2.8724999999999996,2.5,3.35,3,14.266666666666667,2.2666666666666666,2.6,2.7333333333333334,2.0,0.13333333333333333,2.2,13.266666666666667,6.2,2.6666666666666665,0.8,1.4666666666666666,0.4939981532779317,0.4748743718592965,83.07453416149067,0.19067922070231538,0.9512195121951219,0.1591614906832298,0.3118279569892473,0.46733668341708545,0.20100502512562815,3.513281919451585,2.7420736932305054,2.9134532990574122,2.827763496143959,Below Average,2,Very Good,4,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
2229,4,Division I,delgadocommunitycollege,Kaydan Joseph,,,,Wing,,,15,2.425,2.5500000000000003,2.0,3,4.666666666666667,3.6,0.5333333333333333,0.5333333333333333,0.6,0.13333333333333333,2.066666666666667,3.8,0.9333333333333333,1.7333333333333334,1.3333333333333333,2.2666666666666666,0.5113968439509059,0.5087719298245614,91.57509157509158,0.05658198614318705,1.0,0.10465724751439037,0.2857142857142857,0.24561403508771928,0.45614035087719296,0.6855184233076264,0.9425878320479862,4.627249357326479,2.6563838903170525,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2246,5,Division I,delgadocommunitycollege,James Chaney,,,,Wing,,,15,2.425,2.55,2.0,3,5.266666666666667,1.0,0.8,1.0666666666666667,0.26666666666666666,0.26666666666666666,0.6666666666666666,3.933333333333333,0.4666666666666667,0.8,0.4666666666666667,0.5333333333333333,0.6144990665836964,0.5932203389830508,98.40558046836074,0.05942440930893586,0.75,0.19930244145490783,0.5714285714285714,0.11864406779661017,0.2033898305084746,1.3710368466152527,0.6855184233076264,1.2853470437017995,0.856898029134533,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2590,6,Division I,delgadocommunitycollege,Christian Creppel,,,,Wing,,,15,2.325,2.35,2.0,3,5.666666666666667,1.5333333333333334,0.5333333333333333,0.6666666666666666,0.9333333333333333,0.13333333333333333,1.4,5.2,3.0,1.4,0.4666666666666667,1.0666666666666667,0.48716185236130216,0.4230769230769231,87.41258741258741,0.07197844495765972,0.8,0.10283833813245578,0.3111111111111111,0.5769230769230769,0.2692307692307692,0.856898029134533,1.3710368466152527,1.9708654670094259,1.7994858611825193,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2744,7,Division I,delgadocommunitycollege,Evan Mouzon,,,,Wing,,,15,2.275,2.25,2.0,3,2.933333333333333,1.1333333333333333,1.4,0.6,0.4,0.13333333333333333,1.2,3.6666666666666665,1.8,0.9333333333333333,0.26666666666666666,0.8666666666666667,0.3597122302158274,0.3,62.71379703534778,0.05193343992420204,2.3333333333333335,0.12827822120866592,0.25925925925925924,0.4909090909090909,0.2545454545454545,0.7712082262210797,0.6855184233076264,1.4567266495287061,1.5424164524421593,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2928,8,Division I,delgadocommunitycollege,London Lee,,,,Wing,,,15,2.225,1.8000000000000003,2.5,3,8.933333333333334,5.6,1.5333333333333334,2.1333333333333333,1.0666666666666667,0.26666666666666666,2.8,8.266666666666667,1.1333333333333333,2.466666666666667,2.1333333333333333,3.466666666666667,0.4776161961790704,0.4435483870967742,77.7803575574646,0.1275241309883342,0.71875,0.1857441374506617,0.11764705882352941,0.13709677419354838,0.29838709677419356,2.7420736932305054,1.713796058269066,7.197943444730077,3.5989717223650386,Poor,1,Below Average,2,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Poor,1,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Unknown
3678,9,Division I,delgadocommunitycollege,Clayton Blackledge,,,,Wing,,,15,2.0,1.7000000000000002,2.0,3,2.2666666666666666,2.933333333333333,0.9333333333333333,0.7333333333333333,0.5333333333333333,0.4,1.5333333333333334,2.2,0.06666666666666667,0.5333333333333333,1.1333333333333333,1.8,0.46549835706462206,0.48484848484848486,71.54882154882155,0.035174986676141405,1.2727272727272727,0.23148148148148145,0.0,0.030303030303030304,0.24242424242424243,0.9425878320479862,1.1996572407883461,3.770351328191945,1.9708654670094259,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3975,10,Division I,delgadocommunitycollege,Colyn Ericksen,,,,Wing,,,10,1.9,1.5,2.0,3,0.8,1.2,0.5,0.9,0.3,0.1,0.3,1.1,0.5,0.3,0.2,1.0,0.3246753246753247,0.2727272727272727,37.5234521575985,0.02290896587294765,0.5555555555555556,0.4221388367729831,0.0,0.45454545454545453,0.2727272727272727,1.113861386138614,0.49504950495049505,1.4851485148514851,0.3712871287128713,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
