MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
54,1,Division I,dodgecitycommunitycollege,Wesly Rosa,,,,Wing,,,18,3.9074999999999998,3.8,4.45,3,7.777777777777778,9.055555555555555,0.1111111111111111,0.5555555555555556,0.4444444444444444,3.5555555555555554,2.7222222222222223,4.388888888888889,0.0,3.0555555555555554,2.6666666666666665,6.388888888888889,0.6782945736434108,0.7215189873417721,123.67491166077738,0.07043480425097688,0.2,0.08833922261484099,,0.0,0.6962025316455697,0.6784260515603799,4.884667571234735,11.058344640434193,3.324287652645862,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Unknown
498,2,Division I,dodgecitycommunitycollege,Rickey Loftin II,,,,Wing,,,18,3.2575000000000003,3.9,2.45,3,15.555555555555555,5.055555555555555,1.9444444444444444,2.0555555555555554,1.1666666666666667,0.16666666666666666,2.0555555555555554,9.833333333333334,2.5555555555555554,4.944444444444445,0.6666666666666666,4.388888888888889,0.6476683937823834,0.576271186440678,110.60199083583505,0.15752009756340377,0.9459459459459459,0.14615263074735346,0.391304347826087,0.2598870056497175,0.5028248587570622,2.5101763907734056,1.6282225237449117,6.173677069199457,2.5101763907734056,Elite,5,Average,3,Very Good,4,Below Average,2,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
510,3,Division I,dodgecitycommunitycollege,Andrew Mabry,,,,Wing,,,13,3.25,4.2,2.0,3,5.538461538461538,1.3076923076923077,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.0,1.5384615384615385,4.153846153846154,2.923076923076923,0.6923076923076923,0.3076923076923077,1.0,0.6211180124223602,0.6296296296296297,116.20400258231116,0.054318476698109894,1.75,0.0645577792123951,0.47368421052631576,0.7037037037037037,0.16666666666666666,0.387409200968523,0.29055690072639223,1.6464891041162228,1.937046004842615,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1245,4,Division I,dodgecitycommunitycollege,Derrick Rivers,,,,Wing,,,18,2.865,2.8,2.9000000000000004,3,21.5,4.5,3.6666666666666665,3.7222222222222223,1.6666666666666667,0.1111111111111111,1.9444444444444444,15.777777777777779,6.222222222222222,8.88888888888889,1.0,3.5,0.5459932279909707,0.43133802816901406,91.83673469387756,0.2622016476268697,0.9850746268656716,0.15899383009017562,0.2767857142857143,0.39436619718309857,0.5633802816901409,4.545454545454546,2.1709633649932156,5.495251017639077,2.37449118046133,Average,3,Elite,5,Poor,1,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Below Average,2,Unknown
1429,5,Division I,dodgecitycommunitycollege,Brad Johnson,,,,Wing,,,18,2.795,3.15,2.2,3,10.61111111111111,4.222222222222222,2.6666666666666665,1.4444444444444444,0.9444444444444444,0.5555555555555556,2.5555555555555554,8.88888888888889,5.222222222222222,2.4444444444444446,0.6111111111111112,3.611111111111111,0.5324487065120428,0.5125,93.00740163615114,0.12777819258816794,1.8461538461538463,0.12660693416439422,0.3829787234042553,0.5875,0.275,1.7639077340569878,1.8317503392130259,5.156037991858887,3.1207598371777476,Average,3,Below Average,2,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
2409,6,Division I,dodgecitycommunitycollege,Justin Houston,,,,Wing,,,13,2.4624999999999995,2.8,1.75,3,2.769230769230769,2.1538461538461537,0.0,0.5384615384615384,0.07692307692307693,0.23076923076923078,2.3846153846153846,1.7692307692307692,0.0,0.8461538461538461,0.6923076923076923,1.4615384615384615,0.646551724137931,0.5652173913043478,103.32950631458093,0.0305431847669811,0.0,0.20091848450057403,,0.0,0.4782608695652174,0.6779661016949152,0.387409200968523,2.711864406779661,3.002421307506053,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
3071,7,Division I,dodgecitycommunitycollege,Jayvion Nurse,,,,Wing,,,18,2.275,2.25,2.0,3,11.11111111111111,3.5,2.2777777777777777,3.0,0.8333333333333334,0.1111111111111111,1.6666666666666667,8.61111111111111,3.388888888888889,2.888888888888889,0.5,3.0,0.5621767483696875,0.5096774193548387,86.25150940141452,0.1442793499091565,0.7592592592592593,0.23287907538381922,0.32786885245901637,0.3935483870967742,0.33548387096774196,3.6635006784260518,1.153324287652646,4.274084124830393,2.03527815468114,Average,3,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Unknown
3160,8,Division I,dodgecitycommunitycollege,Jordan Russell,,,,Wing,,,13,2.25,2.2,2.0,3,5.461538461538462,3.923076923076923,0.9230769230769231,1.0,0.23076923076923078,0.23076923076923078,2.0,4.153846153846154,0.23076923076923078,2.3846153846153846,1.3846153846153846,2.5384615384615383,0.5248373743347132,0.48148148148148145,88.04563492063492,0.07069467335273696,0.9230769230769231,0.16121031746031747,0.6666666666666666,0.05555555555555555,0.5740740740740741,1.2590799031476998,0.5811138014527845,4.939467312348668,2.5181598062953996,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3251,9,Division I,dodgecitycommunitycollege,Christian Brockett,,,,Wing,,,13,2.225,2.1500000000000004,2.0,3,2.4615384615384617,2.3846153846153846,1.5384615384615385,0.6153846153846154,0.7692307692307693,0.0,1.1538461538461537,2.3076923076923075,0.5384615384615384,1.4615384615384615,0.3076923076923077,2.076923076923077,0.4171011470281543,0.23333333333333334,69.02502157031924,0.04064242381737209,2.5,0.1725625539257981,0.2857142857142857,0.23333333333333334,0.6333333333333333,0.774818401937046,0.9685230024213075,3.002421307506053,1.4527845036319613,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3757,10,Division I,dodgecitycommunitycollege,Richard Rojas,,,,Wing,,,7,2.0999999999999996,1.9000000000000001,2.0,3,3.0,2.7142857142857144,0.8571428571428571,1.0,0.2857142857142857,0.5714285714285714,2.142857142857143,2.142857142857143,0.14285714285714285,1.7142857142857142,0.42857142857142855,2.2857142857142856,0.5177514792899408,0.5333333333333333,76.97947214076245,0.04292277676379886,0.8571428571428571,0.2565982404692082,0.0,0.06666666666666667,0.8,1.2237762237762237,1.048951048951049,3.3216783216783217,2.6223776223776225,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4207,11,Division I,dodgecitycommunitycollege,Koch-Deng Koch,,,,Wing,,,12,1.95,1.6,2.0,3,0.75,1.4166666666666667,0.16666666666666666,0.75,0.08333333333333333,0.3333333333333333,1.5,1.3333333333333333,0.16666666666666666,0.5,0.5,0.9166666666666666,0.24141630901287553,0.1875,32.56150506512301,0.026198058841370945,0.2222222222222222,0.3256150506512301,0.0,0.125,0.375,0.9433962264150944,0.5241090146750524,1.7819706498951782,1.8867924528301887,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4404,12,Division I,dodgecitycommunitycollege,Bubba Strong,,,,Wing,,,7,1.875,1.4500000000000002,2.0,3,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,1.4285714285714286,1.2857142857142858,0.2857142857142857,0.0,0.14285714285714285,0.3676470588235294,0.4,57.63688760806916,0.02179785162384572,0.3333333333333333,0.21613832853025935,0.2222222222222222,0.9,0.2,0.528169014084507,0.0,0.176056338028169,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
