MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
685,1,Division I,dyersburgstatecommunitycollege,Ace Mahaffey,,,,Wing,,,6,3.075,3.8500000000000005,2.0,3,1.6666666666666667,1.0,0.16666666666666666,0.0,0.0,0.0,0.5,1.3333333333333333,1.0,0.0,0.16666666666666666,0.8333333333333334,0.625,0.625,125.0,0.014900908955446282,99.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,1.2207527975584944,0.6103763987792472,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
745,2,Division I,dyersburgstatecommunitycollege,Deston Christian,,,,Wing,,,9,3.05,3.8,2.0,3,8.666666666666666,3.4444444444444446,1.2222222222222223,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.7777777777777778,6.666666666666667,2.111111111111111,1.7777777777777777,1.3333333333333333,2.111111111111111,0.5817422434367541,0.6,109.79729729729729,0.08955675457616863,2.75,0.0563063063063063,0.42105263157894735,0.31666666666666665,0.26666666666666666,0.5617977528089888,1.1235955056179776,4.353932584269663,0.9831460674157303,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
753,3,Division I,dyersburgstatecommunitycollege,Elijah Causly,,,,Wing,,,11,3.05,2.75,3.5,3,15.0,6.818181818181818,1.7272727272727273,2.727272727272727,1.0,0.8181818181818182,2.3636363636363638,10.636363636363637,4.181818181818182,5.636363636363637,1.4545454545454546,5.363636363636363,0.5718048239534239,0.5341880341880342,94.67523525361487,0.17810571066508604,0.6333333333333333,0.17213679137020885,0.32608695652173914,0.39316239316239315,0.5299145299145299,3.4052213393870603,2.2701475595913734,8.51305334846765,2.9511918274687856,Very Good,4,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Average,3,Unknown
763,4,Division I,dyersburgstatecommunitycollege,Emmanuel Okogie,,,,Wing,,,12,3.04,2.8,3.4,3,12.5,6.416666666666667,3.0833333333333335,3.0833333333333335,1.3333333333333333,0.9166666666666666,2.8333333333333335,9.583333333333334,5.333333333333333,2.6666666666666665,2.1666666666666665,4.25,0.5810350170436938,0.5434782608695652,90.3179190751445,0.156125441828984,1.0,0.22278420038535643,0.390625,0.5565217391304348,0.2782608695652174,3.868269733403032,2.822791427077888,8.050182958703607,3.554626241505489,Very Good,4,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Below Average,2,Very Good,4,Average,3,Unknown
1402,5,Division I,dyersburgstatecommunitycollege,Isaiah Claybrooks,,,,Wing,,,12,2.745,3.0500000000000003,2.2,3,11.666666666666666,4.583333333333333,1.8333333333333333,2.1666666666666665,0.9166666666666666,0.5,2.4166666666666665,7.5,4.583333333333333,5.583333333333333,0.9166666666666666,3.6666666666666665,0.5858721124874455,0.48333333333333334,96.2331591971405,0.13676017146724828,0.8461538461538461,0.1787187242232609,0.34545454545454546,0.6111111111111112,0.7444444444444445,2.7182435964453737,1.7773131207527444,5.7501306847882905,3.0318870883429168,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
1421,6,Division I,dyersburgstatecommunitycollege,Cameron Stephen,,,,Wing,,,12,2.7325,2.85,2.45,3,11.583333333333334,3.6666666666666665,3.25,2.4166666666666665,0.8333333333333334,0.6666666666666666,1.1666666666666667,9.083333333333334,5.833333333333333,2.8333333333333335,0.75,2.9166666666666665,0.5606647305582445,0.518348623853211,90.8734309623431,0.14379183274422802,1.3448275862068966,0.189592050209205,0.38571428571428573,0.6422018348623854,0.3119266055045872,3.0318870883429168,1.8818609513852587,4.600104547830632,1.4636696288552014,Average,3,Below Average,2,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1751,7,Division I,dyersburgstatecommunitycollege,Ryder Patterson,,,,Wing,,,11,2.5999999999999996,2.9,2.0,3,4.545454545454546,3.0,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.5454545454545454,0.45454545454545453,3.5454545454545454,1.8181818181818181,1.4545454545454546,0.8181818181818182,2.1818181818181817,0.5430060816681147,0.5512820512820513,99.92006394884093,0.05182055424381756,0.75,0.07993605115907275,0.35,0.5128205128205128,0.41025641025641024,0.461361014994233,0.922722029988466,3.8062283737024223,0.5767012687427913,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2435,8,Division I,dyersburgstatecommunitycollege,Bryce Scurlark,,,,Wing,,,12,2.3625,2.6,1.75,3,11.25,4.166666666666667,1.6666666666666667,1.75,0.08333333333333333,0.3333333333333333,2.75,9.5,3.75,3.25,0.4166666666666667,3.75,0.5146386093321135,0.4605263157894737,88.7223974763407,0.14303978340979168,0.9523809523809523,0.13801261829652997,0.3333333333333333,0.39473684210526316,0.34210526315789475,2.1955044432828017,0.5227391531625719,5.2273915316257185,3.4500784108729743,Below Average,2,Below Average,2,Poor,1,Below Average,2,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2671,9,Division I,dyersburgstatecommunitycollege,AJ Petway,,,,Wing,,,12,2.3,2.3000000000000003,2.0,3,5.5,1.8333333333333333,2.0,1.8333333333333333,0.5,0.25,0.75,4.416666666666667,2.5,0.5,0.9166666666666666,0.9166666666666666,0.5930984902947519,0.5943396226415094,85.00772797527048,0.0729863879070467,1.0909090909090908,0.2833590932509016,0.43333333333333335,0.5660377358490566,0.11320754716981132,2.300052273915316,0.9409304756926293,2.300052273915316,0.9409304756926293,Very Good,4,Poor,1,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3286,10,Division I,dyersburgstatecommunitycollege,Amarion Davis,,,,Wing,,,11,2.125,1.9500000000000002,2.0,3,2.727272727272727,1.2727272727272727,1.5454545454545454,1.1818181818181819,0.5454545454545454,0.09090909090909091,0.9090909090909091,2.4545454545454546,1.0909090909090908,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.49867021276595747,0.46296296296296297,69.63788300835655,0.04399869270365226,1.3076923076923077,0.3017641597028784,0.4166666666666667,0.4444444444444444,0.25925925925925924,1.4789533560864618,0.7963594994311718,1.5927189988623436,1.1376564277588168,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
