MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
151,1,Division I,easternarizonacollege,Ryan Hunt,,,,Wing,,,12,3.6499999999999995,3.5999999999999996,4.0,3,12.0,8.666666666666666,1.9166666666666667,1.25,0.8333333333333334,1.1666666666666667,2.4166666666666665,9.0,0.6666666666666666,3.0,2.75,5.916666666666667,0.5813953488372093,0.5694444444444444,103.71650821089023,0.13718283139672752,1.5333333333333334,0.10803802938634399,0.625,0.07407407407407407,0.3333333333333333,1.6565433462175594,2.650469353948095,11.485367200441745,3.202650469353948,Very Good,4,Below Average,2,Average,3,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Unknown
538,2,Division I,easternarizonacollege,Malachi Seely-Roberts,,,,Wing,,,10,3.2249999999999996,4.1499999999999995,2.0,3,5.8,2.8,0.9,0.4,0.3,0.5,1.2,4.6,3.5,0.1,0.7,2.1,0.624461670973299,0.6304347826086957,114.98810467882633,0.06052896846349541,2.25,0.07930214115781127,0.45714285714285713,0.7608695652173914,0.021739130434782608,0.5401755570560433,1.0803511141120865,3.7812288993923024,1.6205266711681297,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
836,3,Division I,easternarizonacollege,Jason Van Horn Jr,,,,Wing,,,10,3.05,3.8,2.0,3,4.3,1.5,0.5,0.4,0.2,0.1,0.4,3.2,1.9,0.8,0.7,0.8,0.6052927927927927,0.5625,108.80566801619432,0.04718693284936479,1.25,0.10121457489878542,0.42105263157894735,0.59375,0.25,0.5369127516778524,0.40268456375838924,2.0134228187919465,0.5369127516778524,Elite,5,Poor,1,Very Good,4,Average,3,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1062,4,Division I,easternarizonacollege,Kahu Treacher,,,,Wing,,,12,2.9375,3.75,1.75,3,11.166666666666666,4.833333333333333,1.0,1.3333333333333333,0.4166666666666667,0.3333333333333333,2.5833333333333335,7.0,2.75,4.416666666666667,1.75,3.0833333333333335,0.624301155423034,0.5357142857142857,108.66039571845606,0.12184807525096829,0.75,0.12974375608173858,0.36363636363636365,0.39285714285714285,0.6309523809523809,1.76697956929873,0.9939260077305356,6.405300938707896,3.423522915516289,Elite,5,Below Average,2,Very Good,4,Poor,1,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
1096,5,Division I,easternarizonacollege,Kofi Peyton,,,,Wing,,,11,2.925,3.5500000000000003,2.0,3,10.272727272727273,3.3636363636363638,1.4545454545454546,1.0909090909090908,0.36363636363636365,0.18181818181818182,0.9090909090909091,7.818181818181818,5.2727272727272725,1.7272727272727273,0.36363636363636365,3.0,0.5987706655362441,0.5523255813953488,106.242948476871,0.11406142759094029,1.3333333333333333,0.11282437006393381,0.39655172413793105,0.6744186046511628,0.22093023255813954,1.437125748502994,0.718562874251497,4.431137724550898,1.1976047904191616,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1678,6,Division I,easternarizonacollege,Derek Collins,,,,Wing,,,12,2.6900000000000004,2.45,2.9000000000000004,3,11.333333333333334,3.1666666666666665,2.3333333333333335,2.3333333333333335,1.5,0.3333333333333333,1.1666666666666667,9.0,2.0833333333333335,3.6666666666666665,1.1666666666666667,2.0,0.5339195979899497,0.4675925925925926,87.53861997940267,0.1535056517271362,1.0,0.18022657054582902,0.28,0.23148148148148148,0.4074074074074074,3.0922142462727775,2.4295969077857538,4.196576477084483,1.5461071231363888,Average,3,Average,3,Poor,1,Below Average,2,Below Average,2,Below Average,2,Average,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1878,7,Division I,easternarizonacollege,Ryder Bush,,,,Wing,,,12,2.615,2.3000000000000003,2.9000000000000004,3,10.416666666666666,3.3333333333333335,4.25,2.3333333333333335,1.25,0.3333333333333333,1.9166666666666667,8.833333333333334,1.6666666666666667,5.083333333333333,0.3333333333333333,3.0,0.4704908160192713,0.4481132075471698,77.71698582442178,0.1589202434590151,1.8214285714285714,0.1740860482467048,0.25,0.18867924528301888,0.5754716981132075,3.0922142462727775,2.0982882385422417,4.417448923246825,2.540033130866924,Poor,1,Average,3,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2337,8,Division I,easternarizonacollege,Brad Ballinger,,,,Wing,,,12,2.4575000000000005,2.3000000000000003,2.45,3,8.333333333333334,4.583333333333333,1.5,2.3333333333333335,0.9166666666666666,0.25,1.75,6.666666666666667,4.0,0.75,0.75,3.8333333333333335,0.5955216769890425,0.5875,89.31761343336906,0.11062366611335071,0.6428571428571429,0.2500893176134334,0.4583333333333333,0.6,0.1125,3.0922142462727775,1.5461071231363888,6.073992269464385,2.319160684704583,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2639,9,Division I,easternarizonacollege,Abe Stafford,,,,Wing,,,9,2.375,2.45,2.0,3,1.2222222222222223,1.7777777777777777,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.0,0.7777777777777778,1.3333333333333333,0.1111111111111111,0.7777777777777778,0.5555555555555556,1.2222222222222223,0.3647214854111406,0.3333333333333333,64.40281030444966,0.02215649647156496,4.0,0.117096018735363,0.0,0.08333333333333333,0.5833333333333334,0.28901734104046245,0.28901734104046245,2.3121387283236996,1.0115606936416186,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3554,10,Division I,easternarizonacollege,Alex Horton,,,,Wing,,,9,2.125,1.9500000000000002,2.0,3,0.3333333333333333,0.8888888888888888,0.0,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777778,0.7777777777777778,0.0,0.2222222222222222,0.1111111111111111,0.7777777777777778,0.1903553299492386,0.14285714285714285,33.78378378378379,0.01153246753246753,0.0,0.11261261261261263,,0.0,0.2857142857142857,0.14619883040935672,0.14619883040935672,1.1695906432748537,1.023391812865497,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
