MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
99,1,Division I,easternfloridastatecollege,Sean Register Jr,,,,Wing,,,19,3.7675,4.5,3.05,3,23.842105263157894,8.368421052631579,1.736842105263158,1.5789473684210527,0.7368421052631579,0.6842105263157895,1.5789473684210527,14.578947368421053,2.3157894736842106,5.421052631578948,2.8421052631578947,5.526315789473684,0.7027177959791512,0.6805054151624549,128.57629427792915,0.20020001818347122,1.1,0.08514986376021799,0.3409090909090909,0.1588447653429603,0.37184115523465705,1.968503937007874,1.7716535433070866,10.433070866141732,1.968503937007874,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
646,2,Division I,easternfloridastatecollege,Eby Ogoh,,,,Wing,,,13,3.1550000000000002,3.8,2.3,3,8.538461538461538,5.6923076923076925,0.0,0.6153846153846154,0.23076923076923078,0.8461538461538461,1.7692307692307692,4.461538461538462,0.0,3.1538461538461537,2.8461538461538463,2.8461538461538463,0.7298790110468175,0.6724137931034483,132.0799619228939,0.06959949647199125,0.0,0.09519276534983342,,0.0,0.7068965517241379,0.7696007696007696,1.3468013468013469,7.118807118807119,2.2126022126022127,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1370,3,Division I,easternfloridastatecollege,Joviel Acevedo-Arroyo,,,,Wing,,,19,2.8200000000000003,3.1999999999999997,2.2,3,12.526315789473685,3.789473684210526,1.7894736842105263,1.894736842105263,1.105263157894737,0.10526315789473684,2.5789473684210527,9.210526315789474,4.894736842105263,2.8421052631578947,1.1578947368421053,2.6315789473684212,0.598712014489837,0.5428571428571428,101.38013290168684,0.13339849077188837,0.9444444444444444,0.15334810018742545,0.34408602150537637,0.5314285714285715,0.30857142857142855,2.3622047244094486,1.5091863517060367,4.724409448818897,3.215223097112861,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
1807,4,Division I,easternfloridastatecollege,David Andino,,,,Wing,,,13,2.6500000000000004,3.0,2.0,3,2.6153846153846154,1.0769230769230769,1.3846153846153846,0.6153846153846154,0.46153846153846156,0.15384615384615385,1.5384615384615385,1.6923076923076923,0.46153846153846156,0.9230769230769231,0.15384615384615385,0.9230769230769231,0.6231671554252199,0.5681818181818182,96.3718820861678,0.029217875244310465,2.25,0.22675736961451246,0.5,0.2727272727272727,0.5454545454545454,0.7696007696007696,0.7696007696007696,1.3468013468013469,1.924001924001924,Elite,5,Poor,1,Below Average,2,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2031,5,Division I,easternfloridastatecollege,Tyson Wilson,,,,Wing,,,19,2.5725,1.9,3.35,3,9.578947368421053,4.315789473684211,4.315789473684211,3.1052631578947367,1.9473684210526316,0.21052631578947367,2.1578947368421053,8.68421052631579,2.0,2.3684210526315788,0.631578947368421,3.6842105263157894,0.4924242424242424,0.4575757575757576,74.65135356849876,0.1385353213928539,1.3898305084745763,0.24200164068908941,0.18421052631578946,0.23030303030303031,0.2727272727272727,3.8713910761154855,2.690288713910761,5.380577427821522,2.690288713910761,Below Average,2,Below Average,2,Poor,1,Average,3,Poor,1,Poor,1,Average,3,Average,3,Very Good,4,Below Average,2,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
2153,6,Division I,easternfloridastatecollege,Jevon Yapi,,,,Wing,,,13,2.5324999999999998,2.45,2.45,3,7.230769230769231,2.076923076923077,2.923076923076923,1.6923076923076923,1.1538461538461537,0.07692307692307693,1.7692307692307692,5.538461538461538,3.3076923076923075,1.8461538461538463,0.5384615384615384,1.5384615384615385,0.5692829457364341,0.5138888888888888,89.90053557765876,0.08659356676715142,1.7272727272727273,0.21040550879877581,0.32558139534883723,0.5972222222222222,0.3333333333333333,2.1164021164021163,1.5392015392015392,2.5974025974025974,2.2126022126022127,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2166,7,Division I,easternfloridastatecollege,Djiby Ly,,,,Wing,,,19,2.5275,2.3000000000000003,2.6500000000000004,3,9.421052631578947,2.6315789473684212,2.789473684210526,2.0,1.6842105263157894,0.15789473684210525,2.736842105263158,7.7894736842105265,3.1578947368421053,1.7894736842105263,1.1578947368421053,1.4736842105263157,0.549214531173294,0.5101351351351351,89.07245222929936,0.11419219929084463,1.394736842105263,0.1890923566878981,0.2833333333333333,0.40540540540540543,0.22972972972972974,2.493438320209974,2.2965879265091864,3.2808398950131235,3.4120734908136483,Average,3,Poor,1,Poor,1,Average,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Very Good,4,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2591,8,Division I,easternfloridastatecollege,Lana Agbelese,,,,Wing,,,16,2.4074999999999998,2.2,2.45,3,7.125,5.0625,0.5625,1.375,0.625,0.875,2.125,5.125,0.875,3.0625,1.625,3.4375,0.5504055619930475,0.4878048780487805,90.79324625676966,0.083331121080995,0.4090909090909091,0.1752150366358713,0.14285714285714285,0.17073170731707318,0.5975609756097561,1.7008117510630074,1.8554310011596444,6.2620796289138,2.6285272516428297,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2623,9,Division I,easternfloridastatecollege,Nick Oliver,,,,Wing,,,13,2.4,2.5,2.0,3,9.076923076923077,3.6923076923076925,0.46153846153846156,0.7692307692307693,0.6923076923076923,0.15384615384615385,2.3846153846153846,8.307692307692308,6.461538461538462,1.3846153846153846,1.0,2.6923076923076925,0.5089717046238785,0.4861111111111111,93.71029224904701,0.1042833007586047,0.6,0.07941550190597205,0.34523809523809523,0.7777777777777778,0.16666666666666666,0.962000962000962,1.0582010582010581,4.617604617604617,2.982202982202982,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3790,10,Division I,easternfloridastatecollege,Khalid Ousmane,,,,Wing,,,8,2.0999999999999996,1.9,2.0,3,1.875,3.375,0.125,0.375,0.25,0.5,1.375,1.875,0.125,0.875,1.625,1.75,0.4148230088495576,0.3333333333333333,71.15749525616698,0.027456496821923516,0.3333333333333333,0.14231499051233398,0.0,0.06666666666666667,0.4666666666666667,0.45248868778280543,0.9049773755656109,4.072398190045249,1.6591251885369533,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
