MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
418,1,Division I,easternoklahomastatecollege,Taylan Booker-Brown,,,,Wing,,,13,3.2125000000000004,3.6000000000000005,2.75,3,12.307692307692308,6.615384615384615,1.3846153846153846,0.7692307692307693,0.7692307692307693,0.6153846153846154,1.8461538461538463,9.923076923076923,4.076923076923077,1.9230769230769231,2.3846153846153846,4.230769230769231,0.5714285714285714,0.5697674418604651,106.66666666666667,0.11800245445105258,1.8,0.06666666666666667,0.3584905660377358,0.4108527131782946,0.1937984496124031,0.9263547938860583,1.667438628994905,7.966651227420102,2.22325150532654,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
457,2,Division I,easternoklahomastatecollege,Isaiah Williams,,,,Wing,,,12,3.1775,2.9000000000000004,3.65,3,8.583333333333334,6.333333333333333,1.6666666666666667,1.75,1.3333333333333333,1.0,1.8333333333333333,5.166666666666667,0.75,2.9166666666666665,2.75,3.5833333333333335,0.6653746770025839,0.6290322580645161,104.67479674796748,0.08306320907617504,0.9523809523809523,0.21341463414634146,0.2222222222222222,0.14516129032258066,0.5645161290322581,2.08851317752362,2.78468423669816,7.558428642466435,2.187966185977126,Elite,5,Poor,1,Average,3,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
523,3,Division I,easternoklahomastatecollege,Thai Bond,,,,Wing,,,13,3.1375,3.4499999999999997,2.75,3,9.615384615384615,6.615384615384615,2.8461538461538463,1.7692307692307692,1.0,0.38461538461538464,2.1538461538461537,6.384615384615385,2.8461538461538463,1.8461538461538463,2.3846153846153846,4.230769230769231,0.6680205215904232,0.6566265060240963,107.24090597117365,0.09169577393876459,1.608695652173913,0.1973232669869595,0.5135135135135135,0.4457831325301205,0.2891566265060241,2.1306160259379343,1.667438628994905,7.966651227420102,2.5937934228809634,Elite,5,Poor,1,Average,3,Very Good,4,Below Average,2,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
738,4,Division I,easternoklahomastatecollege,Jadon Jones,,,,Wing,,,13,3.0,3.7,2.0,3,7.384615384615385,2.076923076923077,1.1538461538461537,0.6923076923076923,0.6923076923076923,0.15384615384615385,1.3846153846153846,5.846153846153846,4.615384615384615,1.3846153846153846,0.23076923076923078,1.8461538461538463,0.5719733079122974,0.5394736842105263,103.31467929401636,0.07309858711727871,1.6666666666666667,0.09685751183814033,0.36666666666666664,0.7894736842105263,0.23684210526315788,0.8337193144974525,1.0189902732746643,2.5011579434923576,1.667438628994905,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
915,5,Division I,easternoklahomastatecollege,Devin Brown,,,,Wing,,,13,2.9050000000000002,2.25,3.8,3,15.0,9.846153846153847,3.769230769230769,3.4615384615384617,1.0769230769230769,0.6923076923076923,1.6923076923076923,14.23076923076923,3.3076923076923075,6.615384615384615,2.230769230769231,7.615384615384615,0.4375336564351104,0.3891891891891892,72.80465949820788,0.2107051826677995,1.0888888888888888,0.16801075268817203,0.09302325581395349,0.23243243243243245,0.4648648648648649,4.168596572487263,2.1306160259379343,11.857341361741547,2.0379805465493286,Poor,1,Very Good,4,Poor,1,Below Average,2,Average,3,Poor,1,Very Good,4,Average,3,Elite,5,Poor,1,Average,3,Very Good,4,Elite,5,Average,3,Unknown
1177,6,Division I,easternoklahomastatecollege,Roy Henderson III,,,,Wing,,,13,2.7824999999999998,2.95,2.45,3,17.23076923076923,4.615384615384615,4.461538461538462,2.3076923076923075,1.0769230769230769,0.23076923076923078,1.5384615384615385,15.615384615384615,8.384615384615385,1.6153846153846154,0.38461538461538464,4.230769230769231,0.5277044854881267,0.5221674876847291,92.47027741083222,0.19056609710815317,1.9333333333333333,0.1238441215323646,0.3853211009174312,0.5369458128078818,0.10344827586206896,2.7790643816581753,1.5748031496062993,5.5581287633163505,1.8527095877721167,Below Average,2,Very Good,4,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1366,7,Division I,easternoklahomastatecollege,Braydn Alward,,,,Wing,,,12,2.7,3.0999999999999996,2.0,3,6.75,3.3333333333333335,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.0,0.8333333333333334,5.75,4.25,1.0833333333333333,1.4166666666666667,1.9166666666666667,0.5420235546038544,0.5144927536231884,101.60561966884094,0.0671043771043771,0.8,0.06271951831409935,0.37254901960784315,0.7391304347826086,0.18840579710144928,0.49627791563275436,0.3970223325062035,3.970223325062035,0.9925558312655087,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2197,8,Division I,easternoklahomastatecollege,Drew Oldag,,,,Wing,,,13,2.375,2.45,2.0,3,4.384615384615385,3.5384615384615383,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.38461538461538464,1.5384615384615385,3.6923076923076925,0.6153846153846154,0.6153846153846154,1.3846153846153846,2.1538461538461537,0.5531832298136645,0.53125,95.76612903225806,0.046823373926177664,0.625,0.13440860215053763,0.125,0.16666666666666666,0.16666666666666666,0.7410838351088467,0.9263547938860583,4.261232051875869,1.8527095877721167,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2638,9,Division I,easternoklahomastatecollege,Kaden Geddes,,,,Wing,,,13,2.25,2.1999999999999997,2.0,3,2.230769230769231,2.5384615384615383,0.6153846153846154,0.3076923076923077,0.3076923076923077,0.23076923076923078,1.0,3.230769230769231,0.6923076923076923,0.15384615384615385,0.8461538461538461,1.6923076923076923,0.3381529850746268,0.34523809523809523,61.86006825938566,0.0368797004311023,2.0,0.08532423208191126,0.3333333333333333,0.21428571428571427,0.047619047619047616,0.37054191755442334,0.6484483557202408,3.0569708198239924,1.204261232051876,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2847,10,Division I,easternoklahomastatecollege,CJ Benard,,,,Wing,,,7,2.175,2.0500000000000003,2.0,3,1.5714285714285714,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,2.5714285714285716,1.4285714285714286,0.2857142857142857,0.14285714285714285,1.0,0.2913135593220339,0.2777777777777778,52.68199233716475,0.02881589842671819,1.0,0.09578544061302682,0.2,0.5555555555555556,0.1111111111111111,0.32733224222585927,0.32733224222585927,1.309328968903437,0.32733224222585927,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
