MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
584,1,Division I,easternwyomingcollege,Isiah Ayala,,,,Wing,,,19,3.1975,2.8,3.85,3,10.842105263157896,5.2105263157894735,1.2105263157894737,1.2105263157894737,1.5789473684210527,0.7894736842105263,2.3157894736842106,9.052631578947368,2.263157894736842,2.3157894736842106,0.7894736842105263,4.421052631578948,0.538252508361204,0.5058139534883721,96.10001866019779,0.14133874881316602,1.0,0.10729613733905578,0.18604651162790697,0.25,0.2558139534883721,1.6481547832318166,3.2246506628448586,7.0942314582586885,3.152991759226084,Average,3,Below Average,2,Below Average,2,Below Average,2,Elite,5,Poor,1,Average,3,Very Good,4,Very Good,4,Average,3,Elite,5,Below Average,2,Very Good,4,Elite,5,Unknown
827,2,Division I,easternwyomingcollege,Nathan Mirich,,,,Wing,,,8,3.0500000000000007,3.8000000000000007,2.0,3,2.25,1.125,0.375,0.25,0.125,0.0,0.875,1.5,1.375,0.25,0.125,1.0,0.6987577639751552,0.7083333333333334,120.96774193548386,0.0255916345624656,1.5,0.13440860215053763,0.45454545454545453,0.9166666666666666,0.16666666666666666,0.3838771593090211,0.19193857965451055,1.727447216890595,1.3435700575815739,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
896,3,Division I,easternwyomingcollege,Joseph Jean,,,,Wing,,,8,3.0250000000000004,3.75,2.0,3,6.625,1.375,0.75,0.75,0.625,0.125,1.25,3.75,0.375,2.375,0.125,1.25,0.6908237747653806,0.6333333333333333,119.47700631199278,0.06719990304793068,1.0,0.1352569882777277,0.0,0.1,0.6333333333333333,0.9966777408637874,0.9966777408637874,1.8272425249169435,1.6611295681063123,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1005,4,Division I,easternwyomingcollege,Toney Collins,,,,Wing,,,17,2.9749999999999996,3.65,2.0,3,9.176470588235293,2.764705882352941,1.0588235294117647,1.2352941176470589,0.7647058823529411,0.17647058823529413,2.176470588235294,6.352941176470588,3.588235294117647,1.8235294117647058,0.4117647058823529,2.3529411764705883,0.6412364353830977,0.5972222222222222,109.36623667975323,0.09949776785714289,0.8571428571428571,0.14722378014582166,0.4426229508196721,0.5648148148148148,0.28703703703703703,1.5903067020068156,1.21166224914805,3.5592578568723967,2.8019689511548656,Elite,5,Poor,1,Very Good,4,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1782,5,Division I,easternwyomingcollege,Ryan Aye,,,,Wing,,,16,2.6574999999999998,2.7,2.45,3,8.25,2.9375,0.4375,0.6875,1.0,0.125,0.9375,6.5,2.75,2.375,0.8125,2.125,0.5467196819085487,0.5048076923076923,100.21257212268448,0.09792434875698826,0.6363636363636364,0.08351047676890373,0.25,0.4230769230769231,0.36538461538461536,0.8856682769726248,1.4492753623188406,3.784219001610306,1.2077294685990339,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2453,6,Division I,easternwyomingcollege,Vukasin Spasojevic,,,,Wing,,,16,2.4499999999999997,2.5999999999999996,2.0,3,5.1875,4.75,0.8125,0.8125,0.5625,0.125,0.9375,3.8125,0.5,1.6875,1.9375,2.8125,0.5694291986827662,0.5573770491803278,96.64648346530042,0.06375460268440433,1.0,0.1513740102468561,0.25,0.13114754098360656,0.4426229508196721,1.054766734279919,0.8924949290060852,6.16632860040568,1.2170385395537526,Average,3,Poor,1,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2503,7,Division I,easternwyomingcollege,Drezdon Jensen,,,,Wing,,,19,2.4375,2.75,1.75,3,13.473684210526315,2.210526315789474,1.105263157894737,1.8421052631578947,0.8947368421052632,0.10526315789473684,2.210526315789474,11.578947368421053,5.157894736842105,2.263157894736842,0.8421052631578947,1.368421052631579,0.5357441821530219,0.5113636363636364,93.45794392523364,0.18060976896297085,0.6,0.12777453271028036,0.35714285714285715,0.44545454545454544,0.19545454545454546,2.508061626657112,1.361519168756718,3.0096739519885345,3.0096739519885345,Average,3,Average,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2828,8,Division I,easternwyomingcollege,Brody Roberts,,,,Wing,,,6,2.3499999999999996,2.4,2.0,3,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.5,0.5,100.0,0.00398406374501992,,0.0,,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,Below Average,2,Poor,1,Below Average,2,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2864,9,Division I,easternwyomingcollege,Jaironn Speights,,,,Wing,,,14,2.3324999999999996,2.05,2.45,3,6.714285714285714,2.0714285714285716,1.2857142857142858,1.3571428571428572,1.5,0.0,1.7142857142857142,6.071428571428571,1.4285714285714286,1.8571428571428572,0.6428571428571429,1.4285714285714286,0.48734964744919124,0.4588235294117647,81.42758142758143,0.0973552826878964,0.9473684210526315,0.16458766458766458,0.3,0.23529411764705882,0.3058823529411765,1.7463235294117647,1.9301470588235294,2.6654411764705883,2.2058823529411766,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2873,10,Division I,easternwyomingcollege,Adam Coxon,,,,Wing,,,17,2.325,2.3500000000000005,2.0,3,3.5294117647058822,1.1176470588235294,0.29411764705882354,0.35294117647058826,0.11764705882352941,0.0,1.0588235294117647,3.4705882352941178,3.0,0.23529411764705882,0.17647058823529413,0.9411764705882353,0.4937458854509546,0.4915254237288136,89.87417615338528,0.049887909131669406,0.8333333333333334,0.08987417615338528,0.35294117647058826,0.864406779661017,0.06779661016949153,0.48879837067209775,0.1629327902240326,1.5478615071283095,1.4663951120162932,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Very Good,4,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
