MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
729,1,Division I,eastgeorgiastatecollege,Evan Daniel,,,,Wing,,,12,3.05,3.8000000000000003,2.0,3,9.583333333333334,2.4166666666666665,0.16666666666666666,1.1666666666666667,0.25,0.8333333333333334,2.25,5.5,2.9166666666666665,2.5833333333333335,0.5833333333333334,1.8333333333333333,0.7219989954796585,0.7196969696969697,122.81076463049979,0.0898759933965524,0.14285714285714285,0.149508756941478,0.4857142857142857,0.5303030303030303,0.4696969696969697,1.490947816826411,1.384451544195953,3.08839190628328,2.8753993610223643,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1177,2,Division I,eastgeorgiastatecollege,Alphonzo Ross,,,,Wing,,,10,2.825,3.3500000000000005,2.0,3,6.8,0.7,0.7,0.7,0.6,0.0,0.6,5.6,3.6,0.6,0.1,0.6,0.5798090040927695,0.5714285714285714,103.59536867763559,0.07422988193784776,1.0,0.10664229128580134,0.5,0.6428571428571429,0.10714285714285714,0.8760951188986232,0.7509386733416771,0.8760951188986232,0.7509386733416771,Very Good,4,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1811,3,Division I,eastgeorgiastatecollege,Khalid Racine,,,,Wing,,,12,2.575,2.85,2.0,3,5.666666666666667,2.8333333333333335,1.3333333333333333,0.6666666666666666,0.5,0.0,1.5,4.416666666666667,1.75,2.4166666666666665,1.0,1.8333333333333333,0.5170316301703163,0.46226415094339623,92.19088937093275,0.07079510116328178,2.0,0.10845986984815617,0.42857142857142855,0.39622641509433965,0.5471698113207547,0.8519701810436635,0.6389776357827476,3.62087326943557,1.9169329073482428,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2161,4,Division I,eastgeorgiastatecollege,Chibueze Irojanma,,,,Wing,,,11,2.4499999999999997,2.5999999999999996,2.0,3,2.3636363636363638,1.8181818181818181,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,2.090909090909091,0.09090909090909091,1.4545454545454546,1.1818181818181819,0.6363636363636364,0.43275632490013316,0.45652173913043476,83.76288659793815,0.03260504201680672,2.0,0.03221649484536083,1.0,0.043478260869565216,0.6956521739130435,0.11634671320535195,0.11634671320535195,2.326934264107039,0.34904013961605584,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2599,5,Division I,eastgeorgiastatecollege,Dakota Sellers,,,,Wing,,,12,2.325,2.35,2.0,3,5.0,1.6666666666666667,0.3333333333333333,0.9166666666666666,0.5,0.16666666666666666,1.0,4.166666666666667,0.9166666666666666,1.25,0.5,1.1666666666666667,0.5300353356890459,0.53,88.75739644970415,0.06488271202057819,0.36363636363636365,0.1627218934911243,0.2727272727272727,0.22,0.3,1.1714589989350372,0.8519701810436635,2.1299254526091587,1.2779552715654952,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2691,6,Division I,eastgeorgiastatecollege,Malik Hinton,,,,Wing,,,12,2.3,2.3,2.0,3,9.666666666666666,3.1666666666666665,5.083333333333333,3.3333333333333335,1.0,0.0,1.5833333333333333,7.833333333333333,2.1666666666666665,2.5833333333333335,0.75,2.4166666666666665,0.5388331475287997,0.5053191489361702,78.56949336223246,0.14170537873843436,1.525,0.270929287455974,0.19230769230769232,0.2765957446808511,0.32978723404255317,4.259850905218317,1.2779552715654952,4.046858359957401,2.0234291799787005,Average,3,Below Average,2,Poor,1,Very Good,4,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Unknown
2874,7,Division I,eastgeorgiastatecollege,Myles Squirewell,,,,Wing,,,12,2.2375,2.3500000000000005,1.75,3,9.666666666666666,5.083333333333333,1.1666666666666667,2.0,0.25,0.3333333333333333,2.6666666666666665,6.5,0.16666666666666666,4.166666666666667,1.5,3.5833333333333335,0.58,0.5512820512820513,93.54838709677419,0.11901562559987716,0.5833333333333334,0.1935483870967742,0.0,0.02564102564102564,0.6410256410256411,2.5559105431309903,0.7454739084132055,6.496272630457934,3.407880724174654,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2939,8,Division I,eastgeorgiastatecollege,Antonio Muller,,,,Wing,,,12,2.2249999999999996,2.15,2.0,3,4.916666666666667,1.0833333333333333,0.75,0.75,0.3333333333333333,0.0,0.75,5.083333333333333,2.75,0.6666666666666666,0.3333333333333333,0.75,0.45722256664600125,0.4426229508196721,80.25027203482045,0.07056474833954007,1.0,0.12241566920565833,0.42424242424242425,0.5409836065573771,0.13114754098360656,0.9584664536741214,0.42598509052183176,1.384451544195953,0.9584664536741214,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3016,9,Division I,eastgeorgiastatecollege,Adyn Grant,,,,Wing,,,9,2.2,2.1,2.0,3,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.0,0.6666666666666666,1.7777777777777777,1.1111111111111112,0.0,0.3333333333333333,0.1111111111111111,0.125,0.125,22.22222222222222,0.02296738631143776,2.5,0.1111111111111111,0.0,0.625,0.0,0.28169014084507044,0.4225352112676056,0.5633802816901409,0.8450704225352113,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3098,10,Division I,eastgeorgiastatecollege,Dakobe Cheatom,,,,Wing,,,12,2.175,2.05,2.0,3,4.75,4.5,0.4166666666666667,0.75,0.3333333333333333,0.3333333333333333,1.75,4.333333333333333,0.08333333333333333,1.4166666666666667,1.0833333333333333,3.4166666666666665,0.4791526563550773,0.46153846153846156,83.23598130841121,0.06572733904096442,0.5555555555555556,0.1314252336448598,0.0,0.019230769230769232,0.3269230769230769,0.9584664536741214,0.8519701810436635,5.7507987220447285,2.236421725239617,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
