MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
204,1,Division I,eastmississippicommunitycollege,Jordan Alexander,,,,Wing,,,11,3.5575,4.5,2.45,3,20.90909090909091,4.363636363636363,0.9090909090909091,1.3636363636363635,1.1818181818181819,0.18181818181818182,1.3636363636363635,13.363636363636363,7.909090909090909,5.363636363636363,1.6363636363636365,2.727272727272727,0.6648936170212766,0.6122448979591837,122.36646094913812,0.19286652438023316,0.6666666666666666,0.07980421366248137,0.4367816091954023,0.5918367346938775,0.4013605442176871,1.7462165308498254,1.7462165308498254,5.587892898719441,1.7462165308498254,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
236,2,Division I,eastmississippicommunitycollege,DeAndre Lewis,,,,Wing,,,12,3.5,4.35,2.5,3,15.25,6.0,1.9166666666666667,1.8333333333333333,1.1666666666666667,0.16666666666666666,2.6666666666666665,8.833333333333334,4.333333333333333,6.083333333333333,1.1666666666666667,4.833333333333333,0.6624674196350999,0.5801886792452831,114.2892830377217,0.15040955887878557,1.0454545454545454,0.13739695228578566,0.40384615384615385,0.49056603773584906,0.6886792452830188,2.328042328042328,1.693121693121693,7.619047619047619,3.386243386243386,Elite,5,Average,3,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
680,3,Division I,eastmississippicommunitycollege,Ace McKinnie,,,,Wing,,,11,3.1325000000000003,2.95,3.45,3,8.727272727272727,7.090909090909091,0.45454545454545453,1.4545454545454546,0.5454545454545454,1.7272727272727273,3.5454545454545454,5.636363636363637,0.0,3.272727272727273,2.5454545454545454,4.545454545454546,0.6166495375128468,0.6612903225806451,102.30179028132991,0.09547840950714255,0.3125,0.17050298380221654,,0.0,0.5806451612903226,1.8401380103507763,2.875215641173088,8.970672800460035,4.485336400230017,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Unknown
2183,4,Division I,eastmississippicommunitycollege,Jace O'Neal,,,,Wing,,,12,2.5075000000000003,2.4000000000000004,2.45,3,4.583333333333333,3.5,1.75,1.5833333333333333,0.75,0.4166666666666667,1.0,2.9166666666666665,0.25,2.4166666666666665,0.9166666666666666,2.5833333333333335,0.5757956448911223,0.45714285714285713,82.3846614739365,0.06271135492597879,1.105263157894737,0.2846015578190534,0.0,0.08571428571428572,0.8285714285714286,2.0105820105820107,1.4814814814814814,4.444444444444445,1.2698412698412698,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2236,5,Division I,eastmississippicommunitycollege,Diovion Famakinde,,,,Wing,,,12,2.4974999999999996,2.1,2.85,3,15.25,4.5,3.75,3.6666666666666665,1.75,0.5833333333333334,3.1666666666666665,13.416666666666666,3.3333333333333335,6.75,0.5,4.0,0.4653173311635476,0.38509316770186336,76.04720744680851,0.22604644172240168,1.0227272727272727,0.18284574468085107,0.15,0.2484472049689441,0.5031055900621118,4.656084656084656,2.962962962962963,5.714285714285714,4.021164021164021,Poor,1,Very Good,4,Poor,1,Below Average,2,Below Average,2,Poor,1,Very Good,4,Average,3,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Below Average,2,Unknown
2511,6,Division I,eastmississippicommunitycollege,Donovan Griffin,,,,Wing,,,12,2.4074999999999998,2.2,2.45,3,1.6666666666666667,2.6666666666666665,0.5,0.4166666666666667,0.8333333333333334,0.5,1.4166666666666667,1.3333333333333333,0.0,0.5,1.5,1.1666666666666667,0.5364806866952789,0.4375,84.60236886632825,0.02220635755617344,1.2,0.21150592216582065,,0.0,0.375,0.5291005291005291,1.693121693121693,3.386243386243386,1.7989417989417988,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2834,7,Division I,eastmississippicommunitycollege,Maurice Henderson,,,,Wing,,,12,2.325,2.35,2.0,3,5.75,3.5833333333333335,4.0,2.4166666666666665,0.8333333333333334,0.08333333333333333,2.25,3.9166666666666665,1.1666666666666667,3.4166666666666665,0.3333333333333333,3.25,0.5304428044280444,0.43617021276595747,73.37303275202042,0.08833696550687606,1.6551724137931034,0.308379413015738,0.35714285714285715,0.2978723404255319,0.8723404255319149,3.068783068783069,1.164021164021164,4.550264550264551,2.857142857142857,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3162,8,Division I,eastmississippicommunitycollege,Curly Robinson,,,,Wing,,,11,2.225,2.1500000000000004,2.0,3,2.8181818181818183,2.1818181818181817,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.0,1.3636363636363635,1.6363636363636365,0.2727272727272727,2.1818181818181817,0.9090909090909091,1.2727272727272727,0.5427170868347339,0.4166666666666667,87.17660292463441,0.03649275481302081,0.14285714285714285,0.19685039370078738,0.3333333333333333,0.16666666666666666,1.3333333333333333,0.8059873344847438,0.23028209556706966,2.763385146804836,1.7271157167530224,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3366,9,Division I,eastmississippicommunitycollege,Jayden Tatum,,,,Wing,,,11,2.175,2.05,2.0,3,5.0,1.5454545454545454,0.2727272727272727,0.6363636363636364,0.18181818181818182,0.0,1.1818181818181819,4.454545454545454,2.8181818181818183,1.1818181818181819,0.2727272727272727,1.2727272727272727,0.5025584795321637,0.4489795918367347,89.11211924821777,0.06326363263632635,0.42857142857142855,0.11341542449773169,0.25806451612903225,0.6326530612244898,0.2653061224489796,0.8101851851851852,0.23148148148148148,1.9675925925925926,1.5046296296296295,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3941,10,Division I,eastmississippicommunitycollege,Josh Brown,,,,Wing,,,12,2.0249999999999995,1.7499999999999998,2.0,3,4.666666666666667,2.9166666666666665,0.6666666666666666,1.0,0.5833333333333334,0.08333333333333333,1.9166666666666667,5.083333333333333,3.3333333333333335,0.8333333333333334,0.8333333333333334,2.0833333333333335,0.4281345565749235,0.4098360655737705,72.35142118863048,0.07270609453671,0.6666666666666666,0.15503875968992248,0.3,0.6557377049180327,0.16393442622950818,1.2698412698412698,0.8465608465608465,3.7037037037037037,2.433862433862434,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
