MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
147,1,Division I,floridasouthwesternstatecollege,Mason Blazer,,,,Wing,,,14,3.6224999999999996,4.0,3.35,3,15.642857142857142,4.0,2.142857142857143,2.2857142857142856,1.9285714285714286,0.35714285714285715,1.2142857142857142,10.714285714285714,6.214285714285714,3.2857142857142856,0.8571428571428571,3.142857142857143,0.6432095864661653,0.6133333333333333,108.28718354430379,0.16406528863938735,0.9375,0.1582278481012658,0.41379310344827586,0.58,0.30666666666666664,3.088803088803089,3.088803088803089,5.405405405405405,1.640926640926641,Elite,5,Average,3,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
381,2,Division I,floridasouthwesternstatecollege,Kenyon Giles,,,,Wing,,,14,3.2975000000000003,3.3500000000000005,3.35,3,13.571428571428571,2.2142857142857144,3.2142857142857144,1.6428571428571428,2.0714285714285716,0.0,2.142857142857143,10.642857142857142,5.0,4.142857142857143,1.0,1.2142857142857142,0.5443502177400871,0.4899328859060403,96.19279060348319,0.16023623324788266,1.9565217391304348,0.11644390441474281,0.3142857142857143,0.4697986577181208,0.38926174496644295,2.22007722007722,2.799227799227799,2.9922779922779923,2.8957528957528957,Average,3,Average,3,Below Average,2,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
426,3,Division I,floridasouthwesternstatecollege,Jeremy Innocent,,,,Wing,,,11,3.2575000000000003,2.8499999999999996,3.95,3,10.181818181818182,6.636363636363637,1.5454545454545454,1.8181818181818181,0.7272727272727273,1.3636363636363635,1.6363636363636365,6.363636363636363,0.6363636363636364,4.454545454545454,2.8181818181818183,3.8181818181818183,0.6116207951070336,0.6,100.39440659734672,0.1158030227536954,0.85,0.17927572606669057,0.0,0.1,0.7,2.4676125848241828,2.83775447254781,9.006785934608267,2.2208513263417644,Elite,5,Poor,1,Below Average,2,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
989,4,Division I,floridasouthwesternstatecollege,Abdoulaye Konate,,,,Wing,,,11,2.92,2.7,3.2,3,12.272727272727273,5.7272727272727275,1.6363636363636365,2.272727272727273,1.0,0.6363636363636364,2.0,9.272727272727273,3.4545454545454546,3.272727272727273,1.6363636363636365,4.090909090909091,0.5728105906313645,0.5490196078431373,94.51134136096331,0.14827271217405746,0.72,0.17502100252030242,0.3684210526315789,0.37254901960784315,0.35294117647058826,3.0845157310302285,2.2208513263417644,7.772979642196175,2.7143738433066007,Very Good,4,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Below Average,2,Elite,5,Very Good,4,Unknown
1062,5,Division I,floridasouthwesternstatecollege,Stephen Okoro,,,,Wing,,,14,2.8774999999999995,2.9999999999999996,2.65,3,6.285714285714286,8.142857142857142,0.2857142857142857,0.9285714285714286,0.21428571428571427,0.14285714285714285,2.357142857142857,4.428571428571429,0.0,1.2142857142857142,3.142857142857143,5.0,0.6332757628094415,0.6129032258064516,106.6925315227934,0.06691112048544634,0.3076923076923077,0.15761396702230843,,0.0,0.27419354838709675,1.2548262548262548,0.4826254826254826,11.003861003861005,3.1853281853281854,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Very Good,4,Very Good,4,Elite,5,Unknown
1070,6,Division I,floridasouthwesternstatecollege,Trey Fogle,,,,Wing,,,13,2.875,3.45,2.0,3,3.923076923076923,1.8461538461538463,0.3076923076923077,0.38461538461538464,0.6923076923076923,0.0,0.9230769230769231,3.0,2.230769230769231,0.15384615384615385,0.46153846153846156,1.3846153846153846,0.6394182547642928,0.6410256410256411,113.63636363636363,0.03921020443823169,0.8,0.11140819964349376,0.41379310344827586,0.7435897435897436,0.05128205128205128,0.5181347150259067,0.9326424870466321,2.4870466321243523,1.2435233160621761,Elite,5,Poor,1,Very Good,4,Below Average,2,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1222,7,Division I,floridasouthwesternstatecollege,Lamont Hartfield,,,,Wing,,,14,2.8075,3.0,2.45,3,10.785714285714286,3.7142857142857144,1.7142857142857142,1.2142857142857142,1.0,0.07142857142857142,1.2857142857142858,9.071428571428571,4.5,1.9285714285714286,1.5,2.2142857142857144,0.5436347926267281,0.515748031496063,96.86938670772389,0.12645617678554044,1.411764705882353,0.10905824993584809,0.30158730158730157,0.49606299212598426,0.2125984251968504,1.640926640926641,1.4478764478764479,5.019305019305019,1.7374517374517375,Average,3,Below Average,2,Below Average,2,Average,3,Elite,5,Below Average,2,Elite,5,Elite,5,Average,3,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1243,8,Division I,floridasouthwesternstatecollege,Roman Cummings,,,,Wing,,,14,2.8,3.3,2.0,3,6.285714285714286,4.928571428571429,0.5714285714285714,0.9285714285714286,0.7857142857142857,0.21428571428571427,1.9285714285714286,3.642857142857143,0.0,2.7857142857142856,1.7142857142857142,3.2142857142857144,0.6455399061032864,0.6862745098039216,108.42779694430754,0.0658402829607035,0.6153846153846154,0.16017742730409068,,0.0,0.7647058823529411,1.2548262548262548,1.3513513513513513,6.66023166023166,2.606177606177606,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2008,9,Division I,floridasouthwesternstatecollege,Austin Leslie,,,,Wing,,,7,2.5,2.7,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,N/A,3,Poor,1,N/A,3,N/A,3,N/A,3,Insufficient Volume,3,Poor,1,N/A,3,N/A,3,N/A,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2009,10,Division I,floridasouthwesternstatecollege,Tyler Bey,,,,Wing,,,7,2.5,2.7,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,N/A,3,Poor,1,N/A,3,N/A,3,N/A,3,Insufficient Volume,3,Poor,1,N/A,3,N/A,3,N/A,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
