MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
650,1,Division I,forthaystechnorthwest,Riccardo Marzetti,,,,Wing,,,10,3.0999999999999996,3.9,2.0,3,7.8,2.3,0.1,0.5,0.2,0.0,1.7,4.9,2.4,1.9,1.0,1.3,0.6799163179916318,0.673469387755102,125.08017960230917,0.06977576869713109,0.2,0.08017960230917255,0.5,0.4897959183673469,0.3877551020408163,0.6455777921239509,0.2582311168495804,2.9696578437701744,2.194964493221433,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
655,2,Division I,forthaystechnorthwest,Marquintez Dixon,,,,Wing,,,12,3.0950000000000006,2.3500000000000005,4.2,3,14.25,8.333333333333334,1.0,2.4166666666666665,1.0,2.9166666666666665,3.3333333333333335,11.5,1.25,4.916666666666667,2.75,5.583333333333333,0.521468650890461,0.47101449275362317,88.61940298507463,0.17830345592311958,0.41379310344827586,0.15029021558872305,0.13333333333333333,0.10869565217391304,0.427536231884058,3.1149301825993554,5.048335123523094,10.741138560687434,4.296455424274973,Below Average,2,Average,3,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Elite,5,Very Good,4,Average,3,Very Good,4,Unknown
1732,3,Division I,forthaystechnorthwest,Matija Otasevic,,,,Wing,,,12,2.6049999999999995,2.6999999999999997,2.3,3,8.333333333333334,6.416666666666667,1.1666666666666667,0.9166666666666666,0.5833333333333334,0.25,2.25,6.0,1.9166666666666667,5.166666666666667,1.75,4.666666666666667,0.5036261079774376,0.4652777777777778,90.67827348567283,0.10190352984660876,1.2727272727272727,0.09974610083424011,0.21739130434782608,0.3194444444444444,0.8611111111111112,1.1815252416756177,1.0741138560687433,8.270676691729323,2.9001074113856067,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1943,4,Division I,forthaystechnorthwest,Kaleel Kelly,,,,Wing,,,12,2.5250000000000004,2.75,2.0,3,11.583333333333334,3.0,1.4166666666666667,1.75,0.6666666666666666,0.0,1.5,9.083333333333334,4.25,4.166666666666667,0.9166666666666666,2.0833333333333335,0.5305343511450382,0.4724770642201835,91.44736842105263,0.14045462945851045,0.8095238095238095,0.13815789473684212,0.29411764705882354,0.46788990825688076,0.45871559633027525,2.255639097744361,0.8592910848549946,3.866809881847476,1.933404940923738,Average,3,Below Average,2,Poor,1,Below Average,2,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2127,5,Division I,forthaystechnorthwest,Kuet Gatwech,,,,Wing,,,12,2.4574999999999996,2.3,2.45,3,9.75,3.1666666666666665,1.1666666666666667,1.6666666666666667,0.4166666666666667,0.9166666666666666,1.9166666666666667,7.333333333333333,2.9166666666666665,4.083333333333333,0.75,2.4166666666666665,0.5339539978094194,0.45454545454545453,90.30564989194195,0.11971909074108297,0.7,0.15436863229391787,0.2857142857142857,0.3977272727272727,0.5568181818181818,2.1482277121374866,1.7185821697099892,4.081632653061225,2.4704618689581097,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2313,6,Division I,forthaystechnorthwest,Jasiah Shields,,,,Wing,,,12,2.4,2.5,2.0,3,8.083333333333334,3.6666666666666665,3.0833333333333335,1.8333333333333333,0.75,0.08333333333333333,1.4166666666666667,5.916666666666667,1.3333333333333333,3.3333333333333335,1.25,2.4166666666666665,0.5474040632054177,0.4295774647887324,87.70343580470163,0.1021992238033635,1.6818181818181819,0.19891500904159132,0.1875,0.22535211267605634,0.5633802816901409,2.3630504833512354,1.0741138560687433,4.726100966702471,1.8259935553168636,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3147,7,Division I,forthaystechnorthwest,Daquan Slayton,,,,Wing,,,12,2.1574999999999998,1.7,2.45,3,2.6666666666666665,4.0,1.3333333333333333,1.3333333333333333,1.25,0.0,2.0,2.5833333333333335,0.6666666666666666,2.4166666666666665,1.9166666666666667,2.0833333333333335,0.3656307129798903,0.3064516129032258,53.547523427041504,0.055220846423951205,1.0,0.2677376171352075,0.125,0.25806451612903225,0.9354838709677419,1.7185821697099892,1.6111707841031149,5.155746509129968,2.577873254564984,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3241,8,Division I,forthaystechnorthwest,Pape Fall,,,,Wing,,,6,2.15,2.0,2.0,3,1.1666666666666667,1.8333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.0,1.0,0.8333333333333334,0.0,0.5,0.6666666666666666,1.1666666666666667,0.5537974683544303,0.6,67.82945736434108,0.01928395246281486,0.0,0.38759689922480617,,0.0,0.6,0.8565310492505354,0.21413276231263384,2.355460385438972,1.284796573875803,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3378,9,Division I,forthaystechnorthwest,Da'King Smith,,,,Wing,,,9,2.0999999999999996,1.9000000000000001,2.0,3,8.222222222222221,2.7777777777777777,2.0,2.3333333333333335,0.8888888888888888,0.0,2.0,7.444444444444445,6.111111111111111,2.6666666666666665,1.2222222222222223,1.5555555555555556,0.47705002578648786,0.417910447761194,75.08116883116882,0.123875119400734,0.8571428571428571,0.21306818181818182,0.2909090909090909,0.8208955223880597,0.3582089552238806,3.125,1.1904761904761905,3.7202380952380953,2.6785714285714284,Poor,1,Below Average,2,Poor,1,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3549,10,Division I,forthaystechnorthwest,Paris Strozier Jr,,,,Wing,,,12,2.05,1.8,2.0,3,2.0833333333333335,1.3333333333333333,0.4166666666666667,0.5833333333333334,0.5,0.16666666666666666,0.25,2.3333333333333335,0.8333333333333334,1.0833333333333333,0.6666666666666666,0.6666666666666666,0.370699881376038,0.30357142857142855,61.39489194499018,0.03762705599704306,0.7142857142857143,0.1719056974459725,0.1,0.35714285714285715,0.4642857142857143,0.7518796992481203,0.8592910848549946,1.7185821697099892,0.322234156820623,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3916,11,Division I,forthaystechnorthwest,Jeremiah Thornton,,,,Wing,,,7,1.925,1.5500000000000003,2.0,3,2.142857142857143,1.1428571428571428,0.42857142857142855,0.5714285714285714,0.0,0.0,0.8571428571428571,2.0,1.1428571428571428,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.47588832487309646,0.39285714285714285,75.91093117408907,0.030979556001505076,0.75,0.20242914979757087,0.125,0.5714285714285714,0.2857142857142857,0.7359705611775529,0.0,1.4719411223551058,1.1039558417663293,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3961,12,Division I,forthaystechnorthwest,Bonfas Loria,,,,Wing,,,12,1.9,1.5,2.0,3,5.083333333333333,3.9166666666666665,0.5,1.5,0.9166666666666666,0.16666666666666666,2.0,4.833333333333333,2.5,1.9166666666666667,1.25,2.6666666666666665,0.44773928361714616,0.4224137931034483,70.83139804923363,0.07957863611162447,0.3333333333333333,0.20901068276823037,0.16666666666666666,0.5172413793103449,0.39655172413793105,1.933404940923738,1.3963480128893662,5.048335123523094,2.577873254564984,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
