MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
919,1,Division I,frankphillipscollege,Joseph Wilson,,,,Wing,,,7,2.95,3.6,2.0,3,1.1428571428571428,0.8571428571428571,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,0.14285714285714285,0.7142857142857143,0.6666666666666666,0.6666666666666666,133.33333333333334,0.009240436148586214,,0.0,,0.0,0.0,0.0,0.35874439461883406,1.0762331838565022,0.7174887892376681,Elite,5,Poor,1,Elite,5,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
999,2,Division I,frankphillipscollege,Jerry Pepin,,,,Wing,,,10,2.915,1.85,4.4,3,8.5,7.7,1.1,2.0,1.2,1.9,2.0,6.9,1.7,1.5,2.3,5.4,0.5621693121693122,0.5362318840579711,88.9121338912134,0.10472810131019675,0.55,0.2092050209205021,0.35294117647058826,0.2463768115942029,0.21739130434782608,2.585649644473174,4.0077569489334195,9.95475113122172,2.585649644473174,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Unknown
1288,3,Division I,frankphillipscollege,Trayvon Grant-Foster,,,,Wing,,,12,2.785,2.5,3.1,3,9.333333333333334,4.833333333333333,3.0833333333333335,1.5833333333333333,1.5,0.8333333333333334,2.5833333333333335,6.75,1.9166666666666667,4.833333333333333,1.3333333333333333,3.5,0.5257228689447991,0.41358024691358025,89.22880815806246,0.11624374884237822,1.9473684210526316,0.15137029955385597,0.30434782608695654,0.2839506172839506,0.7160493827160493,2.079912424740011,3.0651340996168583,6.349206349206349,3.3935413245758075,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
1289,4,Division I,frankphillipscollege,Quint Booker,,,,Wing,,,10,2.7825000000000006,2.9500000000000006,2.45,3,10.4,2.6,0.4,1.5,1.4,0.1,1.1,8.1,3.6,2.3,0.8,1.8,0.5706760316066725,0.5555555555555556,98.00226159065208,0.11758709334278876,0.26666666666666666,0.1413494157557482,0.4444444444444444,0.4444444444444444,0.2839506172839506,1.955671447196871,1.955671447196871,3.389830508474576,1.4341590612777053,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Very Good,4,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1298,5,Division I,frankphillipscollege,Don Escobar,,,,Wing,,,12,2.7824999999999998,2.95,2.45,3,11.333333333333334,2.9166666666666665,2.5,1.5833333333333333,1.5,0.0,1.6666666666666667,9.583333333333334,2.0833333333333335,0.9166666666666666,0.5,2.4166666666666665,0.5674232309746329,0.5608695652173913,97.95447997695189,0.128579366549361,1.5789473684210527,0.1368481705560357,0.36,0.21739130434782608,0.09565217391304348,2.079912424740011,1.9704433497536946,3.8314176245210727,2.1893814997263275,Average,3,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Average,3,Average,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1335,6,Division I,frankphillipscollege,Nehemiah Holmes,,,,Wing,,,12,2.7675,2.5,3.05,3,10.833333333333334,7.5,1.5,1.75,1.0833333333333333,0.08333333333333333,2.0833333333333335,9.083333333333334,2.8333333333333335,3.75,3.25,4.25,0.5046583850931676,0.4954128440366973,86.78237650200266,0.13872939433228376,0.8571428571428571,0.14018691588785046,0.35294117647058826,0.3119266055045872,0.41284403669724773,2.2988505747126435,1.5325670498084292,9.852216748768473,2.736726874657909,Below Average,2,Below Average,2,Poor,1,Below Average,2,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
1422,7,Division I,frankphillipscollege,Bryceson Dobie,,,,Wing,,,12,2.7325,2.85,2.45,3,13.583333333333334,3.0,4.75,2.4166666666666665,1.25,0.08333333333333333,1.8333333333333333,10.083333333333334,1.25,5.5,0.25,2.75,0.5431884830711811,0.47107438016528924,91.04110813226094,0.1658084830524171,1.9655172413793103,0.1619749776586238,0.4,0.12396694214876033,0.5454545454545454,3.1746031746031744,1.7515051997810618,3.9408866995073892,2.40831964969896,Average,3,Average,3,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1588,8,Division I,frankphillipscollege,Mor Mboup,,,,Wing,,,12,2.6599999999999993,2.5999999999999996,2.5999999999999996,3,8.916666666666666,6.666666666666667,1.0833333333333333,1.8333333333333333,0.8333333333333334,0.08333333333333333,1.9166666666666667,5.833333333333333,0.0,2.5,3.0833333333333335,3.5833333333333335,0.6430288461538461,0.6142857142857143,101.71102661596957,0.09742544915725135,0.5909090909090909,0.2091254752851711,,0.0,0.42857142857142855,2.40831964969896,1.20415982484948,8.75752599890531,2.5177887246852766,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Unknown
2527,9,Division I,frankphillipscollege,Cortland Thomas,,,,Wing,,,8,2.3499999999999996,2.4,2.0,3,5.25,2.25,0.75,0.875,0.125,0.25,0.75,4.25,2.625,1.0,0.875,1.375,0.5597014925373134,0.5441176470588235,94.33962264150942,0.060367738786136584,0.8571428571428571,0.15723270440251572,0.3333333333333333,0.6176470588235294,0.23529411764705882,1.1290322580645162,0.4838709677419355,2.903225806451613,0.967741935483871,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3550,10,Division I,frankphillipscollege,Issa Traore,,,,Wing,,,12,2.05,1.8,2.0,3,4.166666666666667,3.75,0.08333333333333333,1.0833333333333333,0.08333333333333333,0.5,2.25,3.0,0.0,2.3333333333333335,1.5833333333333333,2.1666666666666665,0.5173841059602649,0.3888888888888889,81.53946510110893,0.056788294128542326,0.07692307692307693,0.21200260926288322,,0.0,0.7777777777777778,1.4230979748221126,0.7662835249042146,4.926108374384237,2.955665024630542,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3875,11,Division I,frankphillipscollege,Warris Isaiah,,,,Wing,,,7,1.95,1.6,2.0,3,2.2857142857142856,1.7142857142857142,0.14285714285714285,1.1428571428571428,0.14285714285714285,0.0,1.4285714285714286,2.2857142857142856,0.0,1.2857142857142858,1.1428571428571428,0.5714285714285714,0.4008016032064128,0.4375,57.22460658082976,0.044279741543139496,0.125,0.28612303290414876,,0.0,0.5625,1.5325670498084292,0.19157088122605365,2.2988505747126435,1.9157088122605364,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
