MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
539,1,Division I,gadsdenstatecommunitycollege,Julien Barnett,,,,Wing,,,17,3.2325,2.8000000000000003,3.95,3,17.823529411764707,6.764705882352941,1.8235294117647058,3.1176470588235294,1.3529411764705883,0.8823529411764706,0.23529411764705882,13.117647058823529,4.0,6.176470588235294,2.3529411764705883,4.411764705882353,0.562778603268945,0.5089686098654709,94.04096834264432,0.2153167602245389,0.5849056603773585,0.16449410304158907,0.3382352941176471,0.30493273542600896,0.47085201793721976,4.098994586233565,2.9389017788089715,8.894044856921887,0.30935808197989173,Average,3,Very Good,4,Poor,1,Poor,1,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Average,3,Very Good,4,Average,3,Elite,5,Average,3,Unknown
874,2,Division I,gadsdenstatecommunitycollege,Julius Winston,,,,Wing,,,17,3.04,2.0999999999999996,4.4,3,6.764705882352941,7.176470588235294,2.1176470588235294,1.8823529411764706,1.4705882352941178,2.3529411764705883,0.6470588235294118,5.9411764705882355,2.1176470588235294,1.411764705882353,1.7058823529411764,5.470588235294118,0.5154177124417354,0.5099009900990099,80.10587907495123,0.09593691526329859,1.125,0.22290331568682084,0.3611111111111111,0.3564356435643564,0.2376237623762376,2.474864655839134,5.02706883217324,9.435421500386697,0.8507347254447022,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Average,3,Elite,5,Very Good,4,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Unknown
1023,3,Division I,gadsdenstatecommunitycollege,KeShawn Watkins,,,,Wing,,,17,2.965,3.0,2.9,3,17.941176470588236,9.058823529411764,1.588235294117647,2.5294117647058822,0.8235294117647058,0.058823529411764705,0.47058823529411764,11.823529411764707,0.058823529411764705,7.9411764705882355,3.5294117647058822,5.529411764705882,0.5856374807987712,0.5621890547263682,100.5273566249176,0.20275327452552794,0.627906976744186,0.14172709294660515,0.0,0.004975124378109453,0.6716417910447762,3.325599381283836,1.160092807424594,11.910286156225832,0.6187161639597835,Very Good,4,Very Good,4,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Very Good,4,Elite,5,Very Good,4,Unknown
1221,4,Division I,gadsdenstatecommunitycollege,Nathan Henley Jr,,,,Wing,,,14,2.875,3.45,2.0,3,6.5,3.7142857142857144,0.35714285714285715,0.7857142857142857,0.14285714285714285,0.0,0.0,3.5,0.2857142857142857,3.5,1.6428571428571428,2.0714285714285716,0.6448412698412698,0.6020408163265306,111.57430112800392,0.0625805659566632,0.45454545454545453,0.1348700343305542,0.25,0.08163265306122448,1.0,0.9777777777777777,0.17777777777777778,4.622222222222222,0.0,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1260,5,Division I,gadsdenstatecommunitycollege,Jaedin Reyna,,,,Wing,,,16,2.8575,3.1,2.45,3,13.5625,2.8125,3.6875,2.5,1.3125,0.1875,0.0,10.8125,5.375,3.25,0.3125,2.5,0.553910557484174,0.49421965317919075,91.99593013396643,0.1675998294727867,1.475,0.16957775139901646,0.38372093023255816,0.49710982658959535,0.30057803468208094,3.282724661469019,1.9696347968814116,3.693065244152647,0.0,Average,3,Average,3,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1799,6,Division I,gadsdenstatecommunitycollege,Marcus Towns,,,,Wing,,,17,2.6500000000000004,3.0000000000000004,2.0,3,8.882352941176471,4.764705882352941,1.4705882352941178,1.1176470588235294,0.8823529411764706,0.17647058823529413,0.11764705882352941,7.235294117647059,1.588235294117647,1.0,1.7647058823529411,3.0,0.5786327406499081,0.5609756097560976,101.01685844260102,0.09989307671745523,1.3157894736842106,0.12710730532512712,0.37037037037037035,0.21951219512195122,0.13821138211382114,1.4694508894044858,1.3921113689095128,6.2645011600928076,0.15467904098994587,Very Good,4,Poor,1,Below Average,2,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2471,7,Division I,gadsdenstatecommunitycollege,James Dickens,,,,Wing,,,6,2.4499999999999997,2.5999999999999996,2.0,3,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.06443298969072166,0.0,12.88659793814433,0.014067145239649047,99.0,0.0,,0.0,0.6666666666666666,0.0,0.211864406779661,0.635593220338983,0.0,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3575,8,Division I,gadsdenstatecommunitycollege,Kade Slaton,,,,Wing,,,10,2.15,2.0,2.0,3,1.5,0.4,0.4,0.3,0.0,0.1,0.0,1.8,1.1,0.2,0.0,0.4,0.3972457627118644,0.3888888888888889,68.55575868372944,0.023599965484511175,1.3333333333333333,0.13711151736745888,0.36363636363636365,0.6111111111111112,0.1111111111111111,0.37641154328732745,0.12547051442910917,0.5018820577164367,0.0,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3929,9,Division I,gadsdenstatecommunitycollege,Keota Watkins,,,,Wing,,,12,2.05,1.8,2.0,3,2.0833333333333335,1.75,1.3333333333333333,1.0833333333333333,0.6666666666666666,0.25,0.25,2.5,0.5,0.9166666666666666,0.6666666666666666,1.0833333333333333,0.35878300803673935,0.35,52.25752508361204,0.04294897116385966,1.2307692307692308,0.2717391304347826,0.16666666666666666,0.2,0.36666666666666664,1.3513513513513513,1.1434511434511434,2.182952182952183,0.31185031185031187,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4338,10,Division I,gadsdenstatecommunitycollege,Jayden Parks,,,,Wing,,,14,1.9000000000000001,1.5000000000000002,2.0,3,2.9285714285714284,1.5,1.5,1.2857142857142858,0.5,0.14285714285714285,0.21428571428571427,3.357142857142857,1.9285714285714286,0.5714285714285714,0.35714285714285715,1.1428571428571428,0.40577988915281077,0.39361702127659576,59.8365440747227,0.052575041433920576,1.1666666666666667,0.2626970227670753,0.25925925925925924,0.574468085106383,0.1702127659574468,1.6,0.8,1.8666666666666667,0.26666666666666666,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
