MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
54,1,Division I,gardencitycommunitycollege,Devonte Reed,,,,Wing,,,14,3.8050000000000006,4.050000000000001,3.8,3,18.071428571428573,4.928571428571429,1.9285714285714286,2.142857142857143,2.5,1.0714285714285714,2.642857142857143,12.071428571428571,4.071428571428571,5.142857142857143,1.9285714285714286,3.0,0.6303567869244568,0.5798816568047337,109.67574128663082,0.15351239119439933,0.9,0.13005028611062944,0.3508771929824561,0.33727810650887574,0.4260355029585799,2.3391812865497075,3.898635477582846,5.380116959064328,2.884990253411306,Elite,5,Average,3,Very Good,4,Below Average,2,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
80,2,Division I,gardencitycommunitycollege,Jordon Nevill,,,,Wing,,,14,3.715,4.5,2.9000000000000004,3,14.785714285714286,3.0,3.5,1.5,2.142857142857143,0.14285714285714285,2.0714285714285716,10.571428571428571,7.857142857142857,3.642857142857143,1.2142857142857142,1.7857142857142858,0.6072518188218728,0.5574324324324325,108.1278729628082,0.1273990470359624,2.3333333333333335,0.10969494358545759,0.37272727272727274,0.7432432432432432,0.34459459459459457,1.6374269005847952,2.4951267056530213,3.2748538011695905,2.2612085769980506,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
554,3,Division I,gardencitycommunitycollege,Zaire Lott,,,,Wing,,,11,3.115,3.3000000000000003,2.9000000000000004,3,15.909090909090908,4.363636363636363,0.8181818181818182,0.8181818181818182,1.1818181818181819,0.9090909090909091,2.0,12.818181818181818,8.181818181818182,2.909090909090909,2.0,2.3636363636363638,0.5642249161722981,0.5460992907801419,106.65529010238907,0.1395238095238095,1.0,0.054851292052657236,0.3111111111111111,0.6382978723404256,0.22695035460992907,0.8946322067594433,2.286282306163022,4.7713717693836974,2.1868787276341948,Average,3,Below Average,2,Average,3,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Very Good,4,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1119,4,Division I,gardencitycommunitycollege,Michael Solaja,,,,Wing,,,8,2.8000000000000007,3.3000000000000007,2.0,3,6.375,1.75,2.125,0.375,1.125,0.0,1.625,5.25,2.375,0.875,1.125,0.625,0.5656610470275066,0.5238095238095238,106.07321131447588,0.05233368164402648,5.666666666666667,0.06239600665557404,0.3157894736842105,0.4523809523809524,0.16666666666666666,0.3838771593090211,1.1516314779270633,1.7914267434420985,1.6634676903390915,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1155,5,Division I,gardencitycommunitycollege,Dasean Lewis,,,,Wing,,,14,2.79,3.0,2.4000000000000004,3,10.0,3.0714285714285716,3.642857142857143,1.7142857142857142,2.0,0.07142857142857142,3.4285714285714284,7.571428571428571,4.357142857142857,3.5,1.3571428571428572,1.7142857142857142,0.5487613671997491,0.4811320754716981,92.37265769332278,0.10085979716240316,2.125,0.1583531274742676,0.36065573770491804,0.5754716981132075,0.46226415094339623,1.871345029239766,2.2612085769980506,3.3528265107212474,3.742690058479532,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Average,3,Elite,5,Unknown
1163,6,Division I,gardencitycommunitycollege,Xavier Johnson,,,,Wing,,,14,2.79,2.65,2.9000000000000004,3,10.214285714285714,4.642857142857143,1.5714285714285714,1.0714285714285714,1.3571428571428572,0.5,1.4285714285714286,9.071428571428571,3.4285714285714284,2.642857142857143,1.5,3.142857142857143,0.4990228922389726,0.47244094488188976,90.34622188526662,0.10533180717118745,1.4666666666666666,0.09476876421531463,0.3333333333333333,0.3779527559055118,0.29133858267716534,1.1695906432748537,2.02729044834308,5.0682261208577,1.5594541910331383,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1406,7,Division I,gardencitycommunitycollege,Jamir Westry,,,,Wing,,,8,2.6799999999999997,1.7999999999999998,3.8,3,6.75,2.625,5.125,3.75,2.875,0.25,1.875,7.125,1.875,1.875,1.375,1.25,0.42452830188679247,0.41228070175438597,57.69230769230769,0.10595906538670531,1.3666666666666667,0.32051282051282054,0.2,0.2631578947368421,0.2631578947368421,3.9761431411530817,3.313452617627568,2.783300198807157,1.9880715705765408,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Average,3,Very Good,4,Very Good,4,Poor,1,Elite,5,Poor,1,Elite,5,Average,3,Unknown
1633,8,Division I,gardencitycommunitycollege,Tammar Brown,,,,Wing,,,14,2.5825000000000005,2.5500000000000003,2.45,3,3.142857142857143,2.857142857142857,0.5,0.6428571428571429,0.5714285714285714,1.1428571428571428,2.0714285714285716,2.142857142857143,0.21428571428571427,1.1428571428571428,1.2142857142857142,1.6428571428571428,0.593952483801296,0.6166666666666667,95.56907037358819,0.030638592381611516,0.7777777777777778,0.19548218940052128,0.3333333333333333,0.1,0.5333333333333333,0.7017543859649122,1.871345029239766,3.1189083820662766,2.2612085769980506,Very Good,4,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1916,9,Division I,gardencitycommunitycollege,Nico Doume,,,,Wing,,,14,2.4749999999999996,2.6499999999999995,2.0,3,5.285714285714286,4.5,0.7857142857142857,0.6428571428571429,0.9285714285714286,0.2857142857142857,1.5,4.357142857142857,0.42857142857142855,0.7142857142857143,1.8571428571428572,2.642857142857143,0.565749235474006,0.5573770491803278,99.46236559139784,0.04951153938296909,1.2222222222222223,0.12096774193548386,0.0,0.09836065573770492,0.16393442622950818,0.7017543859649122,1.3255360623781676,4.912280701754386,1.6374269005847952,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2120,10,Division I,gardencitycommunitycollege,Lucas Kalimba,,,,Wing,,,14,2.4,2.5,2.0,3,7.571428571428571,3.9285714285714284,1.9285714285714286,1.1428571428571428,0.6428571428571429,0.35714285714285715,1.7142857142857142,6.714285714285714,1.6428571428571428,1.7857142857142858,2.4285714285714284,1.5,0.5047619047619047,0.46808510638297873,87.60330578512396,0.08052279926531263,1.6875,0.1322314049586777,0.17391304347826086,0.24468085106382978,0.26595744680851063,1.2475633528265107,1.0916179337231968,4.288499025341131,1.871345029239766,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2437,11,Division I,gardencitycommunitycollege,Christian Smiley,,,,Wing,,,13,2.3075,2.0000000000000004,2.45,3,5.153846153846154,1.7692307692307692,1.4615384615384615,0.8461538461538461,1.2307692307692308,0.38461538461538464,1.5384615384615385,4.923076923076923,2.923076923076923,0.6153846153846154,0.6153846153846154,1.1538461538461537,0.4961492890995261,0.484375,85.32857870606216,0.055451977401129934,1.7272727272727273,0.1400916963830871,0.2631578947368421,0.59375,0.125,0.909466721785862,1.7362546506821,1.9016122364613477,1.6535758577924762,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Average,3,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
