MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
123,1,Division I,gastoncollege,Kaleb Siler,,,,Wing,,,18,3.705,3.8499999999999996,3.8,3,18.61111111111111,9.722222222222221,1.0,1.8888888888888888,0.6666666666666666,1.1111111111111112,2.0,11.055555555555555,0.16666666666666666,6.166666666666667,3.9444444444444446,5.777777777777778,0.6758392511297612,0.6608040201005025,118.86176554073232,0.15952003622368127,0.5294117647058824,0.1206358217428328,0.3333333333333333,0.01507537688442211,0.5577889447236181,2.2561380225613803,2.12342402123424,11.61247511612475,2.38885202388852,Elite,5,Average,3,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Unknown
492,2,Division I,gastoncollege,Ryan Evans,,,,Wing,,,16,3.2625,3.7,2.75,3,12.0,6.5625,1.0625,0.9375,0.8125,0.6875,1.8125,9.5625,5.3125,2.1875,2.1875,4.375,0.5700712589073634,0.545751633986928,104.68920392584515,0.11855203619909505,1.1333333333333333,0.08178844056706652,0.4117647058823529,0.5555555555555556,0.22875816993464052,1.125703564727955,1.801125703564728,7.879924953095685,2.176360225140713,Very Good,4,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
741,3,Division I,gastoncollege,Jozohn Price,,,,Wing,,,18,3.1000000000000005,3.9000000000000004,2.0,3,9.555555555555555,4.888888888888889,1.0555555555555556,0.7777777777777778,0.3888888888888889,0.2222222222222222,1.3888888888888888,7.333333333333333,4.611111111111111,1.0555555555555556,1.0,3.888888888888889,0.6127101738387004,0.5946969696969697,111.42783104431199,0.08736699117047772,1.3571428571428572,0.09069707178025395,0.39759036144578314,0.6287878787878788,0.14393939393939395,0.9289980092899801,0.7299270072992701,5.839416058394161,1.6589250165892502,Elite,5,Poor,1,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
982,4,Division I,gastoncollege,E.J. Joyner,,,,Wing,,,18,2.9825,3.3499999999999996,2.45,3,12.833333333333334,5.333333333333333,6.0,2.611111111111111,1.1111111111111112,0.1111111111111111,2.388888888888889,7.333333333333333,1.4444444444444444,6.222222222222222,1.2777777777777777,4.055555555555555,0.6371359223300971,0.5681818181818182,101.19151918696338,0.12920534299298167,2.297872340425532,0.20588750657087787,0.38461538461538464,0.19696969696969696,0.8484848484848485,3.11877903118779,1.4598540145985401,6.37027206370272,2.85335102853351,Elite,5,Below Average,2,Below Average,2,Elite,5,Poor,1,Elite,5,Below Average,2,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1274,5,Division I,gastoncollege,Spencer Breeden,,,,Wing,,,16,2.8500000000000005,3.4000000000000004,2.0,3,7.0,2.1875,1.5625,0.9375,0.875,0.125,1.6875,5.375,3.3125,1.125,0.4375,1.75,0.596252129471891,0.5755813953488372,102.82776349614396,0.0702111749993554,1.6666666666666667,0.13771575468233566,0.3584905660377358,0.6162790697674418,0.20930232558139536,1.1307953260459858,1.206181681115718,2.638522427440633,2.0354315868827744,Very Good,4,Poor,1,Average,3,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1289,6,Division I,gastoncollege,Kush Carter,,,,Wing,,,13,2.8499999999999996,3.4,2.0,3,5.846153846153846,3.0,1.2307692307692308,1.0,0.6153846153846154,0.07692307692307693,1.2307692307692308,3.3076923076923075,1.0769230769230769,2.3076923076923075,0.9230769230769231,2.076923076923077,0.6761565836298932,0.5697674418604651,109.82658959537572,0.055741719293723416,1.2307692307692308,0.18786127167630057,0.35714285714285715,0.32558139534883723,0.6976744186046512,1.2059369202226344,0.8348794063079777,3.6178107606679037,1.484230055658627,Elite,5,Poor,1,Very Good,4,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1748,7,Division I,gastoncollege,DeAngelo Canty,,,,Wing,,,12,2.675,3.05,2.0,3,7.583333333333333,4.75,0.4166666666666667,0.9166666666666666,0.16666666666666666,0.9166666666666666,1.5833333333333333,5.333333333333333,0.0,2.5833333333333335,1.1666666666666667,3.5833333333333335,0.586038124678001,0.578125,102.66245487364621,0.07805840290253267,0.45454545454545453,0.12409747292418773,,0.0,0.484375,1.112797167425392,1.3151239251390996,5.7663125948406675,1.9221041982802225,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1935,8,Division I,gastoncollege,Ian Howard,,,,Wing,,,7,2.6000000000000005,2.900000000000001,2.0,3,5.571428571428571,1.0,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.0,1.2857142857142858,4.0,1.1428571428571428,1.7142857142857142,0.42857142857142855,0.5714285714285714,0.5859375,0.5535714285714286,101.88087774294671,0.05613891007215346,0.6,0.13061650992685475,0.125,0.2857142857142857,0.42857142857142855,0.8496176720475785,0.33984706881903143,1.18946474086661,1.5293118096856415,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2135,9,Division I,gastoncollege,J.R. Watson,,,,Wing,,,16,2.54,2.15,2.9000000000000004,3,7.3125,3.1875,4.6875,1.6875,1.6875,0.1875,1.3125,6.8125,4.125,1.8125,1.0625,2.125,0.48045335085413926,0.44495412844036697,78.65017477816617,0.0943645175204892,2.7777777777777777,0.18150040333422965,0.2878787878787879,0.6055045871559633,0.26605504587155965,2.0096762188314106,2.232973576479345,3.7960550800148867,1.5630815035355414,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2815,10,Division I,gastoncollege,Tony Goodman,,,,Wing,,,13,2.3499999999999996,2.4,2.0,3,6.384615384615385,1.8461538461538463,1.8461538461538463,1.0769230769230769,0.46153846153846156,0.0,1.3846153846153846,4.923076923076923,2.3076923076923075,2.6153846153846154,0.5384615384615384,1.3076923076923077,0.5255825734549139,0.4296875,89.28571428571428,0.07488078360613482,1.7142857142857142,0.1506024096385542,0.3,0.46875,0.53125,1.2987012987012987,0.5565862708719852,2.226345083487941,1.6697588126159555,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
