MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
522,1,Division I,georgiahighlandscollege,Justin Rushin,,,,Wing,,,13,3.1724999999999994,3.0999999999999996,3.35,3,10.153846153846153,4.0,2.3846153846153846,2.230769230769231,1.6153846153846154,0.6153846153846154,1.7692307692307692,7.153846153846154,2.230769230769231,2.769230769230769,0.6923076923076923,3.3076923076923075,0.6063947078280044,0.553763440860215,95.76320371445154,0.13202559288916135,1.0689655172413792,0.21038885664538595,0.3793103448275862,0.3118279569892473,0.3870967741935484,3.012987012987013,3.012987012987013,5.402597402597403,2.3896103896103895,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
888,2,Division I,georgiahighlandscollege,Ja'Kenes Heard,,,,Wing,,,13,2.9575000000000005,3.3000000000000003,2.45,3,4.6923076923076925,2.5384615384615383,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.8461538461538461,1.1538461538461537,3.5384615384615383,0.07692307692307693,0.8461538461538461,0.7692307692307693,1.7692307692307692,0.599921321793863,0.5978260869565217,109.2406876790831,0.05348454082219073,0.2,0.08954154727793695,1.0,0.021739130434782608,0.2391304347826087,0.5194805194805194,1.5584415584415585,3.4285714285714284,1.5584415584415585,Very Good,4,Poor,1,Very Good,4,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1061,3,Division I,georgiahighlandscollege,Braylen Smith,,,,Wing,,,13,2.88,2.1999999999999997,3.8,3,14.153846153846153,4.6923076923076925,5.538461538461538,3.6923076923076925,3.230769230769231,0.38461538461538464,1.7692307692307692,11.846153846153847,2.4615384615384617,3.5384615384615383,0.8461538461538461,3.8461538461538463,0.5280073461891643,0.4935064935064935,82.7933765298776,0.21286540745565305,1.5,0.2159827213822894,0.25,0.2077922077922078,0.2987012987012987,4.987012987012987,4.883116883116883,6.337662337662338,2.3896103896103895,Below Average,2,Very Good,4,Poor,1,Very Good,4,Poor,1,Poor,1,Average,3,Average,3,Very Good,4,Average,3,Elite,5,Poor,1,Elite,5,Below Average,2,Unknown
1403,4,Division I,georgiahighlandscollege,Joshua Bryant,,,,Wing,,,11,2.7424999999999997,2.45,3.05,3,10.727272727272727,6.818181818181818,0.8181818181818182,1.9090909090909092,0.6363636363636364,0.7272727272727273,1.7272727272727273,7.2727272727272725,1.2727272727272727,5.181818181818182,2.272727272727273,4.545454545454546,0.5614769699276742,0.50625,93.59137055837563,0.142883046237534,0.42857142857142855,0.16656091370558376,0.21428571428571427,0.175,0.7125,2.575107296137339,1.8393623543838136,9.196811771919068,2.329858982219497,Average,3,Below Average,2,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
1473,5,Division I,georgiahighlandscollege,Justen Goudelock,,,,Wing,,,13,2.7074999999999996,2.8,2.45,3,11.846153846153847,5.0,1.3846153846153846,1.6923076923076923,0.8461538461538461,0.46153846153846156,2.1538461538461537,8.923076923076923,2.076923076923077,2.923076923076923,0.9230769230769231,4.076923076923077,0.580168776371308,0.5517241379310345,99.53464322647363,0.1481935558024597,0.8181818181818182,0.1421923474663909,0.2222222222222222,0.23275862068965517,0.3275862068965517,2.2857142857142856,1.7662337662337662,6.753246753246753,2.909090909090909,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Average,3,Poor,1,Average,3,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1618,6,Division I,georgiahighlandscollege,Josh Cooper,,,,Wing,,,13,2.6500000000000004,3.0,2.0,3,6.384615384615385,2.1538461538461537,0.23076923076923078,0.46153846153846156,0.0,0.07692307692307693,1.3846153846153846,4.461538461538462,0.0,2.6923076923076925,0.6923076923076923,1.4615384615384615,0.5653950953678474,0.5172413793103449,104.53400503778337,0.07605072602582277,0.5,0.07556675062972291,,0.0,0.603448275862069,0.6233766233766234,0.1038961038961039,2.909090909090909,1.87012987012987,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1817,7,Division I,georgiahighlandscollege,Devan Lonon,,,,Wing,,,10,2.575,2.8499999999999996,2.0,3,3.2,1.2,0.2,0.5,0.1,0.0,1.1,2.4,1.3,0.6,0.1,1.1,0.6006006006006006,0.5625,101.1378002528445,0.039561868560568175,0.4,0.15802781289506954,0.38461538461538464,0.5416666666666666,0.25,0.6807351940095303,0.13614703880190607,1.6337644656228727,1.4976174268209665,Elite,5,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1857,8,Division I,georgiahighlandscollege,Landen Williams,,,,Wing,,,13,2.5575,2.5,2.45,3,10.461538461538462,2.6923076923076925,1.8461538461538463,1.7692307692307692,0.9230769230769231,0.3076923076923077,1.1538461538461537,8.0,2.1538461538461537,3.230769230769231,0.6923076923076923,2.0,0.5551926845199217,0.5,93.48364036293647,0.1393433201793035,1.0434782608695652,0.1580973329667308,0.2857142857142857,0.2692307692307692,0.40384615384615385,2.3896103896103895,1.6623376623376624,3.6363636363636362,1.5584415584415585,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Below Average,2,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1982,9,Division I,georgiahighlandscollege,"FeRoyre High, Jr",,,,Wing,,,6,2.5075000000000003,2.4,2.45,3,3.6666666666666665,2.0,1.0,1.1666666666666667,1.1666666666666667,0.0,0.5,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.8333333333333334,1.1666666666666667,0.6193693693693693,0.5625,88.8529886914378,0.05085441998028262,0.8571428571428571,0.28271405492730206,0.0,0.125,0.25,1.560758082497213,1.560758082497213,2.6755852842809364,0.6688963210702341,Elite,5,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2134,10,Division I,georgiahighlandscollege,Malik Lovett,,,,Wing,,,7,2.4574999999999996,2.3,2.45,3,3.0,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,2.2857142857142856,0.8571428571428571,1.8571428571428572,0.2857142857142857,0.5714285714285714,0.4834254143646409,0.5,84.95145631067962,0.043761506868715466,1.3333333333333333,0.12135922330097088,0.3333333333333333,0.375,0.8125,0.5780346820809249,1.9267822736030829,1.1560693641618498,0.7707129094412332,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
