MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
606,1,Division I,gillettecollege,Jada Bolok,,,,Wing,,,12,3.125,3.5999999999999996,2.5,3,6.416666666666667,6.75,0.75,0.75,1.0,0.5833333333333334,2.5833333333333335,3.0833333333333335,0.0,3.25,2.5,4.25,0.7108567208271788,0.8108108108108109,121.91260291323623,0.056098340853376914,1.0,0.14249525015832806,,0.0,1.054054054054054,0.8858267716535433,1.8700787401574803,7.97244094488189,3.0511811023622046,Elite,5,Poor,1,Elite,5,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
1213,2,Division I,gillettecollege,Rashad McCormick,,,,Wing,,,12,2.8125,2.8,2.75,3,20.416666666666668,5.916666666666667,2.0,2.3333333333333335,1.25,0.4166666666666667,1.8333333333333333,17.583333333333332,5.333333333333333,4.25,1.75,4.166666666666667,0.5247601096641535,0.4881516587677725,93.71175030599755,0.23220947170213524,0.8571428571428571,0.10709914320685435,0.25,0.3033175355450237,0.24170616113744076,2.7559055118110236,1.968503937007874,6.988188976377953,2.1653543307086616,Below Average,2,Elite,5,Poor,1,Below Average,2,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
1860,3,Division I,gillettecollege,Sayed Sayed,,,,Wing,,,12,2.5575,2.5,2.45,3,17.333333333333332,4.25,2.25,2.9166666666666665,1.1666666666666667,0.08333333333333333,2.4166666666666665,15.666666666666666,5.25,4.416666666666667,0.9166666666666666,3.3333333333333335,0.49214461480219573,0.46808510638297873,84.44300097434233,0.21877997655167516,0.7714285714285715,0.14209158817797987,0.31746031746031744,0.3351063829787234,0.28191489361702127,3.4448818897637796,1.4763779527559056,5.019685039370079,2.854330708661417,Below Average,2,Very Good,4,Poor,1,Poor,1,Average,3,Average,3,Elite,5,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
2801,4,Division I,gillettecollege,Diabe Bathily,,,,Wing,,,12,2.2525000000000004,1.75,2.6500000000000004,3,5.083333333333333,4.75,1.3333333333333333,1.5,1.0833333333333333,0.9166666666666666,3.0,4.416666666666667,1.3333333333333333,2.1666666666666665,0.75,4.0,0.47330850403476105,0.4056603773584906,73.99320718098011,0.07322272355846095,0.8888888888888888,0.2183406113537118,0.4375,0.3018867924528302,0.49056603773584906,1.7716535433070866,2.3622047244094486,5.610236220472441,3.543307086614173,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2909,5,Division I,gillettecollege,Jaden Smith,,,,Wing,,,12,2.225,2.1500000000000004,2.0,3,9.583333333333334,3.9166666666666665,1.5833333333333333,2.0833333333333335,1.0,0.16666666666666666,1.5,7.666666666666667,0.6666666666666666,2.4166666666666665,0.75,3.1666666666666665,0.5488736158839251,0.5054347826086957,88.62515413070284,0.11525206949230825,0.76,0.19266337854500618,0.125,0.08695652173913043,0.31521739130434784,2.4606299212598426,1.3779527559055118,4.625984251968504,1.7716535433070866,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2962,6,Division I,gillettecollege,Moses Blackwell,,,,Wing,,,12,2.2075,1.8,2.45,3,5.583333333333333,2.1666666666666665,3.9166666666666665,1.5833333333333333,1.25,0.08333333333333333,2.0833333333333335,5.25,2.9166666666666665,1.0833333333333333,0.08333333333333333,2.0833333333333335,0.48748544819557627,0.49206349206349204,76.37938896488828,0.07791238853163748,2.473684210526316,0.2165982672138623,0.2857142857142857,0.5555555555555556,0.20634920634920634,1.8700787401574803,1.5748031496062993,2.559055118110236,2.4606299212598426,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Average,3,Elite,5,Average,3,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3404,7,Division I,gillettecollege,Aly Tapo,,,,Wing,,,12,2.0999999999999996,1.9,2.0,3,4.166666666666667,4.666666666666667,0.4166666666666667,1.0833333333333333,0.5833333333333334,0.5833333333333334,2.1666666666666665,5.0,0.0,2.1666666666666665,1.5833333333333333,3.0833333333333335,0.34994400895856664,0.2833333333333333,59.21364282330649,0.0749991118058763,0.38461538461538464,0.15395547134059687,,0.0,0.43333333333333335,1.279527559055118,1.3779527559055118,5.511811023622047,2.559055118110236,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4000,8,Division I,gillettecollege,Benedict Agyei,,,,Wing,,,11,1.875,1.4500000000000002,2.0,3,1.6363636363636365,1.1818181818181819,0.18181818181818182,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.5454545454545454,1.6363636363636365,1.0,0.2727272727272727,0.5454545454545454,0.6363636363636364,0.4658385093167702,0.4444444444444444,71.09004739336493,0.024362082900357927,0.3333333333333333,0.23696682464454977,0.36363636363636365,0.6111111111111112,0.16666666666666666,0.6410256410256411,0.5341880341880342,1.3888888888888888,0.6410256410256411,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4001,9,Division I,gillettecollege,Chris Morgan,,,,Wing,,,11,1.875,1.4500000000000002,2.0,3,1.8181818181818181,1.4545454545454546,0.2727272727272727,0.8181818181818182,0.6363636363636364,0.0,1.0,2.8181818181818183,1.1818181818181819,0.5454545454545454,0.36363636363636365,1.0909090909090908,0.2972651605231867,0.25806451612903225,46.90431519699813,0.04115512315651301,0.3333333333333333,0.21106941838649154,0.15384615384615385,0.41935483870967744,0.1935483870967742,0.9615384615384616,0.7478632478632479,1.7094017094017093,1.1752136752136753,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4092,10,Division I,gillettecollege,Joe Sawyer,,,,Wing,,,12,1.825,1.3499999999999999,2.0,3,2.0833333333333335,1.0833333333333333,0.3333333333333333,0.9166666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,4.083333333333333,2.4166666666666665,0.5,0.16666666666666666,0.9166666666666666,0.24206041828040278,0.22448979591836735,39.910600255427845,0.05563647990904893,0.36363636363636365,0.1756066411238825,0.06896551724137931,0.5918367346938775,0.12244897959183673,1.0826771653543308,0.2952755905511811,1.279527559055118,0.3937007874015748,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
