MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
64,1,Division I,gordonstatecollege,Donovan Hand,,,,Wing,,,17,3.8525,4.25,3.65,3,15.705882352941176,9.529411764705882,1.588235294117647,1.3529411764705883,0.4117647058823529,0.6470588235294118,2.0,8.176470588235293,0.8235294117647058,6.705882352941177,3.588235294117647,5.9411764705882355,0.7057517445548742,0.6438848920863309,125.84841628959276,0.15711365857993428,1.173913043478261,0.10840874811463047,0.35714285714285715,0.10071942446043165,0.8201438848920863,2.0008699434536754,1.5658982166159199,14.09308394954328,2.9578077424967377,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Unknown
273,2,Division I,gordonstatecollege,Christian Burnett,,,,Wing,,,17,3.46,3.8499999999999996,3.1,3,18.823529411764707,4.529411764705882,5.411764705882353,3.5294117647058822,1.588235294117647,0.17647058823529413,2.411764705882353,13.294117647058824,6.0588235294117645,4.823529411764706,1.1764705882352942,3.3529411764705883,0.6105006105006106,0.5641592920353983,99.35419771485346,0.238514173998045,1.5333333333333334,0.18628912071535023,0.39805825242718446,0.4557522123893805,0.36283185840707965,5.219660722053066,2.609830361026533,6.698564593301436,3.5667681600695955,Elite,5,Elite,5,Below Average,2,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Very Good,4,Below Average,2,Unknown
283,3,Division I,gordonstatecollege,Chauncey Williams,,,,Wing,,,15,3.4450000000000003,2.6999999999999997,4.7,3,11.066666666666666,8.6,0.6666666666666666,0.9333333333333333,1.3333333333333333,2.466666666666667,1.8,9.066666666666666,2.2,2.0,3.4,5.2,0.5563002680965148,0.5257352941176471,101.7156862745098,0.13003155177359213,0.7142857142857143,0.0857843137254902,0.2727272727272727,0.2426470588235294,0.22058823529411764,1.3096351730589335,5.332086061739944,12.06735266604303,2.525724976613658,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Poor,1,Average,3,Average,3,Very Good,4,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Unknown
1687,4,Division I,gordonstatecollege,Jeremiah Shealey,,,,Wing,,,11,2.7,3.1,2.0,3,8.727272727272727,1.9090909090909092,1.0909090909090908,1.0,0.2727272727272727,0.09090909090909091,1.1818181818181819,6.545454545454546,3.1818181818181817,2.6363636363636362,0.7272727272727273,1.1818181818181819,0.5663048607833884,0.5208333333333334,100.25062656641603,0.10647571606475718,1.0909090909090908,0.1148705096073517,0.42857142857142855,0.4861111111111111,0.4027777777777778,1.4102564102564104,0.5128205128205128,2.6923076923076925,1.6666666666666667,Average,3,Poor,1,Below Average,2,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1853,5,Division I,gordonstatecollege,Mardrecus Moreland Jr,,,,Wing,,,9,2.6325000000000003,2.65,2.45,3,3.2222222222222223,1.0,1.5555555555555556,1.2222222222222223,1.0,0.0,1.2222222222222223,1.8888888888888888,1.4444444444444444,1.7777777777777777,0.2222222222222222,0.7777777777777778,0.6031613976705491,0.4411764705882353,82.76255707762557,0.04727213857859802,1.2727272727272727,0.3139269406392694,0.23076923076923078,0.7647058823529411,0.9411764705882353,1.7268445839874411,1.41287284144427,1.41287284144427,1.7268445839874411,Elite,5,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2916,6,Division I,gordonstatecollege,Kameron Hordge,,,,Wing,,,9,2.325,2.35,2.0,3,8.777777777777779,2.2222222222222223,1.2222222222222223,1.1111111111111112,0.4444444444444444,0.0,1.0,8.555555555555555,7.0,0.4444444444444444,0.1111111111111111,2.111111111111111,0.5015236160487557,0.4935064935064935,89.00405588102748,0.11974529167341212,1.1,0.11266336187471833,0.3492063492063492,0.8181818181818182,0.05194805194805195,1.5698587127158556,0.6279434850863422,3.1397174254317113,1.41287284144427,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3238,7,Division I,gordonstatecollege,Dion Williams,,,,Wing,,,17,2.225,2.1500000000000004,2.0,3,5.529411764705882,4.117647058823529,1.2941176470588236,1.411764705882353,0.7058823529411765,0.11764705882352941,1.1176470588235294,4.411764705882353,0.8235294117647058,1.7647058823529411,0.9411764705882353,3.176470588235294,0.5328798185941043,0.49333333333333335,83.77896613190731,0.08308895405669602,0.9166666666666666,0.21390374331550802,0.14285714285714285,0.18666666666666668,0.4,2.0878642888212267,1.2179208351457156,6.089604175728578,1.6528925619834711,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3400,8,Division I,gordonstatecollege,Kaylan Robertson,,,,Wing,,,6,2.2,2.1,2.0,3,2.8333333333333335,1.1666666666666667,0.3333333333333333,0.5,0.16666666666666666,0.5,1.1666666666666667,3.0,1.5,1.1666666666666667,0.3333333333333333,0.8333333333333334,0.40322580645161293,0.3333333333333333,70.59800664451828,0.0560364888764777,0.6666666666666666,0.12458471760797343,0.2222222222222222,0.5,0.3888888888888889,0.8207934336525308,1.094391244870041,1.915184678522572,1.915184678522572,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3748,9,Division I,gordonstatecollege,Jaleel Jordan,,,,Wing,,,9,2.0999999999999996,1.9000000000000001,2.0,3,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.0,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.3424657534246575,0.35714285714285715,51.02040816326531,0.015565438373570521,1.6666666666666667,0.25510204081632654,0.5,0.2857142857142857,0.5714285714285714,0.4590665646518745,0.1530221882172915,0.612088752869166,0.306044376434583,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3938,10,Division I,gordonstatecollege,Jon Estime,,,,Wing,,,11,2.05,1.8,2.0,3,3.1818181818181817,1.9090909090909092,0.45454545454545453,1.2727272727272727,0.45454545454545453,0.0,1.9090909090909092,2.6363636363636362,0.36363636363636365,0.5454545454545454,0.2727272727272727,1.6363636363636365,0.5530973451327433,0.5344827586206896,76.68711656441718,0.05074719800747199,0.35714285714285715,0.3067484662576687,0.25,0.13793103448275862,0.20689655172413793,1.794871794871795,0.6410256410256411,2.6923076923076925,2.6923076923076925,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4004,11,Division I,gordonstatecollege,Giovanni Ekoue-Bla,,,,Wing,,,17,2.025,1.75,2.0,3,4.352941176470588,2.176470588235294,2.3529411764705883,1.8823529411764706,0.7058823529411765,0.058823529411764705,1.2352941176470589,4.176470588235294,1.3529411764705883,1.0,0.8823529411764706,1.2941176470588236,0.4714576962283384,0.44366197183098594,66.9804489500362,0.08181521964513169,1.25,0.2896451846488052,0.21739130434782608,0.323943661971831,0.23943661971830985,2.7838190517616357,1.1309264897781643,3.218790778599391,1.8268812527185734,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
4214,12,Division I,gordonstatecollege,Oluwaseitan Oke,,,,Wing,,,11,1.95,1.6,2.0,3,2.4545454545454546,4.181818181818182,0.7272727272727273,1.0,0.2727272727272727,0.18181818181818182,1.9090909090909092,2.1818181818181817,0.0,2.090909090909091,1.2727272727272727,2.909090909090909,0.395662368112544,0.3333333333333333,59.840425531914896,0.050169009073118664,0.7272727272727273,0.24379432624113476,,0.0,0.9583333333333334,1.4102564102564104,0.6410256410256411,5.897435897435898,2.6923076923076925,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4401,13,Division I,gordonstatecollege,Bryson Fleming,,,,Wing,,,8,1.875,1.4500000000000002,2.0,3,1.0,0.875,0.25,0.25,0.0,0.0,0.75,1.125,0.125,0.0,0.5,0.375,0.4444444444444444,0.4444444444444444,72.72727272727273,0.016870130666830258,1.0,0.18181818181818182,0.0,0.1111111111111111,0.0,0.36036036036036034,0.0,1.2612612612612613,1.0810810810810811,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
