MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
67,1,Division I,gulfcoaststatecollege,Iyran Francis,,,,Wing,,,15,3.8,3.9000000000000004,4.0,3,9.2,8.533333333333333,0.5333333333333333,0.6666666666666666,1.2,1.0,2.466666666666667,5.866666666666666,0.0,2.4,4.8,3.7333333333333334,0.6644838212634823,0.6477272727272727,121.22276879831342,0.08505170043631582,0.8,0.08784258608573436,,0.0,0.4090909090909091,0.8877052818464269,2.929427430093209,11.362627607634266,3.28450954283178,Elite,5,Poor,1,Elite,5,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Unknown
307,2,Division I,gulfcoaststatecollege,Trent Lincoln,,,,Wing,,,15,3.3724999999999996,3.5,3.35,3,19.933333333333334,4.533333333333333,6.6,3.0,1.8666666666666667,0.13333333333333333,1.0,14.6,7.066666666666666,6.666666666666667,0.8,3.7333333333333334,0.5684410646387833,0.5251141552511416,97.07792207792208,0.23011176857330704,2.2,0.1461038961038961,0.33962264150943394,0.4840182648401826,0.45662100456621,3.9946737683089215,2.663115845539281,6.036395916555703,1.3315579227696406,Average,3,Elite,5,Below Average,2,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
599,3,Division I,gulfcoaststatecollege,Augustas Merkys,,,,Wing,,,14,3.125,3.9500000000000006,2.0,3,4.714285714285714,0.7857142857142857,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.07142857142857142,1.0,3.4285714285714284,3.0714285714285716,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.6516587677725119,0.6354166666666666,116.52542372881356,0.04554226167502894,1.0,0.1059322033898305,0.3953488372093023,0.8958333333333334,0.125,0.5679129200189305,0.37860861334595364,1.0411736867013726,1.3251301467108376,Elite,5,Poor,1,Elite,5,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
716,4,Division I,gulfcoaststatecollege,Aiden Caulker,,,,Wing,,,15,3.0525,3.35,2.6500000000000004,3,9.8,4.8,2.2666666666666666,1.1333333333333333,1.0666666666666667,0.4666666666666667,2.533333333333333,7.866666666666666,5.8,1.9333333333333333,1.8,3.0,0.5620985010706638,0.5211864406779662,99.48565240931241,0.11039387962464885,2.0,0.11505143475906877,0.3793103448275862,0.7372881355932204,0.2457627118644068,1.5090989791389258,2.041722148246782,6.391478029294274,3.3732800710164224,Average,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
1164,5,Division I,gulfcoaststatecollege,Traevon Koch,,,,Wing,,,15,2.8325000000000005,3.0500000000000003,2.45,3,10.733333333333333,3.6,1.2666666666666666,1.6,0.9333333333333333,0.2,1.7333333333333334,8.066666666666666,1.7333333333333334,3.0,1.4666666666666666,2.1333333333333333,0.5717329545454545,0.5661157024793388,97.69417475728154,0.1231247385093539,0.7916666666666666,0.14563106796116504,0.4230769230769231,0.21487603305785125,0.371900826446281,2.130492676431425,1.5090989791389258,4.793608521970706,2.3080337328007103,Very Good,4,Below Average,2,Below Average,2,Poor,1,Average,3,Elite,5,Below Average,2,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1419,6,Division I,gulfcoaststatecollege,Alex Pissis,,,,Wing,,,14,2.7325,2.85,2.45,3,7.857142857142857,2.2857142857142856,0.6428571428571429,0.6428571428571429,0.9285714285714286,0.14285714285714285,1.4285714285714286,6.5,3.642857142857143,2.0,0.7142857142857143,1.5714285714285714,0.532326751838947,0.4945054945054945,97.93447293447294,0.08940112706549079,1.0,0.08012820512820513,0.27450980392156865,0.5604395604395604,0.3076923076923077,0.8547008547008547,1.4245014245014245,3.038936372269706,1.899335232668566,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Poor,1,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1663,7,Division I,gulfcoaststatecollege,Devontes Cobbs,,,,Wing,,,13,2.6325000000000003,2.6500000000000004,2.45,3,14.153846153846153,3.6153846153846154,2.230769230769231,1.9230769230769231,1.0,0.23076923076923078,2.0,12.923076923076923,6.461538461538462,3.1538461538461537,0.7692307692307693,2.8461538461538463,0.4945173081057837,0.45535714285714285,87.18726307808946,0.18365997145542517,1.16,0.1184609552691433,0.2976190476190476,0.5,0.24404761904761904,2.5826446280991737,1.6528925619834711,4.855371900826446,2.6859504132231407,Below Average,2,Average,3,Poor,1,Average,3,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2803,8,Division I,gulfcoaststatecollege,Jabari Quarterman,,,,Wing,,,15,2.25,2.2,2.0,3,5.866666666666666,2.4,2.1333333333333333,1.2,0.8666666666666667,0.13333333333333333,1.8666666666666667,5.6,2.933333333333333,0.8,0.4666666666666667,1.9333333333333333,0.492831541218638,0.47619047619047616,82.0283370618941,0.08015061861215707,1.7777777777777777,0.16778523489932887,0.3181818181818182,0.5238095238095238,0.14285714285714285,1.5978695073235685,1.3315579227696406,3.195739014647137,2.4855747891699957,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Average,3,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3242,9,Division I,gulfcoaststatecollege,Favion Kirkwood,,,,Wing,,,6,2.15,2.0,2.0,3,1.0,0.6666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.16666666666666666,0.5,0.0,0.6666666666666666,0.5639097744360902,0.375,72.11538461538461,0.016029593094944512,0.3333333333333333,0.3605769230769231,1.0,0.25,0.75,0.6749156355455568,1.124859392575928,0.8998875140607424,0.6749156355455568,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3277,10,Division I,gulfcoaststatecollege,Alpha Barry,,,,Wing,,,13,2.125,1.9500000000000002,2.0,3,3.6923076923076925,4.3076923076923075,0.15384615384615385,0.6153846153846154,0.07692307692307693,0.7692307692307693,2.0,3.3076923076923075,0.8461538461538461,0.07692307692307693,1.6923076923076923,2.6153846153846154,0.5524861878453039,0.5581395348837209,93.3125972006221,0.044168154966341536,0.25,0.15552099533437014,0.36363636363636365,0.2558139534883721,0.023255813953488372,0.8200922603792927,1.1276268580215274,5.740645822655049,2.6652998462327013,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
