MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
534,1,Division I,hagerstowncommunitycollege,Najeh Allen,,,,Wing,,,11,3.16,2.5500000000000003,4.1,3,13.0,6.181818181818182,1.6363636363636365,1.8181818181818181,2.5454545454545454,1.2727272727272727,1.9090909090909092,11.818181818181818,5.0,3.1818181818181817,1.4545454545454546,4.7272727272727275,0.4917469050894085,0.43846153846153846,86.45707376058041,0.18337028824833698,0.9,0.12091898428053204,0.2909090909090909,0.4230769230769231,0.2692307692307692,2.466091245376079,5.178791615289765,8.384710234278668,2.5893958076448826,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Below Average,2,Elite,5,Elite,5,Unknown
1573,2,Division I,hagerstowncommunitycollege,Jalen Debose,,,,Wing,,,11,2.6675000000000004,1.9500000000000002,3.55,3,9.818181818181818,3.1818181818181817,1.8181818181818181,2.4545454545454546,2.6363636363636362,0.18181818181818182,2.727272727272727,9.272727272727273,4.7272727272727275,2.727272727272727,0.8181818181818182,2.3636363636363638,0.46875,0.4362745098039216,75.9493670886076,0.15764966740576491,0.7407407407407407,0.189873417721519,0.28846153846153844,0.5098039215686274,0.29411764705882354,3.3292231812577064,3.822441430332922,4.315659679408138,3.6991368680641186,Poor,1,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Poor,1,Very Good,4,Very Good,4,Unknown
2033,3,Division I,hagerstowncommunitycollege,Dominic Carr,,,,Wing,,,10,2.49,2.05,2.9000000000000004,3,5.2,3.4,0.4,0.9,1.2,0.4,1.5,4.9,0.3,2.1,1.8,1.6,0.4464285714285714,0.4387755102040816,77.33491969066031,0.08153070132893589,0.4444444444444444,0.13384889946460438,0.3333333333333333,0.061224489795918366,0.42857142857142855,1.2178619756427604,2.165087956698241,4.600811907983762,2.029769959404601,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2220,4,Division I,hagerstowncommunitycollege,Tre Williamson,,,,Wing,,,11,2.4275,2.1,2.6500000000000004,3,3.5454545454545454,4.090909090909091,1.0909090909090908,0.8181818181818182,1.3636363636363635,0.5454545454545454,2.4545454545454546,3.8181818181818183,0.0,1.3636363636363635,2.272727272727273,1.8181818181818181,0.4012345679012346,0.3333333333333333,67.70833333333333,0.0638580931263858,1.3333333333333333,0.15625,,0.0,0.35714285714285715,1.1097410604192355,2.5893958076448826,5.548705302096177,3.3292231812577064,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2654,5,Division I,hagerstowncommunitycollege,Dakari Enworom,,,,Wing,,,10,2.3075,2.0,2.45,3,5.0,2.0,1.7,1.4,1.0,0.1,2.1,5.0,1.4,2.6,0.4,1.6,0.4069010416666667,0.33,66.2778366914104,0.09191033138401557,1.2142857142857142,0.1855779427359491,0.07142857142857142,0.28,0.52,1.9021739130434783,1.4945652173913044,2.717391304347826,2.8532608695652173,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2769,6,Division I,hagerstowncommunitycollege,Xavier Pickett,,,,Wing,,,11,2.275,2.25,2.0,3,9.090909090909092,2.1818181818181817,1.0,2.090909090909091,0.5454545454545454,0.0,0.9090909090909091,8.090909090909092,4.0,2.3636363636363638,0.5454545454545454,1.6363636363636365,0.49780963759458385,0.43820224719101125,81.01101749837979,0.1368514412416851,0.4782608695652174,0.1863253402462735,0.36363636363636365,0.4943820224719101,0.29213483146067415,2.8360049321824907,0.7398273736128237,2.9593094944512948,1.2330456226880395,Below Average,2,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2930,7,Division I,hagerstowncommunitycollege,Josh Summers,,,,Wing,,,7,2.225,2.1500000000000004,2.0,3,2.142857142857143,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.8571428571428571,1.5714285714285714,0.0,0.7142857142857143,0.0,0.7142857142857143,0.5681818181818182,0.6363636363636364,92.5925925925926,0.028567397898003805,0.6666666666666666,0.1851851851851852,,0.0,0.45454545454545453,0.5797101449275363,0.1932367149758454,0.966183574879227,1.1594202898550725,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3158,8,Division I,hagerstowncommunitycollege,Zir Smith-Bey,,,,Wing,,,10,2.1500000000000004,2.0000000000000004,2.0,3,2.2,1.6,0.1,0.4,0.1,0.0,0.4,3.1,1.9,0.4,0.4,1.2,0.3357753357753358,0.3225806451612903,59.84766050054407,0.04478557504873293,0.25,0.1088139281828074,0.21052631578947367,0.6129032258064516,0.12903225806451613,0.5434782608695652,0.1358695652173913,2.1739130434782608,0.5434782608695652,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3758,9,Division I,hagerstowncommunitycollege,Louis Couch,,,,Wing,,,10,1.9749999999999999,1.6500000000000001,2.0,3,3.1,1.7,0.3,1.1,0.5,0.3,1.9,3.5,0.8,2.0,0.4,1.3,0.3538812785388128,0.32857142857142857,56.56934306569343,0.0664467940634397,0.2727272727272727,0.20072992700729927,0.125,0.22857142857142856,0.5714285714285714,1.4884979702300405,1.0825439783491204,2.300405953991881,2.571041948579161,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3985,10,Division I,hagerstowncommunitycollege,Rafael Barcinas,,,,Wing,,,11,1.8999999999999997,1.4999999999999998,2.0,3,2.5454545454545454,1.0,1.4545454545454546,1.5454545454545454,0.6363636363636364,0.0,1.0,3.3636363636363638,1.9090909090909092,0.45454545454545453,0.36363636363636365,0.6363636363636364,0.3571428571428571,0.33783783783783783,49.822064056939496,0.06230598669623059,0.9411764705882353,0.30249110320284694,0.23809523809523808,0.5675675675675675,0.13513513513513514,2.096177558569667,0.8631319358816276,1.3563501849568433,1.3563501849568433,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
