MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
2125,1,Division I,hillcollege,Hamzah Abdullahi,,,,Wing,,,17,2.54,2.1500000000000004,2.9000000000000004,3,9.294117647058824,4.411764705882353,0.35294117647058826,1.5294117647058822,0.7058823529411765,1.0588235294117647,1.8823529411764706,8.058823529411764,3.588235294117647,1.4705882352941178,0.5294117647058824,3.8823529411764706,0.5337837837837838,0.5145985401459854,90.80459770114942,0.12651969053574544,0.23076923076923078,0.14942528735632185,0.2786885245901639,0.44525547445255476,0.18248175182481752,2.0883534136546187,2.4096385542168677,6.024096385542169,2.570281124497992,Average,3,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Average,3,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2145,2,Division I,hillcollege,Erland Pagliero,,,,Wing,,,17,2.5324999999999998,2.45,2.45,3,6.9411764705882355,1.8823529411764706,1.0,0.7058823529411765,1.0,0.058823529411764705,1.4705882352941178,7.117647058823529,3.7058823529411766,1.5294117647058822,0.23529411764705882,1.6470588235294117,0.4454847478103292,0.4256198347107438,81.69482137911936,0.10502588563783376,1.4166666666666667,0.08307947936859596,0.36507936507936506,0.5206611570247934,0.21487603305785125,0.963855421686747,1.4457831325301205,2.570281124497992,2.0080321285140563,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Very Good,4,Very Good,4,Elite,5,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2242,3,Division I,hillcollege,Temi Omotoyinbo,,,,Wing,,,13,2.5075000000000003,2.4000000000000004,2.45,3,5.0,3.769230769230769,1.0769230769230769,0.6923076923076923,0.8461538461538461,0.23076923076923078,1.3076923076923077,4.6923076923076925,0.8461538461538461,1.6153846153846154,1.3076923076923077,2.4615384615384617,0.4626993166287016,0.4262295081967213,82.02927814235235,0.07664035902197461,1.5555555555555556,0.11357900050479557,0.18181818181818182,0.18032786885245902,0.3442622950819672,0.96051227321238,1.4941302027748133,5.229455709711846,1.8143009605122733,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2508,4,Division I,hillcollege,Derrick Morris,,,,Wing,,,13,2.4349999999999996,1.8,3.1,3,6.923076923076923,3.1538461538461537,3.5384615384615383,2.5384615384615383,2.076923076923077,0.0,2.3076923076923075,6.538461538461538,2.3846153846153846,1.3846153846153846,0.7692307692307693,2.3846153846153846,0.48428755919070166,0.4647058823529412,71.47395171537484,0.11632547483556278,1.393939393939394,0.26207115628970773,0.3548387096774194,0.36470588235294116,0.21176470588235294,3.3333333333333335,2.727272727272727,4.141414141414141,3.0303030303030303,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Average,3,Elite,5,Average,3,Below Average,2,Very Good,4,Poor,1,Very Good,4,Very Good,4,Unknown
2632,5,Division I,hillcollege,Vodie Ilunga,,,,Wing,,,10,2.4,2.5,2.0,3,1.5,0.4,0.8,0.9,0.6,0.1,0.7,0.8,0.6,1.0,0.0,0.4,0.6048387096774194,0.625,70.09345794392524,0.02776048152760481,0.8888888888888888,0.42056074766355145,0.3333333333333333,0.75,1.25,1.262272089761571,0.9817671809256662,0.5610098176718092,0.9817671809256662,Elite,5,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2641,6,Division I,hillcollege,Theodoros Panagiotopoulos-Andritsopoulos,,,,Wing,,,8,2.4,2.5,2.0,3,3.25,1.5,0.0,0.25,0.25,0.0,0.75,2.875,1.875,0.875,0.125,1.375,0.49846625766871167,0.45652173913043476,92.5925925925926,0.0451650260567458,0.0,0.07122507122507123,0.3333333333333333,0.6521739130434783,0.30434782608695654,0.36036036036036034,0.36036036036036034,2.1621621621621623,1.0810810810810811,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2813,7,Division I,hillcollege,Daylyn Martin,,,,Wing,,,15,2.3499999999999996,2.4,2.0,3,8.8,2.3333333333333335,2.933333333333333,3.3333333333333335,0.8,0.0,1.8666666666666667,7.333333333333333,2.8,1.8,0.4666666666666667,1.8666666666666667,0.5415162454873647,0.5136363636363637,76.7977658831743,0.14233189797946344,0.88,0.29090062834535724,0.40476190476190477,0.38181818181818183,0.24545454545454545,4.543389368468878,1.0904134484325307,3.1803725579282145,2.5442980463425715,Average,3,Below Average,2,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Below Average,2,Unknown
3083,8,Division I,hillcollege,Quincy Owens,,,,Wing,,,13,2.275,2.25,2.0,3,2.1538461538461537,1.4615384615384615,0.46153846153846156,0.38461538461538464,0.5384615384615384,0.23076923076923078,0.9230769230769231,2.0,0.23076923076923078,0.8461538461538461,0.6153846153846154,0.8461538461538461,0.45395590142671854,0.4230769230769231,78.12499999999999,0.03466419065304859,1.2,0.13950892857142855,0.0,0.11538461538461539,0.4230769230769231,0.5336179295624333,1.0672358591248665,2.0277481323372464,1.2806830309498398,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3404,9,Division I,hillcollege,Joshua Louis,,,,Wing,,,13,2.1999999999999997,2.0999999999999996,2.0,3,6.923076923076923,1.8461538461538463,2.4615384615384617,2.5384615384615383,0.6153846153846154,0.0,1.3846153846153846,5.923076923076923,2.923076923076923,1.1538461538461537,0.15384615384615385,1.6923076923076923,0.5382775119617226,0.4935064935064935,77.18696397941682,0.11277468276075517,0.9696969696969697,0.2830188679245283,0.3684210526315789,0.4935064935064935,0.19480519480519481,3.52187833511206,0.8537886872998933,2.5613660618996796,1.92102454642476,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Very Good,4,Average,3,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Unknown
3550,10,Division I,hillcollege,Akeim Strahan,,,,Wing,,,13,2.15,2.0,2.0,3,6.6923076923076925,2.0,1.0769230769230769,1.6923076923076923,0.38461538461538464,0.07692307692307693,0.7692307692307693,5.0,0.38461538461538464,2.923076923076923,0.9230769230769231,1.0769230769230769,0.5323054331864905,0.4846153846153846,83.87967605090628,0.10031723924481584,0.6363636363636364,0.2121095256459699,0.2,0.07692307692307693,0.5846153846153846,2.3479188900747063,0.6403415154749199,2.774813233724653,1.0672358591248665,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
