MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
132,1,Division I,hillsboroughcommunitycollege,Manyaka Luma,,,,Wing,,,14,3.6800000000000006,3.8000000000000007,3.8,3,8.214285714285714,4.857142857142857,1.2142857142857142,0.7142857142857143,1.7142857142857142,1.2857142857142858,1.7142857142857142,5.214285714285714,0.8571428571428571,1.0,2.357142857142857,2.5,0.7263769580596261,0.726027397260274,128.98160610139075,0.0750227188583353,1.7,0.11215791834903545,0.6666666666666666,0.1643835616438356,0.1917808219178082,0.984251968503937,4.133858267716535,6.692913385826771,2.3622047244094486,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
233,2,Division I,hillsboroughcommunitycollege,Niko Bavaro,,,,Wing,,,14,3.5074999999999994,4.3999999999999995,2.45,3,11.571428571428571,4.071428571428571,1.6428571428571428,0.5,1.0,0.21428571428571427,1.1428571428571428,8.857142857142858,4.785714285714286,1.7142857142857142,1.2142857142857142,2.857142857142857,0.6019619500594531,0.5725806451612904,114.43910709239898,0.11911413281276295,3.2857142857142856,0.049448996891777335,0.417910447761194,0.5403225806451613,0.1935483870967742,0.6889763779527559,1.6732283464566928,5.610236220472441,1.5748031496062993,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
521,3,Division I,hillsboroughcommunitycollege,Chandler Davis,,,,Wing,,,18,3.2474999999999996,3.25,3.35,3,22.27777777777778,8.38888888888889,3.5,3.2222222222222223,1.1111111111111112,0.16666666666666666,1.4444444444444444,16.27777777777778,4.611111111111111,8.555555555555555,2.1666666666666665,6.222222222222222,0.5557711497948775,0.4948805460750853,95.75890724997612,0.269437652811736,1.0862068965517242,0.13850415512465375,0.2891566265060241,0.2832764505119454,0.5255972696245734,4.379010947527369,1.7365043412608532,11.400528501321253,1.9630049075122689,Average,3,Elite,5,Below Average,2,Below Average,2,Very Good,4,Below Average,2,Elite,5,Very Good,4,Elite,5,Average,3,Below Average,2,Very Good,4,Elite,5,Average,3,Unknown
652,4,Division I,hillsboroughcommunitycollege,Ramez Zayed,,,,Wing,,,18,3.1525,2.85,3.65,3,12.0,5.444444444444445,4.0,2.1666666666666665,1.8888888888888888,0.2222222222222222,2.111111111111111,9.833333333333334,0.9444444444444444,3.1666666666666665,1.9444444444444444,3.5,0.5344418052256532,0.536723163841808,89.5968143354903,0.15511517179256212,1.8461538461538463,0.16177202588352413,0.23529411764705882,0.096045197740113,0.3220338983050847,2.944507361268403,2.8690071725179314,7.399018497546244,2.8690071725179314,Average,3,Average,3,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Very Good,4,Below Average,2,Elite,5,Very Good,4,Unknown
1189,5,Division I,hillsboroughcommunitycollege,Nicholas Womack,,,,Wing,,,18,2.8900000000000006,2.85,2.9000000000000004,3,12.333333333333334,2.0,3.7777777777777777,1.5555555555555556,1.0555555555555556,0.7222222222222222,1.6666666666666667,11.333333333333334,6.5,1.5555555555555556,0.5,1.5,0.5131286982248521,0.4877450980392157,90.86444007858546,0.15719984557971947,2.4285714285714284,0.114603798297315,0.3504273504273504,0.5735294117647058,0.13725490196078433,2.1140052850132127,2.4160060400151,2.7180067950169877,2.2650056625141564,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Below Average,2,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1683,6,Division I,hillsboroughcommunitycollege,Brian Estime,,,,Wing,,,18,2.7,3.1,2.0,3,4.666666666666667,2.0,0.4444444444444444,0.3888888888888889,0.3888888888888889,0.05555555555555555,1.2222222222222223,3.7777777777777777,1.8888888888888888,0.9444444444444444,0.5555555555555556,1.4444444444444444,0.5564387917329093,0.5294117647058824,101.84287099903007,0.05306910307553726,1.1428571428571428,0.08486905916585838,0.35294117647058826,0.5,0.25,0.5285013212533032,0.604001510003775,2.7180067950169877,1.6610041525103814,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Very Good,4,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2633,7,Division I,hillsboroughcommunitycollege,John Troolin,,,,Wing,,,10,2.4,2.5,2.0,3,6.3,1.5,1.0,0.3,0.9,0.1,1.1,6.4,4.7,1.1,0.0,1.5,0.45758280069726903,0.421875,87.69487750556793,0.08324063774564332,3.3333333333333335,0.04175946547884187,0.2978723404255319,0.734375,0.171875,0.4084411164057182,1.3614703880190606,2.0422055820285907,1.4976174268209665,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2730,8,Division I,hillsboroughcommunitycollege,John Ziegler,,,,Wing,,,8,2.375,2.4499999999999997,2.0,3,2.75,1.25,0.625,0.375,0.5,0.0,0.5,2.875,1.125,0.75,0.75,0.5,0.4290171606864274,0.3695652173913043,76.81564245810056,0.046238295124313857,1.6666666666666667,0.10474860335195531,0.3333333333333333,0.391304347826087,0.2608695652173913,0.5644402634054563,0.7525870178739417,1.881467544684854,0.7525870178739417,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3296,9,Division I,hillsboroughcommunitycollege,Adrian North,,,,Wing,,,12,2.2249999999999996,2.15,2.0,3,1.5833333333333333,2.0,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.8333333333333334,1.0,1.0,0.2932098765432099,0.25,50.80213903743316,0.036550564872366215,0.8,0.13368983957219252,0.0,0.14285714285714285,0.35714285714285715,0.5750431282346176,0.9200690051753881,2.7602070155261647,1.8401380103507763,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3617,10,Division I,hillsboroughcommunitycollege,Wylde Correa,,,,Wing,,,18,2.1475,1.7500000000000002,2.3499999999999996,3,5.444444444444445,7.611111111111111,0.6666666666666666,1.1666666666666667,0.5555555555555556,0.3888888888888889,2.7222222222222223,4.833333333333333,0.5,1.0555555555555556,2.5,5.111111111111111,0.5138422818791947,0.4885057471264368,84.22138191818495,0.07486809934371381,0.5714285714285714,0.18047438982468203,0.3333333333333333,0.10344827586206896,0.21839080459770116,1.5855039637599093,1.2835032087580218,10.343525858814647,3.699509248773122,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Below Average,2,Poor,1,Average,3,Very Good,4,Elite,5,Unknown
