MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
761,1,Division I,holmescommunitycollege,Markalon Rochell,,,,Wing,,,15,3.0900000000000007,3.2500000000000004,2.9000000000000004,3,13.533333333333333,4.533333333333333,0.7333333333333333,2.0,1.2666666666666666,0.3333333333333333,1.8,8.266666666666667,1.1333333333333333,5.266666666666667,1.6,2.933333333333333,0.6393298059964727,0.5846774193548387,107.54397118033482,0.14754713441515804,0.36666666666666664,0.1589319771137953,0.29411764705882354,0.13709677419354838,0.6370967741935484,2.6761819803746656,2.1409455842997325,6.066012488849242,2.408563782337199,Elite,5,Below Average,2,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
789,2,Division I,holmescommunitycollege,Isaiah Patrick,,,,Wing,,,10,3.075,3.8500000000000005,2.0,3,7.7,1.4,0.3,0.7,0.4,0.1,0.6,5.4,3.0,0.8,0.3,1.1,0.6693324061196105,0.6851851851851852,119.3428394296342,0.07342498179169703,0.42857142857142855,0.10849349039057654,0.5333333333333333,0.5555555555555556,0.14814814814814814,0.8980115458627326,0.6414368184733804,1.7960230917254651,0.7697241821680565,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
863,3,Division I,holmescommunitycollege,Trey Alexander,,,,Wing,,,15,3.04,3.1500000000000004,2.9000000000000004,3,14.733333333333333,2.466666666666667,3.8666666666666667,3.1333333333333333,1.6666666666666667,0.13333333333333333,1.2666666666666666,9.6,1.6,2.7333333333333334,0.6,1.8666666666666667,0.6819303875586276,0.6527777777777778,105.72139303482588,0.16339930588124943,1.2340425531914894,0.22483735170302335,0.4166666666666667,0.16666666666666666,0.2847222222222222,4.192685102586976,2.408563782337199,3.3006244424620874,1.694915254237288,Elite,5,Average,3,Average,3,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Average,3,Unknown
870,4,Division I,holmescommunitycollege,David Washington,,,,Wing,,,11,3.04,3.15,2.9000000000000004,3,7.909090909090909,3.727272727272727,2.1818181818181817,0.9090909090909091,1.4545454545454546,0.09090909090909091,1.9090909090909092,5.818181818181818,2.0,2.5454545454545454,1.2727272727272727,2.4545454545454546,0.5699685534591196,0.5546875,100.78776645041707,0.09611615891680028,2.4,0.11584800741427248,0.4090909090909091,0.34375,0.4375,1.2690355329949239,2.1573604060913705,5.2030456852791875,2.66497461928934,Average,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1466,5,Division I,holmescommunitycollege,Andrew Mancell,,,,Wing,,,11,2.7775,2.1,3.65,3,8.545454545454545,5.454545454545454,0.5454545454545454,2.272727272727273,1.0,1.1818181818181819,1.6363636363636365,6.454545454545454,1.8181818181818181,3.0,0.7272727272727273,4.7272727272727275,0.549579045837231,0.5211267605633803,85.05247918928701,0.11646433990895295,0.24,0.2262034020991676,0.2,0.28169014084507044,0.4647887323943662,2.962085308056872,2.843601895734597,7.109004739336493,2.132701421800948,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Average,3,Very Good,4,Below Average,2,Elite,5,Very Good,4,Unknown
1525,6,Division I,holmescommunitycollege,Emajai Horton,,,,Wing,,,12,2.7574999999999994,2.8999999999999995,2.45,3,5.5,2.6666666666666665,2.0,1.3333333333333333,0.8333333333333334,0.3333333333333333,2.1666666666666665,2.9166666666666665,0.4166666666666667,3.25,0.5,2.1666666666666665,0.6326687116564418,0.5571428571428572,96.83098591549296,0.06652092442223609,1.5,0.2347417840375587,0.2,0.14285714285714285,1.1142857142857143,1.7660044150110374,1.5452538631346577,3.532008830022075,2.869757174392936,Elite,5,Poor,1,Below Average,2,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1656,7,Division I,holmescommunitycollege,Deriyon Graydon,,,,Wing,,,12,2.7124999999999995,3.3,1.75,3,4.166666666666667,4.166666666666667,0.75,0.6666666666666666,0.5,0.16666666666666666,2.3333333333333335,2.75,0.0,1.1666666666666667,1.1666666666666667,3.0,0.6384065372829418,0.6060606060606061,106.02205258693809,0.045400284955138814,1.125,0.16963528413910095,,0.0,0.42424242424242425,0.8781558726673985,0.8781558726673985,5.48847420417124,3.0735455543358947,Elite,5,Poor,1,Average,3,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
1963,8,Division I,holmescommunitycollege,Malik McGuire,,,,Wing,,,10,2.5999999999999996,2.8999999999999995,2.0,3,1.8,1.4,0.7,0.4,0.3,0.5,1.2,1.2,0.0,0.6,0.6,0.8,0.6147540983606558,0.5833333333333334,96.56652360515021,0.022569864871409894,1.75,0.2145922746781116,,0.0,0.5,0.5405405405405406,1.0810810810810811,1.8918918918918919,1.6216216216216217,Elite,5,Poor,1,Below Average,2,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2034,9,Division I,holmescommunitycollege,Jhamien Smith,,,,Wing,,,14,2.5700000000000003,2.7,2.2,3,9.714285714285714,3.4285714285714284,0.8571428571428571,1.4285714285714286,1.0714285714285714,0.2857142857142857,2.2857142857142856,7.071428571428571,0.6428571428571429,2.5,1.2142857142857142,2.2142857142857144,0.5944055944055944,0.6060606060606061,101.19047619047619,0.11298675095836977,0.6,0.1488095238095238,0.2222222222222222,0.09090909090909091,0.35353535353535354,1.8975332068311195,1.8026565464895636,4.554079696394687,3.0360531309297913,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
2108,10,Division I,holmescommunitycollege,Jakobe Cavett,,,,Wing,,,10,2.55,2.8,2.0,3,4.1,0.8,1.1,0.7,0.5,0.0,0.9,3.4,2.8,0.8,0.2,0.6,0.5463752665245202,0.5147058823529411,92.09344115004491,0.05313663706674306,1.5714285714285714,0.15723270440251572,0.39285714285714285,0.8235294117647058,0.23529411764705882,0.9327115256495669,0.6662225183211192,1.0659560293137909,1.1992005329780147,Average,3,Poor,1,Poor,1,Very Good,4,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
