MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
250,1,Division I,howardcollege,Terry Copeland,,,,Wing,,,14,3.4299999999999997,4.0,2.8,3,19.428571428571427,7.5,0.7857142857142857,1.5714285714285714,0.5714285714285714,0.5,2.2857142857142856,11.714285714285714,0.42857142857142855,6.785714285714286,3.357142857142857,4.142857142857143,0.6608357628765792,0.6554878048780488,119.40298507462686,0.18426246481379624,0.5,0.09657594381035996,0.16666666666666666,0.036585365853658534,0.5792682926829268,2.0902612826603324,1.4251781472684086,9.97624703087886,3.040380047505938,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Average,3,Very Good,4,Elite,5,Unknown
545,2,Division I,howardcollege,Dace Pleasant,,,,Wing,,,14,3.1525,3.5500000000000003,2.6500000000000004,3,10.785714285714286,5.0,1.5,1.2857142857142858,0.9285714285714286,0.6428571428571429,2.4285714285714284,8.142857142857142,4.857142857142857,2.5714285714285716,1.2857142857142858,3.7142857142857144,0.5814849044978435,0.5219298245614035,102.13744588744588,0.11958456013200894,1.1666666666666667,0.12175324675324675,0.36764705882352944,0.5964912280701754,0.3157894736842105,1.7102137767220902,2.0902612826603324,6.65083135391924,3.2304038004750595,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
739,3,Division I,howardcollege,Roee Oselka,,,,Wing,,,13,3.05,3.8,2.0,3,3.6153846153846154,2.3076923076923075,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.6923076923076923,0.8461538461538461,2.5384615384615383,0.0,1.0,1.0,1.3076923076923077,0.6069214876033058,0.6363636363636364,110.0187265917603,0.03750395055658953,1.25,0.09363295880149813,,0.0,0.3939393939393939,0.4171011470281543,1.251303441084463,3.1282586027111576,1.1470281543274243,Elite,5,Poor,1,Very Good,4,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
873,4,Division I,howardcollege,Jermaine Cunningham,,,,Wing,,,7,2.9749999999999996,3.65,2.0,3,3.2857142857142856,0.5714285714285714,1.1428571428571428,0.42857142857142855,0.2857142857142857,0.0,1.0,2.2857142857142856,1.7142857142857142,0.2857142857142857,0.0,0.5714285714285714,0.6812796208530806,0.65625,115.69416498993964,0.03180392909707557,2.6666666666666665,0.15090543259557346,0.4166666666666667,0.75,0.125,0.5774783445620789,0.3849855630413859,0.7699711260827719,1.3474494706448508,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1172,5,Division I,howardcollege,Daniel Culberson,,,,Wing,,,14,2.8274999999999997,2.55,3.15,3,12.928571428571429,6.071428571428571,5.5,3.5,2.0,0.35714285714285715,2.7857142857142856,9.928571428571429,3.4285714285714284,3.7142857142857144,1.3571428571428572,4.714285714285714,0.5590560909315543,0.5179856115107914,85.83080424886191,0.17057624486362313,1.5714285714285714,0.2323596358118361,0.2916666666666667,0.34532374100719426,0.37410071942446044,4.655581947743468,3.1353919239904986,8.076009501187649,3.705463182897862,Average,3,Average,3,Poor,1,Very Good,4,Poor,1,Below Average,2,Very Good,4,Very Good,4,Elite,5,Average,3,Very Good,4,Below Average,2,Average,3,Below Average,2,Unknown
1691,6,Division I,howardcollege,Oskar Stumer,,,,Wing,,,12,2.625,2.9499999999999997,2.0,3,5.916666666666667,4.25,2.75,1.75,0.8333333333333334,0.0,2.0,3.5833333333333335,0.8333333333333334,1.8333333333333333,1.5,2.75,0.6738800303720577,0.6046511627906976,96.36264929424537,0.0700060808756461,1.5714285714285714,0.2850162866449511,0.2,0.23255813953488372,0.5116279069767442,2.324294410625346,1.1068068622025458,5.644714997232983,2.6563364692861096,Elite,5,Poor,1,Below Average,2,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1910,7,Division I,howardcollege,Harouna Sangare,,,,Wing,,,14,2.5324999999999998,2.45,2.45,3,8.214285714285714,3.7142857142857144,1.3571428571428572,1.7857142857142858,1.1428571428571428,0.0,2.142857142857143,6.071428571428571,2.0,2.5714285714285716,1.6428571428571428,2.0714285714285716,0.5702102340341134,0.5117647058823529,91.38588684043229,0.10178923868379332,0.76,0.19866497139224412,0.32142857142857145,0.32941176470588235,0.4235294117647059,2.375296912114014,1.520190023752969,4.940617577197149,2.8503562945368173,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1989,8,Division I,howardcollege,Victor Yimga Moukouri,,,,Wing,,,14,2.5,2.7000000000000006,2.0,3,7.357142857142857,3.5714285714285716,0.35714285714285715,0.8571428571428571,0.5,0.14285714285714285,2.0,6.142857142857143,3.2857142857142856,1.6428571428571428,1.2857142857142858,2.2857142857142856,0.5357885975863503,0.5058139534883721,95.2645209027007,0.08745591613550328,0.4166666666666667,0.11098779134295227,0.32608695652173914,0.5348837209302325,0.26744186046511625,1.1401425178147269,0.8551068883610451,4.750593824228028,2.660332541567696,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Average,3,Very Good,4,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2510,9,Division I,howardcollege,Jason Jackson,,,,Wing,,,13,2.3499999999999996,2.4,2.0,3,4.3076923076923075,1.4615384615384615,0.5384615384615384,0.7692307692307693,0.6153846153846154,0.07692307692307693,0.6923076923076923,3.230769230769231,1.9230769230769231,1.3846153846153846,0.5384615384615384,0.9230769230769231,0.5608974358974359,0.5238095238095238,93.45794392523364,0.051318944844124706,0.7,0.16688918558077437,0.32,0.5952380952380952,0.42857142857142855,1.0116337885685383,0.9104704097116844,1.9221041982802225,0.9104704097116844,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2586,10,Division I,howardcollege,Florian Rijkers,,,,Wing,,,7,2.325,2.3500000000000005,2.0,3,3.857142857142857,2.857142857142857,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,3.0,0.0,0.5714285714285714,1.2857142857142858,1.5714285714285714,0.5931458699472759,0.6190476190476191,97.26224783861672,0.04441031547961861,0.2,0.18011527377521613,,0.0,0.19047619047619047,0.9624639076034649,0.19249278152069296,3.8498556304138596,0.19249278152069296,Very Good,4,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
