MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
155,1,Division I,hutchinsoncommunitycollege,Chudier Dorar,,,,Wing,,,14,3.5475000000000003,3.5,3.85,3,7.928571428571429,5.5,0.07142857142857142,1.0,0.21428571428571427,2.642857142857143,2.5714285714285716,4.785714285714286,0.07142857142857142,1.6428571428571428,2.2142857142857144,3.2857142857142856,0.7196576763485477,0.7089552238805971,121.81738366988586,0.08135133204771089,0.07142857142857142,0.15364354697102722,1.0,0.014925373134328358,0.34328358208955223,1.3951170901843548,3.9860488290981566,7.673143996013951,3.587443946188341,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Very Good,4,Elite,5,Unknown
230,2,Division I,hutchinsoncommunitycollege,Kyrell Shaw,,,,Wing,,,14,3.42,3.7,3.2,3,18.928571428571427,5.285714285714286,2.7142857142857144,1.5714285714285714,1.3571428571428572,0.2857142857142857,1.0714285714285714,14.857142857142858,5.928571428571429,4.785714285714286,1.1428571428571428,4.142857142857143,0.5579417214081186,0.5048076923076923,102.12733158624941,0.2316620241411328,1.7272727272727273,0.08478495452443348,0.26506024096385544,0.39903846153846156,0.32211538461538464,2.192326856003986,2.29197807673144,7.3741903338315895,1.4947683109118086,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
416,3,Division I,hutchinsoncommunitycollege,Bobby Cannon,,,,Wing,,,14,3.2175000000000002,3.4,3.05,3,16.0,6.142857142857143,1.5714285714285714,1.7857142857142858,0.5,0.6428571428571429,1.3571428571428572,12.714285714285714,3.7142857142857144,3.0,1.3571428571428572,4.785714285714286,0.5700325732899023,0.5365168539325843,101.1378002528445,0.1977358760088565,0.88,0.11287700921076396,0.36538461538461536,0.29213483146067415,0.23595505617977527,2.4912805181863478,1.5944195316392626,8.570004982561036,1.8933731938216243,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
653,4,Division I,hutchinsoncommunitycollege,Bear Moddelmog,,,,Wing,,,10,3.05,3.8000000000000003,2.0,3,0.7,0.2,0.1,0.0,0.0,0.0,0.2,0.5,0.3,0.0,0.2,0.0,0.7,0.7,140.0,0.006338742393509129,99.0,0.0,0.3333333333333333,0.6,0.0,0.0,0.0,0.2849002849002849,0.2849002849002849,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1130,5,Division I,hutchinsoncommunitycollege,Daleron Thomas,,,,Wing,,,14,2.8,3.3,2.0,3,6.071428571428571,1.3571428571428572,1.2142857142857142,0.9285714285714286,0.42857142857142855,0.0,1.1428571428571428,4.428571428571429,2.0,1.2142857142857142,0.07142857142857142,1.2857142857142858,0.6116868163500288,0.5725806451612904,103.0552861299709,0.07363759731447754,1.3076923076923077,0.15761396702230843,0.32142857142857145,0.45161290322580644,0.27419354838709675,1.2954658694569008,0.5979073243647235,1.8933731938216243,1.5944195316392626,Elite,5,Poor,1,Average,3,Average,3,Average,3,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1353,6,Division I,hutchinsoncommunitycollege,Anthony Alston,,,,Wing,,,14,2.7,3.1000000000000005,2.0,3,6.357142857142857,2.4285714285714284,1.7142857142857142,1.0,0.42857142857142855,0.5714285714285714,1.2857142857142858,5.0,2.4285714285714284,0.8571428571428571,0.21428571428571427,2.2142857142857144,0.5911264612114772,0.5642857142857143,99.68637992831542,0.07970859224341119,1.7142857142857142,0.15681003584229392,0.4411764705882353,0.4857142857142857,0.17142857142857143,1.3951170901843548,1.3951170901843548,3.388141504733433,1.7937219730941705,Very Good,4,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1982,7,Division I,hutchinsoncommunitycollege,Gabe Pyle,,,,Wing,,,9,2.45,2.6,2.0,3,0.3333333333333333,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.5,0.5,100.0,0.004152364079282472,99.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.4691164972634871,0.0,0.1563721657544957,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2015,8,Division I,hutchinsoncommunitycollege,Lolo Rudolph,,,,Wing,,,14,2.4450000000000003,2.45,2.2,3,5.285714285714286,2.857142857142857,5.785714285714286,2.0,1.0714285714285714,0.14285714285714285,2.2857142857142856,3.9285714285714284,1.2857142857142858,1.9285714285714286,0.14285714285714285,2.7142857142857144,0.5532296650717704,0.5363636363636364,77.99325463743676,0.08470823512606243,2.892857142857143,0.29510961214165266,0.3888888888888889,0.32727272727272727,0.4909090909090909,2.7902341803687096,1.6940707523667164,3.9860488290981566,3.1888390632785253,Average,3,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
2027,9,Division I,hutchinsoncommunitycollege,Asher Boney,,,,Wing,,,14,2.4375,2.75,1.75,3,6.928571428571429,3.7857142857142856,1.5,1.4285714285714286,0.8571428571428571,0.14285714285714285,2.642857142857143,4.857142857142857,1.6428571428571428,1.8571428571428572,1.2142857142857142,2.5714285714285716,0.6105236656596174,0.5882352941176471,97.54625905068383,0.08877937290193558,1.05,0.2011263073209976,0.5217391304347826,0.3382352941176471,0.38235294117647056,1.9930244145490783,1.3951170901843548,5.281514698555057,3.6870951669157948,Elite,5,Poor,1,Below Average,2,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2628,10,Division I,hutchinsoncommunitycollege,Ethan Dillinger,,,,Wing,,,9,2.25,2.2,2.0,3,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0013841213597608239,2.0,1.0,,,,0.1563721657544957,0.1563721657544957,0.0,0.0,N/A,3,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,N/A,3,N/A,3,N/A,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
