MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
232,1,Division I,independencecommunitycollege,Xavier Miller,,,,Wing,,,12,3.415,3.9000000000000004,2.9000000000000004,3,6.25,1.9166666666666667,1.0,0.4166666666666667,1.5,0.4166666666666667,1.6666666666666667,4.25,2.0833333333333335,2.0,0.75,1.1666666666666667,0.6091617933723197,0.5294117647058824,112.68028846153845,0.06171420094203168,2.4,0.0751201923076923,0.24,0.49019607843137253,0.47058823529411764,0.5178663904712584,2.3821853961677886,2.3821853961677886,2.0714655618850335,Elite,5,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
511,2,Division I,independencecommunitycollege,David Wilson,,,,Wing,,,12,3.1400000000000006,3.7,2.4000000000000004,3,18.5,3.5,0.75,2.3333333333333335,1.0833333333333333,0.9166666666666666,3.25,11.0,2.5833333333333335,7.333333333333333,1.1666666666666667,2.3333333333333335,0.6501874414245549,0.5795454545454546,111.71497584541063,0.18425249415866188,0.32142857142857145,0.14090177133655393,0.3548387096774194,0.23484848484848486,0.6666666666666666,2.900051786639047,2.4857586742620406,4.350077679958571,4.0393578456758155,Elite,5,Average,3,Very Good,4,Poor,1,Average,3,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Average,3,Very Good,4,Unknown
874,3,Division I,independencecommunitycollege,Lonnie Bass Jr,,,,Wing,,,12,2.9274999999999993,3.0999999999999996,2.65,3,9.916666666666666,8.916666666666666,0.5833333333333334,1.5,0.5833333333333334,0.3333333333333333,2.75,6.416666666666667,0.0,2.9166666666666665,2.8333333333333335,6.083333333333333,0.6439393939393939,0.6233766233766234,107.78985507246377,0.10236249675481215,0.3888888888888889,0.16304347826086957,,0.0,0.45454545454545453,1.8643190056965302,1.1393060590367685,11.08234075608493,3.4179181771103053,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Very Good,4,Very Good,4,Elite,5,Unknown
984,4,Division I,independencecommunitycollege,Sterling Knox,,,,Wing,,,12,2.875,3.0999999999999996,2.5,3,14.666666666666666,6.666666666666667,5.5,3.3333333333333335,0.8333333333333334,0.4166666666666667,2.8333333333333335,9.083333333333334,0.16666666666666666,5.0,1.1666666666666667,5.5,0.6499261447562776,0.5871559633027523,100.34207525655644,0.16263027111226497,1.65,0.22805017103762826,0.0,0.01834862385321101,0.5504587155963303,4.142931123770067,1.5535991714137753,8.285862247540134,3.5214914552045573,Elite,5,Average,3,Below Average,2,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Very Good,4,Average,3,Unknown
1071,5,Division I,independencecommunitycollege,BJ Randle,,,,Wing,,,6,2.825,3.35,2.0,3,1.8333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,1.1666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.7857142857142857,0.7857142857142857,137.5,0.014776505356483192,1.0,0.125,0.5,0.2857142857142857,0.0,0.20202020202020202,0.20202020202020202,0.8080808080808081,1.0101010101010102,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1120,6,Division I,independencecommunitycollege,Diezel Davis,,,,Wing,,,8,2.8000000000000007,3.3000000000000007,2.0,3,2.875,0.375,0.375,0.0,0.125,0.0,1.0,2.5,2.0,0.375,0.25,0.125,0.5393996247654784,0.5,107.87992495309568,0.02964899593925572,99.0,0.0,0.375,0.8,0.15,0.0,0.1557632398753894,0.4672897196261682,1.2461059190031152,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1609,7,Division I,independencecommunitycollege,Trashaun Combs-Pierce,,,,Wing,,,6,2.5975,2.3000000000000003,2.85,3,10.5,3.8333333333333335,0.5,2.1666666666666665,0.6666666666666666,1.6666666666666667,3.0,7.0,1.6666666666666667,5.333333333333333,0.6666666666666666,3.1666666666666665,0.56169757489301,0.5119047619047619,91.19861030689056,0.12906359763844255,0.23076923076923078,0.18818760856977418,0.3,0.23809523809523808,0.7619047619047619,2.705515088449532,2.91363163371488,4.786680541103018,3.7460978147762747,Average,3,Below Average,2,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Average,3,Very Good,4,Unknown
1624,8,Division I,independencecommunitycollege,Trae Lewis,,,,Wing,,,9,2.5875000000000004,3.0500000000000003,1.75,3,14.333333333333334,0.7777777777777778,1.5555555555555556,1.6666666666666667,1.1111111111111112,0.0,2.7777777777777777,11.88888888888889,7.777777777777778,1.5555555555555556,0.3333333333333333,0.4444444444444444,0.5699893955461294,0.5467289719626168,100.65543071161049,0.1596810366309494,0.9333333333333333,0.11704119850187267,0.38571428571428573,0.6542056074766355,0.1308411214953271,2.070393374741201,1.3802622498274673,0.966183574879227,3.450655624568668,Average,3,Average,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
1794,9,Division I,independencecommunitycollege,Colt Hightower,,,,Wing,,,8,2.5250000000000004,2.75,2.0,3,2.375,0.25,0.125,0.375,0.375,0.0,0.5,1.875,1.375,0.0,0.125,0.125,0.6333333333333333,0.6333333333333333,105.55555555555556,0.025031985314568617,0.3333333333333333,0.16666666666666666,0.45454545454545453,0.7333333333333333,0.0,0.4672897196261682,0.4672897196261682,0.3115264797507788,0.6230529595015576,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1834,10,Division I,independencecommunitycollege,Sekou Kourouma,,,,Wing,,,12,2.5,2.7,2.0,3,7.75,1.1666666666666667,1.0,0.8333333333333334,0.5,0.3333333333333333,1.9166666666666667,6.916666666666667,2.0,0.5,0.3333333333333333,0.8333333333333334,0.5429705744978982,0.5240963855421686,97.2396486825596,0.08867707599302749,1.2,0.10455876202425764,0.2916666666666667,0.2891566265060241,0.07228915662650602,1.0357327809425168,1.0357327809425168,1.4500258933195236,2.3821853961677886,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Insufficient Volume,3,Average,3,Very Good,4,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
