MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
262,1,Division I,indianhillscommunitycollege,KJ LaMonte,13,So.,G,Guard,6'3,185,15,3.48,3.15,3.85,4,12.466666666666667,2.466666666666667,2.466666666666667,2.0,1.8,0.4666666666666667,2.0,7.2,1.4,5.533333333333333,0.2,2.2666666666666666,0.6469692776086354,0.5416666666666666,107.15104286041714,0.1318007431350633,1.2333333333333334,0.1719000687600275,0.23809523809523808,0.19444444444444445,0.7685185185185185,2.5510204081632653,2.891156462585034,3.1462585034013606,2.5510204081632653,Elite,5,Poor,1,Very Good,4,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good
577,2,Division I,indianhillscommunitycollege,Xavier Wilson,7,Fr.,F,Wing,6'7,200,16,3.195,3.3,2.7,4,6.9375,5.75,1.5625,1.125,1.25,0.5,3.1875,4.625,0.1875,2.25,1.75,4.0,0.6177649154051648,0.5675675675675675,102.93026706231454,0.07628101745748804,1.3888888888888888,0.16691394658753708,0.6666666666666666,0.04054054054054054,0.4864864864864865,1.4359792580773834,2.2337455125648185,7.339449541284404,4.0686078978859195,Elite,5,Poor,1,Average,3,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Very Good
698,3,Division I,indianhillscommunitycollege,Chiang Ring,24,So.,F,Big,6'8,215,16,3.12,3.8,2.4000000000000004,3,10.125,7.3125,1.0,1.6875,0.6875,1.5625,2.625,6.375,1.8125,3.0625,2.125,5.1875,0.6555519585626416,0.6421568627450981,107.59829968119023,0.10649916532269474,0.5925925925925926,0.17933049946865037,0.4482758620689655,0.28431372549019607,0.4803921568627451,2.153968887116075,2.8719585161547667,9.333865177502991,3.350618268847228,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Average
1135,4,Division I,indianhillscommunitycollege,Sawyer Mayhugh,21,R-Fr.,F,Big,6'9,225,16,2.9050000000000002,3.7,1.6,4,10.6875,5.5625,0.9375,1.25,0.375,0.1875,1.6875,7.0625,2.1875,3.375,1.6875,3.875,0.6251828019888857,0.5973451327433629,109.08394998724165,0.11088475794358146,0.75,0.12758356723653994,0.37142857142857144,0.30973451327433627,0.4778761061946903,1.5955325089748704,0.7179896290386917,7.100119664938173,2.153968887116075,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1136,5,Division I,indianhillscommunitycollege,Vladyslav Semerych,15,So.,F,Big,6'9,210,16,2.9050000000000002,3.7,1.6,4,6.125,4.3125,0.375,0.6875,0.4375,0.1875,2.125,3.8125,0.25,2.5625,2.5625,1.75,0.6199392712550608,0.6147540983606558,108.84051532652155,0.06369012251365191,0.5454545454545454,0.12216792536650378,0.25,0.06557377049180328,0.6721311475409836,0.8775428799361787,0.7977662544874352,5.504587155963303,2.7124052652572797,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1276,6,Division I,indianhillscommunitycollege,Chaz Watson,23,So.,G,Guard,6'3,195,11,2.8475,3.0500000000000003,2.2,4,8.090909090909092,2.727272727272727,1.6363636363636365,1.0909090909090908,0.6363636363636364,0.0,1.5454545454545454,7.090909090909091,5.090909090909091,0.5454545454545454,0.9090909090909091,1.8181818181818181,0.5518353174603174,0.5384615384615384,96.07081174438687,0.09616742100236682,1.5,0.12953367875647667,0.42857142857142855,0.717948717948718,0.07692307692307693,1.4167650531286895,0.8264462809917356,3.541912632821724,2.0070838252656436,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1662,7,Division I,indianhillscommunitycollege,Mason Costello,0,So.,G,Guard,6'4,190,16,2.7,2.6000000000000005,2.2,5,9.4375,3.1875,1.75,1.0,0.9375,0.0625,1.1875,8.375,6.1875,2.375,0.125,3.0625,0.5009288747346072,0.47388059701492535,90.57101727447217,0.11793000028294146,1.75,0.09596928982725528,0.31313131313131315,0.7388059701492538,0.2835820895522388,1.2764260071798963,1.2764260071798963,4.0686078978859195,1.515755883526127,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Elite
1775,8,Division I,indianhillscommunitycollege,Taj Au-Duke,8,So.,G,Guard,6'3,190,16,2.655,2.35,2.75,4,12.9375,2.9375,3.8125,2.625,1.1875,0.1875,1.6875,10.1875,3.1875,3.5,0.375,2.5625,0.5515881475165211,0.49079754601226994,90.14109040236893,0.16243669184845655,1.4523809523809523,0.18289496603379204,0.3137254901960784,0.3128834355828221,0.34355828220858897,3.350618268847228,1.7550857598723575,3.7495013960909453,2.153968887116075,Average,3,Below Average,2,Poor,1,Average,3,Below Average,2,Average,3,Average,3,Very Good,4,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Very Good
2363,9,Division I,indianhillscommunitycollege,Ater Manyuon,3,So.,G,Guard,6'5,195,16,2.4525,1.8000000000000003,2.75,5,9.4375,2.3125,1.3125,1.625,1.375,0.0625,1.8125,7.8125,2.4375,2.0625,0.5625,1.75,0.5411410550458715,0.504,91.22764620589656,0.11708117590470532,0.8076923076923077,0.1570807153214113,0.2564102564102564,0.312,0.264,2.0741922616673314,1.834862385321101,2.95173514160351,2.313522138013562,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Very Good,4,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Elite
4422,10,Division I,indianhillscommunitycollege,Javeyn Martin,2,R-Fr.,G,Guard,6'1,170,12,1.7575,1.25,2.2,3,3.5833333333333335,2.25,1.1666666666666667,1.5,0.9166666666666666,0.0,1.4166666666666667,3.4166666666666665,1.6666666666666667,1.0833333333333333,0.08333333333333333,2.1666666666666665,0.4601883561643836,0.4146341463414634,66.44004944375773,0.05950498326652202,0.7777777777777778,0.27812113720642767,0.3,0.4878048780487805,0.3170731707317073,1.8858040859088527,1.1524358302776323,2.828706128863279,1.7810371922472499,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Average
