MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
139,1,Division I,itawambacommunitycollege,Kyler Fox,,,,Wing,,,12,3.5825000000000005,3.5,3.95,3,6.583333333333333,7.916666666666667,2.25,1.1666666666666667,0.75,2.5833333333333335,3.1666666666666665,3.8333333333333335,0.0,1.4166666666666667,2.9166666666666665,5.0,0.7385938668661182,0.7391304347826086,117.07172495554238,0.07136511696772284,1.9285714285714286,0.20746887966804978,,0.0,0.3695652173913043,1.6666666666666667,4.761904761904762,11.30952380952381,4.523809523809524,Elite,5,Poor,1,Elite,5,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Unknown
422,2,Division I,itawambacommunitycollege,Jaden Harper,,,,Wing,,,12,3.2074999999999996,3.8,2.45,3,12.75,3.0,1.75,1.8333333333333333,0.75,0.5833333333333334,1.3333333333333333,8.833333333333334,5.583333333333333,2.75,0.4166666666666667,2.5833333333333335,0.634749419183538,0.589622641509434,107.35335391523998,0.15072549600236895,0.9545454545454546,0.1543642997474039,0.40298507462686567,0.6320754716981132,0.3113207547169811,2.619047619047619,1.9047619047619047,4.285714285714286,1.9047619047619047,Elite,5,Average,3,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
618,3,Division I,itawambacommunitycollege,Tim Holiday,,,,Wing,,,12,3.075,3.85,2.0,3,10.166666666666666,2.3333333333333335,0.8333333333333334,1.1666666666666667,0.3333333333333333,0.25,1.4166666666666667,6.75,4.0,2.6666666666666665,0.75,1.5833333333333333,0.6415649978965082,0.5925925925925926,111.84451778511185,0.11536020982275054,0.7142857142857143,0.12834616795012835,0.375,0.5925925925925926,0.3950617283950617,1.6666666666666667,0.8333333333333334,3.3333333333333335,2.0238095238095237,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
786,4,Division I,itawambacommunitycollege,DJ Davis,,,,Wing,,,12,2.9650000000000007,3.0000000000000004,2.9000000000000004,3,11.083333333333334,3.0833333333333335,2.6666666666666665,1.75,1.4166666666666667,0.25,1.25,9.5,3.5833333333333335,3.1666666666666665,0.5,2.5833333333333335,0.5087209302325582,0.44298245614035087,87.66148167677301,0.16045517999915396,1.5238095238095237,0.13841286580543105,0.3488372093023256,0.37719298245614036,0.3333333333333333,2.5,2.380952380952381,4.404761904761905,1.7857142857142858,Below Average,2,Average,3,Poor,1,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1092,5,Division I,itawambacommunitycollege,Damarion Winston,,,,Wing,,,12,2.8150000000000004,2.7,2.9000000000000004,3,16.0,4.583333333333333,4.75,2.5833333333333335,0.9166666666666666,0.5,2.0,11.916666666666666,4.083333333333333,7.666666666666667,1.1666666666666667,3.4166666666666665,0.5232177894048398,0.43006993006993005,89.51883625512869,0.2268285460467871,1.8387096774193548,0.14453562103692652,0.2653061224489796,0.34265734265734266,0.6433566433566433,3.6904761904761907,2.0238095238095237,6.5476190476190474,2.857142857142857,Below Average,2,Very Good,4,Poor,1,Very Good,4,Average,3,Poor,1,Elite,5,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Average,3,Unknown
1224,6,Division I,itawambacommunitycollege,Derrick Parker,,,,Wing,,,8,2.7575000000000003,2.9000000000000004,2.45,3,1.125,1.125,0.25,0.25,0.0,1.125,0.625,0.625,0.0,0.5,0.125,1.0,0.6656804733727811,0.6,102.73972602739727,0.013878326996197718,1.0,0.22831050228310504,,0.0,0.8,0.3552397868561279,1.5985790408525755,1.5985790408525755,0.8880994671403197,Elite,5,Poor,1,Average,3,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1563,7,Division I,itawambacommunitycollege,Dailin Cooperwood,,,,Wing,,,10,2.615,2.3,2.9000000000000004,3,3.1,3.0,0.7,0.5,1.6,0.1,1.9,2.5,0.2,1.2,0.5,2.5,0.511889035667107,0.48,87.86848072562358,0.045272559285494306,1.4,0.1417233560090703,0.0,0.08,0.48,0.7251631617113851,2.4655547498187094,4.350978970268311,2.7556200145032634,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1824,8,Division I,itawambacommunitycollege,Shomari Philip,,,,Wing,,,9,2.505,2.8499999999999996,1.8,3,3.888888888888889,5.111111111111111,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.2222222222222222,3.111111111111111,2.7777777777777777,0.0,1.5555555555555556,1.7777777777777777,3.3333333333333335,0.561617458279846,0.52,96.7920353982301,0.0511109854695539,1.2,0.13827433628318586,,0.0,0.56,0.7993605115907274,1.2789768185451638,7.354116706634692,4.476418864908074,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Unknown
2778,9,Division I,itawambacommunitycollege,KJ Patrick,,,,Wing,,,11,2.2,2.1,2.0,3,2.4545454545454546,0.8181818181818182,1.2727272727272727,0.5454545454545454,0.7272727272727273,0.09090909090909091,0.6363636363636364,2.272727272727273,0.8181818181818182,0.5454545454545454,0.09090909090909091,0.7272727272727273,0.48842257597684513,0.46,80.26159334126041,0.03861872617899619,2.3333333333333335,0.178359096313912,0.3333333333333333,0.36,0.24,0.7766990291262136,1.1650485436893203,1.1650485436893203,0.9061488673139159,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3560,10,Division I,itawambacommunitycollege,Jordan Frazier,,,,Wing,,,11,1.95,1.6,2.0,3,5.545454545454546,1.7272727272727273,0.6363636363636364,1.0,0.45454545454545453,0.18181818181818182,1.5454545454545454,5.545454545454546,2.6363636363636362,0.2727272727272727,0.5454545454545454,1.1818181818181819,0.4894094993581515,0.48360655737704916,83.19694489907256,0.08428748792936958,0.6363636363636364,0.15002727768685217,0.3103448275862069,0.47540983606557374,0.04918032786885246,1.4248704663212435,0.9067357512953368,2.461139896373057,2.2020725388601035,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
