MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
61,1,Division I,jonescollege,Keron Jackson,,,,Wing,,,15,3.8050000000000006,4.050000000000001,3.8,3,11.2,4.466666666666667,0.8,0.8,1.6666666666666667,0.8666666666666667,1.4666666666666666,7.466666666666667,3.466666666666667,4.0,0.6,3.8666666666666667,0.6069364161849711,0.5535714285714286,111.70212765957446,0.11724718575571427,1.0,0.07978723404255318,0.38461538461538464,0.4642857142857143,0.5357142857142857,1.056338028169014,3.3450704225352115,5.897887323943662,1.9366197183098592,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
306,2,Division I,jonescollege,Braylon Barnes,,,,Wing,,,15,3.37,3.6,3.2,3,16.866666666666667,5.466666666666667,2.6666666666666665,1.8,1.4,0.3333333333333333,1.9333333333333333,12.666666666666666,6.0,5.466666666666667,1.5333333333333334,3.933333333333333,0.5595364472753008,0.5,99.96838944207366,0.1972933362437245,1.4814814814814814,0.10668563300142248,0.35555555555555557,0.47368421052631576,0.43157894736842106,2.3767605633802815,2.288732394366197,7.21830985915493,2.5528169014084505,Average,3,Very Good,4,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
544,3,Division I,jonescollege,Jay Tyler,,,,Wing,,,15,3.1525,3.5500000000000003,2.6500000000000004,3,15.866666666666667,3.4,5.533333333333333,2.1333333333333333,1.8,0.13333333333333333,2.466666666666667,11.933333333333334,5.466666666666667,4.333333333333333,0.2,3.2,0.5732177263969171,0.5111731843575419,99.3322203672788,0.18678474539274692,2.59375,0.1335559265442404,0.3048780487804878,0.4581005586592179,0.36312849162011174,2.816901408450704,2.5528169014084505,4.48943661971831,3.257042253521127,Very Good,4,Average,3,Below Average,2,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Very Good,4,Very Good,4,Unknown
595,4,Division I,jonescollege,Bob Dickson,,,,Wing,,,15,3.1325000000000003,2.25,4.45,3,11.0,8.6,1.5333333333333334,2.2666666666666666,1.5333333333333334,1.6,2.8,8.133333333333333,0.06666666666666667,4.266666666666667,3.466666666666667,5.133333333333334,0.5494139584443261,0.5163934426229508,89.59600347523893,0.14356543702641184,0.6764705882352942,0.184622067767159,0.0,0.00819672131147541,0.5245901639344263,2.992957746478873,4.137323943661972,11.355633802816902,3.6971830985915495,Average,3,Below Average,2,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Elite,5,Very Good,4,Very Good,4,Very Good,4,Unknown
865,5,Division I,jonescollege,Derek Hollman,,,,Wing,,,12,2.9750000000000005,3.6500000000000004,2.0,3,1.6666666666666667,1.8333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.25,1.0,1.1666666666666667,0.0,0.16666666666666666,0.6666666666666666,1.1666666666666667,0.6720430107526881,0.6428571428571429,118.48341232227486,0.015386298173332851,1.5,0.11848341232227487,,0.0,0.14285714285714285,0.2053388090349076,0.5133470225872689,2.2587268993839835,1.2320328542094456,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1545,6,Division I,jonescollege,Kris Carroll,,,,Wing,,,6,2.675,3.0500000000000003,2.0,3,1.8333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.5,1.0,0.8333333333333334,0.0,0.6666666666666666,0.4910714285714286,0.5,98.21428571428572,0.024335129497653398,99.0,0.0,0.16666666666666666,0.6666666666666666,0.5555555555555556,0.0,0.0,0.9975062344139651,0.0,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2152,7,Division I,jonescollege,Brooks Roberts,,,,Wing,,,10,2.45,2.6,2.0,3,3.2,0.6,0.4,0.2,0.1,0.0,1.0,3.1,2.5,0.3,0.1,0.5,0.49504950495049505,0.4838709677419355,93.24009324009324,0.03990697674418605,2.0,0.05827505827505827,0.32,0.8064516129032258,0.0967741935483871,0.2635046113306983,0.13175230566534915,0.7905138339920948,1.3175230566534915,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2302,8,Division I,jonescollege,Dylan Rowe,,,,Wing,,,15,2.4,2.85,1.5,3,14.0,2.8,3.8,2.466666666666667,0.9333333333333333,0.0,3.3333333333333335,10.6,1.2,4.466666666666667,0.5333333333333333,2.2666666666666666,0.5570882852292021,0.4968553459119497,93.13464608834487,0.17577723034706416,1.5405405405405406,0.16409437644136954,0.2222222222222222,0.11320754716981132,0.42138364779874216,3.257042253521127,1.232394366197183,3.6971830985915495,4.401408450704225,Average,3,Average,3,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Unknown
2929,9,Division I,jonescollege,Wesley Lindsey,,,,Wing,,,15,2.2249999999999996,2.5,1.5,3,6.4,4.133333333333334,0.7333333333333333,0.9333333333333333,0.7333333333333333,0.26666666666666666,3.066666666666667,4.533333333333333,1.6,3.3333333333333335,1.4,2.7333333333333334,0.5333333333333333,0.41911764705882354,92.3076923076923,0.08107518163958966,0.7857142857142857,0.1346153846153846,0.2916666666666667,0.35294117647058826,0.7352941176470589,1.232394366197183,1.3204225352112675,5.457746478873239,4.049295774647887,Average,3,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Unknown
3015,10,Division I,jonescollege,Quey'Sean Taylor,,,,Wing,,,8,2.2,2.1,2.0,3,1.625,2.0,0.125,0.25,0.125,0.25,1.5,1.375,0.125,0.25,0.875,1.125,0.5471380471380471,0.5454545454545454,93.65994236311239,0.02052647145814848,0.5,0.1440922190201729,0.0,0.09090909090909091,0.18181818181818182,0.333889816360601,0.5008347245409015,2.671118530884808,2.003338898163606,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
