MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
162,1,Division I,kankakeecommunitycollege,Nashawn Holmes,,,,Wing,,,16,3.615,4.300000000000001,2.9000000000000004,3,17.3125,3.3125,1.8125,1.4375,1.625,0.0625,1.25,12.6875,5.0,3.5,0.75,2.5625,0.6084167984536989,0.5763546798029556,110.51707628471115,0.18252257500728228,1.2608695652173914,0.09176508139163742,0.425,0.39408866995073893,0.27586206896551724,1.9190654985398414,2.252816020025031,4.422194409678765,1.668752607425949,Elite,5,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
229,2,Division I,kankakeecommunitycollege,Ricardo Corvil,,,,Wing,,,14,3.5150000000000006,3.0500000000000003,4.4,3,10.428571428571429,7.357142857142857,1.0714285714285714,1.1428571428571428,1.2142857142857142,1.3571428571428572,1.6428571428571428,7.785714285714286,0.21428571428571427,2.142857142857143,3.5,3.857142857142857,0.5973813420621931,0.5871559633027523,105.643994211288,0.11361394278197959,0.9375,0.11577424023154849,0.0,0.027522935779816515,0.27522935779816515,1.5137180700094608,3.4058656575212867,9.744560075685904,2.1759697256385997,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Unknown
540,3,Division I,kankakeecommunitycollege,Santana Flowers,,,,Wing,,,17,3.2325,2.7999999999999994,3.95,3,10.882352941176471,7.117647058823529,0.7647058823529411,1.0588235294117647,1.1176470588235294,0.8823529411764706,2.176470588235294,8.764705882352942,0.0,1.9411764705882353,2.823529411764706,4.294117647058823,0.5656800391389432,0.5771812080536913,101.91714411635081,0.12416208377794194,0.7222222222222222,0.0991626267078008,,0.0,0.2214765100671141,1.4150943396226414,2.6729559748427674,9.5125786163522,2.908805031446541,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
830,4,Division I,kankakeecommunitycollege,Tahmar Mann,,,,Wing,,,14,3.05,3.8000000000000003,2.0,3,6.714285714285714,1.2857142857142858,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.0,0.5,5.142857142857143,2.357142857142857,0.5,0.35714285714285715,0.9285714285714286,0.6259989344698987,0.6180555555555556,118.86697015680323,0.06501150937191713,0.75,0.05058168942842691,0.45454545454545453,0.4583333333333333,0.09722222222222222,0.3784295175023652,0.0946073793755913,1.7029328287606433,0.6622516556291391,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1638,5,Division I,kankakeecommunitycollege,Elijah Odukoya,,,,Wing,,,7,2.7249999999999996,3.1499999999999995,2.0,3,1.7142857142857142,1.2857142857142858,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.5714285714285714,1.0,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.684931506849315,0.7857142857142857,111.52416356877323,0.018045213658013013,0.5,0.1858736059479554,1.0,0.14285714285714285,0.5714285714285714,0.3879728419010669,0.5819592628516004,1.7458777885548011,0.7759456838021338,Elite,5,Poor,1,Very Good,4,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1745,6,Division I,kankakeecommunitycollege,Tion Wright,,,,Wing,,,14,2.675,3.05,2.0,3,5.285714285714286,1.7142857142857142,0.9285714285714286,0.7142857142857143,0.7857142857142857,0.0,0.6428571428571429,3.5,0.0,2.2857142857142856,0.35714285714285715,1.3571428571428572,0.586556753329106,0.5306122448979592,101.25889436234264,0.06007892140743176,1.3,0.13683634373289547,,0.0,0.6530612244897959,0.9460737937559129,1.0406811731315042,2.270577105014191,0.8514664143803217,Very Good,4,Poor,1,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1762,7,Division I,kankakeecommunitycollege,Rashad Fenner,,,,Wing,,,17,2.665,2.4000000000000004,2.9000000000000004,3,8.941176470588236,3.235294117647059,2.8823529411764706,2.3529411764705883,1.2941176470588236,0.23529411764705882,1.2352941176470589,6.176470588235294,0.5294117647058824,3.176470588235294,0.7647058823529411,2.4705882352941178,0.5902454178316248,0.5142857142857142,90.06873666745675,0.1154340748036882,1.225,0.23702299123014933,0.4444444444444444,0.08571428571428572,0.5142857142857142,3.1446540880503147,2.0440251572327046,4.323899371069182,1.650943396226415,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1822,8,Division I,kankakeecommunitycollege,Adrien Armstrong,,,,Wing,,,17,2.6450000000000005,2.85,2.2,3,10.176470588235293,3.235294117647059,1.2941176470588236,1.7058823529411764,0.7647058823529411,0.29411764705882354,2.3529411764705883,6.470588235294118,1.0,5.235294117647059,1.4705882352941178,1.7647058823529411,0.5799141861088764,0.5227272727272727,97.103726986978,0.12186379928315412,0.7586206896551724,0.1627750336775932,0.5294117647058824,0.15454545454545454,0.8090909090909091,2.279874213836478,1.4150943396226414,4.323899371069182,3.1446540880503147,Very Good,4,Below Average,2,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
1940,9,Division I,kankakeecommunitycollege,Bryant Hedrick,,,,Wing,,,8,2.6000000000000005,2.9000000000000004,2.0,3,2.625,0.5,0.5,0.375,0.375,0.0,0.5,1.875,0.5,0.75,0.0,0.5,0.5952380952380952,0.6333333333333333,101.74418604651163,0.028847766534354558,1.3333333333333333,0.14534883720930233,0.75,0.26666666666666666,0.4,0.4803843074459568,0.4803843074459568,0.6405124099279423,0.6405124099279423,Very Good,4,Poor,1,Below Average,2,Average,3,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2098,10,Division I,kankakeecommunitycollege,Jabari Lee,,,,Wing,,,14,2.55,2.8,2.0,3,2.2142857142857144,1.9285714285714286,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,1.2142857142857142,1.9285714285714286,0.07142857142857142,0.8571428571428571,1.0,0.9285714285714286,0.4801734820322181,0.48148148148148145,96.03469640644362,0.026537323248931273,99.0,0.0,0.0,0.037037037037037035,0.4444444444444444,0.0,0.7568590350047304,2.554399243140965,1.608325449385052,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
