MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
15,1,Division I,kaskaskiacollege,Allen Myers,,,,Wing,,,14,4.1450000000000005,4.1000000000000005,4.7,3,21.142857142857142,9.285714285714286,1.8571428571428572,2.5,2.0,0.7857142857142857,2.2857142857142856,12.285714285714286,3.0,7.857142857142857,2.5,6.785714285714286,0.6715063520871143,0.6162790697674418,115.89663273296789,0.1991454057763084,0.7428571428571429,0.1370399373531715,0.3333333333333333,0.2441860465116279,0.6395348837209303,3.176043557168784,3.5390199637023594,11.796733212341199,2.9038112522686026,Elite,5,Very Good,4,Elite,5,Poor,1,Very Good,4,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Unknown
82,2,Division I,kaskaskiacollege,Myles Liddell,,,,Wing,,,14,3.7649999999999997,4.25,3.4,3,17.642857142857142,5.928571428571429,3.0714285714285716,1.5714285714285714,1.8571428571428572,0.5,2.5714285714285716,12.642857142857142,1.7857142857142858,2.642857142857143,2.357142857142857,3.5714285714285716,0.6389693708609272,0.6129943502824858,114.73429951690821,0.16786226685796268,1.9545454545454546,0.10219249349684133,0.36,0.14124293785310735,0.20903954802259886,1.9963702359346642,2.9945553539019962,7.531760435571688,3.266787658802178,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Very Good,4,Below Average,2,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Very Good,4,Elite,5,Unknown
516,3,Division I,kaskaskiacollege,Hayden Huels,,,,Wing,,,14,3.175,4.05,2.0,3,4.642857142857143,3.7142857142857144,1.1428571428571428,0.5,0.5714285714285714,0.0,1.6428571428571428,3.0,0.35714285714285715,1.1428571428571428,1.0714285714285714,2.642857142857143,0.6627243066884176,0.6309523809523809,115.98857958600999,0.04369658786101927,2.2857142857142856,0.12491077801570308,0.2,0.11904761904761904,0.38095238095238093,0.6352087114337568,0.7259528130671506,4.718693284936479,2.087114337568058,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
530,4,Division I,kaskaskiacollege,Jerrod Mackey,,,,Wing,,,14,3.165,2.7000000000000006,3.9,3,10.785714285714286,7.857142857142857,2.7142857142857144,1.7142857142857142,1.5714285714285714,1.0714285714285714,2.9285714285714284,9.285714285714286,1.0714285714285714,3.357142857142857,1.9285714285714286,5.928571428571429,0.5010618529333687,0.49615384615384617,86.44378291733454,0.13620485309712432,1.5833333333333333,0.13739409205404168,0.3333333333333333,0.11538461538461539,0.36153846153846153,2.1778584392014517,3.3575317604355717,9.98185117967332,3.720508166969147,Below Average,2,Below Average,2,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Elite,5,Average,3,Average,3,Elite,5,Unknown
561,5,Division I,kaskaskiacollege,Antwon Tillman,,,,Wing,,,14,3.1499999999999995,3.9999999999999996,2.0,3,14.428571428571429,3.357142857142857,3.642857142857143,1.0,1.0714285714285714,0.0,1.1428571428571428,10.785714285714286,2.857142857142857,3.5,1.4285714285714286,1.9285714285714286,0.585303662494205,0.5397350993377483,108.27615780445969,0.14546815544881792,3.642857142857143,0.07504288164665524,0.325,0.26490066225165565,0.32450331125827814,1.2704174228675136,1.3611615245009074,4.26497277676951,1.4519056261343013,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
757,6,Division I,kaskaskiacollege,Keyon Garrett-Miller,,,,Wing,,,14,3.045,3.6500000000000004,2.2,3,13.428571428571429,3.2142857142857144,3.2142857142857144,1.2857142857142858,1.1428571428571428,0.2857142857142857,2.5714285714285716,10.5,1.1428571428571428,2.7857142857142856,1.0714285714285714,2.142857142857143,0.5726120857699806,0.5408163265306123,103.20597277119016,0.14203730272596843,2.5,0.09881422924901186,0.5625,0.10884353741496598,0.2653061224489796,1.633393829401089,1.8148820326678765,4.083484573502722,3.266787658802178,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
1691,7,Division I,kaskaskiacollege,Jewell Smith,,,,Wing,,,11,2.625,2.95,2.0,3,3.6363636363636362,2.272727272727273,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.45454545454545453,1.5454545454545454,2.4545454545454546,0.18181818181818182,1.2727272727272727,0.7272727272727273,1.5454545454545454,0.6031363088057902,0.5555555555555556,99.60159362549801,0.040031897926634766,1.2857142857142858,0.17430278884462153,0.0,0.07407407407407407,0.5185185185185185,0.813953488372093,1.3953488372093024,2.9069767441860463,1.9767441860465116,Elite,5,Poor,1,Below Average,2,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3571,8,Division I,kaskaskiacollege,Kendall Van Dyke,,,,Wing,,,10,2.05,1.8,2.0,3,3.7,1.3,0.6,0.9,0.3,0.1,1.5,3.0,1.0,1.8,0.4,0.9,0.48786919831223624,0.4666666666666667,78.85763000852515,0.05083203328133124,0.6666666666666666,0.1918158567774936,0.2,0.3333333333333333,0.6,1.1406844106463878,0.5069708491761724,1.6476552598225602,1.9011406844106464,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3746,9,Division I,kaskaskiacollege,Lucas Agbejemisin,,,,Wing,,,12,1.9749999999999999,1.6500000000000001,2.0,3,2.6666666666666665,2.5833333333333335,0.3333333333333333,0.5,0.3333333333333333,0.5833333333333334,1.0,3.0,0.16666666666666666,0.25,0.6666666666666666,1.9166666666666667,0.4287245444801715,0.4444444444444444,73.86888273314867,0.03927185698226782,0.6666666666666666,0.13850415512465375,0.0,0.05555555555555555,0.08333333333333333,0.6379585326953748,1.1695906432748537,3.29611908559277,1.2759170653907497,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3790,10,Division I,kaskaskiacollege,Abdou Faye,,,,Wing,,,8,1.9749999999999999,1.65,2.0,3,2.875,3.75,0.0,0.625,0.125,0.5,2.0,2.625,0.125,0.75,1.5,2.25,0.48646362098138746,0.5238095238095238,80.3072625698324,0.03936445104183848,0.0,0.17458100558659218,0.0,0.047619047619047616,0.2857142857142857,0.7923930269413629,0.7923930269413629,4.754358161648177,2.535657686212361,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
