MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
200,1,Division I,kennedykingcollege,Reggie Ray,,,,Wing,,,17,3.5575,4.5,2.45,3,20.176470588235293,3.176470588235294,2.235294117647059,1.4705882352941178,1.0588235294117647,0.23529411764705882,1.5294117647058822,13.0,2.588235294117647,7.9411764705882355,1.2352941176470589,1.9411764705882353,0.6116262482168331,0.5407239819004525,112.3117223313687,0.21765779120816467,1.52,0.08185985592665357,0.38636363636363635,0.19909502262443438,0.6108597285067874,1.971608832807571,1.7350157728706626,4.2586750788643535,2.050473186119874,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
725,2,Division I,kennedykingcollege,Bangout Mai,,,,Wing,,,12,3.115,3.3000000000000003,2.9000000000000004,3,7.166666666666667,3.6666666666666665,1.25,1.1666666666666667,0.5,1.0,2.0833333333333335,4.583333333333333,1.0833333333333333,1.4166666666666667,1.0833333333333333,2.5833333333333335,0.6882202304737516,0.6909090909090909,112.44769874476987,0.07851833600262823,1.0714285714285714,0.18305439330543932,0.46153846153846156,0.23636363636363636,0.3090909090909091,1.5712682379349046,2.0202020202020203,4.938271604938271,2.8058361391694726,Elite,5,Poor,1,Very Good,4,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
892,3,Division I,kennedykingcollege,Devontae Jean,,,,Wing,,,13,3.0250000000000004,3.75,2.0,3,7.230769230769231,1.6153846153846154,0.46153846153846156,0.6153846153846154,0.5384615384615384,0.0,1.6153846153846154,5.538461538461538,3.230769230769231,0.8461538461538461,0.23076923076923078,1.3846153846153846,0.6116605934409162,0.5972222222222222,110.7967939651108,0.07978183186007147,0.75,0.0942951438000943,0.42857142857142855,0.5833333333333334,0.1527777777777778,0.8264462809917356,0.7231404958677686,2.169421487603306,2.169421487603306,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
994,4,Division I,kennedykingcollege,Theron Johnson,,,,Wing,,,16,2.9750000000000005,3.6500000000000004,2.0,3,1.8125,1.25,0.0625,0.1875,0.25,0.25,0.9375,1.0625,0.0,0.625,0.3125,0.9375,0.677570093457944,0.6470588235294118,118.85245901639345,0.01847365233192005,0.3333333333333333,0.12295081967213116,,0.0,0.5882352941176471,0.25210084033613445,0.6722689075630253,1.680672268907563,1.2605042016806722,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2069,5,Division I,kennedykingcollege,Javon Warfield,,,,Wing,,,13,2.5575,2.5,2.45,3,6.0,2.6153846153846154,1.3076923076923077,1.0,1.0,0.23076923076923078,1.8461538461538463,4.6923076923076925,0.46153846153846156,1.8461538461538463,0.6153846153846154,2.0,0.5449972051425377,0.5163934426229508,92.2421948912015,0.08049040511727079,1.3076923076923077,0.15373699148533584,0.5,0.09836065573770492,0.39344262295081966,1.3633980073413738,1.6780283167278447,3.5658101730466703,2.5170424750917673,Average,3,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2251,6,Division I,kennedykingcollege,Kelsey Tarver,,,,Wing,,,16,2.5075000000000003,2.4,2.45,3,7.6875,3.4375,0.5,0.8125,0.375,0.6875,1.5,6.3125,2.125,2.3125,1.0,2.4375,0.5243860845839018,0.49504950495049505,94.41203561559718,0.09855958361072444,0.6153846153846154,0.09978507829290759,0.29411764705882354,0.33663366336633666,0.36633663366336633,1.086048454469507,1.4202172096908938,4.594820384294069,2.0050125313283207,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2455,7,Division I,kennedykingcollege,Cameron King,,,,Wing,,,14,2.4499999999999997,2.5999999999999996,2.0,3,2.4285714285714284,2.5714285714285716,1.0714285714285714,0.07142857142857142,0.42857142857142855,0.0,1.1428571428571428,2.5,0.42857142857142855,1.2142857142857142,0.7857142857142857,1.7857142857142858,0.40018832391713743,0.34285714285714286,78.196872125115,0.03761115532334522,15.0,0.022999080036798528,0.3333333333333333,0.17142857142857143,0.4857142857142857,0.0962000962000962,0.5772005772005772,3.463203463203463,1.5392015392015392,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2520,8,Division I,kennedykingcollege,Elias Vargas,,,,Wing,,,14,2.4250000000000003,2.5500000000000007,2.0,3,3.5,1.2857142857142858,2.2857142857142856,1.4285714285714286,0.42857142857142855,0.0,1.5714285714285714,2.5714285714285716,1.1428571428571428,0.5,0.14285714285714285,1.1428571428571428,0.6269191402251791,0.6111111111111112,82.93838862559242,0.05109842587787579,1.6,0.33852403520649965,0.375,0.4444444444444444,0.19444444444444445,1.9221528111484862,0.5766458433445459,1.7299375300336377,2.114368092263335,Elite,5,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2674,9,Division I,kennedykingcollege,Philip Berryhill,,,,Wing,,,11,2.3825000000000003,2.1500000000000004,2.45,3,5.454545454545454,1.7272727272727273,0.7272727272727273,1.0,0.8181818181818182,0.36363636363636365,0.8181818181818182,4.454545454545454,1.2727272727272727,1.9090909090909092,0.2727272727272727,1.4545454545454546,0.5151098901098901,0.5102040816326531,86.65511265164643,0.07703261982110277,0.7272727272727273,0.15886770652801846,0.5714285714285714,0.2857142857142857,0.42857142857142855,1.3333333333333333,1.5757575757575757,2.303030303030303,1.0909090909090908,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3252,10,Division I,kennedykingcollege,Jerrold Brock III,,,,Wing,,,13,2.225,2.1500000000000004,2.0,3,4.076923076923077,1.4615384615384615,2.0,1.0769230769230769,0.5384615384615384,0.0,1.1538461538461537,3.076923076923077,0.8461538461538461,2.0,0.5384615384615384,0.9230769230769231,0.5151632970451011,0.4625,80.99022004889976,0.06229058787694182,1.8571428571428572,0.21393643031784843,0.45454545454545453,0.275,0.65,1.4682747771368643,0.7341373885684321,1.9926586261143158,1.5731515469323545,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3315,11,Division I,kennedykingcollege,Rashawn Emer-Lake,,,,Wing,,,13,2.2125,1.6,2.75,3,2.5384615384615383,5.153846153846154,1.0,1.3076923076923077,0.8461538461538461,0.23076923076923078,1.0769230769230769,3.1538461538461537,0.07692307692307693,1.6923076923076923,1.8461538461538463,3.3076923076923075,0.3255722178374112,0.24390243902439024,48.75886524822695,0.06442278403898874,0.7647058823529411,0.2511820330969267,0.0,0.024390243902439025,0.5365853658536586,1.7829050865233351,1.4682747771368643,7.02674357629785,1.4682747771368643,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
3417,12,Division I,kennedykingcollege,Marrico McCaskill,,,,Wing,,,13,2.1825,1.7500000000000002,2.45,3,3.769230769230769,2.6153846153846154,2.5384615384615383,1.4615384615384615,1.0769230769230769,0.15384615384615385,1.6153846153846154,4.6923076923076925,0.8461538461538461,0.9230769230769231,0.38461538461538464,2.230769230769231,0.3696439348219674,0.36885245901639346,57.4577861163227,0.08117575388364301,1.736842105263158,0.2227954971857411,0.09090909090909091,0.18032786885245902,0.19672131147540983,1.9926586261143158,1.6780283167278447,3.5658101730466703,2.2024121657052964,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3501,13,Division I,kennedykingcollege,Ellis Valentine,,,,Wing,,,7,2.175,2.05,2.0,3,0.7142857142857143,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.7142857142857143,0.0,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.3698224852071006,0.4,64.43298969072166,0.013513513513513513,0.0,0.1288659793814433,,0.0,0.8,0.19193857965451055,0.0,0.9596928982725528,1.1516314779270633,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4012,14,Division I,kennedykingcollege,Kobe Harris,,,,Wing,,,13,2.025,1.75,2.0,3,4.461538461538462,1.6153846153846154,1.2307692307692308,1.0,0.15384615384615385,0.0,0.46153846153846156,4.923076923076923,3.230769230769231,0.15384615384615385,0.6923076923076923,0.9230769230769231,0.4469790382244143,0.4375,74.47354904982024,0.07413189156259518,1.2307692307692308,0.16692347200821778,0.2857142857142857,0.65625,0.03125,1.3633980073413738,0.2097535395909806,2.2024121657052964,0.6292606187729418,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4095,15,Division I,kennedykingcollege,Darrien Manning,,,,Wing,,,10,1.9999999999999998,1.7,2.0,3,1.5,1.4,0.6,0.6,0.4,0.2,0.7,1.6,0.4,0.8,0.6,0.8,0.38422131147540983,0.28125,58.77742946708464,0.030925836160930687,1.0,0.23510971786833856,0.25,0.25,0.5,0.7978723404255319,0.7978723404255319,1.8617021276595744,0.9308510638297872,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
