MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
157,1,Division I,kilgorecollege,Antoine Shannon,NO.: 2,CL: FR,POS: W,Wing,,,12,3.6399999999999997,4.35,2.9000000000000004,3,13.416666666666666,4.333333333333333,3.3333333333333335,1.5,1.3333333333333333,0.16666666666666666,1.8333333333333333,9.25,4.833333333333333,3.1666666666666665,1.1666666666666667,3.1666666666666665,0.6302849984340746,0.5900900900900901,110.48586329947845,0.14489698512449287,2.2222222222222223,0.12352456766401318,0.43103448275862066,0.5225225225225225,0.34234234234234234,2.057142857142857,2.057142857142857,5.942857142857143,2.5142857142857142,Elite,5,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
196,2,Division I,kilgorecollege,Antonio Shannon Jr,,,,Wing,,,12,3.5725,3.9,3.35,3,13.666666666666666,4.25,2.0833333333333335,1.8333333333333333,1.6666666666666667,0.25,2.0,9.333333333333334,5.083333333333333,2.3333333333333335,1.8333333333333333,2.4166666666666665,0.6595881595881596,0.6473214285714286,112.08310552214326,0.1454935963726036,1.1363636363636365,0.15035538545653362,0.47540983606557374,0.5446428571428571,0.25,2.5142857142857142,2.6285714285714286,5.828571428571428,2.742857142857143,Elite,5,Below Average,2,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
253,3,Division I,kilgorecollege,Kaiden Myers,NO.: 4,CL: SO,POS: G,Guard,,,12,3.4875000000000007,3.6000000000000005,3.45,3,11.75,4.416666666666667,3.75,1.5833333333333333,1.25,0.5,1.1666666666666667,9.25,4.916666666666667,2.0,0.5833333333333334,3.8333333333333335,0.5799605133267522,0.5540540540540541,100.31303357996585,0.13976612839074057,2.3684210526315788,0.13517359134889015,0.423728813559322,0.5315315315315315,0.21621621621621623,2.1714285714285713,2.4,6.057142857142857,1.6,Very Good,4,Poor,1,Average,3,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
648,4,Division I,kilgorecollege,Elijah Herron,NO.: 23,CL: FR,POS: F,Wing,,,8,3.1499999999999995,3.9999999999999996,2.0,3,5.0,2.75,0.375,0.25,0.25,0.125,0.875,3.125,0.25,0.75,1.375,1.375,0.723589001447178,0.74,134.9527665317139,0.0422270344198769,1.5,0.06747638326585695,0.5,0.08,0.24,0.33812341504649196,0.5071851225697379,3.7193575655114115,1.183431952662722,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1318,5,Division I,kilgorecollege,Jeremiah Cooper,NO.: 21,CL: FR,POS: F,Wing,,,10,2.825,3.3500000000000005,2.0,3,3.0,1.7,0.6,0.4,0.1,0.5,0.7,2.1,0.0,1.0,0.7,1.0,0.5905511811023623,0.6190476190476191,102.04081632653062,0.034748487140695915,1.5,0.1360544217687075,,0.0,0.47619047619047616,0.546448087431694,0.819672131147541,2.3224043715846996,0.9562841530054644,Very Good,4,Poor,1,Average,3,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1390,6,Division I,kilgorecollege,Josh Olutayo,NO.: 33,CL: SO,POS: F,Wing,,,12,2.8,3.3,2.0,3,3.4166666666666665,4.0,0.5833333333333334,0.5,0.3333333333333333,0.6666666666666666,1.75,2.1666666666666665,0.0,1.4166666666666667,0.9166666666666666,3.0833333333333335,0.612305854241338,0.6153846153846154,103.85005065856129,0.0392570201256861,1.1666666666666667,0.1519756838905775,,0.0,0.6538461538461539,0.6857142857142857,1.3714285714285714,5.485714285714286,2.4,Elite,5,Poor,1,Average,3,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1619,7,Division I,kilgorecollege,Jordan Moore,NO.: 1,CL: SO,POS: G,Guard,,,12,2.7199999999999998,2.3,3.3,3,6.5,1.25,0.5833333333333334,0.6666666666666666,1.0833333333333333,0.75,1.4166666666666667,5.25,2.5,1.5,0.4166666666666667,0.8333333333333334,0.5499153976311336,0.5079365079365079,98.8342625443487,0.07847426616816482,0.875,0.10136847440446022,0.26666666666666666,0.47619047619047616,0.2857142857142857,0.9142857142857143,2.5142857142857142,1.7142857142857142,1.9428571428571428,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Poor,1,Average,3,Elite,5,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1636,8,Division I,kilgorecollege,Lamarious White,NO.: 24,CL: FR,POS: F,Wing,,,12,2.705,2.900000000000001,2.3,3,8.833333333333334,5.416666666666667,0.9166666666666666,1.25,0.5833333333333334,0.25,2.0833333333333335,6.333333333333333,1.25,3.0833333333333335,1.5833333333333333,3.8333333333333335,0.5743389683571738,0.5328947368421053,98.806860551827,0.1066740911621987,0.7333333333333333,0.13982102908277405,0.3333333333333333,0.19736842105263158,0.4868421052631579,1.7142857142857142,1.1428571428571428,7.428571428571429,2.857142857142857,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2056,9,Division I,kilgorecollege,Kendall Mitchell,NO.: 5,CL: SO,POS: G,Guard,,,11,2.5549999999999997,2.35,2.75,3,4.090909090909091,1.8181818181818181,1.4545454545454546,0.8181818181818182,1.3636363636363635,0.0,1.0909090909090908,3.727272727272727,1.4545454545454546,0.45454545454545453,0.36363636363636365,1.4545454545454546,0.5208333333333333,0.524390243902439,86.20689655172413,0.056766279524990214,1.7777777777777777,0.17241379310344826,0.3125,0.3902439024390244,0.12195121951219512,1.1187072715972655,1.8645121193287757,2.4860161591050343,1.4916096954630205,Average,3,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2415,10,Division I,kilgorecollege,Dekwon Brown,NO.: 10,CL: SO,POS: G,Guard,,,11,2.4450000000000003,2.15,2.75,3,6.2727272727272725,3.272727272727273,2.090909090909091,1.0909090909090908,1.0,0.2727272727272727,0.36363636363636365,6.2727272727272725,2.909090909090909,1.6363636363636365,0.8181818181818182,2.4545454545454546,0.4485179407176287,0.43478260869565216,77.59784075573549,0.09622126996493963,1.9166666666666667,0.1349527665317139,0.3125,0.463768115942029,0.2608695652173913,1.5,1.75,4.5,0.5,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Average,3,Average,3,Elite,5,Very Good,4,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
