MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
528,1,Division I,lakelandcollege,Lavell Tinsley,,,,Wing,,,11,3.24,3.5500000000000003,2.9000000000000004,3,18.0,4.090909090909091,1.3636363636363635,2.272727272727273,1.4545454545454546,0.2727272727272727,0.36363636363636365,13.727272727272727,6.181818181818182,3.272727272727273,1.1818181818181819,2.909090909090909,0.593382881802925,0.5860927152317881,103.21100917431193,0.1875122180083669,0.6,0.13031693077564638,0.45588235294117646,0.4503311258278146,0.23841059602649006,2.7159152634437804,2.0640956002172732,4.888647474198805,0.4345464421510049,Very Good,4,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
683,2,Division I,lakelandcollege,Stevie Tatum,,,,Wing,,,10,3.1400000000000006,3.35,2.9000000000000004,3,15.8,2.1,3.2,2.1,1.1,0.7,2.2,12.4,7.4,3.6,0.4,1.7,0.5649313501144164,0.5241935483870968,98.23427008206913,0.1726269694758082,1.5238095238095237,0.13056453618502858,0.35135135135135137,0.5967741935483871,0.2903225806451613,2.5074626865671643,2.1492537313432836,2.5074626865671643,2.626865671641791,Average,3,Average,3,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
722,3,Division I,lakelandcollege,Jay Summitt,,,,Wing,,,11,3.115,3.3000000000000007,2.9000000000000004,3,6.818181818181818,5.545454545454546,1.2727272727272727,0.9090909090909091,0.8181818181818182,1.0909090909090908,2.4545454545454546,5.181818181818182,0.9090909090909091,1.0,2.4545454545454546,3.090909090909091,0.6064036222509702,0.6052631578947368,104.39866369710467,0.06896286910110203,1.4,0.13919821826280623,0.3,0.17543859649122806,0.19298245614035087,1.0834236186348862,2.275189599133261,6.608884073672806,2.925243770314193,Elite,5,Poor,1,Average,3,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1146,4,Division I,lakelandcollege,Keenan Gray,,,,Wing,,,9,2.9074999999999998,3.2,2.45,3,14.777777777777779,2.111111111111111,3.888888888888889,2.5555555555555554,1.1111111111111112,0.4444444444444444,0.0,10.777777777777779,1.4444444444444444,3.2222222222222223,0.5555555555555556,1.5555555555555556,0.6058673469387755,0.6030927835051546,100.18077734257307,0.15322468953418586,1.5217391304347827,0.17324495329918652,0.38461538461538464,0.13402061855670103,0.29896907216494845,2.9889538661468484,1.8193632228719947,2.4691358024691357,0.0,Elite,5,Average,3,Below Average,2,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1338,5,Division I,lakelandcollege,Loic Affoumon,,,,Wing,,,15,2.83,3.15,2.3,3,12.2,7.0,1.1333333333333333,1.7333333333333334,0.7333333333333333,0.13333333333333333,2.066666666666667,8.2,1.4666666666666666,3.3333333333333335,2.6,4.4,0.6310344827586207,0.5609756097560976,107.01754385964912,0.11979823455233292,0.6538461538461539,0.15204678362573099,0.36363636363636365,0.17886178861788618,0.4065040650406504,2.044828942194259,1.0224144710971295,8.257963035784506,2.4380652772316163,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2760,6,Division I,lakelandcollege,Payton Baird,,,,Wing,,,11,2.3575,2.1,2.45,3,9.363636363636363,5.2727272727272725,1.4545454545454546,2.090909090909091,1.1818181818181819,0.2727272727272727,1.5454545454545454,7.909090909090909,1.0,2.090909090909091,1.7272727272727273,3.5454545454545454,0.5302718286655683,0.4885057471264368,85.74758574758575,0.1151766194914279,0.6956521739130435,0.19147519147519146,0.09090909090909091,0.12643678160919541,0.26436781609195403,2.4717893605588395,1.7195056421278883,6.233207952713594,1.8269747447608813,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2872,7,Division I,lakelandcollege,Rodrigo Dos Santos,,,,Wing,,,8,2.3274999999999997,1.9,2.6500000000000004,3,8.375,4.625,0.875,1.75,1.375,0.375,2.875,7.25,0.0,4.625,2.25,2.375,0.4509962304792676,0.3793103448275862,75.8948799275034,0.11428127589063794,0.5,0.158586316266425,,0.0,0.6379310344827587,2.0319303338171264,2.0319303338171264,5.370101596516691,3.3381712626995648,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2959,8,Division I,lakelandcollege,Kouki Tateyama,,,,Wing,,,10,2.3075,2.0,2.45,3,7.3,2.3,6.5,3.4,1.5,0.0,2.0,6.4,0.5,4.1,0.2,2.1,0.44490492442710877,0.375,62.90934160634264,0.12382619088270445,1.911764705882353,0.29300241296104795,0.0,0.078125,0.640625,4.106280193236715,1.8115942028985508,2.7777777777777777,2.4154589371980677,Poor,1,Below Average,2,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
3966,9,Division I,lakelandcollege,Andrew Wetzel,,,,Wing,,,7,2.05,1.8,2.0,3,2.4285714285714284,1.2857142857142858,0.42857142857142855,0.5714285714285714,0.0,0.0,0.5714285714285714,3.7142857142857144,3.0,0.2857142857142857,0.2857142857142857,1.0,0.3162202380952381,0.3076923076923077,55.05181347150259,0.04653125188355131,0.75,0.1295336787564767,0.19047619047619047,0.8076923076923077,0.07692307692307693,0.6950477845351868,0.0,1.5638575152041703,0.6950477845351868,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4085,10,Division I,lakelandcollege,Aiden Swinson,,,,Wing,,,15,1.9999999999999998,1.7,2.0,3,8.133333333333333,5.666666666666667,1.6666666666666667,2.7333333333333334,0.9333333333333333,0.26666666666666666,1.6,7.133333333333334,1.9333333333333333,1.4666666666666666,1.3333333333333333,4.333333333333333,0.5227973945834762,0.5,77.3718924403856,0.10932083529770655,0.6097560975609756,0.2600202942668696,0.3103448275862069,0.27102803738317754,0.205607476635514,3.188180404354588,1.3996889580093312,6.609642301710731,1.8662519440124417,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Very Good,4,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
