MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
512,1,Division I,lamarcommunitycollege,Shay-Den Yarde,,,,Wing,,,8,3.25,4.2,2.0,3,0.75,0.125,0.125,0.0,0.0,0.0,0.0,0.375,0.0,0.25,0.0,0.125,0.7731958762886598,0.6666666666666666,154.63917525773195,0.005326451046071055,99.0,0.0,,0.0,0.6666666666666666,0.0,0.0,0.15527950310559005,0.0,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
592,2,Division I,lamarcommunitycollege,Ahmed Cisse,,,,Wing,,,15,3.1825,3.75,2.45,3,16.866666666666667,4.466666666666667,1.4666666666666666,1.8666666666666667,1.0,0.2,2.0,11.266666666666667,4.666666666666667,6.2,1.4666666666666666,3.0,0.6026105182926829,0.5325443786982249,106.33826496301278,0.18253797759705387,0.7857142857142857,0.11768661735036987,0.34285714285714286,0.41420118343195267,0.5502958579881657,2.4003429061294472,1.5430775825117875,5.74367766823832,2.571795970852979,Elite,5,Average,3,Average,3,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
617,3,Division I,lamarcommunitycollege,Gavin Dabney,,,,Wing,,,15,3.165,3.4000000000000004,2.9000000000000004,3,13.6,4.466666666666667,1.9333333333333333,1.2,1.3333333333333333,0.4,1.8,10.6,2.6666666666666665,3.2666666666666666,1.5333333333333334,2.933333333333333,0.5649091714665485,0.5251572327044025,102.73972602739725,0.15234003375786404,1.6111111111111112,0.09065269943593876,0.275,0.25157232704402516,0.3081761006289308,1.5430775825117875,2.2288898414059153,5.74367766823832,2.3146163737676813,Average,3,Average,3,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
843,4,Division I,lamarcommunitycollege,Maddox Coleman,,,,Wing,,,7,3.05,3.8,2.0,3,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,1.1363636363636365,,227.27272727272728,0.00140485312899106,,0.0,,,,0.0,0.0,0.0,0.0,Elite,5,Poor,1,Elite,5,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,N/A,3,N/A,3,N/A,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
920,5,Division I,lamarcommunitycollege,Donovan Dabney,,,,Wing,,,15,3.0,4.05,1.5,3,7.8,3.466666666666667,1.3333333333333333,0.7333333333333333,0.5333333333333333,0.3333333333333333,2.933333333333333,5.466666666666667,2.533333333333333,0.9333333333333333,1.0666666666666667,2.4,0.6635662431941924,0.6463414634146342,117.99112545381203,0.07607794997698326,1.8181818181818181,0.1109318273497378,0.47368421052631576,0.4634146341463415,0.17073170731707318,0.9429918559794256,1.1144449207029576,4.457779682811831,3.7719674239177023,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Average,3,Elite,5,Unknown
1054,6,Division I,lamarcommunitycollege,Christian Payawal,,,,Wing,,,15,2.9400000000000004,2.95,2.9000000000000004,3,9.2,3.6666666666666665,6.266666666666667,1.4,1.9333333333333333,0.0,1.4,7.2,3.3333333333333335,2.466666666666667,1.2666666666666666,2.4,0.5551979401351786,0.5046296296296297,94.98898678414096,0.1114623292926193,4.476190476190476,0.14454845814977973,0.34,0.46296296296296297,0.3425925925925926,1.8002571795970852,2.486069438491213,4.714959279897128,1.8002571795970852,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1137,7,Division I,lamarcommunitycollege,RJ Foreman,,,,Wing,,,15,2.9050000000000002,3.3000000000000003,2.3,3,12.666666666666666,5.733333333333333,1.4666666666666666,1.2,0.5333333333333333,0.13333333333333333,2.2666666666666666,10.266666666666667,5.866666666666666,4.066666666666666,1.4666666666666666,4.266666666666667,0.5253262552532626,0.474025974025974,95.55421444377389,0.1525548565290778,1.2222222222222223,0.09052504526252263,0.3409090909090909,0.5714285714285714,0.3961038961038961,1.5430775825117875,0.8572653236176596,7.372481783111873,2.914702100300043,Below Average,2,Average,3,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2218,8,Division I,lamarcommunitycollege,Kale Sparks,,,,Wing,,,7,2.5,2.7,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,N/A,3,Poor,1,N/A,3,N/A,3,N/A,3,Insufficient Volume,3,Poor,1,N/A,3,N/A,3,N/A,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2999,9,Division I,lamarcommunitycollege,La'Quince York,,,,Wing,,,14,2.275,2.25,2.0,3,4.571428571428571,2.4285714285714284,0.14285714285714285,0.5714285714285714,0.35714285714285715,0.0,1.1428571428571428,4.5,1.1428571428571428,1.3571428571428572,1.4285714285714286,1.0,0.4484304932735426,0.42857142857142855,80.64516129032258,0.06473928081968282,0.25,0.10080645161290323,0.25,0.25396825396825395,0.30158730158730157,0.7315957933241883,0.45724737082761774,3.1092821216278006,1.4631915866483767,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3305,10,Division I,lamarcommunitycollege,Jaylon Brown,,,,Wing,,,15,2.1825,1.75,2.45,3,8.466666666666667,3.1333333333333333,1.8,2.7333333333333334,1.3333333333333333,0.06666666666666667,1.8,7.666666666666667,3.2666666666666666,2.466666666666667,1.0,2.1333333333333333,0.48369896404631324,0.43478260869565216,73.71720455073137,0.1321773822310879,0.6585365853658537,0.2379846761086603,0.2857142857142857,0.4260869565217391,0.3217391304347826,3.5147878268324044,1.8002571795970852,4.029147021003,2.3146163737676813,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
