MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
886,1,Division I,lawsonstatecommunitycollege,Hannibal Smith,,,,Wing,,,13,2.9624999999999995,3.0999999999999996,2.75,3,5.769230769230769,5.923076923076923,0.6153846153846154,0.8461538461538461,0.23076923076923078,1.0,1.1538461538461537,3.769230769230769,0.07692307692307693,1.6923076923076923,2.3076923076923075,3.6153846153846154,0.6390593047034765,0.6326530612244898,107.6349024110218,0.060751900676571116,0.7272727272727273,0.1578645235361653,0.0,0.02040816326530612,0.4489795918367347,1.0773751224289911,1.5670910871694417,7.541625857002939,1.4691478942213516,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
1380,2,Division I,lawsonstatecommunitycollege,Iago Stanback,,,,Wing,,,13,2.75,3.1999999999999997,2.0,3,9.538461538461538,3.5384615384615383,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.15384615384615385,0.3076923076923077,7.6923076923076925,4.923076923076923,2.4615384615384617,1.0769230769230769,2.4615384615384617,0.5434782608695652,0.48,100.74748131296718,0.10730975796889168,1.0,0.07312317192070199,0.34375,0.64,0.32,0.881488736532811,0.9794319294809011,4.505386875612145,0.3917727717923604,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1804,3,Division I,lawsonstatecommunitycollege,Keaton Cross,,,,Wing,,,13,2.575,2.85,2.0,3,11.692307692307692,2.5384615384615383,2.8461538461538463,1.9230769230769231,0.46153846153846156,0.46153846153846156,0.38461538461538464,7.538461538461538,1.3846153846153846,6.3076923076923075,0.15384615384615385,2.3846153846153846,0.5668257756563246,0.49489795918367346,95.54940910233846,0.1386970774918044,1.48,0.15715363339200403,0.3888888888888889,0.1836734693877551,0.8367346938775511,2.4485798237022527,1.1753183153770812,3.2321253672869736,0.48971596474045054,Average,3,Below Average,2,Below Average,2,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2197,4,Division I,lawsonstatecommunitycollege,De'Arion Holley,,,,Wing,,,9,2.445,1.75,3.2,3,7.444444444444445,6.0,0.8888888888888888,1.7777777777777777,0.7777777777777778,0.8888888888888888,0.5555555555555556,9.333333333333334,3.888888888888889,2.0,1.5555555555555556,4.444444444444445,0.3644473455178416,0.30952380952380953,62.083024462564865,0.136989083523737,0.5,0.14825796886582654,0.11428571428571428,0.4166666666666667,0.21428571428571427,2.2598870056497176,2.1186440677966103,7.627118644067797,0.7062146892655368,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
2232,5,Division I,lawsonstatecommunitycollege,Jayden Bynes,,,,Wing,,,13,2.425,2.5500000000000003,2.0,3,6.153846153846154,3.3076923076923075,1.2307692307692308,1.1538461538461537,1.0769230769230769,0.0,0.3076923076923077,4.384615384615385,1.9230769230769231,2.3076923076923075,0.8461538461538461,2.4615384615384617,0.5698005698005698,0.5087719298245614,93.89671361502347,0.0742833228708935,1.0666666666666667,0.176056338028169,0.4,0.43859649122807015,0.5263157894736842,1.4691478942213516,1.3712047012732616,4.211557296767874,0.3917727717923604,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2251,6,Division I,lawsonstatecommunitycollege,Yusef Bowyer,,,,Wing,,,13,2.425,2.55,2.0,3,10.76923076923077,2.1538461538461537,1.6923076923076923,1.5384615384615385,1.0,0.0,0.46153846153846156,9.76923076923077,5.153846153846154,1.6153846153846154,0.6153846153846154,1.5384615384615385,0.5137991779213152,0.4881889763779528,89.60573476702508,0.1362209667294413,1.1,0.12800819252432155,0.3283582089552239,0.5275590551181102,0.16535433070866143,1.9588638589618022,1.2732615083251715,2.742409402546523,0.5876591576885406,Below Average,2,Below Average,2,Poor,1,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2561,7,Division I,lawsonstatecommunitycollege,Jarett Fairley,,,,Wing,,,13,2.3324999999999996,2.05,2.45,3,7.384615384615385,3.923076923076923,1.4615384615384615,1.6153846153846154,1.0769230769230769,0.07692307692307693,0.46153846153846156,6.923076923076923,1.2307692307692308,3.6923076923076925,0.7692307692307693,3.1538461538461537,0.4319654427645788,0.3611111111111111,72.661217075386,0.11519146264908976,0.9047619047619048,0.1589464123524069,0.0625,0.17777777777777778,0.5333333333333333,2.0568070519098924,1.4691478942213516,4.995102840352596,0.5876591576885406,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2695,8,Division I,lawsonstatecommunitycollege,Christian Curl,,,,Wing,,,10,2.3,2.3,2.0,3,10.1,1.7,2.9,2.8,0.8,0.2,1.0,7.6,2.3,3.6,0.4,1.3,0.5498693379790941,0.5328947368421053,84.27903871829105,0.13747533611710183,1.0357142857142858,0.2336448598130841,0.4782608695652174,0.3026315789473684,0.47368421052631576,3.58974358974359,1.2820512820512822,2.1794871794871793,1.2820512820512822,Average,3,Below Average,2,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Average,3,Unknown
2979,9,Division I,lawsonstatecommunitycollege,Adrian Rodriguez,,,,Wing,,,13,2.2,2.1,2.0,3,5.461538461538462,3.6923076923076925,0.3076923076923077,0.5384615384615384,0.6153846153846154,0.15384615384615385,1.0769230769230769,5.384615384615385,2.230769230769231,1.7692307692307692,1.0,2.6923076923076925,0.44308537194208686,0.38571428571428573,81.49678604224059,0.07595731324544884,0.5714285714285714,0.08034894398530762,0.20689655172413793,0.4142857142857143,0.32857142857142857,0.6856023506366308,0.9794319294809011,4.701273261508325,1.3712047012732616,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3395,10,Division I,lawsonstatecommunitycollege,Israel May,,,,Wing,,,13,2.0999999999999996,1.9,2.0,3,4.076923076923077,3.5384615384615383,0.38461538461538464,1.0,0.6153846153846154,0.07692307692307693,0.8461538461538461,4.153846153846154,0.6923076923076923,1.6923076923076923,1.9230769230769231,1.6153846153846154,0.416143216080402,0.35185185185185186,69.11841418883672,0.06685499058380415,0.38461538461538464,0.1695357329160146,0.0,0.16666666666666666,0.4074074074074074,1.2732615083251715,0.881488736532811,4.505386875612145,1.0773751224289911,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
